RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.03085508,1.22313700,0.49505750,0.03085508,1.22313700,0.49505750,0.03085508,1.22313700,0.49505750,0.03821578,1.24213300,0.48151350,0.04543938,1.25820900,0.46535330,0.06001296,1.28174500,0.45078430,0.07233004,1.31183400,0.45104580,0.02230054,1.31127300,0.45966100,0.04801363,1.33670800,0.45480900,0.05869625,1.31619200,0.45824080,0.01924271,1.31336200,0.48083730,0.05313391,1.33652700,0.47628960,0.06141122,1.31134600,0.47647600,0.02528550,1.31004200,0.49962200,0.05913281,1.32535400,0.49436310,0.06459267,1.30094700,0.48905320,0.03633364,1.25974100,0.51169230,0.03479665,1.30330100,0.51711240,0.06149940,1.31125300,0.50724390,0.06427184,1.29269800,0.50177180,0.07843086,1.32911900,0.46605330,0.04374836,1.30096000,0.46117220,0.04328046,1.29556800,0.47571990,0.04673536,1.28575200,0.48834990,0.04995783,1.27725900,0.50002000,7,5
0.03063761,1.22147900,0.49561430,0.03063761,1.22147900,0.49561430,0.03063761,1.22147900,0.49561430,0.03806186,1.24045300,0.48207490,0.04527368,1.25643100,0.46581250,0.05980383,1.27989900,0.45109030,0.07206697,1.31001100,0.45109410,0.02220479,1.30952500,0.45996800,0.04793326,1.33495700,0.45517880,0.05860599,1.31446300,0.45876950,0.01901028,1.31165900,0.48111980,0.05287451,1.33488000,0.47666380,0.06120957,1.30972100,0.47704930,0.02493769,1.30838700,0.49994980,0.05878150,1.32375800,0.49484190,0.06428805,1.29932700,0.48969220,0.03596780,1.25812600,0.51220200,0.03434559,1.30169600,0.51751510,0.06107678,1.30977600,0.50782880,0.06396168,1.29123500,0.50236690,0.07812571,1.32739900,0.46599810,0.04364873,1.29923400,0.46166630,0.04313356,1.29388100,0.47626550,0.04645891,1.28410100,0.48894830,0.04971204,1.27574700,0.50052080,7,5
0.03044194,1.21988800,0.49612810,0.03044194,1.21988800,0.49612810,0.03044194,1.21988800,0.49612810,0.03792432,1.23884400,0.48259610,0.04512372,1.25473200,0.46623990,0.05961153,1.27813600,0.45137590,0.07182442,1.30826800,0.45114020,0.02212064,1.30785700,0.46026480,0.04786178,1.33328700,0.45553640,0.05852535,1.31281400,0.45927120,0.01880015,1.31002700,0.48139340,0.05263960,1.33330100,0.47702370,0.06102508,1.30816100,0.47759100,0.02462095,1.30679700,0.50026400,0.05846161,1.32222100,0.49529520,0.06400788,1.29776800,0.49029320,0.03563463,1.25657300,0.51267650,0.03393334,1.30015100,0.51789680,0.06068949,1.30834700,0.50837850,0.06367757,1.28981900,0.50292620,0.07784599,1.32575200,0.46594790,0.04356033,1.29758600,0.46213430,0.04299945,1.29226600,0.47678110,0.04620433,1.28251400,0.48951190,0.04948902,1.27428600,0.50099220,7,5
0.03026335,1.21834900,0.49660800,0.03026335,1.21834900,0.49660800,0.03026335,1.21834900,0.49660800,0.03779960,1.23729100,0.48308550,0.04504541,1.25313900,0.46671160,0.05952022,1.27653700,0.45182500,0.07166668,1.30669400,0.45139360,0.02204557,1.30624900,0.46055320,0.04784123,1.33163200,0.45587060,0.05846073,1.31116600,0.45976500,0.01860739,1.30845000,0.48165970,0.05242048,1.33177900,0.47737660,0.06078099,1.30663600,0.47811250,0.02432840,1.30525900,0.50056710,0.05814958,1.32078600,0.49579300,0.06371762,1.29633400,0.49081510,0.03532694,1.25506700,0.51312340,0.03355130,1.29865100,0.51826160,0.06036523,1.30682500,0.50888820,0.06327635,1.28828000,0.50345470,0.07761037,1.32425800,0.46613640,0.04346285,1.29596600,0.46260360,0.04272432,1.29077700,0.47726900,0.04588606,1.28111600,0.48995250,0.04897729,1.27285400,0.50148420,7,5
0.02977791,1.21620300,0.49682290,0.02977791,1.21620300,0.49682290,0.02977791,1.21620300,0.49682290,0.03740641,1.23515200,0.48336190,0.04473910,1.25098800,0.46701470,0.05924774,1.27439600,0.45217750,0.07135653,1.30456600,0.45164060,0.02179825,1.30411500,0.46074380,0.04767311,1.32944400,0.45620690,0.05822678,1.30896900,0.46023250,0.01820859,1.30630800,0.48182600,0.05202314,1.32966900,0.47773690,0.06033859,1.30451500,0.47860000,0.02379485,1.30311000,0.50077270,0.05761772,1.31871700,0.49627730,0.06319728,1.29426900,0.49129100,0.03471474,1.25291600,0.51338820,0.03289237,1.29649800,0.51853020,0.05978435,1.30465000,0.50936330,0.06262148,1.28609700,0.50391690,0.07721255,1.32217500,0.46636600,0.04318120,1.29380100,0.46298740,0.04224406,1.28870500,0.47765720,0.04533155,1.27910000,0.49028860,0.04821460,1.27078400,0.50185140,7,5
0.02932871,1.21414100,0.49703580,0.02932871,1.21414100,0.49703580,0.02932871,1.21414100,0.49703580,0.03704288,1.23309700,0.48363370,0.04445352,1.24892000,0.46730860,0.05898763,1.27233700,0.45251110,0.07105853,1.30252100,0.45186000,0.02156944,1.30206500,0.46093660,0.04751933,1.32734100,0.45653550,0.05800875,1.30685900,0.46068740,0.01783695,1.30424900,0.48199490,0.05164983,1.32764300,0.47808490,0.05992071,1.30247900,0.47907210,0.02329601,1.30104500,0.50097770,0.05711652,1.31673000,0.49674460,0.06270617,1.29228600,0.49175240,0.03414383,1.25084900,0.51364770,0.03227520,1.29442900,0.51879370,0.05923948,1.30256000,0.50982260,0.06200281,1.28400000,0.50436110,0.07683390,1.32017400,0.46656330,0.04291792,1.29172100,0.46336430,0.04179049,1.28671600,0.47803740,0.04480854,1.27716400,0.49061930,0.04749180,1.26879800,0.50220500,7,5
0.02890814,1.21214700,0.49724720,0.02890814,1.21214700,0.49724720,0.02890814,1.21214700,0.49724720,0.03670279,1.23111000,0.48390200,0.04420752,1.24693600,0.46762320,0.05882633,1.27035700,0.45291630,0.07089762,1.30054100,0.45226100,0.02135540,1.30008100,0.46113110,0.04735629,1.32532500,0.45684530,0.05779949,1.30484500,0.46112470,0.01748688,1.30225600,0.48216580,0.05122183,1.32578600,0.47839880,0.05957389,1.30065400,0.47952190,0.02282467,1.29904700,0.50118210,0.05655620,1.31499800,0.49724050,0.06222448,1.29058100,0.49220220,0.03360552,1.24885000,0.51390330,0.03169102,1.29242700,0.51905310,0.05868367,1.30071300,0.51031240,0.06150167,1.28218700,0.50476720,0.07655831,1.31817800,0.46702860,0.04267782,1.28972700,0.46373560,0.04146854,1.28486800,0.47841280,0.04433959,1.27545600,0.49092170,0.04698548,1.26701200,0.50245900,7,5
0.02819896,1.21033300,0.49732550,0.02819896,1.21033300,0.49732550,0.02819896,1.21033300,0.49732550,0.03602450,1.22924000,0.48391960,0.04355203,1.24499300,0.46758050,0.05819903,1.26834200,0.45278630,0.07029932,1.29850900,0.45192580,0.02075958,1.29814000,0.46087680,0.04681916,1.32330100,0.45646380,0.05721320,1.30283000,0.46090290,0.01686840,1.30039600,0.48189870,0.05052705,1.32401200,0.47799440,0.05893796,1.29891000,0.47931800,0.02218147,1.29725300,0.50093300,0.05581293,1.31342500,0.49704230,0.06150785,1.28901000,0.49202690,0.03290677,1.24709300,0.51385160,0.03102166,1.29069100,0.51883850,0.05800395,1.29907100,0.51015590,0.06082482,1.28055400,0.50458340,0.07594433,1.31618600,0.46665170,0.04205628,1.28776100,0.46359090,0.04083318,1.28311700,0.47829740,0.04361255,1.27389600,0.49075510,0.04627167,1.26541700,0.50225930,7,5
0.02753321,1.20855100,0.49741380,0.02753321,1.20855100,0.49741380,0.02753321,1.20855100,0.49741380,0.03539079,1.22740800,0.48395600,0.04294232,1.24309300,0.46756300,0.05761641,1.26637600,0.45269130,0.06974147,1.29652600,0.45163770,0.02020628,1.29624100,0.46066210,0.04632229,1.32132400,0.45613990,0.05666857,1.30086200,0.46073200,0.01628703,1.29856900,0.48167090,0.04987139,1.32227100,0.47764660,0.05833870,1.29719800,0.47916100,0.02157107,1.29548600,0.50072300,0.05510470,1.31187500,0.49689340,0.06082836,1.28746200,0.49189800,0.03224326,1.24536200,0.51382390,0.03038144,1.28897800,0.51866280,0.05735562,1.29745200,0.51004610,0.06018087,1.27894400,0.50444440,0.07536708,1.31424000,0.46632610,0.04147775,1.28583900,0.46348630,0.04023478,1.28139900,0.47821750,0.04292423,1.27235900,0.49062680,0.04559248,1.26384400,0.50209780,7,5
0.02690155,1.20679200,0.49750990,0.02690155,1.20679200,0.49750990,0.02690155,1.20679200,0.49750990,0.03479205,1.22560300,0.48400710,0.04244103,1.24128200,0.46765360,0.05719031,1.26456400,0.45285480,0.06932274,1.29471100,0.45178620,0.01968639,1.29437400,0.46047840,0.04575590,1.31948700,0.45585510,0.05613908,1.29907000,0.46056280,0.01573489,1.29676900,0.48147370,0.04923069,1.32057900,0.47735380,0.05781474,1.29555700,0.47903020,0.02098655,1.29374100,0.50054360,0.05433593,1.31051700,0.49678490,0.06028598,1.28615200,0.49182300,0.03160752,1.24365100,0.51381490,0.02976426,1.28728300,0.51851740,0.05663190,1.29622900,0.51004690,0.05967003,1.27778200,0.50435580,0.07486326,1.31242500,0.46650760,0.04097604,1.28403100,0.46337810,0.03976255,1.27969500,0.47815130,0.04253030,1.27087700,0.49052720,0.04521070,1.26257300,0.50191800,7,5
