RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.03715812,0.87272080,0.36043800,-0.03715812,0.87272080,0.36043800,-0.03715812,0.87272080,0.36043800,-0.04801605,0.89377770,0.35434240,-0.05657004,0.91389120,0.34464410,-0.06927040,0.94192930,0.33906300,-0.08831431,0.96732340,0.34610800,-0.11300790,0.92819120,0.34419740,-0.11901690,0.96181240,0.35704860,-0.09588876,0.95866620,0.35563790,-0.11670220,0.91900570,0.36327960,-0.11347450,0.95825280,0.37573450,-0.08732116,0.95505730,0.37283550,-0.11063480,0.91453450,0.38181620,-0.09797966,0.94898180,0.38962630,-0.07409225,0.94398000,0.38200540,-0.06362858,0.89055950,0.38549150,-0.09974736,0.91126050,0.39949550,-0.08783696,0.93831120,0.39974250,-0.07049395,0.93488230,0.39141330,-0.09892625,0.97408980,0.36617770,-0.09197681,0.93886850,0.34810270,-0.08186165,0.93419360,0.36219840,-0.07161319,0.92277070,0.37229510,-0.06577629,0.91693380,0.38131770,7,6
-0.03619732,0.87253620,0.36114140,-0.03619732,0.87253620,0.36114140,-0.03619732,0.87253620,0.36114140,-0.04673372,0.89375020,0.35502650,-0.05497991,0.91399670,0.34533830,-0.06724236,0.94223270,0.33977570,-0.08589634,0.96787850,0.34695160,-0.11119460,0.92913570,0.34483810,-0.11669480,0.96285380,0.35766350,-0.09361680,0.95935610,0.35625860,-0.11503210,0.92002250,0.36392670,-0.11129060,0.95925500,0.37628340,-0.08518680,0.95560090,0.37348070,-0.10903740,0.91547470,0.38246830,-0.09582913,0.94972170,0.39024320,-0.07206115,0.94420900,0.38260140,-0.06240050,0.89079360,0.38617430,-0.09820495,0.91205030,0.40015290,-0.08562963,0.93879920,0.40028170,-0.06836910,0.93501250,0.39193610,-0.09636959,0.97470340,0.36707420,-0.09000447,0.93949570,0.34873880,-0.08008960,0.93460710,0.36292000,-0.07007410,0.92292610,0.37293930,-0.06398875,0.91697350,0.38184960,7,6
-0.03520087,0.87245170,0.36175980,-0.03520087,0.87245170,0.36175980,-0.03520087,0.87245170,0.36175980,-0.04542824,0.89381320,0.35563390,-0.05338023,0.91418610,0.34596460,-0.06522480,0.94260560,0.34043110,-0.08350106,0.96848170,0.34775050,-0.10936870,0.93012810,0.34543600,-0.11436290,0.96393090,0.35824540,-0.09133991,0.96009050,0.35683350,-0.11333470,0.92108340,0.36453090,-0.10908800,0.96029320,0.37679600,-0.08303902,0.95620890,0.37407880,-0.10740320,0.91646010,0.38307410,-0.09365191,0.95050130,0.39081130,-0.07000738,0.94451120,0.38314580,-0.06113024,0.89110430,0.38678640,-0.09661835,0.91288900,0.40075870,-0.08340314,0.93932800,0.40076800,-0.06623194,0.93519370,0.39240300,-0.09383241,0.97535100,0.36793130,-0.08802552,0.94017470,0.34932290,-0.07828537,0.93510030,0.36358730,-0.06848491,0.92317110,0.37352550,-0.06218160,0.91707320,0.38232480,7,6
-0.03411728,0.87246040,0.36232710,-0.03411728,0.87246040,0.36232710,-0.03411728,0.87246040,0.36232710,-0.04403123,0.89396810,0.35619740,-0.05168708,0.91444650,0.34651220,-0.06306946,0.94305360,0.34097490,-0.08092061,0.96920690,0.34835780,-0.10743360,0.93122060,0.34602200,-0.11203180,0.96508640,0.35881300,-0.08905362,0.96098300,0.35741110,-0.11152110,0.92224440,0.36512360,-0.10655860,0.96139250,0.37731690,-0.08061664,0.95668950,0.37457650,-0.10564710,0.91754240,0.38366530,-0.09128720,0.95133950,0.39136670,-0.06781153,0.94483990,0.38359800,-0.05975209,0.89150630,0.38736090,-0.09490517,0.91382030,0.40134500,-0.08112673,0.93997000,0.40126120,-0.06402996,0.93554880,0.39289060,-0.09111350,0.97621370,0.36856170,-0.08595921,0.94102730,0.34991240,-0.07639182,0.93545030,0.36412230,-0.06681363,0.92346350,0.37398960,-0.06025907,0.91736660,0.38281520,7,6
-0.03266303,0.87215350,0.36247510,-0.03266303,0.87215350,0.36247510,-0.03266303,0.87215350,0.36247510,-0.04226720,0.89377640,0.35625760,-0.04962020,0.91432460,0.34648630,-0.06055789,0.94308410,0.34084280,-0.07803305,0.96950280,0.34818000,-0.10512950,0.93186500,0.34583000,-0.10938400,0.96582010,0.35850290,-0.08644769,0.96146340,0.35718170,-0.10938070,0.92300520,0.36495020,-0.10379010,0.96211830,0.37698310,-0.07795104,0.95684220,0.37431500,-0.10361140,0.91828060,0.38351910,-0.08870501,0.95185990,0.39113440,-0.06537392,0.94486940,0.38335650,-0.05808672,0.89162770,0.38739440,-0.09295930,0.91446610,0.40123330,-0.07864322,0.94032470,0.40102390,-0.06160001,0.93560460,0.39270740,-0.08814825,0.97667720,0.36836410,-0.08354363,0.94145240,0.34975460,-0.07418369,0.93546520,0.36396700,-0.06483653,0.92344390,0.37382090,-0.05806872,0.91733930,0.38269560,7,6
-0.03123345,0.87192670,0.36261170,-0.03123345,0.87192670,0.36261170,-0.03123345,0.87192670,0.36261170,-0.04053624,0.89365920,0.35631920,-0.04759668,0.91427570,0.34647590,-0.05810313,0.94317820,0.34074490,-0.07520760,0.96984430,0.34806070,-0.10286430,0.93255910,0.34568140,-0.10676720,0.96659450,0.35825170,-0.08387644,0.96198580,0.35699650,-0.10726570,0.92380980,0.36481850,-0.10106200,0.96287560,0.37670340,-0.07533360,0.95705350,0.37410220,-0.10159100,0.91905920,0.38340990,-0.08614927,0.95241410,0.39094430,-0.06296922,0.94495300,0.38315190,-0.05643464,0.89180860,0.38743490,-0.09102035,0.91515090,0.40115250,-0.07617430,0.94070750,0.40081910,-0.05919357,0.93569170,0.39254800,-0.08523561,0.97716720,0.36823510,-0.08116814,0.94192450,0.34963170,-0.07200893,0.93555660,0.36385160,-0.06288049,0.92349180,0.37368230,-0.05590610,0.91734990,0.38259330,7,6
-0.02985230,0.87176160,0.36273750,-0.02985230,0.87176160,0.36273750,-0.02985230,0.87176160,0.36273750,-0.03886604,0.89359680,0.35638020,-0.04564818,0.91426640,0.34645290,-0.05568689,0.94331810,0.34063870,-0.07237890,0.97026850,0.34786510,-0.10067370,0.93327080,0.34556650,-0.10403800,0.96737940,0.35809390,-0.08122372,0.96240970,0.35682390,-0.10521210,0.92462550,0.36471890,-0.09840282,0.96361060,0.37653710,-0.07281960,0.95720740,0.37387040,-0.09962302,0.91984750,0.38332920,-0.08371281,0.95299450,0.39080630,-0.06067545,0.94513390,0.38298340,-0.05482695,0.89202710,0.38747940,-0.08912647,0.91584650,0.40109500,-0.07406016,0.94127400,0.40077150,-0.05713169,0.93608930,0.39249750,-0.08232620,0.97781210,0.36799810,-0.07884093,0.94229830,0.34948340,-0.07001773,0.93562290,0.36364760,-0.06099477,0.92365520,0.37355850,-0.05407880,0.91769740,0.38256040,7,6
-0.02912909,0.87166170,0.36302580,-0.02912909,0.87166170,0.36302580,-0.02912909,0.87166170,0.36302580,-0.03785701,0.89357830,0.35655080,-0.04439306,0.91425820,0.34648080,-0.05395516,0.94343670,0.34050080,-0.07013278,0.97072630,0.34762350,-0.09913518,0.93407920,0.34578940,-0.10181680,0.96832370,0.35810920,-0.07910268,0.96295090,0.35669390,-0.10368630,0.92565070,0.36503510,-0.09611933,0.96459600,0.37651900,-0.07072428,0.95755980,0.37365630,-0.09805729,0.92093440,0.38364910,-0.08156066,0.95387170,0.39077370,-0.05874551,0.94552610,0.38280340,-0.05365323,0.89248590,0.38775430,-0.08751502,0.91691580,0.40138390,-0.07213997,0.94215330,0.40080620,-0.05534093,0.93670240,0.39244000,-0.07983350,0.97860200,0.36774960,-0.07712882,0.94275230,0.34947220,-0.06854927,0.93584010,0.36356790,-0.05958074,0.92398890,0.37354500,-0.05263927,0.91820160,0.38260400,7,6
-0.02835675,0.87159940,0.36329310,-0.02835675,0.87159940,0.36329310,-0.02835675,0.87159940,0.36329310,-0.03680286,0.89359410,0.35670980,-0.04309604,0.91428600,0.34651070,-0.05219460,0.94358100,0.34037850,-0.06787217,0.97118400,0.34741060,-0.09754820,0.93490140,0.34599280,-0.09957525,0.96925990,0.35811870,-0.07696471,0.96349990,0.35657370,-0.10211430,0.92667510,0.36532230,-0.09381889,0.96556300,0.37649340,-0.06861910,0.95792140,0.37346170,-0.09645144,0.92200880,0.38393860,-0.07938767,0.95472510,0.39073800,-0.05679604,0.94591220,0.38263530,-0.05244086,0.89294990,0.38800540,-0.08587065,0.91796270,0.40164420,-0.07017207,0.94299350,0.40082480,-0.05350341,0.93727580,0.39237640,-0.07733291,0.97936170,0.36753050,-0.07538235,0.94322750,0.34946320,-0.06704313,0.93608980,0.36350480,-0.05812959,0.92433340,0.37353340,-0.05114672,0.91867720,0.38263660,7,6
-0.02759227,0.87156330,0.36353470,-0.02759227,0.87156330,0.36353470,-0.02759227,0.87156330,0.36353470,-0.03577290,0.89362880,0.35685380,-0.04183727,0.91433290,0.34654160,-0.05045782,0.94374740,0.34029170,-0.06562681,0.97165750,0.34722650,-0.09600686,0.93568730,0.34617200,-0.09737842,0.97013560,0.35813370,-0.07487839,0.96399210,0.35645830,-0.10058790,0.92764460,0.36557510,-0.09185809,0.96651890,0.37645860,-0.06677448,0.95852620,0.37336950,-0.09489635,0.92301850,0.38419270,-0.07756583,0.95563820,0.39077810,-0.05512486,0.94654450,0.38256770,-0.05126286,0.89339210,0.38822860,-0.08428358,0.91894020,0.40187180,-0.06859326,0.94397370,0.40097950,-0.05199597,0.93817870,0.39244370,-0.07486784,0.98014690,0.36731940,-0.07368515,0.94366030,0.34944190,-0.06550851,0.93660980,0.36355550,-0.05676566,0.92494080,0.37357570,-0.04987968,0.91952380,0.38275630,7,6
