RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.18003350,0.88948220,0.32067480,-0.18003350,0.88948220,0.32067480,-0.18003350,0.88948220,0.32067480,-0.19151330,0.91108420,0.32056940,-0.20649250,0.92971090,0.31989940,-0.21976770,0.95794080,0.31756940,-0.21485390,0.99005340,0.31891020,-0.20742920,0.97189390,0.36006640,-0.20582620,1.00270500,0.34057930,-0.20678140,0.98649890,0.32374940,-0.18626600,0.97067650,0.36364290,-0.18611880,1.00266300,0.33751350,-0.19027780,0.98109600,0.32267460,-0.16767350,0.96788500,0.35679210,-0.16997870,0.99570040,0.33171720,-0.17753660,0.97637270,0.31678330,-0.15992150,0.92383270,0.32855760,-0.15056670,0.96326830,0.34548470,-0.15537750,0.98521410,0.32627800,-0.16591680,0.97353120,0.31468720,-0.19899330,1.00764400,0.31934200,-0.20763840,0.96540730,0.32804370,-0.19417660,0.95998260,0.33350380,-0.17954810,0.95711900,0.33003150,-0.17053680,0.95537790,0.32445640,7,3
-0.17814330,0.88973320,0.32154770,-0.17814330,0.88973320,0.32154770,-0.17814330,0.88973320,0.32154770,-0.18946190,0.91141940,0.32134940,-0.20434440,0.93012200,0.32064010,-0.21748760,0.95840970,0.31826390,-0.21243070,0.99050660,0.31943830,-0.20478660,0.97258590,0.36052810,-0.20302950,1.00321900,0.34077590,-0.20415160,0.98691730,0.32404930,-0.18362090,0.97123210,0.36403950,-0.18331440,1.00298300,0.33762680,-0.18772640,0.98135380,0.32295350,-0.16507350,0.96825980,0.35714230,-0.16725980,0.99588720,0.33184980,-0.17503560,0.97650640,0.31709790,-0.15774840,0.92397960,0.32915140,-0.14804100,0.96344650,0.34580490,-0.15276260,0.98531690,0.32649050,-0.16341250,0.97361820,0.31501730,-0.19652750,1.00806300,0.31969840,-0.20514470,0.96586040,0.32848260,-0.19176920,0.96031010,0.33386530,-0.17714800,0.95737530,0.33050720,-0.16807450,0.95557800,0.32497430,7,3
-0.17627730,0.88996300,0.32241860,-0.17627730,0.88996300,0.32241860,-0.17627730,0.88996300,0.32241860,-0.18744480,0.91172640,0.32213340,-0.20223810,0.93049850,0.32139110,-0.21526050,0.95883850,0.31897350,-0.21006870,0.99091950,0.31998320,-0.20219460,0.97322990,0.36100400,-0.20030760,1.00368800,0.34099460,-0.20159240,0.98729580,0.32436820,-0.18102570,0.97174850,0.36444480,-0.18058730,1.00327000,0.33776010,-0.18524360,0.98158120,0.32325070,-0.16252560,0.96860550,0.35749660,-0.16461590,0.99605010,0.33199780,-0.17260260,0.97661990,0.31742450,-0.15561520,0.92411000,0.32974260,-0.14556990,0.96360580,0.34612490,-0.15021800,0.98540190,0.32670870,-0.16097660,0.97368980,0.31535120,-0.19412730,1.00844200,0.32007010,-0.20270820,0.96627370,0.32893570,-0.18941540,0.96060650,0.33424650,-0.17480110,0.95760790,0.33098850,-0.16567340,0.95575730,0.32548480,7,3
-0.17443120,0.89017600,0.32328750,-0.17443120,0.89017600,0.32328750,-0.17443120,0.89017600,0.32328750,-0.18545550,0.91201110,0.32291970,-0.20014370,0.93086380,0.32213640,-0.21302050,0.95926590,0.31966880,-0.20762740,0.99131850,0.32051380,-0.19964310,0.97383520,0.36148970,-0.19763280,1.00410300,0.34120550,-0.19909470,0.98758570,0.32471820,-0.17847110,0.97223330,0.36485560,-0.17791270,1.00353400,0.33791430,-0.18281810,0.98176790,0.32360390,-0.16002000,0.96892730,0.35785300,-0.16205660,0.99618730,0.33215260,-0.17021170,0.97670730,0.31773980,-0.15351470,0.92422690,0.33033130,-0.14314300,0.96374930,0.34644380,-0.14779210,0.98542610,0.32689480,-0.15861490,0.97365470,0.31566030,-0.19159180,1.00875500,0.32043870,-0.20033350,0.96660690,0.32944990,-0.18710710,0.96088710,0.33473250,-0.17247690,0.95778890,0.33142310,-0.16328250,0.95582820,0.32599270,7,3
-0.17281540,0.89023710,0.32412030,-0.17281540,0.89023710,0.32412030,-0.17281540,0.89023710,0.32412030,-0.18367400,0.91215430,0.32370830,-0.19823750,0.93110260,0.32290540,-0.21093590,0.95958530,0.32044120,-0.20531510,0.99160020,0.32123030,-0.19733230,0.97419120,0.36212730,-0.19512420,1.00432700,0.34166800,-0.19673700,0.98774180,0.32526330,-0.17616790,0.97243770,0.36546570,-0.17539740,1.00359700,0.33836610,-0.18053630,0.98180650,0.32417510,-0.15775320,0.96897210,0.35844440,-0.15964710,0.99612800,0.33262310,-0.16795620,0.97665260,0.31829230,-0.15162990,0.92414740,0.33103760,-0.14093360,0.96363440,0.34702420,-0.14551120,0.98525890,0.32740070,-0.15638510,0.97347870,0.31622500,-0.18917200,1.00893700,0.32108430,-0.19812830,0.96679400,0.33008880,-0.18498830,0.96099050,0.33536080,-0.17033960,0.95779010,0.33203260,-0.16107070,0.95573130,0.32668440,7,3
-0.17119320,0.89029970,0.32495500,-0.17119320,0.89029970,0.32495500,-0.17119320,0.89029970,0.32495500,-0.18189310,0.91229390,0.32449840,-0.19633870,0.93133150,0.32367780,-0.20886930,0.95988860,0.32121570,-0.20303340,0.99186640,0.32193990,-0.19502730,0.97454170,0.36275880,-0.19264230,1.00454200,0.34212080,-0.19440560,0.98788960,0.32579960,-0.17386980,0.97264430,0.36606240,-0.17291090,1.00365600,0.33880020,-0.17827960,0.98184100,0.32473270,-0.15549420,0.96902430,0.35901670,-0.15726420,0.99607110,0.33307250,-0.16572720,0.97659710,0.31883010,-0.14974890,0.92407540,0.33173150,-0.13873570,0.96353080,0.34758070,-0.14325350,0.98509990,0.32788250,-0.15418130,0.97330910,0.31677060,-0.18679100,1.00910900,0.32171310,-0.19593880,0.96697390,0.33072050,-0.18288250,0.96109090,0.33597970,-0.16821720,0.95779360,0.33263210,-0.15887900,0.95564090,0.32735780,7,3
-0.16956550,0.89036340,0.32579140,-0.16956550,0.89036340,0.32579140,-0.16956550,0.89036340,0.32579140,-0.18011220,0.91243050,0.32528980,-0.19441830,0.93157180,0.32443680,-0.20675070,0.96021560,0.32198130,-0.20065760,0.99214660,0.32265050,-0.19272600,0.97488700,0.36338480,-0.19018670,1.00475900,0.34257940,-0.19209300,0.98804140,0.32634090,-0.17157510,0.97285170,0.36664810,-0.17051110,1.00365700,0.33915710,-0.17602960,0.98176400,0.32527040,-0.15324080,0.96908120,0.35957360,-0.15496510,0.99591360,0.33340460,-0.16353050,0.97636640,0.31932460,-0.14787040,0.92400890,0.33241600,-0.13654640,0.96343500,0.34811820,-0.14099970,0.98497740,0.32837610,-0.15197720,0.97319790,0.31730130,-0.18429410,1.00927400,0.32235240,-0.19375420,0.96715940,0.33136250,-0.18071810,0.96111820,0.33667280,-0.16607990,0.95765770,0.33324410,-0.15673820,0.95556680,0.32792210,7,3
-0.16755180,0.89056780,0.32660770,-0.16755180,0.89056780,0.32660770,-0.16755180,0.89056780,0.32660770,-0.17789600,0.91272930,0.32605140,-0.19202270,0.93200200,0.32517030,-0.20410010,0.96075350,0.32270530,-0.19768170,0.99262300,0.32325800,-0.18976400,0.97547140,0.36391600,-0.18705060,1.00517700,0.34289500,-0.18917310,0.98837830,0.32676700,-0.16861870,0.97325470,0.36709660,-0.16743810,1.00381500,0.33933790,-0.17319210,0.98184420,0.32567100,-0.15035140,0.96928250,0.35995980,-0.15202400,0.99587330,0.33354210,-0.16077110,0.97626040,0.31966680,-0.14551750,0.92404020,0.33298470,-0.13376030,0.96343000,0.34845780,-0.13814300,0.98492580,0.32864910,-0.14922240,0.97316710,0.31765410,-0.18116360,1.00959800,0.32282690,-0.19099770,0.96754240,0.33192150,-0.17799090,0.96132780,0.33725960,-0.16339360,0.95767090,0.33373170,-0.15406090,0.95560240,0.32834970,7,3
-0.16567060,0.89075250,0.32738140,-0.16567060,0.89075250,0.32738140,-0.16567060,0.89075250,0.32738140,-0.17582930,0.91299820,0.32677290,-0.18979280,0.93238830,0.32586540,-0.20163890,0.96123530,0.32339430,-0.19492540,0.99304560,0.32383890,-0.18701010,0.97599830,0.36441770,-0.18414440,1.00554200,0.34319010,-0.18646590,0.98866870,0.32716800,-0.16587130,0.97361620,0.36752100,-0.16459310,1.00394000,0.33950870,-0.17056530,0.98189800,0.32605220,-0.14766790,0.96945930,0.36032630,-0.14930460,0.99581800,0.33367480,-0.15821660,0.97614250,0.31999430,-0.14332800,0.92406390,0.33352490,-0.13117460,0.96341790,0.34878130,-0.13549950,0.98486780,0.32891030,-0.14666940,0.97312470,0.31799030,-0.17827040,1.00988300,0.32328260,-0.18843730,0.96787780,0.33244850,-0.17546110,0.96150330,0.33781400,-0.16090060,0.95766600,0.33419580,-0.15157160,0.95562200,0.32875830,7,3
-0.16379080,0.89093010,0.32816720,-0.16379080,0.89093010,0.32816720,-0.16379080,0.89093010,0.32816720,-0.17376840,0.91325610,0.32750540,-0.18759160,0.93274580,0.32658280,-0.19923470,0.96166980,0.32404800,-0.19232560,0.99344000,0.32433200,-0.18427180,0.97650600,0.36492570,-0.18127400,1.00591200,0.34352520,-0.18377810,0.98897220,0.32760070,-0.16314060,0.97396280,0.36795110,-0.16179650,1.00408500,0.33972450,-0.16793550,0.98198320,0.32644100,-0.14500230,0.96962520,0.36069860,-0.14660000,0.99583800,0.33390130,-0.15564370,0.97614280,0.32033620,-0.14114910,0.92408170,0.33407460,-0.12860790,0.96339880,0.34911130,-0.13295590,0.98474750,0.32913660,-0.14416470,0.97296860,0.31829520,-0.17561750,1.01021900,0.32362190,-0.18587960,0.96822260,0.33299220,-0.17289880,0.96170810,0.33837980,-0.15841080,0.95769170,0.33455490,-0.14906490,0.95552550,0.32916020,7,3
