RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.03705265,1.11427700,0.56063400,0.03705265,1.11427700,0.56063400,0.03705265,1.11427700,0.56063400,0.05068807,1.13380900,0.56868140,0.07287131,1.14387200,0.56542150,0.09792025,1.16376600,0.56217290,0.10917030,1.19477900,0.56749610,0.06981994,1.20651600,0.55566940,0.08432312,1.24107600,0.55426760,0.09347716,1.26327600,0.55526940,0.04785793,1.20804200,0.55378720,0.05301540,1.24950400,0.54628660,0.05616409,1.27620400,0.54187750,0.02903758,1.20354400,0.56075420,0.02437004,1.24070200,0.55155630,0.02154035,1.26642000,0.54696270,0.01901584,1.15082700,0.56947560,0.01185458,1.19537300,0.57098630,-0.00237699,1.22111000,0.56337360,-0.01241231,1.23840600,0.56148410,0.12200450,1.21514700,0.57113530,0.10044080,1.28429200,0.55533690,0.05778179,1.29981900,0.53476910,0.01942150,1.28953300,0.54043700,-0.02117053,1.25809000,0.55878070,4,5
0.03668362,1.11269600,0.56073950,0.03668362,1.11269600,0.56073950,0.03668362,1.11269600,0.56073950,0.05024042,1.13227500,0.56880610,0.07239807,1.14241500,0.56560870,0.09727336,1.16249100,0.56215680,0.10883460,1.19348900,0.56686640,0.06918155,1.20503200,0.55579020,0.08345740,1.23969200,0.55453970,0.09246251,1.26194500,0.55569140,0.04721951,1.20648900,0.55385520,0.05229082,1.24799800,0.54655590,0.05539939,1.27473700,0.54236500,0.02839651,1.20193800,0.56078070,0.02374779,1.23908000,0.55150900,0.02098077,1.26482700,0.54704090,0.01851472,1.14919700,0.56951390,0.01121430,1.19372200,0.57097760,-0.00301172,1.21939000,0.56312560,-0.01302414,1.23669200,0.56116990,0.12193170,1.21377400,0.56999980,0.09928215,1.28300800,0.55583610,0.05700874,1.29842500,0.53549960,0.01893889,1.28799300,0.54067990,-0.02172925,1.25640000,0.55846820,4,5
0.03622574,1.11137400,0.56062170,0.03622574,1.11137400,0.56062170,0.03622574,1.11137400,0.56062170,0.04970949,1.13099200,0.56871530,0.07184349,1.14119900,0.56556730,0.09654841,1.16144600,0.56189760,0.10840100,1.19241800,0.56601530,0.06846672,1.20380300,0.55573610,0.08252650,1.23855700,0.55465050,0.09139054,1.26085800,0.55596360,0.04650455,1.20519700,0.55375630,0.05150051,1.24675200,0.54667030,0.05457437,1.27352900,0.54269940,0.02768073,1.20059200,0.56064370,0.02304756,1.23772500,0.55132790,0.02034043,1.26350300,0.54700450,0.01793366,1.14782200,0.56935810,0.01050165,1.19232600,0.57080580,-0.00371159,1.21793200,0.56272910,-0.01369784,1.23524200,0.56071160,0.12173980,1.21261500,0.56865850,0.09807484,1.28196400,0.55620630,0.05617729,1.29728600,0.53607610,0.01837214,1.28672400,0.54082560,-0.02234863,1.25497400,0.55801020,4,5
0.03578689,1.11003700,0.56053350,0.03578689,1.11003700,0.56053350,0.03578689,1.11003700,0.56053350,0.04920126,1.12969300,0.56864910,0.07131363,1.13995900,0.56554060,0.09590842,1.16032100,0.56176940,0.10796230,1.19126400,0.56550390,0.06778482,1.20255300,0.55569080,0.08169273,1.23737600,0.55493310,0.09046288,1.25968600,0.55666260,0.04582281,1.20388600,0.55366810,0.05062881,1.24549200,0.54674950,0.05358606,1.27230300,0.54292600,0.02699828,1.19923100,0.56051990,0.02228923,1.23639600,0.55137100,0.01958834,1.26222700,0.54736960,0.01737841,1.14643700,0.56922660,0.00982210,1.19092100,0.57065040,-0.00445114,1.21643900,0.56240460,-0.01448898,1.23370600,0.56027850,0.12157840,1.21132300,0.56775980,0.09706703,1.28080900,0.55728920,0.05509543,1.29610300,0.53643780,0.01764309,1.28553800,0.54153020,-0.02320123,1.25339300,0.55745180,4,5
0.03482278,1.10899800,0.56041460,0.03482278,1.10899800,0.56041460,0.03482278,1.10899800,0.56041460,0.04823018,1.12865400,0.56854270,0.07037547,1.13887000,0.56550710,0.09495634,1.15923000,0.56163500,0.10732260,1.19009900,0.56493790,0.06699704,1.20144700,0.55548050,0.08090697,1.23627500,0.55499990,0.08967201,1.25855400,0.55710790,0.04504734,1.20281100,0.55334760,0.04987386,1.24442700,0.54650160,0.05284767,1.27124800,0.54276230,0.02618211,1.19820600,0.56012030,0.02158735,1.23539900,0.55103050,0.01901646,1.26128100,0.54727710,0.01643268,1.14545100,0.56892110,0.00894327,1.18995100,0.57018950,-0.00524503,1.21542400,0.56166240,-0.01524627,1.23268900,0.55935190,0.12128220,1.20996100,0.56679210,0.09628315,1.27966200,0.55807960,0.05439046,1.29506700,0.53635000,0.01721239,1.28467000,0.54171290,-0.02391814,1.25236300,0.55632190,4,5
0.03391374,1.10792400,0.56031850,0.03391374,1.10792400,0.56031850,0.03391374,1.10792400,0.56031850,0.04731135,1.12758200,0.56845660,0.06948613,1.13775300,0.56548430,0.09404457,1.15811700,0.56149200,0.10670580,1.18891000,0.56435950,0.06623830,1.20031600,0.55529170,0.08013886,1.23515000,0.55508110,0.08888848,1.25739700,0.55755860,0.04430043,1.20170500,0.55305550,0.04913915,1.24333000,0.54627930,0.05212380,1.27016200,0.54262140,0.02539827,1.19714300,0.55975430,0.02090500,1.23436400,0.55072570,0.01845395,1.26029100,0.54722060,0.01553580,1.14442400,0.56864700,0.00810245,1.18893800,0.56976640,-0.00600330,1.21436100,0.56096030,-0.01596834,1.23162200,0.55846760,0.12099040,1.20857400,0.56580960,0.09549655,1.27848800,0.55886920,0.05369378,1.29399800,0.53628250,0.01678116,1.28375500,0.54193280,-0.02460029,1.25128200,0.55523630,4,5
0.03304873,1.10682300,0.56024040,0.03304873,1.10682300,0.56024040,0.03304873,1.10682300,0.56024040,0.04643436,1.12648600,0.56838660,0.06863330,1.13662500,0.56548620,0.09322460,1.15695700,0.56153420,0.10594540,1.18773200,0.56432970,0.06550328,1.19916400,0.55512010,0.07939864,1.23400000,0.55483620,0.08813955,1.25624300,0.55737910,0.04357687,1.20057300,0.55278610,0.04851253,1.24220300,0.54610650,0.05155288,1.26903300,0.54249010,0.02464076,1.19605000,0.55941500,0.02020119,1.23328700,0.55042730,0.01780150,1.25923500,0.54703960,0.01467812,1.14336600,0.56839790,0.00729241,1.18789000,0.56937320,-0.00679494,1.21324300,0.56033430,-0.01676134,1.23048200,0.55770310,0.12042380,1.20726300,0.56564930,0.09474444,1.27733200,0.55873560,0.05318527,1.29287200,0.53617560,0.01618500,1.28272800,0.54186610,-0.02538893,1.25012200,0.55434050,4,5
0.03260966,1.10500400,0.56053600,0.03260966,1.10500400,0.56053600,0.03260966,1.10500400,0.56053600,0.04592600,1.12469100,0.56873950,0.06813792,1.13483900,0.56597410,0.09272863,1.15519000,0.56212190,0.10546220,1.18596500,0.56486930,0.06503887,1.19735800,0.55547650,0.07886778,1.23222000,0.55519780,0.08755200,1.25447200,0.55785650,0.04312818,1.19874800,0.55298880,0.04809869,1.24039500,0.54644340,0.05115357,1.26723300,0.54289470,0.02414971,1.19422400,0.55949490,0.01972054,1.23147500,0.55056080,0.01733517,1.25744200,0.54730670,0.01415950,1.14154900,0.56850190,0.00673837,1.18607000,0.56934760,-0.00734104,1.21134200,0.56007460,-0.01732463,1.22854900,0.55730240,0.12009880,1.20538400,0.56609110,0.09411141,1.27556800,0.55930320,0.05282009,1.29108100,0.53662570,0.01574741,1.28096500,0.54226600,-0.02596561,1.24816100,0.55381090,4,5
0.03216525,1.10322600,0.56081300,0.03216525,1.10322600,0.56081300,0.03216525,1.10322600,0.56081300,0.04541555,1.12293600,0.56906780,0.06763896,1.13309200,0.56642660,0.09222369,1.15346500,0.56265130,0.10498290,1.18423500,0.56532450,0.06456855,1.19559100,0.55579940,0.07833235,1.23048000,0.55552980,0.08695994,1.25273900,0.55830750,0.04267364,1.19696300,0.55316670,0.04767399,1.23862600,0.54674860,0.05074096,1.26547100,0.54326470,0.02365608,1.19243800,0.55955730,0.01923482,1.22970300,0.55067530,0.01686310,1.25568800,0.54755770,0.01364065,1.13977300,0.56859340,0.00618614,1.18429100,0.56931110,-0.00787627,1.20950000,0.55984180,-0.01786814,1.22668300,0.55695410,0.11978110,1.20353800,0.56643030,0.09347390,1.27384300,0.55984890,0.05243845,1.28932900,0.53703960,0.01530284,1.27924200,0.54265370,-0.02651320,1.24627400,0.55335970,4,5
0.03171623,1.10147900,0.56107540,0.03171623,1.10147900,0.56107540,0.03171623,1.10147900,0.56107540,0.04490297,1.12121200,0.56937660,0.06712846,1.13140400,0.56689510,0.09161048,1.15188700,0.56305030,0.10413090,1.18276300,0.56563260,0.06409322,1.19385500,0.55609590,0.07763857,1.22882800,0.55573880,0.08611436,1.25114100,0.55855100,0.04221421,1.19520800,0.55332520,0.04712288,1.23691200,0.54710220,0.05012619,1.26378000,0.54374160,0.02316019,1.19068300,0.55960580,0.01885484,1.22804400,0.55107530,0.01656803,1.25407300,0.54828340,0.01312128,1.13802900,0.56867480,0.00563510,1.18254300,0.56926580,-0.00842417,1.20769100,0.55963280,-0.01844520,1.22483400,0.55660800,0.11886370,1.20212100,0.56664440,0.09249340,1.27228200,0.56014980,0.05178411,1.28766300,0.53760150,0.01509915,1.27769600,0.54369060,-0.02712978,1.24437700,0.55285080,4,5
