RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.04388504,0.86380170,0.46950510,0.04388504,0.86380170,0.46950510,0.04388504,0.86380170,0.46950510,0.03324062,0.88502070,0.46122140,0.01642427,0.90273390,0.46395270,0.00009237,0.93042470,0.46442300,-0.01249001,0.96133380,0.46617170,0.03653789,0.96124630,0.46195570,0.03161025,0.99801430,0.45643010,0.02868520,1.02155500,0.45256950,0.05766135,0.95664040,0.45739700,0.06402989,0.99808350,0.45076940,0.06826603,1.02462200,0.44630190,0.07166117,0.94593360,0.44679760,0.08530349,0.98080520,0.43758030,0.09454926,1.00450000,0.43097770,0.06596582,0.89188050,0.44797820,0.08226112,0.93174110,0.43443130,0.10167770,0.95298530,0.42470610,0.11563380,0.96571120,0.41787130,-0.02428786,0.98261140,0.46711470,0.02794370,1.04349200,0.44967510,0.07373008,1.04863600,0.44422630,0.10369390,1.02658000,0.42779530,0.13059690,0.98077720,0.41333270,4,7
0.04409149,0.86435420,0.47083410,0.04409149,0.86435420,0.47083410,0.04409149,0.86435420,0.47083410,0.03342474,0.88561140,0.46267810,0.01658853,0.90327980,0.46557210,0.00007114,0.93085940,0.46609780,-0.01247025,0.96180110,0.46753760,0.03665973,0.96183430,0.46384610,0.03189070,0.99862990,0.45836530,0.02906314,1.02218600,0.45452450,0.05778430,0.95727190,0.45924870,0.06424544,0.99873410,0.45283390,0.06855184,1.02528800,0.44852330,0.07178669,0.94663740,0.44858020,0.08559509,0.98151410,0.43963350,0.09495419,1.00521500,0.43321480,0.06613648,0.89257370,0.44945520,0.08239102,0.93252460,0.43612670,0.10200940,0.95375080,0.42677470,0.11611190,0.96645670,0.42020830,-0.02409817,0.98318560,0.46809470,0.02834871,1.04411000,0.45152340,0.07398406,1.04930700,0.44643170,0.10420930,1.02727600,0.43021880,0.13125160,0.98145250,0.41603720,4,7
0.04425570,0.86491740,0.47209690,0.04425570,0.86491740,0.47209690,0.04425570,0.86491740,0.47209690,0.03357868,0.88621570,0.46406250,0.01673217,0.90385560,0.46706830,-0.00003242,0.93128750,0.46748580,-0.01247545,0.96229230,0.46827340,0.03677597,0.96243210,0.46566700,0.03193075,0.99926960,0.46054580,0.02903846,1.02284900,0.45690100,0.05790293,0.95790660,0.46104430,0.06436525,0.99937070,0.45464220,0.06858730,1.02591300,0.45018060,0.07191087,0.94734040,0.45031550,0.08568244,0.98231810,0.44171320,0.09501691,1.00609100,0.43552850,0.06628737,0.89326980,0.45088070,0.08252255,0.93330440,0.43778180,0.10216850,0.95461270,0.42867770,0.11630170,0.96737250,0.42228410,-0.02393153,0.98377650,0.46823670,0.02818884,1.04477200,0.45393280,0.07386643,1.04994200,0.44781710,0.10420320,1.02820000,0.43268370,0.13148550,0.98238770,0.41835000,4,7
0.04492256,0.86500600,0.47397360,0.04492256,0.86500600,0.47397360,0.04492256,0.86500600,0.47397360,0.03431503,0.88633110,0.46591820,0.01747686,0.90398510,0.46888740,0.00052308,0.93130340,0.46901400,-0.01176905,0.96237830,0.46900790,0.03761386,0.96254060,0.46764730,0.03280852,0.99940370,0.46267520,0.02992862,1.02299400,0.45909480,0.05875638,0.95799120,0.46312020,0.06533600,0.99941800,0.45659750,0.06955746,1.02592200,0.45191380,0.07280080,0.94742000,0.45244400,0.08665570,0.98242640,0.44409580,0.09604883,1.00622100,0.43808360,0.06709705,0.89335680,0.45290460,0.08345271,0.93338660,0.43994150,0.10321830,0.95469160,0.43109220,0.11743790,0.96744580,0.42488130,-0.02300603,0.98396520,0.46826470,0.02901789,1.04490500,0.45605280,0.07475157,1.04993500,0.44922250,0.10523340,1.02834300,0.43534000,0.13270560,0.98243330,0.42117350,4,7
0.04551878,0.86514090,0.47575320,0.04551878,0.86514090,0.47575320,0.04551878,0.86514090,0.47575320,0.03498195,0.88649640,0.46768550,0.01815243,0.90416270,0.47063060,0.00101751,0.93136760,0.47048650,-0.01111745,0.96249510,0.46973410,0.03838578,0.96269760,0.46956910,0.03363463,0.99958690,0.46474160,0.03077722,1.02318900,0.46122360,0.05954308,0.95812480,0.46513570,0.06624692,0.99951670,0.45851860,0.07047655,1.02598300,0.45363550,0.07362308,0.94755200,0.45450810,0.08756970,0.98258390,0.44642370,0.09702720,1.00639700,0.44059080,0.06783678,0.89349660,0.45484290,0.08431429,0.93352530,0.44203160,0.10420430,0.95482360,0.43344870,0.11851030,0.96757030,0.42742410,-0.02212325,0.98416730,0.46831740,0.02981834,1.04508900,0.45811050,0.07559440,1.04997600,0.45063720,0.10621790,1.02853000,0.43795730,0.13385710,0.98253020,0.42393740,4,7
0.04605956,0.86531230,0.47745690,0.04605956,0.86531230,0.47745690,0.04605956,0.86531230,0.47745690,0.03559440,0.88670100,0.46938390,0.01876877,0.90436770,0.47234830,0.00162926,0.93156990,0.47222710,-0.01032677,0.96276110,0.47127440,0.03910556,0.96289270,0.47144550,0.03451785,0.99984900,0.46698650,0.03174378,1.02348800,0.46365380,0.06027699,0.95829670,0.46710430,0.06703758,0.99965690,0.46034840,0.07127094,1.02609400,0.45530990,0.07439189,0.94772470,0.45652230,0.08856465,0.98278260,0.44896070,0.09817891,1.00661800,0.44348310,0.06852143,0.89367770,0.45671450,0.08512167,0.93370800,0.44406770,0.10513450,0.95506010,0.43591490,0.11952670,0.96784310,0.43017930,-0.02112719,0.98452010,0.46962670,0.03082474,1.04540400,0.46064390,0.07633256,1.05006900,0.45208330,0.10743290,1.02875200,0.44108900,0.13491130,0.98282650,0.42697100,4,7
0.04607607,0.86508740,0.47850710,0.04607607,0.86508740,0.47850710,0.04607607,0.86508740,0.47850710,0.03567591,0.88649010,0.47038730,0.01887541,0.90417960,0.47335820,0.00173692,0.93138220,0.47319760,-0.01001987,0.96263820,0.47193750,0.03935561,0.96267600,0.47236550,0.03494462,0.99968210,0.46814720,0.03226228,1.02334700,0.46491960,0.06052536,0.95802690,0.46807300,0.06736295,0.99932710,0.46103290,0.07161078,1.02571300,0.45574520,0.07463780,0.94741030,0.45753240,0.08902930,0.98245200,0.45031680,0.09879427,1.00627900,0.44507420,0.06864443,0.89337710,0.45777690,0.08536114,0.93335460,0.44511650,0.10548720,0.95471030,0.43725720,0.11995610,0.96749430,0.43172030,-0.02059527,0.98448220,0.46998350,0.03138963,1.04526700,0.46193020,0.07662798,1.04965200,0.45219900,0.10811790,1.02839700,0.44281070,0.13537940,0.98247470,0.42868910,4,7
0.04609866,0.86492100,0.47956010,0.04609866,0.86492100,0.47956010,0.04609866,0.86492100,0.47956010,0.03576481,0.88634120,0.47140190,0.01898810,0.90405150,0.47438340,0.00184029,0.93124790,0.47417980,-0.00971713,0.96256370,0.47259970,0.03960965,0.96252010,0.47333620,0.03537430,0.99957380,0.46936330,0.03278390,1.02326300,0.46624520,0.06077877,0.95782090,0.46909540,0.06769930,0.99906290,0.46180050,0.07196533,1.02539800,0.45628160,0.07489161,0.94716570,0.45859440,0.08949462,0.98219080,0.45173200,0.09940544,1.00600900,0.44672940,0.06877735,0.89314610,0.45886230,0.08561200,0.93307750,0.44621270,0.10585120,0.95443570,0.43865640,0.12039580,0.96722020,0.43332300,-0.02006110,0.98448740,0.47032520,0.03195668,1.04518800,0.46327780,0.07693973,1.04929900,0.45243010,0.10879670,1.02811200,0.44460310,0.13585760,0.98219690,0.43047440,4,7
0.04612610,0.86480040,0.48061600,0.04612610,0.86480040,0.48061600,0.04612610,0.86480040,0.48061600,0.03585967,0.88624080,0.47242580,0.01909184,0.90394040,0.47551870,0.00196350,0.93114990,0.47548470,-0.00955832,0.96248520,0.47403960,0.03986715,0.96241160,0.47434720,0.03577656,0.99949100,0.47046360,0.03327231,1.02319500,0.46738560,0.06103635,0.95766460,0.47016040,0.06815174,0.99894770,0.46329780,0.07240680,1.02528700,0.45778720,0.07515178,0.94697530,0.45969770,0.08986931,0.98199360,0.45304820,0.09985945,1.00580800,0.44819030,0.06891815,0.89296940,0.45996630,0.08587191,0.93285980,0.44734680,0.10617810,0.95422840,0.44000270,0.12076480,0.96702120,0.43480550,-0.01991061,0.98441820,0.47189690,0.03254719,1.04513500,0.46450480,0.07732484,1.04918900,0.45387260,0.10937940,1.02787900,0.44631010,0.13627280,0.98198360,0.43213980,4,7
0.04621020,0.86478060,0.48183200,0.04621020,0.86478060,0.48183200,0.04621020,0.86478060,0.48183200,0.03601907,0.88620810,0.47351480,0.01926330,0.90391610,0.47662520,0.00215139,0.93113580,0.47660840,-0.00930491,0.96249180,0.47509030,0.04020106,0.96237710,0.47510620,0.03626398,0.99946650,0.47115930,0.03385112,1.02317200,0.46802220,0.06137140,0.95756160,0.47100420,0.06868313,0.99884390,0.46434660,0.07293931,1.02515700,0.45871560,0.07549270,0.94679210,0.46063200,0.09033917,0.98177110,0.45406300,0.10041860,1.00555900,0.44925980,0.06913048,0.89280270,0.46112440,0.08621626,0.93259600,0.44837690,0.10660110,0.95393690,0.44117140,0.12123730,0.96671110,0.43606850,-0.01962470,0.98443660,0.47291210,0.03322491,1.04511200,0.46512070,0.07780973,1.04903900,0.45461820,0.11006370,1.02758800,0.44752610,0.13679260,0.98164570,0.43352490,4,7
