RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.02716214,0.85076450,0.50046370,0.02716214,0.85076450,0.50046370,0.02716214,0.85076450,0.50046370,0.04393580,0.86108790,0.51627630,0.06734507,0.86776960,0.52038750,0.09439331,0.88304880,0.52922800,0.11040210,0.90577960,0.54804310,0.07630146,0.92643770,0.53987660,0.09339225,0.95752780,0.55256170,0.10421970,0.97686420,0.56214200,0.05493184,0.93240960,0.54046910,0.06528121,0.97046010,0.55670470,0.07197875,0.99410830,0.56874280,0.03533905,0.92826770,0.54555050,0.03546397,0.96539890,0.55659570,0.03704800,0.98852310,0.56923040,0.01569483,0.88059020,0.52756090,0.01661265,0.91907480,0.55153400,0.00657706,0.94725450,0.55757960,0.00056713,0.96360390,0.56776370,0.12307620,0.92054140,0.56286560,0.11269030,0.99576600,0.57024440,0.07631832,1.01780500,0.57474990,0.03877830,1.01100300,0.57807730,-0.00445720,0.98282050,0.57677910,4,1
0.02689999,0.85100170,0.50025720,0.02689999,0.85100170,0.50025720,0.02689999,0.85100170,0.50025720,0.04384599,0.86142840,0.51581620,0.06726149,0.86826970,0.51961790,0.09429675,0.88380410,0.52804340,0.11050010,0.90669030,0.54650030,0.07612888,0.92698100,0.53896320,0.09322241,0.95816060,0.55142280,0.10407300,0.97757080,0.56082620,0.05473097,0.93280710,0.53989090,0.06511624,0.97091030,0.55597910,0.07186815,0.99458960,0.56792550,0.03524775,0.92852870,0.54527180,0.03537118,0.96564950,0.55635150,0.03702427,0.98880850,0.56891360,0.01565141,0.88073070,0.52755160,0.01667906,0.91920470,0.55153730,0.00662925,0.94734430,0.55774370,0.00070447,0.96369210,0.56798020,0.12332150,0.92158090,0.56106510,0.11254330,0.99653780,0.56877520,0.07615845,1.01831400,0.57385580,0.03876614,1.01131600,0.57768730,-0.00428882,0.98292590,0.57697620,4,1
0.02666300,0.85121880,0.50005570,0.02666300,0.85121880,0.50005570,0.02666300,0.85121880,0.50005570,0.04376699,0.86174640,0.51537200,0.06717554,0.86874500,0.51892190,0.09421424,0.88440050,0.52710870,0.11042160,0.90734380,0.54549110,0.07595549,0.92749470,0.53809170,0.09308344,0.95870760,0.55041980,0.10398760,0.97810130,0.55979540,0.05453573,0.93317930,0.53933800,0.06490420,0.97132780,0.55532940,0.07168853,0.99499600,0.56727960,0.03516219,0.92876940,0.54500130,0.03536844,0.96589250,0.55607230,0.03712220,0.98912690,0.56848050,0.01562179,0.88085530,0.52753480,0.01674918,0.91931940,0.55153180,0.00665726,0.94740860,0.55789610,0.00077349,0.96376100,0.56814880,0.12323460,0.92228600,0.56001040,0.11249510,0.99704950,0.56774930,0.07592236,1.01872400,0.57323680,0.03890598,1.01169000,0.57710300,-0.00425192,0.98302930,0.57705270,4,1
0.02689065,0.85134640,0.49991320,0.02689065,0.85134640,0.49991320,0.02689065,0.85134640,0.49991320,0.04417051,0.86201910,0.51492870,0.06756604,0.86922000,0.51814420,0.09459421,0.88507680,0.52597050,0.11082740,0.90813890,0.54418060,0.07619630,0.92803840,0.53708550,0.09332892,0.95933600,0.54919030,0.10427230,0.97875710,0.55846280,0.05475448,0.93354250,0.53870640,0.06508122,0.97177000,0.55453540,0.07188891,0.99545560,0.56643750,0.03552075,0.92897010,0.54470730,0.03575763,0.96610330,0.55574360,0.03759046,0.98942120,0.56798270,0.01608228,0.88089140,0.52758260,0.01730498,0.91936590,0.55155830,0.00714022,0.94739090,0.55808800,0.00129809,0.96374200,0.56836630,0.12365730,0.92318120,0.55858110,0.11279930,0.99772310,0.56635340,0.07603978,1.01920200,0.57237960,0.03938629,1.01204500,0.57644010,-0.00376791,0.98303570,0.57719200,4,1
0.02709010,0.85147040,0.49976610,0.02709010,0.85147040,0.49976610,0.02709010,0.85147040,0.49976610,0.04453251,0.86228410,0.51448990,0.06792684,0.86967230,0.51725790,0.09502496,0.88560040,0.52468760,0.11121630,0.90867670,0.54291690,0.07638645,0.92856310,0.53611250,0.09345981,0.95999920,0.54793920,0.10438510,0.97953900,0.55698070,0.05493072,0.93389200,0.53809480,0.06518278,0.97223030,0.55370280,0.07196969,0.99601220,0.56542330,0.03583870,0.92916270,0.54441800,0.03599654,0.96630200,0.55543530,0.03780517,0.98972380,0.56747780,0.01650806,0.88092650,0.52761720,0.01781988,0.91941020,0.55157340,0.00767492,0.94740940,0.55824280,0.00193690,0.96378700,0.56853770,0.12396750,0.92374370,0.55736150,0.11286640,0.99861480,0.56465290,0.07599735,1.01981400,0.57122760,0.03952121,1.01242400,0.57574480,-0.00308575,0.98311630,0.57731010,4,1
0.02717859,0.85145280,0.49972350,0.02717859,0.85145280,0.49972350,0.02717859,0.85145280,0.49972350,0.04463942,0.86229560,0.51440410,0.06803700,0.86971310,0.51706420,0.09519413,0.88555220,0.52446870,0.11123950,0.90855510,0.54291860,0.07645220,0.92862560,0.53593070,0.09350707,0.96008910,0.54771100,0.10441340,0.97967820,0.55666830,0.05499379,0.93392620,0.53795920,0.06520484,0.97231130,0.55347870,0.07196134,0.99614740,0.56510650,0.03592246,0.92917340,0.54432710,0.03609736,0.96632190,0.55531320,0.03786492,0.98983740,0.56717800,0.01661937,0.88090500,0.52758750,0.01793299,0.91939920,0.55152660,0.00790013,0.94744390,0.55817440,0.00222551,0.96389040,0.56839430,0.12380970,0.92357610,0.55756810,0.11286440,0.99880960,0.56423460,0.07594294,1.01997800,0.57082270,0.03953451,1.01260400,0.57527270,-0.00275400,0.98329190,0.57703090,4,1
0.02725662,0.85144380,0.49966950,0.02725662,0.85144380,0.49966950,0.02725662,0.85144380,0.49966950,0.04474296,0.86232140,0.51429380,0.06814259,0.86977710,0.51682600,0.09535640,0.88554400,0.52417620,0.11125410,0.90848230,0.54283320,0.07650453,0.92871330,0.53570510,0.09353884,0.96021060,0.54742490,0.10442460,0.97985590,0.55628350,0.05504311,0.93397670,0.53779750,0.06521036,0.97241310,0.55321850,0.07193553,0.99630710,0.56474520,0.03599961,0.92919240,0.54422460,0.03619182,0.96634920,0.55518200,0.03791685,0.98996230,0.56685760,0.01673049,0.88088530,0.52755730,0.01804930,0.91938870,0.55148150,0.00813062,0.94747730,0.55811460,0.00252418,0.96399350,0.56825970,0.12363930,0.92346400,0.55767930,0.11284200,0.99904920,0.56372950,0.07586508,1.02016900,0.57036690,0.03953589,1.01279600,0.57476950,-0.00241181,0.98346820,0.57675520,4,1
0.02732649,0.85144160,0.49960650,0.02732649,0.85144160,0.49960650,0.02732649,0.85144160,0.49960650,0.04484368,0.86235850,0.51416440,0.06822874,0.86986740,0.51667410,0.09540679,0.88571610,0.52398050,0.11126320,0.90871200,0.54260160,0.07654591,0.92882070,0.53544530,0.09355930,0.96032310,0.54718150,0.10443440,0.97997340,0.55604210,0.05508145,0.93404010,0.53761510,0.06524286,0.97248040,0.55303040,0.07195988,0.99639940,0.56450980,0.03607155,0.92921780,0.54411290,0.03628298,0.96635570,0.55513410,0.03801825,0.98997590,0.56679360,0.01684158,0.88086730,0.52752640,0.01816825,0.91937850,0.55143760,0.00833229,0.94749650,0.55806980,0.00280559,0.96404790,0.56820110,0.12368330,0.92372950,0.55738220,0.11284110,0.99916430,0.56350660,0.07585622,1.02027700,0.57008760,0.03963385,1.01281500,0.57469030,-0.00206459,0.98355750,0.57665440,4,1
0.02760383,0.85116380,0.49946310,0.02760383,0.85116380,0.49946310,0.02760383,0.85116380,0.49946310,0.04516925,0.86219700,0.51387450,0.06853017,0.86981880,0.51626560,0.09566041,0.88582630,0.52340160,0.11147430,0.90895940,0.54188840,0.07671990,0.92885510,0.53476430,0.09367488,0.96043370,0.54637970,0.10451960,0.98014030,0.55515200,0.05524761,0.93398640,0.53706280,0.06535856,0.97249530,0.55233930,0.07204507,0.99648490,0.56368880,0.03630269,0.92909870,0.54370010,0.03648130,0.96624710,0.55468630,0.03820337,0.98991330,0.56625440,0.01717553,0.88061950,0.52737260,0.01849188,0.91920130,0.55117030,0.00869149,0.94734170,0.55775980,0.00323358,0.96394150,0.56784920,0.12392680,0.92407730,0.55653890,0.11289220,0.99937120,0.56255150,0.07586913,1.02040100,0.56915100,0.03978296,1.01278600,0.57406320,-0.00159510,0.98349670,0.57622060,4,1
0.02785891,0.85091270,0.49932000,0.02785891,0.85091270,0.49932000,0.02785891,0.85091270,0.49932000,0.04547328,0.86205850,0.51358430,0.06880988,0.86979220,0.51585010,0.09589410,0.88595380,0.52281160,0.11166490,0.90921670,0.54117190,0.07687148,0.92890570,0.53409580,0.09376914,0.96055900,0.54559080,0.10458390,0.98032220,0.55427240,0.05539293,0.93394850,0.53652810,0.06545349,0.97252380,0.55166990,0.07210930,0.99658140,0.56289260,0.03651535,0.92899410,0.54330640,0.03666310,0.96615120,0.55426380,0.03837050,0.98986370,0.56573890,0.01749121,0.88039120,0.52722800,0.01879958,0.91903700,0.55092200,0.00903421,0.94719790,0.55747630,0.00364425,0.96384390,0.56752590,0.12414350,0.92443010,0.55570080,0.11292210,0.99959420,0.56160370,0.07586067,1.02053400,0.56824480,0.03991220,1.01276900,0.57345830,-0.00114533,0.98344290,0.57581700,4,1
0.02809657,0.85068260,0.49917710,0.02809657,0.85068260,0.49917710,0.02809657,0.85068260,0.49917710,0.04576011,0.86193810,0.51329370,0.06907696,0.86977980,0.51538490,0.09606565,0.88625060,0.52198330,0.11184330,0.90976670,0.54001220,0.07700443,0.92896910,0.53343690,0.09383117,0.96071700,0.54477410,0.10460210,0.98056440,0.55331720,0.05552123,0.93392290,0.53600720,0.06546901,0.97263090,0.55088220,0.07205509,0.99680410,0.56189580,0.03671319,0.92890080,0.54292740,0.03682465,0.96605970,0.55387920,0.03850078,0.98982430,0.56525060,0.01779272,0.88017840,0.52709040,0.01909483,0.91888330,0.55068830,0.00924457,0.94701300,0.55724920,0.00379594,0.96369000,0.56721530,0.12437700,0.92517750,0.55428330,0.11288280,0.99991450,0.56050620,0.07569365,1.02081500,0.56705890,0.03998917,1.01276600,0.57287090,-0.00108064,0.98331380,0.57539640,4,1
0.02809918,0.85040730,0.49929260,0.02809918,0.85040730,0.49929260,0.02809918,0.85040730,0.49929260,0.04579028,0.86171910,0.51332940,0.06910025,0.86960360,0.51533500,0.09601457,0.88629170,0.52168630,0.11178690,0.90999990,0.53946650,0.07699001,0.92884030,0.53324020,0.09379239,0.96063140,0.54449190,0.10454290,0.98052900,0.55294350,0.05550721,0.93376390,0.53587120,0.06539614,0.97256710,0.55053600,0.07193927,0.99682960,0.56137730,0.03673021,0.92872440,0.54286280,0.03686914,0.96588230,0.55381760,0.03853768,0.98969120,0.56509720,0.01783822,0.87994030,0.52718240,0.01915387,0.91869310,0.55070080,0.00928342,0.94682120,0.55723800,0.00379527,0.96354220,0.56710850,0.12435560,0.92556010,0.55354350,0.11279330,0.99993010,0.56002910,0.07551354,1.02088500,0.56637840,0.04000790,1.01266300,0.57262910,-0.00113512,0.98320260,0.57516820,4,1
0.02810913,0.85014990,0.49938710,0.02810913,0.85014990,0.49938710,0.02810913,0.85014990,0.49938710,0.04583037,0.86152080,0.51333790,0.06913186,0.86945350,0.51524970,0.09597047,0.88635510,0.52135220,0.11173200,0.91024920,0.53889150,0.07697600,0.92873730,0.53301070,0.09375130,0.96057390,0.54417410,0.10448010,0.98052240,0.55253240,0.05549375,0.93362500,0.53571190,0.06532151,0.97252060,0.55017170,0.07182050,0.99686990,0.56084380,0.03675223,0.92856300,0.54278190,0.03691478,0.96571930,0.55374160,0.03857419,0.98957210,0.56492950,0.01789507,0.87971470,0.52726050,0.01922393,0.91851290,0.55070300,0.00933613,0.94663930,0.55722150,0.00381459,0.96340220,0.56700180,0.12433070,0.92595430,0.55277940,0.11269850,0.99997440,0.55951510,0.07532741,1.02096700,0.56568790,0.04002340,1.01257400,0.57237360,-0.00116533,0.98309790,0.57494430,4,1
0.02812487,0.84990690,0.49946500,0.02812487,0.84990690,0.49946500,0.02812487,0.84990690,0.49946500,0.04587805,0.86133910,0.51332490,0.06918290,0.86931420,0.51500520,0.09600511,0.88636740,0.52074720,0.11172980,0.91039290,0.53813940,0.07696179,0.92865450,0.53275560,0.09364128,0.96060480,0.54373610,0.10430540,0.98065220,0.55193920,0.05548036,0.93350230,0.53553450,0.06515559,0.97249130,0.54984490,0.07157038,0.99689530,0.56044260,0.03677793,0.92841360,0.54268840,0.03678269,0.96557420,0.55363480,0.03833327,0.98945650,0.56477500,0.01796080,0.87949900,0.52732760,0.01930251,0.91834080,0.55069710,0.00939579,0.94646380,0.55720190,0.00385461,0.96325830,0.56691670,0.12431690,0.92620400,0.55191730,0.11244560,1.00019700,0.55875120,0.07497689,1.02102000,0.56522090,0.03967051,1.01248000,0.57217350,-0.00115858,0.98297860,0.57477660,4,1
0.02789903,0.84983690,0.49954490,0.02789903,0.84983690,0.49954490,0.02789903,0.84983690,0.49954490,0.04566857,0.86124890,0.51340030,0.06899602,0.86918200,0.51496200,0.09583321,0.88628420,0.52048390,0.11153740,0.91036190,0.53782240,0.07684991,0.92852710,0.53280380,0.09350698,0.96051200,0.54371730,0.10414690,0.98060530,0.55183920,0.05537551,0.93340720,0.53558020,0.06498497,0.97243430,0.54983100,0.07136192,0.99685760,0.56040710,0.03666554,0.92834880,0.54273580,0.03661741,0.96549870,0.55371840,0.03810788,0.98939230,0.56484270,0.01777752,0.87945530,0.52739500,0.01917533,0.91830480,0.55074830,0.00932656,0.94645210,0.55723580,0.00378816,0.96328590,0.56688400,0.12411560,0.92621540,0.55155960,0.11225340,1.00020100,0.55854420,0.07473646,1.02099200,0.56516060,0.03939301,1.01242400,0.57222550,-0.00121866,0.98303930,0.57466450,4,1
0.02769776,0.84976210,0.49961300,0.02769776,0.84976210,0.49961300,0.02769776,0.84976210,0.49961300,0.04548655,0.86116280,0.51345310,0.06883252,0.86906500,0.51488980,0.09567656,0.88622810,0.52018470,0.11136090,0.91036520,0.53745850,0.07674631,0.92841890,0.53280690,0.09337656,0.96044270,0.54364710,0.10399020,0.98058410,0.55168380,0.05527840,0.93332200,0.53559320,0.06481870,0.97239080,0.54977570,0.07115570,0.99683770,0.56032120,0.03656740,0.92828570,0.54276170,0.03646703,0.96542540,0.55377840,0.03789901,0.98933300,0.56488010,0.01762167,0.87940390,0.52745480,0.01907163,0.91826310,0.55078890,0.00927420,0.94643150,0.55726230,0.00373840,0.96330310,0.56684570,0.12393280,0.92626660,0.55114600,0.11206070,1.00023200,0.55828050,0.07449254,1.02098300,0.56504300,0.03913126,1.01237400,0.57224120,-0.00126494,0.98308840,0.57454700,4,1
0.02751583,0.84968350,0.49967210,0.02751583,0.84968350,0.49967210,0.02751583,0.84968350,0.49967210,0.04532610,0.86107990,0.51348810,0.06867939,0.86896690,0.51488830,0.09554694,0.88610490,0.52014530,0.11111190,0.91022870,0.53754520,0.07664932,0.92832570,0.53277510,0.09326973,0.96039080,0.54350760,0.10394070,0.98043390,0.55171240,0.05518744,0.93324420,0.53558050,0.06474395,0.97229950,0.54978940,0.07110424,0.99671640,0.56039020,0.03648045,0.92822380,0.54277070,0.03646267,0.96535370,0.55382070,0.03785244,0.98935180,0.56473110,0.01748735,0.87934640,0.52750860,0.01898632,0.91821680,0.55082090,0.00922608,0.94640020,0.55728560,0.00366749,0.96331700,0.56677560,0.12351510,0.92613090,0.55138480,0.11209180,0.99996970,0.55853830,0.07446225,1.02084800,0.56516720,0.03904361,1.01245400,0.57190780,-0.00135837,0.98313840,0.57436860,4,1
