RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.03106046,0.85611330,0.52379180,-0.03106046,0.85611330,0.52379180,-0.03106046,0.85611330,0.52379180,-0.01713514,0.86877370,0.54046430,0.00579973,0.87673520,0.54428660,0.03161312,0.89459250,0.55125220,0.04151526,0.92007600,0.57046910,0.00858342,0.93751220,0.56132850,0.02339646,0.96958160,0.57393130,0.03258169,0.98986730,0.58297230,-0.01282416,0.94222250,0.55854880,-0.00608811,0.98236070,0.57061430,-0.00200105,1.00815900,0.57835690,-0.03262194,0.93744580,0.56141330,-0.03566602,0.97520910,0.56860810,-0.03768854,1.00069700,0.57467510,-0.04737137,0.88745730,0.54594780,-0.05145612,0.92780570,0.56577850,-0.06262603,0.95599930,0.56758220,-0.07134257,0.97390550,0.57019480,0.05306600,0.93664120,0.58407020,0.03961020,1.00965500,0.58998740,0.00066482,1.03256700,0.58118430,-0.03890512,1.02462400,0.57738190,-0.07838399,0.99411830,0.57384700,4,3
-0.02922260,0.85556150,0.52389430,-0.02922260,0.85556150,0.52389430,-0.02922260,0.85556150,0.52389430,-0.01523264,0.86817740,0.54054620,0.00768549,0.87620410,0.54433240,0.03351226,0.89398280,0.55144810,0.04337024,0.91929420,0.57091340,0.01039230,0.93688680,0.56162040,0.02513881,0.96896920,0.57426800,0.03428888,0.98925550,0.58334330,-0.01104803,0.94154090,0.55900310,-0.00442787,0.98168400,0.57111620,-0.00041598,1.00748700,0.57888360,-0.03081123,0.93668270,0.56196790,-0.03396068,0.97439560,0.56937870,-0.03605358,0.99985150,0.57555650,-0.04549454,0.88673020,0.54632450,-0.04958522,0.92695640,0.56640050,-0.06089397,0.95507890,0.56843380,-0.06969364,0.97292360,0.57118550,0.05487377,0.93574330,0.58469430,0.04127192,1.00904300,0.59040660,0.00215352,1.03189900,0.58176170,-0.03735445,1.02376200,0.57836020,-0.07682107,0.99307600,0.57500090,4,3
-0.02742725,0.85502560,0.52401360,-0.02742725,0.85502560,0.52401360,-0.02742725,0.85502560,0.52401360,-0.01337071,0.86759870,0.54064200,0.00953220,0.87568680,0.54438930,0.03537463,0.89338730,0.55164180,0.04519757,0.91853090,0.57134090,0.01217376,0.93627770,0.56191190,0.02685577,0.96837440,0.57459830,0.03597197,0.98866220,0.58370410,-0.00929727,0.94087770,0.55945560,-0.00278580,0.98102520,0.57161300,0.00115549,1.00683200,0.57940340,-0.02902588,0.93594190,0.56252070,-0.03227520,0.97360470,0.57014020,-0.03443510,0.99902870,0.57642500,-0.04365284,0.88602550,0.54670980,-0.04774076,0.92613350,0.56702180,-0.05917827,0.95418670,0.56927850,-0.06805529,0.97197210,0.57216230,0.05666061,0.93486610,0.58529000,0.04291115,1.00844900,0.59081260,0.00363339,1.03124800,0.58233030,-0.03581706,1.02292400,0.57932200,-0.07526244,0.99206640,0.57613180,4,3
-0.02566313,0.85450150,0.52414660,-0.02566313,0.85450150,0.52414660,-0.02566313,0.85450150,0.52414660,-0.01153844,0.86703280,0.54074880,0.01133420,0.87518980,0.54453150,0.03718146,0.89277320,0.55204680,0.04692853,0.91772280,0.57202830,0.01393596,0.93568040,0.56220350,0.02861024,0.96776170,0.57493750,0.03772910,0.98803030,0.58408370,-0.00756394,0.94022790,0.55990710,-0.00111952,0.98034690,0.57219360,0.00278608,1.00611000,0.58014530,-0.02725777,0.93521710,0.56307260,-0.03042211,0.97284840,0.57088150,-0.03251976,0.99825100,0.57727310,-0.04183615,0.88533740,0.54710240,-0.04591420,0.92532970,0.56764290,-0.05740020,0.95334530,0.57011120,-0.06628686,0.97109230,0.57319490,0.05839039,0.93390480,0.58615580,0.04465940,1.00780100,0.59124550,0.00521674,1.03050200,0.58330100,-0.03386751,1.02213700,0.58026330,-0.07348415,0.99113520,0.57743280,4,3
-0.02442413,0.85435860,0.52407970,-0.02442413,0.85435860,0.52407970,-0.02442413,0.85435860,0.52407970,-0.01023871,0.86689560,0.54062560,0.01261343,0.87509350,0.54444390,0.03848429,0.89254700,0.55217750,0.04817035,0.91737500,0.57233920,0.01525648,0.93555870,0.56200610,0.02995395,0.96765690,0.57467040,0.03909301,0.98793180,0.58378230,-0.00625850,0.94008390,0.55980910,0.00017004,0.98021850,0.57205240,0.00407310,1.00596800,0.58004920,-0.02593239,0.93504950,0.56306010,-0.02897215,0.97268780,0.57088450,-0.03098349,0.99810020,0.57726500,-0.04052764,0.88516310,0.54712610,-0.04455721,0.92513890,0.56770840,-0.05604614,0.95314750,0.57024170,-0.06491756,0.97088530,0.57342070,0.05963474,0.93344780,0.58658880,0.04603507,1.00770600,0.59092140,0.00649604,1.03034600,0.58331780,-0.03226826,1.02199100,0.58023870,-0.07207850,0.99090840,0.57781090,4,3
-0.02316447,0.85419260,0.52403840,-0.02316447,0.85419260,0.52403840,-0.02316447,0.85419260,0.52403840,-0.00891692,0.86673210,0.54052900,0.01391576,0.87497040,0.54437630,0.03980865,0.89229800,0.55231670,0.04943775,0.91700270,0.57265640,0.01659700,0.93540660,0.56185030,0.03131268,0.96752170,0.57445070,0.04046903,0.98780260,0.58353160,-0.00493326,0.93990830,0.55975740,0.00147639,0.98005710,0.57196430,0.00537531,1.00579300,0.58000680,-0.02458590,0.93484810,0.56309550,-0.02751414,0.97248980,0.57094600,-0.02944827,0.99790910,0.57732260,-0.03919666,0.88495830,0.54718630,-0.04317727,0.92491150,0.56782180,-0.05467318,0.95291040,0.57043010,-0.06353242,0.97063680,0.57370510,0.06090476,0.93296650,0.58702580,0.04741988,1.00758100,0.59065200,0.00778831,1.03015700,0.58338630,-0.03067876,1.02180400,0.58028650,-0.07066049,0.99063820,0.57824530,4,3
-0.02188825,0.85400870,0.52401750,-0.02188825,0.85400870,0.52401750,-0.02188825,0.85400870,0.52401750,-0.00757752,0.86654790,0.54045340,0.01524679,0.87482030,0.54427740,0.04117941,0.89202450,0.55235510,0.05083104,0.91660770,0.57283090,0.01795355,0.93523070,0.56172720,0.03267214,0.96736570,0.57427350,0.04183652,0.98765020,0.58333850,-0.00359197,0.93970820,0.55974200,0.00273066,0.97988930,0.57188760,0.00657851,1.00563400,0.57992540,-0.02322221,0.93462010,0.56316850,-0.02618479,0.97224780,0.57107300,-0.02814544,0.99766520,0.57744910,-0.03784748,0.88472950,0.54727500,-0.04177857,0.92465560,0.56797270,-0.05318596,0.95268390,0.57065160,-0.06195990,0.97042700,0.57406290,0.06241855,0.93244960,0.58723860,0.04878976,1.00742100,0.59047510,0.00893545,1.02999700,0.58335140,-0.02941424,1.02155900,0.58040830,-0.06896465,0.99042420,0.57880920,4,3
-0.01988702,0.85398470,0.52486800,-0.01988702,0.85398470,0.52486800,-0.01988702,0.85398470,0.52486800,-0.00556484,0.86654060,0.54128120,0.01725295,0.87479850,0.54517450,0.04322602,0.89183940,0.55346570,0.05285363,0.91634630,0.57404410,0.02005853,0.93523440,0.56240800,0.03480070,0.96739250,0.57486710,0.04398026,0.98768710,0.58389400,-0.00147949,0.93973910,0.56040310,0.00480622,0.97997500,0.57238590,0.00863398,1.00574500,0.58035330,-0.02111870,0.93468800,0.56383280,-0.02404794,0.97233690,0.57164750,-0.02599462,0.99777940,0.57792750,-0.03581084,0.88478260,0.54804780,-0.03969183,0.92476190,0.56865180,-0.05095739,0.95285530,0.57124750,-0.05962219,0.97064750,0.57468260,0.06451865,0.93208580,0.58850140,0.05095163,1.00745800,0.59101330,0.01098591,1.03011100,0.58375700,-0.02724814,1.02168500,0.58079480,-0.06648176,0.99067290,0.57952040,4,3
-0.01793487,0.85393490,0.52565910,-0.01793487,0.85393490,0.52565910,-0.01793487,0.85393490,0.52565910,-0.00359569,0.86650400,0.54204740,0.01921474,0.87475280,0.54600290,0.04522388,0.89163510,0.55450250,0.05482607,0.91605970,0.57519040,0.02211235,0.93520610,0.56304400,0.03687536,0.96738600,0.57542160,0.04606897,0.98768970,0.58441350,0.00057948,0.93973280,0.56103340,0.00682665,0.98001840,0.57286830,0.01063347,1.00581000,0.58077560,-0.01906534,0.93471150,0.56447470,-0.02196288,0.97237780,0.57221760,-0.02389588,0.99784170,0.57841410,-0.03381904,0.88479450,0.54878390,-0.03764972,0.92481650,0.56931440,-0.04878403,0.95296810,0.57184590,-0.05734619,0.97080370,0.57531300,0.06656431,0.93169400,0.58970240,0.05305628,1.00746000,0.59151880,0.01297713,1.03017900,0.58416760,-0.02513628,1.02175800,0.58120080,-0.06406769,0.99085210,0.58024880,4,3
-0.01602256,0.85386460,0.52640310,-0.01602256,0.85386460,0.52640310,-0.01602256,0.85386460,0.52640310,-0.00166206,0.86644410,0.54276470,0.02111296,0.87470440,0.54689630,0.04706257,0.89155860,0.55563060,0.05675282,0.91600570,0.57625060,0.02412454,0.93515250,0.56364430,0.03895091,0.96731790,0.57598380,0.04818514,0.98761450,0.58495020,0.00259498,0.93969720,0.56163890,0.00885630,0.98002510,0.57332100,0.01267415,1.00584000,0.58114670,-0.01705280,0.93470010,0.56509860,-0.01999653,0.97237240,0.57279500,-0.02196579,0.99784620,0.57893920,-0.03186383,0.88477420,0.54949050,-0.03564413,0.92483060,0.56996330,-0.04684998,0.95295590,0.57247070,-0.05544981,0.97076840,0.57596280,0.06876452,0.93157360,0.59060940,0.05520996,1.00738400,0.59202220,0.01503177,1.03021400,0.58449040,-0.02323895,1.02176600,0.58167540,-0.06219187,0.99078240,0.58100900,4,3
