RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.03942917,0.78813990,0.48851730,0.03942917,0.78813990,0.48851730,0.03942917,0.78813990,0.48851730,0.02835437,0.81003460,0.48302710,0.00788219,0.82158050,0.49020950,-0.01443136,0.84311860,0.49869180,-0.02616921,0.87433310,0.50084220,0.02079502,0.88324700,0.50314030,0.01177015,0.91819540,0.51333180,0.00578362,0.94116510,0.51709580,0.04281560,0.88149810,0.50362340,0.04444643,0.92255570,0.51428300,0.04527295,0.94935550,0.51910990,0.06035464,0.87504440,0.49503800,0.06932876,0.91096380,0.50582500,0.07544027,0.93558110,0.51269430,0.06207336,0.82243820,0.48142880,0.07555630,0.86549170,0.48302270,0.09154203,0.89094170,0.48745580,0.10359510,0.90679820,0.49005000,-0.04274903,0.89140280,0.50599480,0.00170538,0.96264480,0.52058540,0.04768226,0.97243920,0.52760550,0.08047619,0.95771740,0.52081250,0.11550340,0.92398320,0.49591090,4,4
0.04003943,0.78938560,0.48926180,0.04003943,0.78938560,0.48926180,0.04003943,0.78938560,0.48926180,0.02885699,0.81120650,0.48369660,0.00834459,0.82270710,0.49083660,-0.01403842,0.84420190,0.49924570,-0.02568214,0.87547260,0.50106440,0.02099295,0.88446700,0.50351550,0.01178923,0.91942290,0.51351950,0.00569206,0.94237510,0.51721260,0.04302195,0.88282040,0.50397360,0.04442087,0.92384580,0.51478910,0.04511557,0.95061310,0.51981320,0.06057781,0.87641090,0.49538960,0.06945208,0.91234730,0.50620260,0.07551059,0.93696000,0.51313460,0.06251674,0.82375680,0.48199730,0.07580551,0.86687740,0.48339200,0.09186339,0.89223190,0.48810290,0.10396270,0.90802160,0.49088300,-0.04220324,0.89266100,0.50600690,0.00151181,0.96384500,0.52064060,0.04741808,0.97364370,0.52848090,0.08050233,0.95908280,0.52131670,0.11590400,0.92511520,0.49694030,4,4
0.04064012,0.79058910,0.48999020,0.04064012,0.79058910,0.48999020,0.04064012,0.79058910,0.48999020,0.02935019,0.81233750,0.48435850,0.00881902,0.82395950,0.49124370,-0.01341384,0.84564760,0.49955400,-0.02482780,0.87700870,0.50126990,0.02119450,0.88564070,0.50390010,0.01181229,0.92056510,0.51384790,0.00561396,0.94347660,0.51762470,0.04323144,0.88409420,0.50432460,0.04437272,0.92498600,0.51566390,0.04493023,0.95166060,0.52117450,0.06080024,0.87772900,0.49573410,0.06941708,0.91373360,0.50652860,0.07524146,0.93845090,0.51328700,0.06295037,0.82503100,0.48254800,0.07604870,0.86821590,0.48374680,0.09202231,0.89357230,0.48872550,0.10407000,0.90936930,0.49168270,-0.04120903,0.89435610,0.50612190,0.00134167,0.96491470,0.52113790,0.04710581,0.97456290,0.53020730,0.07999178,0.96071800,0.52121730,0.11594170,0.92644410,0.49792740,4,4
0.04022833,0.79141540,0.49063190,0.04022833,0.79141540,0.49063190,0.04022833,0.79141540,0.49063190,0.02904565,0.81314320,0.48471420,0.00856486,0.82508610,0.49118790,-0.01340070,0.84718120,0.49912880,-0.02436711,0.87872110,0.50043980,0.02113994,0.88670250,0.50337640,0.01183622,0.92175290,0.51294760,0.00571756,0.94470710,0.51659270,0.04316892,0.88506980,0.50388350,0.04435422,0.92590830,0.51540880,0.04497841,0.95252670,0.52117790,0.06073567,0.87853210,0.49541930,0.06936669,0.91460980,0.50595490,0.07515030,0.93942410,0.51238500,0.06270364,0.82567540,0.48285440,0.07597876,0.86881670,0.48358840,0.09207107,0.89407070,0.48870370,0.10419400,0.90978990,0.49176590,-0.04050416,0.89637700,0.50498750,0.00152228,0.96617810,0.51999560,0.04718335,0.97535440,0.53039040,0.07982680,0.96184090,0.51992810,0.11611940,0.92678870,0.49811440,4,4
0.03989728,0.79225460,0.49127700,0.03989728,0.79225460,0.49127700,0.03989728,0.79225460,0.49127700,0.02880265,0.81395470,0.48509780,0.00837194,0.82617660,0.49119820,-0.01335336,0.84862640,0.49879780,-0.02391956,0.88031600,0.49972870,0.02110975,0.88773990,0.50293900,0.01186817,0.92290040,0.51216010,0.00581558,0.94589040,0.51568780,0.04313179,0.88603740,0.50351310,0.04433831,0.92681940,0.51523420,0.04501126,0.95337880,0.52126430,0.06069446,0.87934760,0.49516000,0.06932763,0.91549430,0.50545470,0.07506531,0.94039720,0.51157580,0.06250769,0.82635050,0.48317660,0.07592992,0.86945150,0.48346980,0.09212923,0.89460830,0.48872440,0.10431980,0.91025430,0.49189130,-0.03983331,0.89824370,0.50399150,0.00168437,0.96738930,0.51899220,0.04723407,0.97613040,0.53065900,0.07966660,0.96294930,0.51875290,0.11629300,0.92718010,0.49834420,4,4
0.03962996,0.79310360,0.49192450,0.03962996,0.79310360,0.49192450,0.03962996,0.79310360,0.49192450,0.02860820,0.81477050,0.48550290,0.00823217,0.82726590,0.49122010,-0.01324410,0.85006520,0.49847920,-0.02347368,0.88187240,0.49911650,0.02109835,0.88875760,0.50256910,0.01187406,0.92398510,0.51154890,0.00584988,0.94699390,0.51500140,0.04311441,0.88699810,0.50319790,0.04438313,0.92776660,0.51495950,0.04512959,0.95428730,0.52114860,0.06067156,0.88017200,0.49494400,0.06954667,0.91634490,0.50493660,0.07547131,0.94124150,0.51090370,0.06235196,0.82704920,0.48351100,0.07589784,0.87011220,0.48338230,0.09193240,0.89554050,0.48776290,0.10398070,0.91141610,0.49026110,-0.03918790,0.90003000,0.50313900,0.00174685,0.96850780,0.51824250,0.04738253,0.97701310,0.53059830,0.08023178,0.96381120,0.51791990,0.11583280,0.92868490,0.49598780,4,4
0.03910704,0.79367950,0.49197650,0.03910704,0.79367950,0.49197650,0.03910704,0.79367950,0.49197650,0.02827914,0.81538060,0.48534410,0.00796900,0.82818310,0.49059750,-0.01323124,0.85135710,0.49747160,-0.02301863,0.88330670,0.49789180,0.02109153,0.88950420,0.50195060,0.01194641,0.92478800,0.51078930,0.00600749,0.94782030,0.51423290,0.04308970,0.88760940,0.50278030,0.04447174,0.92830030,0.51479520,0.04533311,0.95474710,0.52127870,0.06067405,0.88062860,0.49471590,0.06983043,0.91674600,0.50465530,0.07597104,0.94158880,0.51062800,0.06211617,0.82743550,0.48358070,0.07593580,0.87041100,0.48334080,0.09191020,0.89595590,0.48723580,0.10388410,0.91194560,0.48933140,-0.03849697,0.90172280,0.50164480,0.00198558,0.96934800,0.51748380,0.04762443,0.97739080,0.53091440,0.08090530,0.96412840,0.51762070,0.11565910,0.92940960,0.49460790,4,4
0.03864871,0.79428470,0.49207930,0.03864871,0.79428470,0.49207930,0.03864871,0.79428470,0.49207930,0.02799517,0.81601020,0.48524730,0.00775782,0.82909840,0.49005900,-0.01316919,0.85262170,0.49657430,-0.02253249,0.88470020,0.49678940,0.02110021,0.89026170,0.50140010,0.01202179,0.92559700,0.51010080,0.00615659,0.94864920,0.51353820,0.04308027,0.88824770,0.50240960,0.04455073,0.92886090,0.51467420,0.04550671,0.95523170,0.52144800,0.06068622,0.88112470,0.49451860,0.07009829,0.91719200,0.50440100,0.07643311,0.94198690,0.51036970,0.06191249,0.82786490,0.48368020,0.07597676,0.87076010,0.48331650,0.09190868,0.89639170,0.48679360,0.10382080,0.91247000,0.48853370,-0.03777782,0.90335890,0.50028930,0.00220485,0.97018820,0.51679970,0.04782493,0.97779380,0.53126680,0.08152309,0.96450230,0.51732890,0.11553050,0.93009350,0.49340970,4,4
0.03824125,0.79491290,0.49222180,0.03824125,0.79491290,0.49222180,0.03824125,0.79491290,0.49222180,0.02774678,0.81665500,0.48519910,0.00757748,0.82997830,0.48963680,-0.01303452,0.85382180,0.49599020,-0.02204676,0.88600060,0.49621930,0.02112145,0.89102730,0.50090300,0.01206074,0.92639290,0.50949850,0.00625369,0.94943930,0.51307040,0.04308338,0.88890680,0.50207570,0.04456999,0.92961950,0.51400410,0.04556506,0.95601890,0.52065960,0.06070665,0.88165150,0.49434550,0.07009239,0.91783570,0.50381710,0.07642742,0.94268700,0.50954630,0.06173450,0.82832810,0.48380340,0.07602085,0.87114850,0.48330590,0.09189729,0.89690430,0.48603960,0.10373540,0.91308880,0.48720620,-0.03710178,0.90482060,0.49967940,0.00236946,0.97095970,0.51652990,0.04787663,0.97863820,0.53034780,0.08150642,0.96527400,0.51627800,0.11537970,0.93092140,0.49143520,4,4
0.03826118,0.79541680,0.49261860,0.03826118,0.79541680,0.49261860,0.03826118,0.79541680,0.49261860,0.02794218,0.81716820,0.48536830,0.00782034,0.83070650,0.48934710,-0.01252343,0.85484410,0.49544960,-0.02120719,0.88711320,0.49565290,0.02146699,0.89164740,0.50062160,0.01236476,0.92703560,0.50907870,0.00658127,0.95007200,0.51275230,0.04340477,0.88943780,0.50205310,0.04483645,0.93022290,0.51373820,0.04582742,0.95663640,0.52033790,0.06108204,0.88206680,0.49455920,0.07039779,0.91835200,0.50370820,0.07670441,0.94325200,0.50925450,0.06199443,0.82868670,0.48429800,0.07647346,0.87144160,0.48374630,0.09226450,0.89731100,0.48582250,0.10401230,0.91358970,0.48647980,-0.03609786,0.90608370,0.49900060,0.00272975,0.97157050,0.51638050,0.04807839,0.97929280,0.52995320,0.08173900,0.96590240,0.51580380,0.11555980,0.93161310,0.49012510,4,4
