RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.04419653,1.17421100,0.47942780,0.04419653,1.17421100,0.47942780,0.04419653,1.17421100,0.47942780,0.06041865,1.18731600,0.49266990,0.07724253,1.19797200,0.50632590,0.09373248,1.21631700,0.52606050,0.08013938,1.24243100,0.54059740,0.09554771,1.25320600,0.49933440,0.11282270,1.28557500,0.50277050,0.12369650,1.30592800,0.50777910,0.07516347,1.26017300,0.49664790,0.08484623,1.30073900,0.49708700,0.09096338,1.32675400,0.49860700,0.05549105,1.25882100,0.50106160,0.06086563,1.29628500,0.50282340,0.06449018,1.32179000,0.50455030,0.03376885,1.21030900,0.49577610,0.03622900,1.25294100,0.50776550,0.03216116,1.28251000,0.50803640,0.02775242,1.30174500,0.50819690,0.05889735,1.25321900,0.54275440,0.13234370,1.32562800,0.51099670,0.09574311,1.35054500,0.49771510,0.06830087,1.34513800,0.50334780,0.02462075,1.32268800,0.50560860,3,5
0.04439398,1.17438400,0.48333510,0.04439398,1.17438400,0.48333510,0.04439398,1.17438400,0.48333510,0.06057185,1.18755100,0.49656980,0.07740037,1.19824800,0.51018740,0.09381709,1.21651300,0.53005640,0.08013009,1.24257600,0.54459660,0.09560268,1.25350700,0.50310080,0.11311700,1.28577900,0.50621040,0.12414960,1.30610800,0.51096590,0.07521513,1.26043900,0.50035040,0.08507808,1.30096300,0.50063900,0.09130882,1.32695700,0.50205030,0.05553535,1.25907500,0.50472750,0.06083820,1.29656200,0.50619380,0.06440493,1.32209000,0.50768210,0.03388625,1.21052000,0.49954880,0.03626699,1.25319200,0.51141000,0.03211730,1.28274900,0.51163580,0.02766662,1.30197500,0.51180300,0.05885554,1.25332300,0.54664050,0.13294300,1.32578200,0.51393330,0.09619994,1.35072300,0.50109050,0.06815940,1.34543400,0.50623520,0.02449422,1.32291300,0.50922470,3,5
0.04495212,1.17411900,0.48431060,0.04495212,1.17411900,0.48431060,0.04495212,1.17411900,0.48431060,0.06096525,1.18738700,0.49764530,0.07768775,1.19816600,0.51132840,0.09384423,1.21634900,0.53148380,0.07986136,1.24223300,0.54606360,0.09553692,1.25356200,0.50439830,0.11309180,1.28582400,0.50738440,0.12414570,1.30616800,0.51202580,0.07512299,1.26036500,0.50152460,0.08493882,1.30090100,0.50183490,0.09113257,1.32690300,0.50324930,0.05542595,1.25887600,0.50578160,0.06047377,1.29640300,0.50712420,0.06385621,1.32196200,0.50849180,0.03411697,1.21018500,0.50046470,0.03615489,1.25287000,0.51234570,0.03177448,1.28239300,0.51259600,0.02718322,1.30158500,0.51280270,0.05849282,1.25282300,0.54793330,0.13296000,1.32585000,0.51487120,0.09600694,1.35067400,0.50232260,0.06745113,1.34532300,0.50691250,0.02387390,1.32250900,0.51027750,3,5
0.04544667,1.17377300,0.48528550,0.04544667,1.17377300,0.48528550,0.04544667,1.17377300,0.48528550,0.06130725,1.18713200,0.49871060,0.07793414,1.19798700,0.51245090,0.09383878,1.21606600,0.53289740,0.07957358,1.24177000,0.54752130,0.09545697,1.25350600,0.50565950,0.11305490,1.28575500,0.50852890,0.12413210,1.30610900,0.51306810,0.07502060,1.26019100,0.50267060,0.08480179,1.30073500,0.50299270,0.09096721,1.32674400,0.50440540,0.05530877,1.25858800,0.50681620,0.06013144,1.29614800,0.50804600,0.06335056,1.32173500,0.50930020,0.03431208,1.20977500,0.50137850,0.03603600,1.25247000,0.51327130,0.03144227,1.28196100,0.51353630,0.02672059,1.30112100,0.51377350,0.05812008,1.25221700,0.54921720,0.13296950,1.32579700,0.51580460,0.09583187,1.35051800,0.50350890,0.06680472,1.34510800,0.50759700,0.02328406,1.32203000,0.51129090,3,5
0.04587746,1.17339500,0.48621000,0.04587746,1.17339500,0.48621000,0.04587746,1.17339500,0.48621000,0.06160065,1.18683600,0.49971470,0.07812843,1.19776400,0.51351620,0.09401551,1.21615300,0.53369950,0.07975048,1.24193700,0.54818170,0.09537263,1.25338500,0.50683300,0.11303360,1.28560400,0.50965180,0.12414540,1.30595500,0.51412010,0.07491759,1.25996500,0.50373980,0.08460124,1.30053200,0.50401560,0.09069771,1.32656000,0.50537940,0.05519346,1.25826000,0.50778540,0.05991471,1.29583600,0.50894620,0.06306104,1.32143400,0.51014360,0.03447612,1.20934000,0.50224410,0.03591985,1.25204400,0.51414280,0.03115980,1.28150700,0.51455420,0.02634418,1.30064100,0.51493330,0.05828564,1.25234500,0.54996790,0.13301680,1.32563900,0.51676980,0.09551057,1.35034400,0.50445130,0.06646238,1.34481200,0.50839980,0.02281496,1.32155300,0.51261190,3,5
0.04552058,1.17192900,0.48520360,0.04552058,1.17192900,0.48520360,0.04552058,1.17192900,0.48520360,0.06114025,1.18536900,0.49882810,0.07759543,1.19628600,0.51272520,0.09346534,1.21480600,0.53280140,0.07922752,1.24063200,0.54723500,0.09472971,1.25197200,0.50629740,0.11253330,1.28410900,0.50916070,0.12372870,1.30441500,0.51362430,0.07427796,1.25851600,0.50310780,0.08398415,1.29907800,0.50345150,0.09008847,1.32510300,0.50484200,0.05453555,1.25675900,0.50704020,0.05925985,1.29433300,0.50823640,0.06240411,1.31993100,0.50944650,0.03395401,1.20780900,0.50126350,0.03524058,1.25048600,0.51327590,0.03039985,1.27993200,0.51388640,0.02554424,1.29905200,0.51443620,0.05777511,1.25105500,0.54908560,0.13268280,1.32406500,0.51625210,0.09492106,1.34888300,0.50395280,0.06581807,1.34330900,0.50772370,0.02198268,1.31997900,0.51230870,3,5
0.04520443,1.17051900,0.48438330,0.04520443,1.17051900,0.48438330,0.04520443,1.17051900,0.48438330,0.06072346,1.18396400,0.49811850,0.07711035,1.19487200,0.51210210,0.09294564,1.21348900,0.53211640,0.07871536,1.23933800,0.54651700,0.09412955,1.25062200,0.50590730,0.11206890,1.28268100,0.50879990,0.12334450,1.30294500,0.51325210,0.07368072,1.25712900,0.50262460,0.08341104,1.29768400,0.50302380,0.08952476,1.32370600,0.50443380,0.05392180,1.25532100,0.50644960,0.05864532,1.29289500,0.50766960,0.06178475,1.31849300,0.50888260,0.03347648,1.20633900,0.50045960,0.03460801,1.24899300,0.51257040,0.02968289,1.27842100,0.51336050,0.02478390,1.29752500,0.51406630,0.05727148,1.24977000,0.54841200,0.13237780,1.32256200,0.51585310,0.09437817,1.34748400,0.50357940,0.06520768,1.34187000,0.50717030,0.02118570,1.31846300,0.51211680,3,5
0.04493310,1.16924700,0.48371970,0.04493310,1.16924700,0.48371970,0.04493310,1.16924700,0.48371970,0.06036071,1.18269700,0.49755210,0.07670975,1.19359000,0.51159180,0.09262108,1.21241300,0.53135140,0.07852395,1.23836900,0.54568920,0.09359698,1.24940700,0.50561910,0.11158370,1.28142800,0.50863080,0.12287980,1.30167300,0.51311600,0.07315084,1.25588000,0.50225230,0.08292945,1.29642300,0.50269090,0.08906673,1.32244000,0.50408090,0.05337784,1.25402500,0.50598130,0.05797994,1.29161700,0.50710500,0.06103666,1.31722800,0.50826030,0.03305851,1.20501400,0.49980600,0.03404820,1.24764800,0.51199980,0.02924390,1.27709300,0.51289770,0.02442355,1.29621400,0.51367220,0.05714869,1.24890200,0.54779110,0.13193640,1.32127900,0.51572570,0.09394307,1.34621100,0.50317560,0.06440097,1.34061200,0.50652120,0.02091742,1.31717500,0.51180180,3,5
0.04381325,1.16757400,0.48277380,0.04381325,1.16757400,0.48277380,0.04381325,1.16757400,0.48277380,0.05917997,1.18098500,0.49671100,0.07552038,1.19182100,0.51080550,0.09152035,1.21074300,0.53039750,0.07755262,1.23672300,0.54481850,0.09223849,1.24773000,0.50521000,0.11026770,1.27971000,0.50839790,0.12158860,1.29992500,0.51295660,0.07178372,1.25417200,0.50183640,0.08158928,1.29470600,0.50243970,0.08773981,1.32071700,0.50389510,0.05200766,1.25225000,0.50551440,0.05648751,1.28985500,0.50668040,0.05946135,1.31547400,0.50786970,0.03181940,1.20322400,0.49903030,0.03268117,1.24579300,0.51145820,0.02795915,1.27524400,0.51258210,0.02319350,1.29437200,0.51350860,0.05624009,1.24732700,0.54718480,0.13066820,1.31951200,0.51562110,0.09262544,1.34448700,0.50302570,0.06275869,1.33887100,0.50618290,0.01974685,1.31535600,0.51180430,3,5
0.04279443,1.16596000,0.48195400,0.04279443,1.16596000,0.48195400,0.04279443,1.16596000,0.48195400,0.05809822,1.17934000,0.49599110,0.07442719,1.19012500,0.51013760,0.09042601,1.20900500,0.52977140,0.07650080,1.23492600,0.54433920,0.09097797,1.24612000,0.50489180,0.10897280,1.27811100,0.50816400,0.12027110,1.29833600,0.51273720,0.07051533,1.25253000,0.50150460,0.08014164,1.29310500,0.50226040,0.08616577,1.31914600,0.50369190,0.05073586,1.25054300,0.50512920,0.05507903,1.28816000,0.50639720,0.05796098,1.31378600,0.50766650,0.03067943,1.20150200,0.49835920,0.03141186,1.24401100,0.51099840,0.02657456,1.27343600,0.51227650,0.02172826,1.29254000,0.51327750,0.05520512,1.24553500,0.54683180,0.12932600,1.31793700,0.51538580,0.09093338,1.34293900,0.50276940,0.06118200,1.33720000,0.50606160,0.01820103,1.31351800,0.51166030,3,5
