RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.04980112,0.93176840,0.55422070,0.04980112,0.93176840,0.55422070,0.04980112,0.93176840,0.55422070,0.06620755,0.91330360,0.55459250,0.08240145,0.89567470,0.55142280,0.10230310,0.87131300,0.55431030,0.10390670,0.85480520,0.58264670,0.12975660,0.88797950,0.58525450,0.15847860,0.86635900,0.59335020,0.17620480,0.85167310,0.59861370,0.11903320,0.89370390,0.60324110,0.15067640,0.87504890,0.62299610,0.17088960,0.86314770,0.63589070,0.10202810,0.89389200,0.61415460,0.12584060,0.87983950,0.64005920,0.14188490,0.86999320,0.65772960,0.05850228,0.91201750,0.58905290,0.08205517,0.89257510,0.62121740,0.09073868,0.88361070,0.64833080,0.09464882,0.87613920,0.66617290,0.09626573,0.84948420,0.60468240,0.19263320,0.83896880,0.60508700,0.19035780,0.85731360,0.64918050,0.15797530,0.86359200,0.67389300,0.10138910,0.87005320,0.68547750,3,7
0.04945122,0.93128200,0.55391370,0.04945122,0.93128200,0.55391370,0.04945122,0.93128200,0.55391370,0.06616522,0.91309350,0.55419470,0.08258235,0.89567450,0.55101290,0.10284520,0.87161260,0.55390230,0.10485190,0.85520380,0.58227060,0.13028050,0.88882150,0.58452710,0.15932710,0.86763110,0.59260180,0.17734490,0.85331160,0.59788470,0.11955310,0.89435900,0.60256970,0.15173750,0.87660760,0.62228290,0.17230020,0.86529280,0.63515280,0.10260200,0.89425880,0.61356800,0.12678990,0.88069890,0.63938710,0.14309520,0.87118510,0.65700050,0.05865479,0.91166510,0.58869250,0.08268936,0.89260590,0.62072960,0.09129787,0.88369850,0.64788580,0.09518047,0.87627950,0.66575580,0.09752540,0.84968040,0.60436320,0.19403240,0.84095910,0.60437600,0.19197390,0.86008350,0.64839950,0.15937570,0.86511380,0.67310080,0.10186860,0.87027990,0.68510540,3,7
0.04910799,0.93083740,0.55358330,0.04910799,0.93083740,0.55358330,0.04910799,0.93083740,0.55358330,0.06611845,0.91292470,0.55377640,0.08276618,0.89573160,0.55056420,0.10332040,0.87191170,0.55339960,0.10565160,0.85558050,0.58178790,0.13076650,0.88969400,0.58379190,0.16000540,0.86880360,0.59195390,0.17819410,0.85472970,0.59731030,0.12003630,0.89504860,0.60188790,0.15268560,0.87816630,0.62159990,0.17354750,0.86741360,0.63447020,0.10314180,0.89466720,0.61296690,0.12754060,0.88141850,0.63874910,0.14399340,0.87211430,0.65633740,0.05879734,0.91136120,0.58830910,0.08329330,0.89268610,0.62022270,0.09214166,0.88377880,0.64730170,0.09620619,0.87633980,0.66512290,0.09857820,0.84991090,0.60392590,0.19502310,0.84260570,0.60386690,0.19337940,0.86277760,0.64769390,0.16037270,0.86625320,0.67241530,0.10306080,0.87035690,0.68441950,3,7
0.04876821,0.93040710,0.55292220,0.04876821,0.93040710,0.55292220,0.04876821,0.93040710,0.55292220,0.06594262,0.91265060,0.55299570,0.08268112,0.89555680,0.54972610,0.10335550,0.87183140,0.55247880,0.10598710,0.85560990,0.58090360,0.13104340,0.89004590,0.58250610,0.16034170,0.86925010,0.59069690,0.17861510,0.85530190,0.59609370,0.12041310,0.89532350,0.60068360,0.15346090,0.87913250,0.62031140,0.17457980,0.86882750,0.63312860,0.10361390,0.89480070,0.61190090,0.12820920,0.88172940,0.63758680,0.14479780,0.87254490,0.65511020,0.05891867,0.91106060,0.58758870,0.08384433,0.89264700,0.61932110,0.09291454,0.88371180,0.64631740,0.09713694,0.87625070,0.66409250,0.09921505,0.84987240,0.60311830,0.19551660,0.84329720,0.60268320,0.19456990,0.86465720,0.64626900,0.16128410,0.86680190,0.67112120,0.10414810,0.87026250,0.68333110,3,7
0.04843235,0.93000390,0.55227180,0.04843235,0.93000390,0.55227180,0.04843235,0.93000390,0.55227180,0.06577577,0.91241230,0.55222960,0.08261366,0.89542670,0.54890700,0.10341920,0.87180730,0.55158320,0.10634820,0.85569440,0.58004080,0.13131590,0.89046150,0.58125710,0.16068480,0.86977790,0.58947890,0.17904990,0.85596670,0.59491710,0.12077660,0.89565640,0.59951110,0.15420730,0.88016690,0.61905640,0.17557270,0.87031470,0.63182120,0.10407040,0.89498510,0.61085880,0.12886020,0.88210510,0.63645430,0.14558330,0.87304990,0.65391710,0.05903511,0.91079170,0.58687760,0.08438034,0.89265040,0.61843400,0.09364651,0.88369320,0.64535630,0.09801010,0.87621400,0.66308980,0.09987287,0.84988400,0.60232480,0.19602930,0.84409120,0.60154030,0.19570740,0.86661230,0.64488050,0.16217390,0.86743430,0.66986550,0.10515910,0.87022500,0.68227720,3,7
0.04809985,0.92962230,0.55163030,0.04809985,0.92962230,0.55163030,0.04809985,0.92962230,0.55163030,0.06561547,0.91220290,0.55147550,0.08253749,0.89530380,0.54813850,0.10353010,0.87185110,0.55081940,0.10672500,0.85594390,0.57936390,0.13158190,0.89092820,0.58003710,0.16105650,0.87032980,0.58809290,0.17950870,0.85659730,0.59343440,0.12112680,0.89603630,0.59836390,0.15477330,0.88089230,0.61780960,0.17627770,0.87126330,0.63051100,0.10451240,0.89521090,0.60983540,0.12947850,0.88248950,0.63533860,0.14632360,0.87354120,0.65273920,0.05914721,0.91054900,0.58617380,0.08490281,0.89268920,0.61755810,0.09433124,0.88348960,0.64434190,0.09880684,0.87581500,0.66196360,0.10041160,0.85023550,0.60172060,0.19654660,0.84474830,0.59995400,0.19649790,0.86779150,0.64350160,0.16300820,0.86803170,0.66862640,0.10606710,0.86962690,0.68104590,3,7
0.04724506,0.92942330,0.55074670,0.04724506,0.92942330,0.55074670,0.04724506,0.92942330,0.55074670,0.06493309,0.91218010,0.55050150,0.08195045,0.89537580,0.54717030,0.10312370,0.87208900,0.54987560,0.10652390,0.85635670,0.57849320,0.13125510,0.89156740,0.57872310,0.16081960,0.87105610,0.58667090,0.17935050,0.85740660,0.59195230,0.12084380,0.89657120,0.59710360,0.15467050,0.88178330,0.61651050,0.17629050,0.87238360,0.62918730,0.10429760,0.89557990,0.60866020,0.12938640,0.88300080,0.63411360,0.14631710,0.87414830,0.65148010,0.05866018,0.91046260,0.58523260,0.08475423,0.89286240,0.61648360,0.09428190,0.88341620,0.64314620,0.09882878,0.87554650,0.66066320,0.10033570,0.85071210,0.60090110,0.19643670,0.84558980,0.59840370,0.19656780,0.86914740,0.64214970,0.16306170,0.86873520,0.66733720,0.10615570,0.86915960,0.67965440,3,7
0.04643694,0.92922380,0.54988980,0.04643694,0.92922380,0.54988980,0.04643694,0.92922380,0.54988980,0.06429867,0.91216210,0.54955420,0.08141644,0.89545930,0.54622720,0.10277340,0.87234320,0.54895280,0.10638210,0.85678300,0.57763900,0.13097100,0.89222930,0.57743680,0.16063070,0.87181730,0.58528540,0.17924500,0.85826090,0.59051270,0.12060310,0.89712740,0.59587020,0.15461560,0.88271950,0.61523810,0.17635460,0.87356390,0.62789020,0.10412710,0.89596770,0.60751120,0.12934250,0.88354010,0.63291390,0.14636140,0.87478970,0.65024580,0.05822104,0.91038230,0.58431680,0.08465271,0.89305110,0.61543420,0.09428059,0.88337890,0.64197960,0.09890030,0.87532960,0.65939580,0.10032790,0.85118980,0.60009630,0.19638450,0.84648760,0.59690180,0.19668870,0.87057720,0.64082340,0.16316770,0.86947880,0.66607220,0.10629490,0.86876100,0.67829840,3,7
0.04566541,0.92902360,0.54905380,0.04566541,0.92902360,0.54905380,0.04566541,0.92902360,0.54905380,0.06370130,0.91214810,0.54862770,0.08091986,0.89554750,0.54530950,0.10246790,0.87261280,0.54806390,0.10618030,0.85729930,0.57686920,0.13071760,0.89291000,0.57617150,0.16031300,0.87252210,0.58431950,0.17888230,0.85897810,0.58973590,0.12039320,0.89770140,0.59465730,0.15457850,0.88371650,0.61403080,0.17642790,0.87483260,0.62668660,0.10398950,0.89637170,0.60638180,0.12929490,0.88408800,0.63176490,0.14637720,0.87543460,0.64908320,0.05781908,0.91030760,0.58342080,0.08458685,0.89325360,0.61440370,0.09456332,0.88377520,0.64089020,0.09943847,0.87588310,0.65830860,0.10012460,0.85189520,0.59937240,0.19593130,0.84715760,0.59627830,0.19680360,0.87209200,0.63960880,0.16322340,0.87022070,0.66489950,0.10708090,0.86951690,0.67718190,3,7
0.04500017,0.92880540,0.54824050,0.04500017,0.92880540,0.54824050,0.04500017,0.92880540,0.54824050,0.06321072,0.91212510,0.54760920,0.08051160,0.89563070,0.54419110,0.10228040,0.87289290,0.54683950,0.10633600,0.85787420,0.57575370,0.13078350,0.89366390,0.57431220,0.16040210,0.87333810,0.58253070,0.17898730,0.85983510,0.58799490,0.12064870,0.89837800,0.59292240,0.15516420,0.88487200,0.61204890,0.17722640,0.87629570,0.62454660,0.10441400,0.89689300,0.60486160,0.13001850,0.88481260,0.63004160,0.14730670,0.87629660,0.64722310,0.05780113,0.91028620,0.58247890,0.08515215,0.89358040,0.61314050,0.09565539,0.88431330,0.63949780,0.10090200,0.87658660,0.65688240,0.10047270,0.85267880,0.59835680,0.19601620,0.84799860,0.59456040,0.19774530,0.87383850,0.63729800,0.16432140,0.87121700,0.66290200,0.10891780,0.87043040,0.67567030,3,7
