RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.05309290,0.89022980,0.51188550,-0.05309290,0.89022980,0.51188550,-0.05309290,0.89022980,0.51188550,-0.04603381,0.91264140,0.50426010,-0.03749993,0.93072360,0.49072220,-0.03127320,0.95858630,0.47720180,-0.03824401,0.98528440,0.49499650,-0.06934972,0.97952580,0.47970810,-0.08044015,1.01427100,0.47444100,-0.08691294,1.03682100,0.47176300,-0.08234046,0.97721490,0.49694690,-0.09555049,1.01653500,0.49258800,-0.10365770,1.04193300,0.49020710,-0.08492969,0.97221040,0.51635220,-0.10052320,1.00657800,0.51299960,-0.10956770,1.03070200,0.51131310,-0.06664874,0.92408030,0.53057970,-0.08298735,0.96493120,0.53619600,-0.09780141,0.98977020,0.52881530,-0.10337470,1.00848600,0.52596590,-0.04665425,0.98595510,0.51738150,-0.09683821,1.05598300,0.46902580,-0.11536540,1.06294800,0.48689320,-0.11996230,1.05173300,0.50803140,-0.11022700,1.02793500,0.52049620,3,6
-0.05216506,0.89085290,0.50899670,-0.05216506,0.89085290,0.50899670,-0.05216506,0.89085290,0.50899670,-0.04462911,0.91312310,0.50141330,-0.03587837,0.93116550,0.48796100,-0.02929023,0.95905250,0.47466390,-0.03513514,0.98566180,0.49298910,-0.06653316,0.98095170,0.47818750,-0.07660801,1.01614500,0.47396270,-0.08253135,1.03890900,0.47187840,-0.07912339,0.97884540,0.49574680,-0.09119758,1.01860300,0.49212950,-0.09867519,1.04423000,0.49016950,-0.08134533,0.97370730,0.51516260,-0.09593694,1.00854900,0.51221970,-0.10426870,1.03294400,0.51077410,-0.06417349,0.92489010,0.52839660,-0.07909738,0.96615330,0.53487100,-0.09294011,0.99140960,0.52703490,-0.09745835,1.01034400,0.52379080,-0.04296152,0.98622550,0.51558780,-0.09200449,1.05837700,0.46977440,-0.10998440,1.06552700,0.48730730,-0.11409250,1.05428800,0.50776030,-0.10323520,1.03002500,0.51792470,3,6
-0.05133102,0.89142670,0.50643040,-0.05133102,0.89142670,0.50643040,-0.05133102,0.89142670,0.50643040,-0.04332051,0.91354890,0.49890070,-0.03431381,0.93154630,0.48555750,-0.02747905,0.95945520,0.47243190,-0.03236346,0.98595310,0.49119460,-0.06375204,0.98222270,0.47684600,-0.07272246,1.01781000,0.47352380,-0.07800213,1.04077300,0.47197120,-0.07600589,0.98029540,0.49466190,-0.08667150,1.02050800,0.49170860,-0.09328625,1.04639800,0.49014980,-0.07794543,0.97501890,0.51407090,-0.09132859,1.01036100,0.51135800,-0.09871508,1.03506700,0.51005850,-0.06191150,0.92558960,0.52643150,-0.07548183,0.96719560,0.53364800,-0.08827531,0.99281450,0.52522760,-0.09159701,1.01191100,0.52151910,-0.03965058,0.98640030,0.51397540,-0.08693168,1.06054900,0.47042720,-0.10393350,1.06808700,0.48772190,-0.10773040,1.05678800,0.50722270,-0.09612730,1.03177000,0.51517860,3,6
-0.04950636,0.89123470,0.50637670,-0.04950636,0.89123470,0.50637670,-0.04950636,0.89123470,0.50637670,-0.04136660,0.91333290,0.49891540,-0.03244484,0.93141960,0.48563600,-0.02580864,0.95946150,0.47269320,-0.02988150,0.98572370,0.49197390,-0.06133193,0.98262560,0.47842520,-0.06964882,1.01845400,0.47616630,-0.07456762,1.04153100,0.47525160,-0.07308170,0.98063850,0.49657100,-0.08287013,1.02112800,0.49448730,-0.08895617,1.04717400,0.49346490,-0.07452983,0.97511820,0.51595500,-0.08718562,1.01076000,0.51370840,-0.09395723,1.03565400,0.51270040,-0.05893639,0.92527230,0.52715180,-0.07161349,0.96698000,0.53534060,-0.08384138,0.99281970,0.52675600,-0.08631338,1.01199900,0.52281940,-0.03643592,0.98589930,0.51497990,-0.08319345,1.06148300,0.47439270,-0.09921887,1.06910500,0.49162850,-0.10246190,1.05762100,0.51019120,-0.08997702,1.03196700,0.51626110,3,6
-0.04783029,0.89107370,0.50633170,-0.04783029,0.89107370,0.50633170,-0.04783029,0.89107370,0.50633170,-0.03952763,0.91313790,0.49894970,-0.03064055,0.93128670,0.48573190,-0.02413874,0.95943890,0.47296150,-0.02743093,0.98548100,0.49268480,-0.05888575,0.98300970,0.47989340,-0.06649049,1.01904400,0.47862080,-0.07101198,1.04221900,0.47830050,-0.07019297,0.98096580,0.49831200,-0.07906185,1.02169900,0.49700860,-0.08459085,1.04788400,0.49646890,-0.07122886,0.97520860,0.51765350,-0.08313566,1.01112900,0.51579000,-0.08927488,1.03619600,0.51501860,-0.05616445,0.92497430,0.52778820,-0.06794488,0.96676460,0.53684850,-0.07966566,0.99289650,0.52844320,-0.08132569,1.01216500,0.52451630,-0.03332011,0.98541160,0.51587060,-0.07929808,1.06233000,0.47807380,-0.09443351,1.07004400,0.49516430,-0.09724225,1.05839100,0.51277980,-0.08415513,1.03227700,0.51798750,3,6
-0.04627213,0.89093710,0.50629350,-0.04627213,0.89093710,0.50629350,-0.04627213,0.89093710,0.50629350,-0.03778032,0.91295800,0.49899780,-0.02899715,0.93099780,0.48556320,-0.02236243,0.95907650,0.47269980,-0.02453287,0.98509040,0.49261470,-0.05642233,0.98337180,0.48126870,-0.06286772,1.01964800,0.48060410,-0.06663964,1.04295800,0.48066420,-0.06733662,0.98127320,0.49991680,-0.07507306,1.02225200,0.49926850,-0.07985036,1.04858900,0.49915120,-0.06802334,0.97528500,0.51920370,-0.07908395,1.01148600,0.51756420,-0.08427432,1.03677100,0.51695900,-0.05355591,0.92468850,0.52835890,-0.06443930,0.96654280,0.53821060,-0.07540411,0.99311040,0.53015800,-0.07638448,1.01245300,0.52636890,-0.02968966,0.98503220,0.51597440,-0.07424349,1.06333800,0.48087290,-0.08911708,1.07101900,0.49830960,-0.09139282,1.05927200,0.51492400,-0.07860532,1.03269400,0.52000300,3,6
-0.04460536,0.89068480,0.50678940,-0.04460536,0.89068480,0.50678940,-0.04460536,0.89068480,0.50678940,-0.03606151,0.91272320,0.49960820,-0.02739963,0.93069390,0.48600320,-0.02078005,0.95871500,0.47300710,-0.02241491,0.98475610,0.49293760,-0.05448994,0.98337450,0.48261580,-0.06014533,1.01978700,0.48231980,-0.06341462,1.04317100,0.48261120,-0.06526398,0.98117490,0.50133370,-0.07227534,1.02228800,0.50102310,-0.07656619,1.04870900,0.50112670,-0.06582543,0.97502950,0.52057500,-0.07640187,1.01136800,0.51879050,-0.08088197,1.03678700,0.51812520,-0.05154042,0.92428690,0.52919240,-0.06213247,0.96611140,0.53947910,-0.07249909,0.99297240,0.53160990,-0.07288432,1.01235700,0.52793070,-0.02716893,0.98475040,0.51638260,-0.07054968,1.06371600,0.48306210,-0.08546929,1.07129200,0.50050170,-0.08733404,1.05948500,0.51605490,-0.07454282,1.03268800,0.52168310,3,6
-0.04300999,0.89045750,0.50724810,-0.04300999,0.89045750,0.50724810,-0.04300999,0.89045750,0.50724810,-0.03438044,0.91250160,0.50018810,-0.02580930,0.93040440,0.48643690,-0.01917106,0.95837070,0.47333240,-0.02026621,0.98442320,0.49328490,-0.05248661,0.98340870,0.48393060,-0.05733925,1.01993800,0.48400940,-0.06009870,1.04338400,0.48453610,-0.06313349,0.98111870,0.50271020,-0.06938460,1.02235600,0.50273160,-0.07316702,1.04885200,0.50305190,-0.06358942,0.97481440,0.52190300,-0.07364739,1.01129400,0.51999410,-0.07741012,1.03682700,0.51927780,-0.04956286,0.92391180,0.52998480,-0.05981129,0.96571360,0.54070290,-0.06957074,0.99287040,0.53307620,-0.06933893,1.01228500,0.52954590,-0.02463776,0.98445560,0.51680420,-0.06675790,1.06408100,0.48523120,-0.08168361,1.07158900,0.50263910,-0.08318694,1.05970400,0.51717850,-0.07040463,1.03270400,0.52345810,3,6
-0.04147049,0.89024980,0.50768080,-0.04147049,0.89024980,0.50768080,-0.04147049,0.89024980,0.50768080,-0.03272799,0.91228960,0.50074720,-0.02418025,0.93017700,0.48696150,-0.01733566,0.95812390,0.47392210,-0.01792732,0.98409320,0.49400400,-0.05042277,0.98346450,0.48522370,-0.05427770,1.02011300,0.48513910,-0.05628637,1.04363600,0.48559550,-0.06095316,0.98109200,0.50405870,-0.06658638,1.02241700,0.50426010,-0.06992954,1.04897100,0.50470590,-0.06131994,0.97462700,0.52319990,-0.07107736,1.01119300,0.52139500,-0.07429966,1.03680300,0.52077640,-0.04761416,0.92355540,0.53074770,-0.05747641,0.96533810,0.54189420,-0.06717206,0.99271080,0.53499270,-0.06692706,1.01220100,0.53190570,-0.02207091,0.98406690,0.51756450,-0.06223116,1.06455000,0.48625950,-0.07801522,1.07186700,0.50444470,-0.07955770,1.05981400,0.51878380,-0.06802594,1.03275600,0.52629930,3,6
-0.04125449,0.89025630,0.50860580,-0.04125449,0.89025630,0.50860580,-0.04125449,0.89025630,0.50860580,-0.03224482,0.91223380,0.50181810,-0.02352452,0.93003160,0.48802460,-0.01625670,0.95789100,0.47502710,-0.01642335,0.98383100,0.49515470,-0.04908768,0.98369660,0.48667460,-0.05181127,1.02044400,0.48630090,-0.05299661,1.04402600,0.48660780,-0.05968317,0.98133630,0.50547460,-0.06452110,1.02276200,0.50570640,-0.06731561,1.04937900,0.50618340,-0.06016347,0.97476500,0.52457700,-0.06943390,1.01145300,0.52267370,-0.07200226,1.03713600,0.52204160,-0.04706171,0.92349600,0.53185420,-0.05646532,0.96532400,0.54322440,-0.06586073,0.99291700,0.53680100,-0.06540913,1.01245400,0.53405210,-0.02054423,0.98382830,0.51871920,-0.05816149,1.06515000,0.48713080,-0.07487381,1.07245400,0.50594460,-0.07662535,1.06028200,0.52003430,-0.06631128,1.03311200,0.52880330,3,6
-0.04097177,0.89025890,0.50946860,-0.04097177,0.89025890,0.50946860,-0.04097177,0.89025890,0.50946860,-0.03169283,0.91216930,0.50282820,-0.02280560,0.92987590,0.48902380,-0.01512523,0.95764250,0.47606500,-0.01484887,0.98354380,0.49624140,-0.04766756,0.98391690,0.48809580,-0.04924979,1.02072800,0.48745390,-0.04960899,1.04433800,0.48762440,-0.05831918,0.98156760,0.50686540,-0.06233942,1.02308000,0.50715260,-0.06457166,1.04974900,0.50767640,-0.05890650,0.97488650,0.52592670,-0.06769009,1.01169500,0.52404750,-0.06960741,1.03743600,0.52348480,-0.04642209,0.92342300,0.53291060,-0.05534883,0.96528940,0.54452160,-0.06440403,0.99309570,0.53854550,-0.06369293,1.01266700,0.53611110,-0.01892679,0.98356110,0.51981340,-0.05398657,1.06564200,0.48801930,-0.07159191,1.07299400,0.50747620,-0.07359791,1.06070500,0.52154000,-0.06434077,1.03341700,0.53119580,3,6
-0.04063474,0.89025860,0.51028730,-0.04063474,0.89025860,0.51028730,-0.04063474,0.89025860,0.51028730,-0.03108359,0.91209650,0.50379600,-0.02188531,0.92986810,0.49028190,-0.01377019,0.95769900,0.47773250,-0.01335720,0.98334460,0.49823050,-0.04617163,0.98412410,0.48950170,-0.04759521,1.02094100,0.48886380,-0.04784007,1.04455300,0.48904230,-0.05687264,0.98178530,0.50824450,-0.06057601,1.02332800,0.50849940,-0.06266262,1.05000900,0.50898710,-0.05756288,0.97499130,0.52726240,-0.06619284,1.01184900,0.52565220,-0.06826289,1.03758100,0.52524400,-0.04571040,0.92333720,0.53393320,-0.05414318,0.96523420,0.54579990,-0.06334253,0.99316360,0.54067830,-0.06307600,1.01280800,0.53881600,-0.01763141,0.98312040,0.52176660,-0.05215643,1.06587000,0.48942620,-0.06959908,1.07327900,0.50873410,-0.07245955,1.06082400,0.52342820,-0.06429936,1.03366900,0.53451780,3,6
-0.04176762,0.88960120,0.51297400,-0.04176762,0.88960120,0.51297400,-0.04176762,0.88960120,0.51297400,-0.03164029,0.91115750,0.50641500,-0.02199297,0.92873400,0.49295900,-0.01311141,0.95638720,0.48053640,-0.01184832,0.98188570,0.50118260,-0.04473340,0.98362280,0.49236870,-0.04524119,1.02046100,0.49158250,-0.04487672,1.04407200,0.49166470,-0.05530931,0.98157150,0.51121590,-0.05790052,1.02319900,0.51129360,-0.05932096,1.04992600,0.51165090,-0.05600841,0.97477020,0.53023090,-0.06381123,1.01181800,0.52875950,-0.06548515,1.03757900,0.52838330,-0.04562321,0.92277740,0.53671350,-0.05269214,0.96488640,0.54872000,-0.06150971,0.99306210,0.54432800,-0.06123223,1.01274200,0.54288830,-0.01602394,0.98164710,0.52473630,-0.04867576,1.06548800,0.49199100,-0.06572157,1.07334800,0.51132250,-0.06939930,1.06087500,0.52661290,-0.06256243,1.03368900,0.53906520,3,6
-0.04274372,0.88899550,0.51547660,-0.04274372,0.88899550,0.51547660,-0.04274372,0.88899550,0.51547660,-0.03207308,0.91027150,0.50886390,-0.02200641,0.92764600,0.49545290,-0.01239691,0.95510390,0.48313900,-0.01031205,0.98044030,0.50391760,-0.04324397,0.98310810,0.49508010,-0.04281367,1.01994400,0.49416460,-0.04182422,1.04353700,0.49416340,-0.05369683,0.98131510,0.51402210,-0.05519141,1.02299600,0.51394650,-0.05595245,1.04975200,0.51419090,-0.05440994,0.97449490,0.53302980,-0.06139880,1.01170900,0.53168100,-0.06264449,1.03749500,0.53133730,-0.04543797,0.92221560,0.53931490,-0.05120146,0.96448110,0.55146790,-0.05959583,0.99288180,0.54774780,-0.05923988,1.01258600,0.54670580,-0.01438432,0.98018960,0.52748930,-0.04508584,1.06504200,0.49444230,-0.06181706,1.07331300,0.51380060,-0.06623954,1.06084600,0.52961300,-0.06059734,1.03360700,0.54333130,3,6
-0.04359538,0.88843110,0.51783190,-0.04359538,0.88843110,0.51783190,-0.04359538,0.88843110,0.51783190,-0.03240857,0.90942650,0.51117580,-0.02179171,0.92672580,0.49809580,-0.01124268,0.95406370,0.48629470,-0.00861345,0.97901350,0.50747560,-0.04171530,0.98257560,0.49766460,-0.04038621,1.01939200,0.49682800,-0.03889064,1.04295800,0.49684780,-0.05204660,0.98101760,0.51669390,-0.05251443,1.02272300,0.51654870,-0.05266881,1.04948900,0.51673290,-0.05277823,0.97416960,0.53569080,-0.05922591,1.01149300,0.53472670,-0.06020002,1.03729300,0.53460280,-0.04517630,0.92164950,0.54177190,-0.04968171,0.96402410,0.55407600,-0.05780225,0.99257040,0.55090300,-0.05749055,1.01229000,0.55018510,-0.01293011,0.97853370,0.53100010,-0.04171305,1.06452500,0.49717640,-0.05798844,1.07317900,0.51633610,-0.06358212,1.06069100,0.53309940,-0.05902286,1.03335500,0.54718170,3,6
-0.04464017,0.88814460,0.52168100,-0.04464017,0.88814460,0.52168100,-0.04464017,0.88814460,0.52168100,-0.03322766,0.90894820,0.51480950,-0.02234214,0.92618270,0.50186540,-0.01126147,0.95341050,0.49029950,-0.00829749,0.97816770,0.51166140,-0.04162379,0.98217460,0.50112150,-0.03982995,1.01896700,0.50009860,-0.03809602,1.04251600,0.49997180,-0.05174868,0.98084030,0.52027830,-0.05169495,1.02254500,0.51979180,-0.05156362,1.04931200,0.51974270,-0.05235342,0.97407530,0.53930940,-0.05869906,1.01141900,0.53846250,-0.05968910,1.03721900,0.53836720,-0.04544872,0.92147260,0.54550690,-0.04918625,0.96395490,0.55769630,-0.05737947,0.99252130,0.55491480,-0.05732921,1.01224900,0.55440210,-0.01273336,0.97760580,0.53516190,-0.04072050,1.06410900,0.50021030,-0.05662429,1.07305600,0.51920200,-0.06312246,1.06061200,0.53691890,-0.05927007,1.03331600,0.55165010,3,6
-0.04558350,0.88786270,0.52530310,-0.04558350,0.88786270,0.52530310,-0.04558350,0.88786270,0.52530310,-0.03393724,0.90847190,0.51824030,-0.02276908,0.92563710,0.50544600,-0.01114525,0.95274440,0.49413280,-0.00785090,0.97729190,0.51568740,-0.04138390,0.98177650,0.50442250,-0.03909275,1.01853600,0.50322750,-0.03709497,1.04206300,0.50296660,-0.05131156,0.98065060,0.52369550,-0.05071087,1.02234700,0.52289770,-0.05027606,1.04910900,0.52263620,-0.05180387,0.97395080,0.54275290,-0.05800931,1.01132100,0.54202320,-0.05898005,1.03712100,0.54196250,-0.04562228,0.92126820,0.54903410,-0.04858270,0.96383710,0.56113420,-0.05681482,0.99243210,0.55879690,-0.05699256,1.01216400,0.55853620,-0.01241736,0.97664200,0.53916070,-0.03949658,1.06368300,0.50312420,-0.05506201,1.07290600,0.52196590,-0.06243124,1.06051600,0.54057330,-0.05930069,1.03323100,0.55608610,3,6
