RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.01431813,0.89750650,0.47205480,-0.01431813,0.89750650,0.47205480,-0.01431813,0.89750650,0.47205480,0.00771323,0.90970530,0.47294460,0.03025271,0.91958060,0.47401370,0.05572173,0.93858050,0.47936790,0.05464809,0.95776710,0.50679850,0.04164306,0.97823520,0.47267940,0.05761888,1.01218500,0.47494190,0.07036388,1.03227900,0.47868250,0.02604131,0.98184480,0.48797410,0.03864668,1.02127500,0.49779450,0.04698535,1.04638100,0.50455210,0.01564425,0.97565750,0.50466170,0.02386178,1.01150300,0.51654810,0.02979529,1.03573500,0.52498880,-0.00675687,0.92608350,0.50160650,0.00692033,0.96456310,0.52108110,0.01018791,0.98909940,0.53880940,0.01104390,1.00464500,0.55156970,0.04038155,0.96159110,0.52622260,0.07832484,1.05283000,0.48126080,0.04959722,1.07073600,0.50823530,0.03341634,1.05897200,0.53053460,0.01110982,1.02329100,0.56279150,3,0
-0.01445775,0.89727940,0.47213520,-0.01445775,0.89727940,0.47213520,-0.01445775,0.89727940,0.47213520,0.00756611,0.90949000,0.47304860,0.03008729,0.91938330,0.47431730,0.05550131,0.93838730,0.47991310,0.05414759,0.95753260,0.50736010,0.04145874,0.97803850,0.47283350,0.05745611,1.01196900,0.47523810,0.07014655,1.03208900,0.47902320,0.02584102,0.98163530,0.48811480,0.03837341,1.02110000,0.49788660,0.04659189,1.04626800,0.50456370,0.01543207,0.97543760,0.50479120,0.02346869,1.01132500,0.51667670,0.02925812,1.03559400,0.52510700,-0.00693916,0.92585230,0.50170180,0.00669918,0.96433390,0.52119950,0.00974487,0.98883250,0.53901930,0.01045099,1.00434400,0.55183040,0.03952378,0.96116720,0.52655360,0.07804322,1.05266100,0.48163090,0.04908910,1.07064700,0.50816510,0.03274710,1.05885600,0.53063810,0.01035992,1.02295600,0.56310800,3,0
-0.01513795,0.89750950,0.47250440,-0.01513795,0.89750950,0.47250440,-0.01513795,0.89750950,0.47250440,0.00689716,0.90970640,0.47332380,0.02941839,0.91959070,0.47466090,0.05483541,0.93855830,0.48036530,0.05340657,0.95761840,0.50786770,0.04082563,0.97823700,0.47306190,0.05689478,1.01212700,0.47555830,0.06958172,1.03224900,0.47934270,0.02529199,0.98181210,0.48843380,0.03785953,1.02128000,0.49814920,0.04603569,1.04648200,0.50474420,0.01496915,0.97558720,0.50515350,0.02295255,1.01148000,0.51705590,0.02868623,1.03576400,0.52548550,-0.00744543,0.92602000,0.50208640,0.00631823,0.96445580,0.52158650,0.00930049,0.98887920,0.53951990,0.00996723,1.00433200,0.55240390,0.03855954,0.96104930,0.52692690,0.07745712,1.05282700,0.48196480,0.04847593,1.07087500,0.50829640,0.03211169,1.05903300,0.53102420,0.00982438,1.02288900,0.56377010,3,0
-0.01576186,0.89770770,0.47284720,-0.01576186,0.89770770,0.47284720,-0.01576186,0.89770770,0.47284720,0.00628363,0.90989090,0.47358850,0.02880444,0.91976510,0.47500460,0.05422274,0.93869450,0.48082920,0.05270676,0.95767550,0.50838170,0.04024928,0.97840300,0.47329500,0.05638796,1.01225300,0.47588410,0.06907144,1.03237600,0.47967410,0.02478744,0.98195930,0.48874350,0.03738456,1.02143000,0.49840820,0.04551861,1.04666600,0.50492850,0.01453691,0.97571030,0.50549870,0.02246599,1.01160800,0.51742250,0.02814245,1.03590400,0.52585490,-0.00791933,0.92616110,0.50244490,0.00595421,0.96455440,0.52195080,0.00887302,0.98890380,0.53999500,0.00949947,1.00429900,0.55294940,0.03763045,0.96091070,0.52729450,0.07692574,1.05296100,0.48231240,0.04790467,1.07107000,0.50843460,0.03150509,1.05918000,0.53140260,0.00930596,1.02280400,0.56440060,3,0
-0.01634137,0.89788090,0.47316910,-0.01634137,0.89788090,0.47316910,-0.01634137,0.89788090,0.47316910,0.00571387,0.91005020,0.47384470,0.02824656,0.91990890,0.47517770,0.05371827,0.93878390,0.48094490,0.05240935,0.95774610,0.50852100,0.03971774,0.97854320,0.47353160,0.05590701,1.01237800,0.47599990,0.06861436,1.03250500,0.47968740,0.02431801,0.98208300,0.48904580,0.03703501,1.02150900,0.49873640,0.04521595,1.04673100,0.50525270,0.01412895,0.97581250,0.50583030,0.02217934,1.01162900,0.51791710,0.02792995,1.03587100,0.52645430,-0.00836762,0.92628130,0.50278260,0.00560370,0.96463460,0.52229740,0.00870412,0.98889040,0.54043690,0.00955013,1.00418800,0.55349480,0.03758593,0.96113070,0.52760670,0.07649001,1.05309100,0.48225230,0.04763580,1.07112900,0.50877730,0.03135562,1.05911200,0.53210910,0.00962129,1.02260000,0.56509540,3,0
-0.01627183,0.89773400,0.47303840,-0.01627183,0.89773400,0.47303840,-0.01627183,0.89773400,0.47303840,0.00573267,0.90999110,0.47377980,0.02822064,0.91994110,0.47518770,0.05360966,0.93889970,0.48104480,0.05217487,0.95794490,0.50855720,0.03947027,0.97861560,0.47344720,0.05553954,1.01251500,0.47580360,0.06814986,1.03271700,0.47941900,0.02398986,0.98213260,0.48888610,0.03656501,1.02161200,0.49854240,0.04462293,1.04688400,0.50501640,0.01375279,0.97586270,0.50564160,0.02165649,1.01168600,0.51780340,0.02729574,1.03593800,0.52638780,-0.00853709,0.92623670,0.50261710,0.00520000,0.96469130,0.52209880,0.00821021,0.98894110,0.54026160,0.00908480,1.00419800,0.55336490,0.03738764,0.96145620,0.52764820,0.07593155,1.05334800,0.48189770,0.04693520,1.07130200,0.50847780,0.03062744,1.05918400,0.53207730,0.00922611,1.02256500,0.56503640,3,0
-0.01622673,0.89759710,0.47293170,-0.01622673,0.89759710,0.47293170,-0.01622673,0.89759710,0.47293170,0.00573174,0.90993250,0.47373510,0.02817820,0.91996430,0.47522250,0.05349078,0.93899480,0.48117670,0.05193134,0.95811300,0.50863160,0.03923103,0.97867360,0.47339000,0.05519645,1.01262900,0.47564780,0.06771916,1.03289600,0.47919780,0.02367640,0.98216960,0.48875890,0.03612486,1.02169700,0.49838430,0.04406984,1.04701500,0.50481800,0.01339384,0.97589990,0.50548660,0.02116234,1.01172700,0.51772420,0.02669732,1.03598600,0.52635580,-0.00871058,0.92619000,0.50247960,0.00481382,0.96473400,0.52193340,0.00773872,0.98897220,0.54012570,0.00864035,1.00418600,0.55327670,0.03715762,0.96173110,0.52771310,0.07541518,1.05357000,0.48159730,0.04628363,1.07145000,0.50822000,0.02994117,1.05923600,0.53208070,0.00884971,1.02250500,0.56502160,3,0
-0.01620089,0.89746790,0.47284390,-0.01620089,0.89746790,0.47284390,-0.01620089,0.89746790,0.47284390,0.00571526,0.90987440,0.47370630,0.02812764,0.91997870,0.47521670,0.05335098,0.93913250,0.48115400,0.05161933,0.95828660,0.50857360,0.03899808,0.97872050,0.47335410,0.05498209,1.01266800,0.47560150,0.06748833,1.03294700,0.47914010,0.02337429,0.98219690,0.48865710,0.03571970,1.02176300,0.49825480,0.04356975,1.04712000,0.50465180,0.01304822,0.97592710,0.50535800,0.02076130,1.01172100,0.51772810,0.02625132,1.03595800,0.52644750,-0.00888733,0.92614160,0.50236420,0.00444123,0.96476590,0.52179390,0.00729125,0.98906610,0.53991520,0.00808256,1.00434600,0.55299720,0.03684538,0.96192280,0.52765140,0.07516393,1.05363200,0.48150680,0.04570903,1.07156900,0.50800370,0.02946289,1.05919400,0.53224800,0.00814504,1.02273000,0.56464170,3,0
-0.01646702,0.89726120,0.47276440,-0.01646702,0.89726120,0.47276440,-0.01646702,0.89726120,0.47276440,0.00541067,0.90973800,0.47358860,0.02779699,0.91991130,0.47501980,0.05297066,0.93915750,0.48086860,0.05125843,0.95821290,0.50835820,0.03846338,0.97869530,0.47332710,0.05446797,1.01263000,0.47561350,0.06697454,1.03291000,0.47914870,0.02288086,0.98207430,0.48869400,0.03518352,1.02163600,0.49836740,0.04297886,1.04700200,0.50479450,0.01263317,0.97572060,0.50541140,0.02036596,1.01142500,0.51802590,0.02586352,1.03560200,0.52690650,-0.00914719,0.92587150,0.50234470,0.00411985,0.96448220,0.52184340,0.00701589,0.98874830,0.54000310,0.00779475,1.00402000,0.55309550,0.03660799,0.96176890,0.52754610,0.07463801,1.05359800,0.48152740,0.04506417,1.07144800,0.50820110,0.02907466,1.05879700,0.53286780,0.00780463,1.02240100,0.56474480,3,0
-0.01672183,0.89706610,0.47269710,-0.01672183,0.89706610,0.47269710,-0.01672183,0.89706610,0.47269710,0.00511950,0.90960840,0.47349050,0.02748026,0.91984650,0.47485780,0.05260515,0.93917750,0.48063650,0.05090098,0.95814310,0.50818860,0.03795790,0.97866830,0.47331660,0.05398371,1.01259100,0.47563760,0.06648961,1.03287200,0.47916840,0.02241019,0.98195800,0.48873790,0.03467252,1.02151500,0.49848020,0.04241431,1.04689100,0.50493300,0.01223132,0.97552820,0.50546820,0.01998114,1.01114600,0.51831400,0.02548361,1.03526600,0.52734700,-0.00940369,0.92562010,0.50233210,0.00380108,0.96421970,0.52189500,0.00673559,0.98845180,0.54009380,0.00750285,1.00371200,0.55319950,0.03635673,0.96162660,0.52747030,0.07414062,1.05356300,0.48155580,0.04444970,1.07133400,0.50838820,0.02869307,1.05842200,0.53345950,0.00747020,1.02208600,0.56486020,3,0
