RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.00919557,0.95831880,0.52647200,-0.00919557,0.95831880,0.52647200,-0.00919557,0.95831880,0.52647200,0.01298276,0.94864260,0.52456120,0.03368466,0.94213960,0.51496680,0.06183320,0.93049850,0.50900480,0.08646990,0.91840120,0.52595910,0.08458512,0.95808330,0.53903940,0.11054070,0.94026590,0.55692340,0.10665070,0.91742460,0.55571470,0.07637984,0.96294060,0.55811980,0.11018390,0.95786760,0.58072420,0.13175830,0.95470670,0.59543010,0.06378881,0.95893260,0.57293870,0.08879657,0.96276460,0.60024890,0.10578470,0.96505940,0.61894910,0.01361181,0.95223130,0.55908800,0.04854622,0.95159330,0.58513520,0.06087273,0.95456260,0.61158030,0.06785563,0.95506820,0.62966260,0.10255930,0.90787890,0.53948290,0.09181692,0.90442570,0.54747940,0.15084040,0.95727960,0.60952030,0.12154960,0.96994890,0.63535920,0.07683979,0.95823090,0.64833560,9,7
-0.00992363,0.95853950,0.52620350,-0.00992363,0.95853950,0.52620350,-0.00992363,0.95853950,0.52620350,0.01241838,0.94926610,0.52420460,0.03320948,0.94301790,0.51463390,0.06157166,0.93187460,0.50873350,0.08642948,0.92036170,0.52577190,0.08390645,0.96004920,0.53830500,0.11020580,0.94266710,0.55611500,0.10661790,0.91977670,0.55490050,0.07570779,0.96480100,0.55741480,0.10965870,0.96026560,0.57991310,0.13132670,0.95744920,0.59455140,0.06326540,0.96059880,0.57230520,0.08821179,0.96483250,0.59961220,0.10516280,0.96740200,0.61831040,0.01315179,0.95294790,0.55871960,0.04821997,0.95301100,0.58459410,0.06067466,0.95631980,0.61093870,0.06776401,0.95706820,0.62897110,0.10269120,0.91024450,0.53939830,0.09191235,0.90661940,0.54668680,0.15041000,0.96033350,0.60857940,0.12084780,0.97254910,0.63471830,0.07680377,0.96051990,0.64756600,9,7
-0.01062221,0.95873510,0.52590810,-0.01062221,0.95873510,0.52590810,-0.01062221,0.95873510,0.52590810,0.01187321,0.94986080,0.52381980,0.03274857,0.94386110,0.51427360,0.06131354,0.93321420,0.50843510,0.08637700,0.92229070,0.52556000,0.08322492,0.96196880,0.53753010,0.10986200,0.94502840,0.55526370,0.10657290,0.92209310,0.55405080,0.07503786,0.96662270,0.55666890,0.10913150,0.96265610,0.57905870,0.13089030,0.96020390,0.59362760,0.06274824,0.96223640,0.57163300,0.08762640,0.96690790,0.59893080,0.10453570,0.96977730,0.61762310,0.01271330,0.95364700,0.55832110,0.04790407,0.95441110,0.58401740,0.06047563,0.95806500,0.61026060,0.06766235,0.95906100,0.62824240,0.10279880,0.91258330,0.53929220,0.09199330,0.90877810,0.54586670,0.14997070,0.96341430,0.60758860,0.12013490,0.97520400,0.63402270,0.07674787,0.96280570,0.64675810,9,7
-0.01131208,0.95891360,0.52558200,-0.01131208,0.95891360,0.52558200,-0.01131208,0.95891360,0.52558200,0.01133056,0.95044540,0.52340040,0.03226015,0.94480690,0.51375330,0.06099048,0.93469070,0.50778400,0.08636409,0.92428890,0.52477660,0.08251968,0.96389500,0.53669930,0.10943930,0.94731480,0.55434650,0.10639660,0.92434700,0.55310520,0.07434900,0.96845530,0.55586770,0.10848440,0.96510880,0.57829500,0.13026830,0.96305340,0.59288790,0.06221993,0.96388970,0.57090880,0.08708135,0.96897690,0.59814760,0.10398430,0.97212990,0.61679990,0.01228150,0.95434850,0.55788580,0.04758616,0.95583130,0.58339380,0.06027998,0.95992290,0.60951330,0.06756834,0.96123070,0.62743410,0.10304170,0.91493250,0.53844390,0.09191817,0.91091750,0.54492870,0.14927710,0.96661550,0.60686110,0.11953050,0.97781830,0.63316110,0.07669961,0.96533320,0.64585130,9,7
-0.01200166,0.95922010,0.52529410,-0.01200166,0.95922010,0.52529410,-0.01200166,0.95922010,0.52529410,0.01073171,0.95102950,0.52299950,0.03167571,0.94562300,0.51325130,0.06050512,0.93587320,0.50715140,0.08611480,0.92584870,0.52401600,0.08182348,0.96539360,0.53585540,0.10894240,0.94901720,0.55338720,0.10601790,0.92603620,0.55210670,0.07370760,0.96989490,0.55506090,0.10787940,0.96696420,0.57749100,0.12968560,0.96517500,0.59208550,0.06172352,0.96521230,0.57018210,0.08660020,0.97057290,0.59735450,0.10351690,0.97391310,0.61596170,0.01183334,0.95502140,0.55747020,0.04726369,0.95700070,0.58276930,0.06010535,0.96143110,0.60876100,0.06750321,0.96299150,0.62661670,0.10298280,0.91674910,0.53762300,0.09156073,0.91257730,0.54394080,0.14865160,0.96897240,0.60605490,0.11904310,0.97977470,0.63228070,0.07670359,0.96738050,0.64493300,9,7
-0.01267296,0.95950100,0.52498980,-0.01267296,0.95950100,0.52498980,-0.01267296,0.95950100,0.52498980,0.01014986,0.95159630,0.52258320,0.03110969,0.94641810,0.51274540,0.06003902,0.93704320,0.50653200,0.08587249,0.92741810,0.52328770,0.08112464,0.96690010,0.53499360,0.10845040,0.95074810,0.55241220,0.10565530,0.92775290,0.55109920,0.07306238,0.97134410,0.55423500,0.10727180,0.96885250,0.57666080,0.12910110,0.96734400,0.59125260,0.06122642,0.96654560,0.56943640,0.08610690,0.97220710,0.59654410,0.10302950,0.97575350,0.61510770,0.01139854,0.95568620,0.55703740,0.04694556,0.95818040,0.58212640,0.05992407,0.96295610,0.60798860,0.06742359,0.96477300,0.62577750,0.10292130,0.91859220,0.53684940,0.09122536,0.91425500,0.54294940,0.14802280,0.97138840,0.60521290,0.11852690,0.98180540,0.63138460,0.07668327,0.96945260,0.64399180,9,7
-0.01331663,0.95975770,0.52468040,-0.01331663,0.95975770,0.52468040,-0.01331663,0.95975770,0.52468040,0.00959140,0.95213860,0.52216460,0.03055947,0.94720550,0.51221910,0.05953002,0.93806250,0.50585400,0.08555200,0.92872210,0.52247860,0.08043344,0.96837740,0.53413740,0.10797430,0.95250700,0.55147590,0.10533660,0.92949430,0.55014300,0.07242303,0.97276690,0.55341300,0.10669020,0.97100850,0.57582000,0.12855510,0.96996960,0.59039940,0.06073461,0.96785630,0.56869260,0.08575061,0.97354150,0.59567030,0.10276780,0.97710420,0.61414410,0.01098074,0.95633120,0.55660110,0.04663301,0.95934180,0.58148330,0.05962280,0.96431570,0.60730250,0.06714391,0.96626220,0.62506850,0.10275200,0.92009540,0.53597750,0.09095339,0.91593940,0.54200550,0.14741230,0.97442810,0.60432080,0.11833040,0.98317500,0.63035170,0.07639153,0.97109260,0.64324950,9,7
-0.01358267,0.96028780,0.52455370,-0.01358267,0.96028780,0.52455370,-0.01358267,0.96028780,0.52455370,0.00935655,0.95277370,0.52200650,0.03030837,0.94785810,0.51201810,0.05926880,0.93871210,0.50561140,0.08539125,0.92961010,0.52221070,0.08015898,0.96952620,0.53349610,0.10778290,0.95386590,0.55089350,0.10514000,0.93084600,0.54970290,0.07221140,0.97405700,0.55276500,0.10649110,0.97292480,0.57519330,0.12836310,0.97228900,0.58978530,0.06062053,0.96922900,0.56814490,0.08576328,0.97500230,0.59498570,0.10286680,0.97862650,0.61336760,0.01087844,0.95730740,0.55639400,0.04662568,0.96075950,0.58108190,0.05964148,0.96603660,0.60682770,0.06718291,0.96819810,0.62456020,0.10266390,0.92117100,0.53573550,0.09071512,0.91727820,0.54166110,0.14717040,0.97711140,0.60365270,0.11850580,0.98475190,0.62948080,0.07643607,0.97325640,0.64267640,9,7
-0.01387402,0.96077870,0.52440080,-0.01387402,0.96077870,0.52440080,-0.01387402,0.96077870,0.52440080,0.00910199,0.95339160,0.52181400,0.03004218,0.94851330,0.51178310,0.05900531,0.93940430,0.50533610,0.08523527,0.93056610,0.52190830,0.07984537,0.97070940,0.53281900,0.10756840,0.95527430,0.55025980,0.10494200,0.93224620,0.54919880,0.07195760,0.97536320,0.55208320,0.10624840,0.97485570,0.57451740,0.12812650,0.97462170,0.58911200,0.06047010,0.97059960,0.56756030,0.08572362,0.97649300,0.59427080,0.10290310,0.98020040,0.61256500,0.01075346,0.95824740,0.55615160,0.04659131,0.96215690,0.58063920,0.05963439,0.96774130,0.60630620,0.06719768,0.97012140,0.62400130,0.10258730,0.92233100,0.53545730,0.09048748,0.91865680,0.54124710,0.14688060,0.97980420,0.60292160,0.11860490,0.98640060,0.62858830,0.07645448,0.97541280,0.64204880,9,7
-0.01416684,0.96122220,0.52423930,-0.01416684,0.96122220,0.52423930,-0.01416684,0.96122220,0.52423930,0.00884698,0.95396920,0.52160960,0.02980499,0.94906470,0.51162880,0.05877588,0.93991290,0.50527790,0.08500708,0.93133820,0.52198610,0.07951970,0.97185450,0.53215100,0.10740360,0.95673840,0.54961480,0.10492180,0.93368620,0.54874520,0.07168674,0.97661430,0.55141160,0.10602220,0.97647860,0.57378270,0.12792880,0.97648390,0.58833660,0.06030113,0.97190160,0.56697930,0.08549470,0.97829120,0.59363220,0.10263590,0.98233840,0.61189040,0.01061894,0.95912020,0.55589810,0.04653855,0.96347400,0.58019010,0.05968950,0.96927310,0.60575430,0.06731977,0.97183250,0.62339560,0.10234300,0.92331880,0.53568420,0.09051683,0.91995730,0.54094460,0.14667700,0.98188120,0.60207150,0.11827700,0.98884230,0.62785250,0.07662563,0.97731920,0.64135930,9,7
-0.01386219,0.96148090,0.52419560,-0.01386219,0.96148090,0.52419560,-0.01386219,0.96148090,0.52419560,0.00922938,0.95444200,0.52166750,0.03029074,0.94961600,0.51186760,0.05934619,0.94054930,0.50578670,0.08549079,0.93227550,0.52277980,0.07969224,0.97307900,0.53231130,0.10764710,0.95830370,0.54995240,0.10537380,0.93522680,0.54917620,0.07175841,0.97786090,0.55152510,0.10596750,0.97815320,0.57408740,0.12779100,0.97843290,0.58876290,0.06037597,0.97311660,0.56708560,0.08530065,0.97996960,0.59387580,0.10226130,0.98433330,0.61222930,0.01085371,0.95978780,0.55593350,0.04665996,0.96462200,0.58030180,0.05970712,0.97061130,0.60587530,0.06726304,0.97332700,0.62352530,0.10274220,0.92448790,0.53671620,0.09111001,0.92135300,0.54137250,0.14640950,0.98407070,0.60257760,0.11770960,0.99112220,0.62826040,0.07646449,0.97899010,0.64148810,9,7
