RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.03774952,0.88969070,0.45865210,-0.03774952,0.88969070,0.45865210,-0.03774952,0.88969070,0.45865210,-0.05217693,0.90891710,0.45528290,-0.06964747,0.92491070,0.45390630,-0.08818077,0.94827170,0.44529340,-0.09163934,0.97793750,0.43309760,-0.06537515,0.97878760,0.47450690,-0.07348885,1.00897400,0.45623250,-0.08143485,1.00707200,0.43451690,-0.04443726,0.98001270,0.47062280,-0.04561453,1.02093200,0.47252430,-0.04612029,1.04720000,0.47373740,-0.02880838,0.97574910,0.45914430,-0.02266121,1.01138300,0.46799740,-0.01917590,1.03607200,0.47267140,-0.02263549,0.92509760,0.44686440,-0.01560776,0.96806500,0.44494380,0.00008645,0.99278640,0.44657080,0.01183232,1.00820600,0.44709350,-0.09135941,0.99853870,0.42178390,-0.08655850,0.99625430,0.41680950,-0.04570464,1.07097500,0.47569780,-0.01652995,1.05854000,0.47814180,0.02395708,1.02490700,0.45076270,9,1
-0.03783752,0.88979950,0.45800860,-0.03783752,0.88979950,0.45800860,-0.03783752,0.88979950,0.45800860,-0.05224568,0.90903200,0.45459220,-0.06975570,0.92498760,0.45327810,-0.08836228,0.94834590,0.44481720,-0.09189506,0.97802600,0.43267750,-0.06538139,0.97895870,0.47365420,-0.07357343,1.00920400,0.45551340,-0.08150646,1.00729300,0.43379400,-0.04444142,0.98015490,0.46977240,-0.04554822,1.02106400,0.47191830,-0.04600787,1.04732500,0.47329020,-0.02881392,0.97585020,0.45830730,-0.02264403,1.01146600,0.46721520,-0.01913942,1.03614500,0.47193130,-0.02268673,0.92516500,0.44614400,-0.01561732,0.96812120,0.44412740,0.00010116,0.99282680,0.44575830,0.01186269,1.00823400,0.44628540,-0.09155803,0.99863000,0.42137070,-0.08657548,0.99643310,0.41609670,-0.04558424,1.07109300,0.47533620,-0.01646962,1.05859800,0.47745010,0.02400116,1.02492400,0.44995880,9,1
-0.03790658,0.88991740,0.45743670,-0.03790658,0.88991740,0.45743670,-0.03790658,0.88991740,0.45743670,-0.05228898,0.90916000,0.45396860,-0.06983057,0.92508510,0.45270770,-0.08849572,0.94844660,0.44438570,-0.09208757,0.97814010,0.43229630,-0.06534578,0.97914740,0.47286100,-0.07360093,1.00944600,0.45483750,-0.08151746,1.00753300,0.43311220,-0.04440251,0.98030820,0.46898620,-0.04542989,1.02120700,0.47135890,-0.04583793,1.04746100,0.47287770,-0.02877507,0.97595720,0.45753860,-0.02257139,1.01155300,0.46650420,-0.01904039,1.03622000,0.47126310,-0.02270585,0.92523600,0.44549660,-0.01558156,0.96817850,0.44338310,0.00016943,0.99286290,0.44502110,0.01195185,1.00825400,0.44555530,-0.09168585,0.99874480,0.42099270,-0.08653602,0.99664580,0.41541740,-0.04540096,1.07122100,0.47499970,-0.01634097,1.05865700,0.47683000,0.02410891,1.02492900,0.44923550,9,1
-0.03796095,0.89003930,0.45692760,-0.03796095,0.89003930,0.45692760,-0.03796095,0.89003930,0.45692760,-0.05231349,0.90929440,0.45340560,-0.06983872,0.92523490,0.45211050,-0.08848611,0.94857870,0.44369980,-0.09195889,0.97823260,0.43147900,-0.06528132,0.97934440,0.47212640,-0.07337850,1.00960100,0.45396130,-0.08129087,1.00755800,0.43224640,-0.04433401,0.98046610,0.46826200,-0.04529634,1.02136600,0.47064980,-0.04567917,1.04762100,0.47214340,-0.02870574,0.97606590,0.45683430,-0.02248015,1.01166400,0.46577420,-0.01892613,1.03632900,0.47052510,-0.02270202,0.92530810,0.44491460,-0.01551464,0.96823520,0.44270520,0.00027419,0.99289160,0.44440100,0.01208125,1.00826200,0.44497530,-0.09132841,0.99877470,0.42007260,-0.08634395,0.99656690,0.41462520,-0.04527365,1.07139200,0.47415020,-0.01620777,1.05876700,0.47608280,0.02425832,1.02491300,0.44869780,9,1
-0.03833146,0.89005660,0.45712830,-0.03833146,0.89005660,0.45712830,-0.03833146,0.89005660,0.45712830,-0.05266824,0.90931610,0.45356650,-0.07019287,0.92525570,0.45225330,-0.08884307,0.94857820,0.44378980,-0.09223135,0.97820660,0.43148350,-0.06561086,0.97939870,0.47218250,-0.07359497,1.00962800,0.45392280,-0.08149119,1.00748400,0.43221180,-0.04465891,0.98050210,0.46833800,-0.04558921,1.02139800,0.47079520,-0.04596845,1.04765300,0.47229740,-0.02902179,0.97607710,0.45693200,-0.02280301,1.01167000,0.46589650,-0.01924622,1.03633000,0.47067270,-0.02303801,0.92530010,0.44508480,-0.01582126,0.96821960,0.44282660,-0.00001521,0.99285910,0.44460690,0.01180378,1.00821800,0.44523890,-0.09140129,0.99870250,0.42000700,-0.08655394,0.99641840,0.41464060,-0.04561172,1.07143200,0.47422400,-0.01652738,1.05876300,0.47625180,0.02398604,1.02485200,0.44902220,9,1
-0.03866259,0.89008870,0.45730220,-0.03866259,0.89008870,0.45730220,-0.03866259,0.89008870,0.45730220,-0.05297858,0.90935560,0.45369660,-0.07050094,0.92529620,0.45236590,-0.08915100,0.94860260,0.44385770,-0.09245709,0.97820750,0.43147300,-0.06588052,0.97947630,0.47219680,-0.07376018,1.00968100,0.45385050,-0.08163770,1.00744500,0.43214190,-0.04492338,0.98055590,0.46837400,-0.04581146,1.02144900,0.47090370,-0.04618088,1.04770300,0.47241560,-0.02927752,0.97610070,0.45699170,-0.02305549,1.01168600,0.46598420,-0.01948952,1.03634000,0.47078680,-0.02332502,0.92530130,0.44522460,-0.01606825,0.96821130,0.44291230,-0.00023928,0.99283020,0.44477220,0.01159519,1.00817500,0.44545870,-0.09143275,0.99865800,0.41993130,-0.08670552,0.99631110,0.41461500,-0.04586567,1.07148900,0.47426550,-0.01676411,1.05876600,0.47638890,0.02378640,1.02478900,0.44929950,9,1
-0.03895419,0.89012850,0.45745160,-0.03895419,0.89012850,0.45745160,-0.03895419,0.89012850,0.45745160,-0.05324736,0.90940400,0.45380200,-0.07076426,0.92534890,0.45245070,-0.08941679,0.94861640,0.44384210,-0.09272030,0.97818080,0.43136020,-0.06610127,0.97956430,0.47218540,-0.07383353,1.00968800,0.45364470,-0.08169585,1.00733300,0.43194330,-0.04513886,0.98061780,0.46838420,-0.04593071,1.02152300,0.47073950,-0.04624637,1.04778500,0.47212230,-0.02948478,0.97613080,0.45702580,-0.02319276,1.01172000,0.46595610,-0.01957810,1.03637500,0.47071290,-0.02356889,0.92530840,0.44533950,-0.01626768,0.96820790,0.44297260,-0.00041884,0.99281540,0.44481220,0.01142853,1.00815100,0.44548810,-0.09160662,0.99858600,0.41974690,-0.08679642,0.99614500,0.41446050,-0.04591924,1.07158400,0.47379290,-0.01680233,1.05880200,0.47628400,0.02363038,1.02476000,0.44931680,9,1
-0.03988990,0.89040820,0.45782530,-0.03988990,0.89040820,0.45782530,-0.03988990,0.89040820,0.45782530,-0.05418542,0.90966290,0.45407650,-0.07171980,0.92558290,0.45265970,-0.09040521,0.94876620,0.44389670,-0.09374010,0.97825570,0.43124730,-0.06709390,0.97989230,0.47215510,-0.07472798,1.00988100,0.45335570,-0.08256368,1.00734500,0.43166490,-0.04612643,0.98093890,0.46838000,-0.04688240,1.02185800,0.47048650,-0.04718404,1.04812900,0.47169000,-0.03045409,0.97641190,0.45706270,-0.02414925,1.01203300,0.46585450,-0.02052475,1.03670500,0.47051260,-0.02450103,0.92554470,0.44559230,-0.01721344,0.96843710,0.44306110,-0.00137776,0.99305810,0.44483190,0.01046215,1.00840100,0.44546800,-0.09255552,0.99858840,0.41951440,-0.08766945,0.99605230,0.41425110,-0.04688176,1.07194300,0.47313460,-0.01773492,1.05915100,0.47600380,0.02265107,1.02502900,0.44925270,9,1
-0.04074382,0.89067370,0.45816340,-0.04074382,0.89067370,0.45816340,-0.04074382,0.89067370,0.45816340,-0.05503622,0.90991180,0.45431860,-0.07255340,0.92583950,0.45278160,-0.09120646,0.94895770,0.44378090,-0.09464720,0.97836850,0.43097720,-0.06798002,0.98020940,0.47210450,-0.07571515,1.01000900,0.45304850,-0.08349723,1.00732100,0.43135670,-0.04700715,0.98124390,0.46835620,-0.04786075,1.02217400,0.47020770,-0.04821486,1.04845000,0.47126920,-0.03131763,0.97667490,0.45707960,-0.02510596,1.01233300,0.46578670,-0.02155877,1.03703300,0.47036140,-0.02534137,0.92576430,0.44581620,-0.01805542,0.96864740,0.44312870,-0.00229017,0.99332360,0.44475530,0.00950578,1.00870400,0.44530130,-0.09355736,0.99865110,0.41914900,-0.08853205,0.99595230,0.41397210,-0.04797462,1.07227400,0.47256180,-0.01883959,1.05950500,0.47577830,0.02164749,1.02538800,0.44898830,9,1
-0.04129137,0.89097420,0.45833460,-0.04129137,0.89097420,0.45833460,-0.04129137,0.89097420,0.45833460,-0.05555075,0.91021980,0.45440600,-0.07302883,0.92618000,0.45276430,-0.09161785,0.94926760,0.44355490,-0.09511043,0.97861450,0.43061950,-0.06842129,0.98059310,0.47194390,-0.07620208,1.01023400,0.45266070,-0.08393533,1.00742400,0.43096700,-0.04744142,0.98158590,0.46822340,-0.04832115,1.02252400,0.46986550,-0.04868353,1.04880500,0.47081090,-0.03174167,0.97695800,0.45698520,-0.02556309,1.01263700,0.46563300,-0.02205043,1.03735300,0.47014350,-0.02582087,0.92600260,0.44589630,-0.01847016,0.96886640,0.44308020,-0.00273035,0.99356620,0.44459110,0.00904979,1.00896100,0.44506530,-0.09406862,0.99885190,0.41870960,-0.08891886,0.99599680,0.41360560,-0.04846607,1.07263500,0.47197320,-0.01936311,1.05984200,0.47550360,0.02117401,1.02567500,0.44867420,9,1
