RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.32654600,0.88992310,0.33814280,0.32654600,0.88992310,0.33814280,0.32654600,0.88992310,0.33814280,0.33053310,0.91359530,0.33455320,0.33110370,0.93726470,0.33608340,0.33185640,0.96744130,0.32885740,0.34575410,0.98824270,0.30848790,0.38059950,0.96757260,0.33688770,0.38902180,0.99694620,0.31746460,0.37286330,1.00145700,0.30143730,0.39166090,0.95286180,0.32610720,0.42016250,0.98025980,0.31531740,0.43677630,0.99863880,0.30649100,0.39261220,0.93917160,0.31175910,0.42487860,0.95525050,0.30247130,0.44562290,0.96749900,0.29452090,0.35510050,0.90247700,0.31268530,0.38861560,0.92529740,0.29670940,0.41441290,0.92552990,0.28276140,0.43092660,0.92440430,0.27266090,0.35469290,1.00222000,0.29183790,0.35491640,0.99677940,0.29081360,0.45271810,1.01468300,0.29889440,0.46392240,0.98002450,0.28745170,0.44969220,0.92466360,0.26332350,9,2
0.32480730,0.89034010,0.34001990,0.32480730,0.89034010,0.34001990,0.32480730,0.89034010,0.34001990,0.32879720,0.91400580,0.33639060,0.32937230,0.93766890,0.33801340,0.32998550,0.96785940,0.33083300,0.34383580,0.98840810,0.31017660,0.37891350,0.96794750,0.33846370,0.38647070,0.99723610,0.31856260,0.37005840,1.00137700,0.30269420,0.38991890,0.95321770,0.32765170,0.41859540,0.98049930,0.31703170,0.43543430,0.99877000,0.30840940,0.39080000,0.93951280,0.31331320,0.42304700,0.95562830,0.30402130,0.44379120,0.96788840,0.29608840,0.35326490,0.90284750,0.31443150,0.38673050,0.92562700,0.29829380,0.41233440,0.92601320,0.28399740,0.42868190,0.92504140,0.27361450,0.35276250,1.00212200,0.29330250,0.35210620,0.99660150,0.29212310,0.45162810,1.01467200,0.30104930,0.46210870,0.98040790,0.28905550,0.44726340,0.92550190,0.26392350,9,2
0.32305870,0.89071430,0.34181630,0.32305870,0.89071430,0.34181630,0.32305870,0.89071430,0.34181630,0.32705910,0.91437250,0.33814980,0.32766590,0.93803730,0.33973550,0.32828780,0.96821650,0.33250840,0.34208330,0.98873310,0.31178360,0.37723670,0.96826570,0.33998830,0.38437260,0.99735520,0.31964460,0.36789210,1.00148800,0.30384490,0.38818780,0.95351450,0.32915040,0.41706420,0.98051170,0.31834700,0.43406060,0.99859400,0.30963720,0.38900290,0.93979500,0.31482190,0.42122750,0.95578680,0.30524330,0.44197700,0.96793190,0.29714890,0.35143530,0.90316860,0.31611230,0.38486460,0.92589900,0.29983080,0.41042560,0.92618230,0.28545530,0.42674490,0.92513150,0.27503590,0.35101800,1.00232300,0.29481430,0.34991680,0.99697570,0.29319790,0.45043300,1.01429200,0.30223350,0.46035420,0.98030580,0.29001480,0.44531280,0.92549400,0.26531470,9,2
0.32033720,0.89037560,0.34070710,0.32033720,0.89037560,0.34070710,0.32033720,0.89037560,0.34070710,0.32413120,0.91406540,0.33702520,0.32450200,0.93773780,0.33856980,0.32487270,0.96790740,0.33128540,0.33859240,0.98851190,0.31059750,0.37377630,0.96844210,0.33906820,0.38035570,0.99739850,0.31835030,0.36390610,1.00131700,0.30246410,0.38493200,0.95378000,0.32831860,0.41381680,0.98080990,0.31761970,0.43086150,0.99888810,0.30899590,0.38596290,0.94004630,0.31401760,0.41808770,0.95625920,0.30447510,0.43879130,0.96851220,0.29642610,0.34874260,0.90306180,0.31514880,0.38204630,0.92608730,0.29902540,0.40768620,0.92654910,0.28479570,0.42407690,0.92560340,0.27447870,0.34755050,1.00205600,0.29360370,0.34606250,0.99683890,0.29158360,0.44731540,1.01455800,0.30171650,0.45716310,0.98093990,0.28937200,0.44270620,0.92608150,0.26488070,9,2
0.31768990,0.89006770,0.33978810,0.31768990,0.89006770,0.33978810,0.31768990,0.89006770,0.33978810,0.32130210,0.91378330,0.33608960,0.32146370,0.93746050,0.33759770,0.32160890,0.96761890,0.33025940,0.33526540,0.98828850,0.30959470,0.37047180,0.96858330,0.33831240,0.37650810,0.99739370,0.31722890,0.36008190,1.00110300,0.30126840,0.38180900,0.95400030,0.32764530,0.41072330,0.98104370,0.31706090,0.42783320,0.99910610,0.30853380,0.38303290,0.94025420,0.31337140,0.41507220,0.95665800,0.30386780,0.43574060,0.96900120,0.29586620,0.34612270,0.90295630,0.31436190,0.37931530,0.92623970,0.29838040,0.40501870,0.92686490,0.28427210,0.42146670,0.92601870,0.27403810,0.34425420,1.00177400,0.29257010,0.34236400,0.99665960,0.29017050,0.44438290,1.01473700,0.30138890,0.45411650,0.98146890,0.28889390,0.44014350,0.92660730,0.26453900,9,2
0.31516700,0.88978970,0.33902550,0.31516700,0.88978970,0.33902550,0.31516700,0.88978970,0.33902550,0.31861950,0.91352640,0.33530980,0.31859860,0.93720700,0.33677240,0.31848630,0.96733680,0.32931690,0.33200590,0.98812900,0.30868520,0.36736630,0.96869640,0.33769030,0.37341200,0.99751660,0.31662290,0.35715080,1.00128100,0.30050710,0.37886390,0.95418350,0.32709950,0.40741310,0.98154130,0.31633370,0.42422780,0.99980090,0.30764080,0.38025980,0.94042660,0.31285180,0.41217190,0.95704520,0.30329320,0.43274040,0.96952340,0.29524390,0.34362540,0.90285470,0.31371820,0.37671990,0.92636340,0.29786350,0.40258740,0.92693980,0.28405630,0.41915000,0.92606540,0.27401110,0.34091500,1.00170100,0.29168780,0.33956740,0.99696700,0.28914720,0.44050630,1.01564000,0.30033210,0.45103340,0.98209550,0.28824100,0.43791020,0.92666770,0.26467880,9,2
0.31238190,0.88969700,0.33695390,0.31238190,0.88969700,0.33695390,0.31238190,0.88969700,0.33695390,0.31590460,0.91344230,0.33336140,0.31588990,0.93711850,0.33489390,0.31583770,0.96725620,0.32746980,0.32956510,0.98814140,0.30707060,0.36467110,0.96855430,0.33654580,0.37105510,0.99741480,0.31563390,0.35509490,1.00140200,0.29927260,0.37628840,0.95406500,0.32605400,0.40483190,0.98151340,0.31550610,0.42161370,0.99984530,0.30690210,0.37785230,0.94035390,0.31177960,0.40985810,0.95695770,0.30251350,0.43050250,0.96943010,0.29465160,0.34117310,0.90281680,0.31205460,0.37448970,0.92634400,0.29670070,0.40061300,0.92674460,0.28337720,0.41734730,0.92576750,0.27363060,0.33865120,1.00179000,0.29022860,0.33770380,0.99739420,0.28751160,0.43785060,1.01576200,0.29967020,0.44888160,0.98197970,0.28783640,0.43625670,0.92628590,0.26459930,9,2
0.30964470,0.88960420,0.33509300,0.30964470,0.88960420,0.33509300,0.30964470,0.88960420,0.33509300,0.31322850,0.91335700,0.33161190,0.31321580,0.93702900,0.33320710,0.31321240,0.96717260,0.32580680,0.32712700,0.98813680,0.30561650,0.36199790,0.96841900,0.33553210,0.36864450,0.99730100,0.31473210,0.35295800,1.00147400,0.29815390,0.37372650,0.95395060,0.32513550,0.40227760,0.98147070,0.31479680,0.41904180,0.99986030,0.30628210,0.37544750,0.94028010,0.31084030,0.40753800,0.95686700,0.30184050,0.42825240,0.96933020,0.29415010,0.33873770,0.90277280,0.31057320,0.37225170,0.92631710,0.29568190,0.39859910,0.92655610,0.28280340,0.41548400,0.92548560,0.27333000,0.33637570,1.00184500,0.28891270,0.33575810,0.99775150,0.28602360,0.43525320,1.01583900,0.29913000,0.44671330,0.98185320,0.28750940,0.43452330,0.92592950,0.26457170,9,2
0.30681890,0.88950690,0.33334580,0.30681890,0.88950690,0.33334580,0.30681890,0.88950690,0.33334580,0.31045800,0.91326650,0.32997010,0.31043370,0.93693120,0.33167110,0.31047490,0.96709870,0.32436890,0.32457130,0.98815980,0.30440690,0.35921560,0.96828400,0.33459730,0.36646110,0.99719470,0.31403840,0.35098850,1.00151000,0.29729630,0.37105300,0.95383560,0.32429670,0.39939340,0.98152630,0.31383440,0.41594590,1.00003600,0.30516670,0.37292870,0.94020240,0.30998550,0.40504870,0.95687280,0.30124910,0.42579900,0.96938600,0.29373870,0.33619970,0.90272130,0.30919660,0.36989760,0.92628240,0.29475380,0.39652600,0.92646010,0.28246560,0.41360630,0.92536710,0.27335210,0.33400320,1.00190100,0.28783310,0.33385610,0.99780180,0.28506660,0.43194390,1.01615400,0.29785020,0.44432030,0.98192300,0.28729540,0.43280910,0.92581930,0.26495870,9,2
0.30403330,0.88937070,0.33334930,0.30403330,0.88937070,0.33334930,0.30403330,0.88937070,0.33334930,0.30776810,0.91313540,0.33011710,0.30776130,0.93679020,0.33194990,0.30790600,0.96698880,0.32477880,0.32225790,0.98814460,0.30510090,0.35657320,0.96802930,0.33562740,0.36443000,0.99696610,0.31533150,0.34921470,1.00145400,0.29840020,0.36852020,0.95359580,0.32543300,0.39672140,0.98142150,0.31495280,0.41311880,1.00002900,0.30620130,0.37056300,0.94001450,0.31109520,0.40275700,0.95672530,0.30271570,0.42357900,0.96926260,0.29544790,0.33376960,0.90261590,0.30965650,0.36771150,0.92616070,0.29576890,0.39462690,0.92624100,0.28412180,0.41190770,0.92510340,0.27540000,0.33192880,1.00192200,0.28869550,0.33218710,0.99783200,0.28599970,0.42895450,1.01626300,0.29878760,0.44219320,0.98179040,0.28925960,0.43128190,0.92553630,0.26740910,9,2
0.30129730,0.88923900,0.33332060,0.30129730,0.88923900,0.33332060,0.30129730,0.88923900,0.33332060,0.30511770,0.91300790,0.33022190,0.30510850,0.93664810,0.33223350,0.30536040,0.96690030,0.32529520,0.31997950,0.98814340,0.30591020,0.35395000,0.96778860,0.33655600,0.36233870,0.99669080,0.31642430,0.34731660,1.00127800,0.29934760,0.36600030,0.95336870,0.32646460,0.39399420,0.98142000,0.31603070,0.41020980,1.00017400,0.30725300,0.36820210,0.93983460,0.31210570,0.40047670,0.95671320,0.30439950,0.42143410,0.96931490,0.29765090,0.33136070,0.90251160,0.31005980,0.36552230,0.92604080,0.29669440,0.39270100,0.92627450,0.28567780,0.41019670,0.92521640,0.27738490,0.32990830,1.00193000,0.28966760,0.33035660,0.99769130,0.28684460,0.42588000,1.01655600,0.29981320,0.44022010,0.98184170,0.29200290,0.42977090,0.92571230,0.26990130,9,2
