RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.01621445,0.83196570,0.33325050,-0.01621445,0.83196570,0.33325050,-0.01621445,0.83196570,0.33325050,0.00070552,0.84356710,0.34622280,0.02054996,0.85255010,0.35562550,0.04128085,0.86085860,0.37718010,0.04942593,0.87693560,0.40393730,0.02911843,0.90924910,0.36366440,0.04487670,0.92164700,0.39381340,0.04755994,0.90757570,0.41206490,0.00839349,0.91341920,0.36650490,0.01894093,0.94647470,0.38831080,0.02546978,0.96776530,0.40230350,-0.00937181,0.90817140,0.37364990,-0.01221282,0.94281070,0.38699020,-0.01361010,0.96583100,0.39755780,-0.02640980,0.86051890,0.35974200,-0.02582706,0.89817730,0.38166860,-0.03957812,0.92238590,0.39088560,-0.05016104,0.93751230,0.39681710,0.05120556,0.88766340,0.42477550,0.04428474,0.88859520,0.42133030,0.02922482,0.98975910,0.41075610,-0.01498183,0.98799090,0.40454290,-0.06036832,0.95532840,0.40103600,9,4
-0.01603558,0.83348100,0.33454700,-0.01603558,0.83348100,0.33454700,-0.01603558,0.83348100,0.33454700,0.00078544,0.84517090,0.34756840,0.02059419,0.85420550,0.35699690,0.04121686,0.86259930,0.37862220,0.04929322,0.87881720,0.40531510,0.02910579,0.91096630,0.36473130,0.04478753,0.92324790,0.39496760,0.04713066,0.90910530,0.41321090,0.00836134,0.91517400,0.36736670,0.01886632,0.94847770,0.38881240,0.02536801,0.96992840,0.40257130,-0.00946696,0.90999550,0.37440450,-0.01227000,0.94469790,0.38758820,-0.01364796,0.96776010,0.39806640,-0.02642749,0.86224830,0.36072870,-0.02599636,0.90007680,0.38236420,-0.03972398,0.92444250,0.39119400,-0.05029481,0.93967690,0.39686480,0.05106737,0.88965920,0.42609460,0.04347903,0.89010570,0.42229450,0.02912835,0.99202280,0.41075490,-0.01497502,0.98994600,0.40497700,-0.06046680,0.95757920,0.40079420,9,4
-0.01588505,0.83504440,0.33572480,-0.01588505,0.83504440,0.33572480,-0.01588505,0.83504440,0.33572480,0.00084568,0.84681880,0.34878630,0.02056393,0.85591530,0.35834410,0.04097580,0.86446320,0.38010860,0.04900821,0.88084720,0.40671320,0.02907947,0.91272060,0.36568150,0.04464808,0.92516240,0.39591080,0.04679715,0.91110840,0.41424610,0.00831863,0.91695970,0.36813090,0.01872002,0.95046050,0.38931850,0.02516430,0.97201630,0.40293940,-0.00956515,0.91184310,0.37507260,-0.01235777,0.94665270,0.38797300,-0.01371652,0.96977710,0.39831580,-0.02645385,0.86400780,0.36161800,-0.02616005,0.90199250,0.38298030,-0.03986021,0.92636980,0.39182080,-0.05038804,0.94160600,0.39756630,0.05077348,0.89182810,0.42742040,0.04291925,0.89212230,0.42326400,0.02890484,0.99417410,0.41095920,-0.01500317,0.99200310,0.40510400,-0.06050254,0.95951520,0.40161100,9,4
-0.01525999,0.83655010,0.33700910,-0.01525999,0.83655010,0.33700910,-0.01525999,0.83655010,0.33700910,0.00139601,0.84845310,0.35004960,0.02103598,0.85765070,0.35967170,0.04127644,0.86642140,0.38150750,0.04929692,0.88303970,0.40797000,0.02952289,0.91452060,0.36646940,0.04502128,0.92720650,0.39663330,0.04702784,0.91329170,0.41509050,0.00874799,0.91877760,0.36876350,0.01905717,0.95252250,0.38960610,0.02545088,0.97421410,0.40303400,-0.00917283,0.91372320,0.37565510,-0.01196640,0.94866030,0.38820560,-0.01331361,0.97186780,0.39836210,-0.02597739,0.86575700,0.36256550,-0.02580915,0.90394440,0.38356490,-0.03949409,0.92834380,0.39236790,-0.04998789,0.94358720,0.39815650,0.05107695,0.89420840,0.42857520,0.04296902,0.89434270,0.42410680,0.02916754,0.99645260,0.41083870,-0.01457271,0.99414680,0.40497990,-0.06005969,0.96150380,0.40227370,9,4
-0.01469238,0.83809360,0.33820400,-0.01469238,0.83809360,0.33820400,-0.01469238,0.83809360,0.33820400,0.00189371,0.85011820,0.35122200,0.02145864,0.85941290,0.36090350,0.04153644,0.86839650,0.38280280,0.04955162,0.88523370,0.40912820,0.02992033,0.91633860,0.36719090,0.04535971,0.92925110,0.39728880,0.04723209,0.91546860,0.41585900,0.00913294,0.92061020,0.36934010,0.01935701,0.95457990,0.38985690,0.02570476,0.97639460,0.40310600,-0.00882179,0.91561290,0.37618490,-0.01161403,0.95066480,0.38841130,-0.01294910,0.97394720,0.39839660,-0.02554762,0.86752620,0.36344130,-0.02549613,0.90590090,0.38409690,-0.03916878,0.93031730,0.39287200,-0.04963065,0.94556430,0.39870880,0.05135040,0.89657830,0.42963550,0.04300031,0.89655510,0.42487050,0.02940021,0.99870560,0.41071130,-0.01418092,0.99627330,0.40485910,-0.05966247,0.96348520,0.40290390,9,4
-0.01416983,0.83966740,0.33932880,-0.01416983,0.83966740,0.33932880,-0.01416983,0.83966740,0.33932880,0.00235009,0.85180800,0.35232330,0.02184393,0.86119650,0.36205740,0.04181128,0.87056170,0.38389780,0.04980022,0.88776710,0.40999210,0.03028176,0.91817120,0.36785990,0.04545946,0.93122180,0.39803120,0.04710000,0.91732510,0.41653820,0.00948310,0.92245470,0.36987220,0.01968523,0.95665350,0.39001590,0.02601286,0.97863070,0.40300350,-0.00850309,0.91751060,0.37667290,-0.01130309,0.95265900,0.38861720,-0.01266504,0.97603190,0.39838520,-0.02515449,0.86931150,0.36426070,-0.02521281,0.90786150,0.38458730,-0.03879044,0.93223500,0.39362510,-0.04919337,0.94745690,0.39963020,0.05152389,0.89940010,0.43034360,0.04267039,0.89830680,0.42522830,0.02970523,1.00103600,0.41032800,-0.01391533,0.99842020,0.40462480,-0.05918471,0.96536680,0.40396700,9,4
-0.01405116,0.84170130,0.33973350,-0.01405116,0.84170130,0.33973350,-0.01405116,0.84170130,0.33973350,0.00245906,0.85385860,0.35272460,0.02192451,0.86326110,0.36250200,0.04186610,0.87283880,0.38427360,0.04993355,0.89022640,0.41022260,0.03040724,0.92023730,0.36816490,0.04545745,0.93321970,0.39842940,0.04692819,0.91910120,0.41678210,0.00960841,0.92453600,0.37014270,0.01988519,0.95881660,0.39010850,0.02625579,0.98085930,0.40296350,-0.00838895,0.91961500,0.37693070,-0.01112669,0.95478210,0.38883440,-0.01246136,0.97818000,0.39854610,-0.02505093,0.87140050,0.36459300,-0.02511379,0.90999070,0.38484320,-0.03855014,0.93427350,0.39432520,-0.04886328,0.94943920,0.40062030,0.05166647,0.90200630,0.43048870,0.04232443,0.89994130,0.42506070,0.02998883,1.00330300,0.41014860,-0.01368736,1.00058700,0.40472140,-0.05878602,0.96731700,0.40523830,9,4
-0.01393020,0.84371650,0.34014910,-0.01393020,0.84371650,0.34014910,-0.01393020,0.84371650,0.34014910,0.00256787,0.85589570,0.35313520,0.02200325,0.86531670,0.36295450,0.04191506,0.87510860,0.38465800,0.05005452,0.89268110,0.41045950,0.03052507,0.92229660,0.36846360,0.04545360,0.93522380,0.39881190,0.04675930,0.92090070,0.41701810,0.00972551,0.92660900,0.37040350,0.02006874,0.96097460,0.39018820,0.02647765,0.98308310,0.40291030,-0.00828326,0.92171140,0.37717810,-0.01096472,0.95689960,0.38903220,-0.01227557,0.98032420,0.39868280,-0.02495026,0.87347670,0.36492660,-0.02502316,0.91211250,0.38508960,-0.03832528,0.93630400,0.39498530,-0.04855260,0.95141280,0.40155160,0.05179455,0.90460960,0.43063790,0.04198867,0.90161610,0.42490330,0.03024749,1.00556500,0.40995540,-0.01347892,1.00275100,0.40479240,-0.05841004,0.96925670,0.40643260,9,4
-0.01380731,0.84571930,0.34057390,-0.01380731,0.84571930,0.34057390,-0.01380731,0.84571930,0.34057390,0.00267671,0.85792440,0.35355350,0.02214715,0.86735080,0.36329790,0.04209613,0.87704650,0.38501040,0.04996939,0.89460980,0.41090070,0.03063717,0.92435250,0.36875780,0.04532129,0.93756880,0.39910070,0.04671047,0.92337150,0.41739880,0.00983649,0.92867760,0.37065700,0.02008183,0.96314170,0.39032080,0.02643202,0.98530290,0.40298050,-0.00818388,0.92380360,0.37741770,-0.01089248,0.95905350,0.38908080,-0.01224197,0.98254360,0.39856510,-0.02485165,0.87554500,0.36526170,-0.02493881,0.91423050,0.38532890,-0.03809730,0.93840700,0.39545090,-0.04822704,0.95350820,0.40218370,0.05125711,0.90656840,0.43109510,0.04203947,0.90402780,0.42519860,0.03015792,1.00781000,0.40996830,-0.01347768,1.00501300,0.40451080,-0.05799313,0.97135610,0.40723120,9,4
-0.01408059,0.84833440,0.34024150,-0.01408059,0.84833440,0.34024150,-0.01408059,0.84833440,0.34024150,0.00252169,0.86041980,0.35318230,0.02212221,0.86973570,0.36277090,0.04231414,0.87912050,0.38439530,0.05021171,0.89642250,0.41045350,0.03069974,0.92669350,0.36865590,0.04545091,0.93985500,0.39899020,0.04705486,0.92558430,0.41721360,0.00992095,0.93103500,0.37074750,0.02029731,0.96539100,0.39053140,0.02673597,0.98747290,0.40328480,-0.00805409,0.92613800,0.37761140,-0.01063795,0.96133380,0.38946460,-0.01190872,0.98479400,0.39903380,-0.02488863,0.87799430,0.36523160,-0.02476200,0.91653180,0.38558160,-0.03765517,0.94059800,0.39629060,-0.04760716,0.95562950,0.40343210,0.05127624,0.90821870,0.43075620,0.04250938,0.90611260,0.42476470,0.03051283,1.00993200,0.41039840,-0.01309278,1.00724500,0.40505670,-0.05721439,0.97343580,0.40891280,9,4
