RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.03036933,0.87548520,0.52885840,0.03036933,0.87548520,0.52885840,0.03036933,0.87548520,0.52885840,0.02625407,0.89436260,0.51317720,0.01916420,0.91206070,0.49807350,0.01593361,0.93017780,0.47211470,0.03634251,0.94254460,0.44921560,0.04263932,0.96627920,0.49699650,0.05167912,0.99228200,0.47209730,0.05710122,1.00734000,0.45450140,0.06283635,0.95850270,0.50012480,0.06125734,0.95847230,0.45814210,0.04659155,0.93594430,0.46023670,0.07681759,0.94403300,0.49705110,0.06922958,0.93942930,0.45993220,0.05258188,0.92042290,0.46609520,0.06160788,0.89384760,0.50909320,0.08744381,0.92613260,0.49217300,0.07751306,0.92711160,0.46381150,0.06568369,0.91299790,0.47129670,0.04684301,0.95162430,0.42951910,0.06396051,1.02170500,0.43944370,0.03634371,0.92281400,0.47814970,0.04345878,0.91111320,0.48608150,0.05658135,0.90323470,0.48813800,0,7
0.02992506,0.87579670,0.52955720,0.02992506,0.87579670,0.52955720,0.02992506,0.87579670,0.52955720,0.02591931,0.89461410,0.51377560,0.01897280,0.91221510,0.49849290,0.01610357,0.93033080,0.47249070,0.03697991,0.94278140,0.45006330,0.04194615,0.96665080,0.49777180,0.05090210,0.99285550,0.47305460,0.05634987,1.00810000,0.45562740,0.06215328,0.95905970,0.50126850,0.06178450,0.95962300,0.45926150,0.04717663,0.93700230,0.46063900,0.07631504,0.94471120,0.49846510,0.06992109,0.94068680,0.46105510,0.05329396,0.92149310,0.46666860,0.06134292,0.89440920,0.51031710,0.08718488,0.92689960,0.49380390,0.07815602,0.92831860,0.46516090,0.06618772,0.91411040,0.47223530,0.04786826,0.95190920,0.43060110,0.06320597,1.02266600,0.44076300,0.03655562,0.92373840,0.47823330,0.04380089,0.91196600,0.48637830,0.05670642,0.90419140,0.48877380,0,7
0.02935663,0.87593410,0.53010800,0.02935663,0.87593410,0.53010800,0.02935663,0.87593410,0.53010800,0.02544409,0.89473550,0.51428410,0.01861683,0.91232390,0.49893330,0.01590398,0.93045790,0.47292720,0.03701010,0.94270560,0.45060330,0.04180591,0.96666410,0.49813340,0.05061306,0.99292220,0.47341940,0.05599356,1.00825900,0.45605270,0.06197663,0.95898870,0.50165640,0.06204442,0.96003830,0.45965720,0.04724321,0.93752320,0.46064670,0.07607438,0.94457000,0.49889080,0.07018030,0.94119540,0.46133480,0.05342463,0.92204000,0.46669160,0.06086807,0.89436220,0.51084350,0.08686541,0.92669920,0.49427330,0.07820088,0.92856430,0.46554350,0.06606334,0.91443350,0.47248330,0.04807404,0.95172180,0.43118820,0.06278805,1.02291600,0.44125010,0.03639527,0.92427680,0.47811540,0.04377265,0.91242440,0.48628060,0.05639269,0.90451970,0.48891490,0,7
0.02881179,0.87607710,0.53065730,0.02881179,0.87607710,0.53065730,0.02881179,0.87607710,0.53065730,0.02499397,0.89486240,0.51479120,0.01828682,0.91243660,0.49937130,0.01573763,0.93058920,0.47336160,0.03707254,0.94265010,0.45115390,0.04166615,0.96669160,0.49851600,0.05034166,0.99300250,0.47381170,0.05566612,1.00843000,0.45650800,0.06180146,0.95894170,0.50207810,0.06233513,0.96047470,0.46009700,0.04736321,0.93805870,0.46068570,0.07584386,0.94446040,0.49935790,0.07047795,0.94172890,0.46167060,0.05360354,0.92260270,0.46675150,0.06042014,0.89433870,0.51139300,0.08656770,0.92653670,0.49478880,0.07828276,0.92882940,0.46597800,0.06598396,0.91476780,0.47277270,0.04832229,0.95156040,0.43179670,0.06240856,1.02317700,0.44177120,0.03628106,0.92480280,0.47799940,0.04378028,0.91288470,0.48620440,0.05611321,0.90484500,0.48907950,0,7
0.02828556,0.87622430,0.53120530,0.02828556,0.87622430,0.53120530,0.02828556,0.87622430,0.53120530,0.02456369,0.89499350,0.51529740,0.01795676,0.91255960,0.49982520,0.01554194,0.93072470,0.47381140,0.03688037,0.94277350,0.45160040,0.04152714,0.96673020,0.49891560,0.05007140,0.99309580,0.47422380,0.05534812,1.00863200,0.45700330,0.06162778,0.95891320,0.50252650,0.06241372,0.96054790,0.46055330,0.04728680,0.93822940,0.46076350,0.07562149,0.94437540,0.49985750,0.07081848,0.94231580,0.46205170,0.05385605,0.92319230,0.46684140,0.05999341,0.89433340,0.51196060,0.08628718,0.92640390,0.49534040,0.07837977,0.92907630,0.46645640,0.06585469,0.91505800,0.47291940,0.04840264,0.95156850,0.43235110,0.06206455,1.02352700,0.44240380,0.03595103,0.92492370,0.47787370,0.04390549,0.91338520,0.48618460,0.05576895,0.90512080,0.48908520,0,7
0.02816002,0.87611980,0.53283920,0.02816002,0.87611980,0.53283920,0.02816002,0.87611980,0.53283920,0.02445370,0.89486630,0.51690100,0.01787700,0.91239000,0.50136790,0.01558208,0.93059020,0.47536760,0.03695851,0.94284750,0.45330790,0.04114319,0.96669360,0.50063500,0.04945894,0.99323020,0.47604860,0.05464364,1.00894900,0.45896660,0.06125908,0.95898810,0.50439730,0.06253210,0.96081860,0.46244420,0.04746420,0.93846120,0.46214660,0.07535233,0.94452730,0.50183530,0.07135010,0.94316900,0.46390480,0.05445244,0.92388630,0.46826610,0.05991048,0.89440130,0.51382910,0.08615045,0.92661450,0.49740090,0.07877016,0.92965050,0.46841350,0.06612360,0.91555390,0.47445560,0.04879868,0.95165570,0.43425850,0.06127828,1.02407200,0.44456500,0.03590164,0.92496850,0.47895600,0.04434862,0.91385630,0.48741460,0.05581407,0.90547170,0.49038880,0,7
0.02801104,0.87604020,0.53438650,0.02801104,0.87604020,0.53438650,0.02801104,0.87604020,0.53438650,0.02432926,0.89476480,0.51841690,0.01779258,0.91224840,0.50282180,0.01562546,0.93048240,0.47683440,0.03705420,0.94292460,0.45492940,0.04078210,0.96667060,0.50225690,0.04888474,0.99336350,0.47776870,0.05398275,1.00925500,0.46082030,0.06090769,0.95906550,0.50616880,0.06266531,0.96109690,0.46424250,0.04765587,0.93871250,0.46344660,0.07509081,0.94467430,0.50371400,0.07185908,0.94400170,0.46569180,0.05502595,0.92457420,0.46964060,0.05980954,0.89447480,0.51560600,0.08600981,0.92681420,0.49936340,0.07914707,0.93020870,0.47028880,0.06638861,0.91604570,0.47592710,0.04921456,0.95173550,0.43608410,0.06053820,1.02459200,0.44661020,0.03587011,0.92504170,0.47995430,0.04477362,0.91433220,0.48859690,0.05585828,0.90582590,0.49162640,0,7
0.02784360,0.87598000,0.53586590,0.02784360,0.87598000,0.53586590,0.02784360,0.87598000,0.53586590,0.02419343,0.89468360,0.51986440,0.01768118,0.91213670,0.50422500,0.01559344,0.93026500,0.47815720,0.03701055,0.94281400,0.45630180,0.04043868,0.96665850,0.50380250,0.04836142,0.99353960,0.47946170,0.05337863,1.00959100,0.46264080,0.06056944,0.95914540,0.50786260,0.06270933,0.96164660,0.46597940,0.04804204,0.93905160,0.46483120,0.07483476,0.94481750,0.50551520,0.07184374,0.94403820,0.46747530,0.05505113,0.92457080,0.47139990,0.05969412,0.89455290,0.51731120,0.08586550,0.92700580,0.50124930,0.07939541,0.93065630,0.47211570,0.06662283,0.91639860,0.47747640,0.04950665,0.95152210,0.43762920,0.05982713,1.02505300,0.44851750,0.03638740,0.92525590,0.48132820,0.04471320,0.91434520,0.49031860,0.05598930,0.90605310,0.49302320,0,7
0.02694494,0.87566950,0.53745230,0.02694494,0.87566950,0.53745230,0.02694494,0.87566950,0.53745230,0.02333568,0.89445210,0.52153430,0.01685357,0.91199360,0.50598160,0.01477401,0.93016080,0.47994020,0.03610655,0.94275520,0.45802830,0.03978019,0.96644640,0.50576490,0.04752405,0.99356030,0.48162560,0.05244219,1.00980900,0.46496520,0.05989224,0.95885620,0.50977410,0.06208514,0.96199070,0.46793630,0.04757083,0.93931700,0.46644640,0.07411271,0.94449630,0.50735210,0.07110366,0.94389270,0.46931050,0.05423756,0.92448470,0.47321430,0.05883346,0.89422680,0.51894730,0.08508646,0.92667020,0.50299980,0.07880294,0.93076250,0.47388410,0.06595241,0.91648640,0.47900430,0.04884793,0.95135800,0.43947300,0.05878607,1.02541500,0.45095320,0.03606037,0.92540290,0.48294520,0.04387932,0.91423870,0.49211080,0.05525952,0.90602340,0.49443130,0,7
0.02609481,0.87539330,0.53898350,0.02609481,0.87539330,0.53898350,0.02609481,0.87539330,0.53898350,0.02253046,0.89424600,0.52313830,0.01608453,0.91186560,0.50765900,0.01402753,0.93006570,0.48163890,0.03529363,0.94270350,0.45968740,0.03915843,0.96625700,0.50764000,0.04673049,0.99359070,0.48369490,0.05155550,1.01002800,0.46719310,0.05925165,0.95859920,0.51161490,0.06152343,0.96233880,0.46983100,0.04716017,0.93959450,0.46799420,0.07343407,0.94421170,0.50913420,0.07046913,0.94381850,0.47108640,0.05353443,0.92446020,0.47493970,0.05802688,0.89393820,0.52054130,0.08436026,0.92637380,0.50471100,0.07828656,0.93089320,0.47561400,0.06535812,0.91660200,0.48048990,0.04828534,0.95119940,0.44125680,0.05780071,1.02577500,0.45329560,0.03577594,0.92556800,0.48448540,0.04313964,0.91418180,0.49379860,0.05459439,0.90602600,0.49579000,0,7
0.02528292,0.87514420,0.54047120,0.02528292,0.87514420,0.54047120,0.02528292,0.87514420,0.54047120,0.02176653,0.89406000,0.52469060,0.01526801,0.91178090,0.50934960,0.01311082,0.93014540,0.48345330,0.03428313,0.94290240,0.46148020,0.03856542,0.96608560,0.50944660,0.04595539,0.99357290,0.48562060,0.05068869,1.01017500,0.46925780,0.05863978,0.95836750,0.51340010,0.06090559,0.96217630,0.47162220,0.04646115,0.93946730,0.46999760,0.07278951,0.94395580,0.51087330,0.06960619,0.94340460,0.47284510,0.05272100,0.92411770,0.47723590,0.05726284,0.89367890,0.52210180,0.08367555,0.92610820,0.50639110,0.07729851,0.93039480,0.47732370,0.06457411,0.91610300,0.48270810,0.04723440,0.95148370,0.44306070,0.05684479,1.02606500,0.45548410,0.03519332,0.92576070,0.48683410,0.04258705,0.91411340,0.49638190,0.05424974,0.90577890,0.49847600,0,7
0.02440335,0.87479050,0.54247100,0.02440335,0.87479050,0.54247100,0.02440335,0.87479050,0.54247100,0.02090661,0.89379480,0.52679270,0.01433926,0.91163570,0.51162100,0.01205993,0.93019960,0.48587790,0.03311573,0.94312350,0.46389030,0.03781348,0.96587170,0.51191480,0.04498066,0.99356130,0.48825580,0.04959486,1.01035900,0.47206000,0.05787795,0.95809980,0.51581280,0.06011080,0.96210010,0.47405100,0.04561251,0.93941660,0.47255540,0.07200190,0.94367820,0.51319960,0.06861734,0.94311000,0.47518900,0.05179369,0.92387260,0.48001240,0.05640031,0.89336870,0.52417530,0.08285505,0.92583640,0.50861550,0.07621422,0.93002370,0.47959270,0.06368458,0.91571640,0.48537790,0.04603227,0.95181510,0.44549810,0.05563761,1.02642000,0.45843480,0.03448194,0.92595540,0.48967870,0.04191069,0.91405670,0.49938570,0.05376697,0.90557300,0.50151970,0,7
0.02351076,0.87445040,0.54449930,0.02351076,0.87445040,0.54449930,0.02351076,0.87445040,0.54449930,0.02004091,0.89353940,0.52891830,0.01341952,0.91149340,0.51390430,0.01104221,0.93024450,0.48830600,0.03199812,0.94332840,0.46631770,0.03705904,0.96566400,0.51440230,0.04401286,0.99355250,0.49091390,0.04851406,1.01054300,0.47488790,0.05711196,0.95784050,0.51825640,0.05934548,0.96205470,0.47651570,0.04480473,0.93939210,0.47511780,0.07121247,0.94341000,0.51556720,0.06768196,0.94286470,0.47756950,0.05091646,0.92367430,0.48276770,0.05553335,0.89307030,0.52629110,0.08203633,0.92557450,0.51089040,0.07519296,0.92971140,0.48190740,0.06282392,0.91538110,0.48797450,0.04490970,0.95211580,0.44796760,0.05444840,1.02677200,0.46141470,0.03380465,0.92616120,0.49250290,0.04125387,0.91402230,0.50233360,0.05323516,0.90536460,0.50439180,0,7
