RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.01991781,0.87304480,0.58332410,-0.01991781,0.87304480,0.58332410,-0.01991781,0.87304480,0.58332410,-0.02337052,0.89578640,0.57383220,-0.02458099,0.91670400,0.56147900,-0.02448332,0.94755820,0.55369900,-0.03481841,0.97619390,0.56662240,-0.07460552,0.94707240,0.55268970,-0.10067780,0.97348480,0.55336870,-0.11618860,0.99147900,0.55454510,-0.08254594,0.94181600,0.57237470,-0.06542284,0.97852490,0.58352320,-0.04195983,0.96572170,0.57998120,-0.07955512,0.93810790,0.59216360,-0.05588149,0.96740490,0.59831430,-0.03516944,0.95320130,0.59155820,-0.04192270,0.90141890,0.60368060,-0.07147136,0.93399860,0.61152600,-0.05135033,0.95632210,0.61065290,-0.03532220,0.94727750,0.60313930,-0.04338952,0.98891210,0.58520820,-0.13245260,1.00603300,0.55648990,-0.04508248,0.94369160,0.56982130,-0.03940081,0.93128910,0.58311420,-0.03632355,0.92777480,0.59417030,0,6
-0.01885771,0.87327210,0.58298720,-0.01885771,0.87327210,0.58298720,-0.01885771,0.87327210,0.58298720,-0.02209838,0.89606430,0.57354210,-0.02310229,0.91700890,0.56121630,-0.02270905,0.94787560,0.55349490,-0.03285763,0.97653250,0.56651840,-0.07285450,0.94780450,0.55235120,-0.09869917,0.97444180,0.55293060,-0.11401630,0.99260410,0.55406370,-0.08090593,0.94256000,0.57199430,-0.06360520,0.97913160,0.58331850,-0.04022513,0.96616970,0.57980550,-0.07801478,0.93877790,0.59178400,-0.05408019,0.96782970,0.59808560,-0.03343995,0.95350860,0.59135790,-0.04071212,0.90176550,0.60333900,-0.07003248,0.93455570,0.61116420,-0.04962533,0.95662090,0.61036900,-0.03358854,0.94751810,0.60294470,-0.04140053,0.98915550,0.58518200,-0.13013900,1.00732200,0.55595340,-0.04347681,0.94419540,0.56956530,-0.03782906,0.93165860,0.58283360,-0.03451953,0.92804380,0.59390650,0,6
-0.01777019,0.87343380,0.58310540,-0.01777019,0.87343380,0.58310540,-0.01777019,0.87343380,0.58310540,-0.02085162,0.89625730,0.57368270,-0.02172047,0.91720570,0.56135300,-0.02107480,0.94806790,0.55363100,-0.03094895,0.97677340,0.56675830,-0.07124399,0.94842050,0.55266120,-0.09685025,0.97528700,0.55324830,-0.11196500,0.99361710,0.55439590,-0.07928409,0.94322940,0.57232310,-0.06172044,0.97967750,0.58364080,-0.03845017,0.96654410,0.58003660,-0.07636974,0.93941180,0.59210260,-0.05213112,0.96822290,0.59834720,-0.03160799,0.95376800,0.59154750,-0.03933717,0.90209100,0.60353380,-0.06836914,0.93511310,0.61145840,-0.04767944,0.95691000,0.61056960,-0.03168212,0.94773080,0.60315420,-0.03934559,0.98934170,0.58552490,-0.12793270,1.00850100,0.55630020,-0.04190038,0.94460760,0.56978070,-0.03621051,0.93196560,0.58301400,-0.03260297,0.92826620,0.59409410,0,6
-0.01671475,0.87358080,0.58318690,-0.01671475,0.87358080,0.58318690,-0.01671475,0.87358080,0.58318690,-0.01963314,0.89643540,0.57378760,-0.02036416,0.91738850,0.56145700,-0.01946299,0.94824500,0.55373770,-0.02905577,0.97699830,0.56696840,-0.06964974,0.94902960,0.55294360,-0.09501177,0.97612660,0.55354050,-0.10992220,0.99462230,0.55470270,-0.07767659,0.94389250,0.57262510,-0.05983837,0.98020960,0.58393430,-0.03668261,0.96690110,0.58023660,-0.07473765,0.94003770,0.59239380,-0.05019215,0.96860080,0.59857850,-0.02978991,0.95401060,0.59170470,-0.03798425,0.90240280,0.60369520,-0.06671786,0.93565980,0.61172380,-0.04574633,0.95718150,0.61073940,-0.02979106,0.94792320,0.60333170,-0.03730274,0.98951330,0.58583680,-0.12573250,1.00967100,0.55662230,-0.04033666,0.94500480,0.56996520,-0.03460881,0.93225850,0.58316200,-0.03070715,0.92846800,0.59425090,0,6
-0.01568477,0.87371600,0.58323930,-0.01568477,0.87371600,0.58323930,-0.01568477,0.87371600,0.58323930,-0.01843711,0.89660110,0.57386400,-0.01902791,0.91756140,0.56153820,-0.01788640,0.94841020,0.55382000,-0.02719293,0.97723760,0.56709370,-0.06806753,0.94963180,0.55320380,-0.09314533,0.97699480,0.55365820,-0.10784980,0.99566010,0.55473010,-0.07607947,0.94454910,0.57290540,-0.05793652,0.98072400,0.58418580,-0.03487384,0.96727000,0.58043310,-0.07311492,0.94065570,0.59266260,-0.04821834,0.96893130,0.59876480,-0.02794783,0.95417550,0.59185490,-0.03664859,0.90270280,0.60382980,-0.06507546,0.93619650,0.61196600,-0.04381686,0.95742960,0.61087820,-0.02790923,0.94807150,0.60349360,-0.03528690,0.98974880,0.58603080,-0.12353230,1.01085300,0.55656030,-0.03868894,0.94540180,0.57016030,-0.03293987,0.93245950,0.58331970,-0.02883086,0.92861770,0.59441050,0,6
-0.01468259,0.87369060,0.58376200,-0.01468259,0.87369060,0.58376200,-0.01468259,0.87369060,0.58376200,-0.01736650,0.89662370,0.57448480,-0.01790725,0.91762810,0.56223200,-0.01665697,0.94849780,0.55461480,-0.02579648,0.97731480,0.56802650,-0.06683445,0.94994540,0.55418690,-0.09174395,0.97746240,0.55459770,-0.10632180,0.99622810,0.55564570,-0.07480650,0.94481990,0.57389370,-0.05650861,0.98089030,0.58525790,-0.03348520,0.96739830,0.58140170,-0.07179697,0.94083670,0.59362630,-0.04667364,0.96891010,0.59973220,-0.02647413,0.95409870,0.59273390,-0.03545822,0.90268560,0.60453100,-0.06371646,0.93626790,0.61288670,-0.04226588,0.95730500,0.61176070,-0.02636830,0.94793860,0.60436510,-0.03378729,0.98972590,0.58707300,-0.12193950,1.01149200,0.55744250,-0.03737366,0.94557670,0.57105790,-0.03155080,0.93242680,0.58413700,-0.02721746,0.92851150,0.59521770,0,6
-0.01369619,0.87367060,0.58422510,-0.01369619,0.87367060,0.58422510,-0.01369619,0.87367060,0.58422510,-0.01630056,0.89664980,0.57503970,-0.01678132,0.91769530,0.56285510,-0.01540766,0.94858270,0.55533150,-0.02436560,0.97739550,0.56887440,-0.06557882,0.95027890,0.55509330,-0.09030823,0.97795840,0.55546300,-0.10475160,0.99682900,0.55648800,-0.07351259,0.94511940,0.57480670,-0.05504097,0.98107820,0.58624360,-0.03206511,0.96753480,0.58228520,-0.07045947,0.94105020,0.59451490,-0.04510036,0.96891210,0.60061510,-0.02497954,0.95403490,0.59353010,-0.03426793,0.90268780,0.60516530,-0.06233970,0.93637300,0.61373280,-0.04069206,0.95720480,0.61256210,-0.02481064,0.94781960,0.60515550,-0.03224645,0.98971470,0.58802590,-0.12029680,1.01217000,0.55825330,-0.03604016,0.94575970,0.57187640,-0.03015311,0.93240800,0.58487770,-0.02560164,0.92841770,0.59594970,0,6
-0.01279455,0.87365500,0.58462240,-0.01279455,0.87365500,0.58462240,-0.01279455,0.87365500,0.58462240,-0.01532008,0.89667530,0.57551840,-0.01574115,0.91775410,0.56338910,-0.01426953,0.94865230,0.55592910,-0.02306652,0.97746790,0.56957100,-0.06440928,0.95059440,0.55589010,-0.08892396,0.97846620,0.55605140,-0.10318180,0.99748360,0.55695540,-0.07230867,0.94540790,0.57561010,-0.05375093,0.98130110,0.58711370,-0.03082601,0.96769810,0.58306550,-0.06921631,0.94126120,0.59529610,-0.04369032,0.96896860,0.60140450,-0.02369061,0.95398390,0.59420420,-0.03317066,0.90269890,0.60571630,-0.06106161,0.93648490,0.61447480,-0.03929870,0.95719560,0.61329110,-0.02346524,0.94775680,0.60585000,-0.03084571,0.98970880,0.58881410,-0.11859360,1.01297200,0.55860610,-0.03489166,0.94596490,0.57260430,-0.02909087,0.93242840,0.58551220,-0.02432935,0.92837420,0.59661020,0,6
-0.01188593,0.87363540,0.58535840,-0.01188593,0.87363540,0.58535840,-0.01188593,0.87363540,0.58535840,-0.01445530,0.89665500,0.57626490,-0.01495277,0.91772010,0.56411490,-0.01351772,0.94860550,0.55659470,-0.02215145,0.97744880,0.57028240,-0.06362984,0.95064740,0.55705620,-0.08801302,0.97863480,0.55706960,-0.10213850,0.99775510,0.55787660,-0.07135723,0.94548540,0.57685070,-0.05274225,0.98140730,0.58817050,-0.02985450,0.96779670,0.58394140,-0.06809187,0.94134410,0.59650990,-0.04243985,0.96899040,0.60236170,-0.02256013,0.95393380,0.59498120,-0.03201837,0.90272580,0.60662150,-0.05977015,0.93656440,0.61561580,-0.03795562,0.95720630,0.61420320,-0.02218625,0.94773570,0.60666710,-0.02974433,0.98966050,0.58961830,-0.11745490,1.01334500,0.55945670,-0.03401183,0.94605460,0.57353480,-0.02816876,0.93240090,0.58636570,-0.02311409,0.92833550,0.59747040,0,6
-0.01097080,0.87361890,0.58604030,-0.01097080,0.87361890,0.58604030,-0.01097080,0.87361890,0.58604030,-0.01356599,0.89664150,0.57696160,-0.01412207,0.91769640,0.56479630,-0.01270144,0.94856990,0.55722480,-0.02115948,0.97744240,0.57096050,-0.06278082,0.95074160,0.55816360,-0.08701938,0.97885410,0.55803000,-0.10100450,0.99808100,0.55874050,-0.07034721,0.94560400,0.57802650,-0.05165699,0.98153940,0.58917860,-0.02881387,0.96790910,0.58477540,-0.06692015,0.94146170,0.59765800,-0.04112819,0.96902780,0.60326820,-0.02137373,0.95389180,0.59571570,-0.03084948,0.90276290,0.60746800,-0.05844319,0.93666890,0.61669230,-0.03656283,0.95722500,0.61506240,-0.02085842,0.94771720,0.60743780,-0.02856591,0.98962430,0.59038720,-0.11621990,1.01377600,0.56024910,-0.03307042,0.94616290,0.57441730,-0.02719313,0.93238640,0.58717140,-0.02185024,0.92830240,0.59827890,0,6
