RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.33637330,0.85573080,0.31085360,0.33637330,0.85573080,0.31085360,0.33637330,0.85573080,0.31085360,0.34517620,0.87638190,0.30011890,0.35149930,0.89496920,0.28576110,0.37022460,0.91611900,0.27111300,0.39247420,0.93271950,0.28909080,0.34385570,0.95188310,0.30045970,0.35472400,0.98705880,0.30519100,0.36222850,1.00940700,0.30835580,0.34693550,0.94814610,0.32178410,0.38557340,0.95952240,0.30983690,0.38756890,0.93394370,0.30154660,0.35649560,0.93815610,0.33672060,0.39126930,0.94008810,0.32111140,0.38753460,0.91751460,0.30874760,0.35598170,0.88447940,0.33305070,0.36804970,0.92460580,0.34855390,0.39193900,0.92456770,0.33029870,0.38974970,0.90864850,0.31859630,0.40638780,0.93876820,0.30781190,0.36612770,1.03019600,0.31407600,0.36611720,0.92225960,0.30281390,0.36664210,0.90599020,0.30897070,0.37064740,0.89880690,0.31881700,0,2
0.33477600,0.85400960,0.31182630,0.33477600,0.85400960,0.31182630,0.33477600,0.85400960,0.31182630,0.34386670,0.87461700,0.30124840,0.35047700,0.89317390,0.28698110,0.36930530,0.91443130,0.27262360,0.39138320,0.93114920,0.29070410,0.34300200,0.95012440,0.30164930,0.35339820,0.98547760,0.30611130,0.36073010,1.00791200,0.30906170,0.34573470,0.94634800,0.32301400,0.38457630,0.95776140,0.31178430,0.38664840,0.93221570,0.30341150,0.35500580,0.93628520,0.33808330,0.39005810,0.93830840,0.32312230,0.38635540,0.91574500,0.31073050,0.35422020,0.88261620,0.33434910,0.36629590,0.92265300,0.35007630,0.39051910,0.92266970,0.33226640,0.38831540,0.90675810,0.32055640,0.40521820,0.93732720,0.30944120,0.36449330,1.02879800,0.31451370,0.36515110,0.92057830,0.30427250,0.36537920,0.90437170,0.31069300,0.36902940,0.89728160,0.32077500,0,2
0.33321460,0.85238150,0.31277220,0.33321460,0.85238150,0.31277220,0.33321460,0.85238150,0.31277220,0.34257560,0.87294660,0.30234890,0.34945790,0.89147210,0.28816970,0.36837600,0.91283830,0.27409460,0.39026550,0.92968140,0.29228780,0.34211030,0.94845730,0.30279270,0.35201950,0.98398750,0.30694560,0.35916790,1.00651000,0.30966220,0.34449790,0.94465210,0.32419360,0.38352650,0.95610240,0.31367210,0.38570450,0.93058840,0.30522970,0.35348480,0.93452960,0.33939450,0.38880230,0.93666250,0.32508680,0.38514640,0.91410480,0.31267090,0.35246780,0.88086810,0.33560890,0.36451810,0.92082890,0.35154740,0.38906150,0.92089220,0.33418150,0.38684560,0.90498350,0.32246990,0.40400700,0.93599340,0.31104890,0.36278600,1.02749500,0.31482990,0.36418040,0.91897770,0.30568660,0.36409690,0.90287150,0.31237460,0.36738460,0.89587180,0.32269040,0,2
0.33168380,0.85082900,0.31369580,0.33168380,0.85082900,0.31369580,0.33168380,0.85082900,0.31369580,0.34130020,0.87135330,0.30342570,0.34847020,0.88984970,0.28935150,0.36767850,0.91114000,0.27555710,0.38945510,0.92807760,0.29379800,0.34119020,0.94686510,0.30389910,0.35064740,0.98261600,0.30710390,0.35748920,1.00529600,0.30923690,0.34323450,0.94303970,0.32533200,0.38244140,0.95451310,0.31552280,0.38466670,0.92902430,0.30701720,0.35194120,0.93286790,0.34066240,0.38750570,0.93510720,0.32699710,0.38392070,0.91253620,0.31458460,0.35072460,0.87921350,0.33683580,0.36272310,0.91910950,0.35297470,0.38761120,0.91934080,0.33610800,0.38565070,0.90344000,0.32434030,0.40300310,0.93443020,0.31268570,0.36081950,1.02646500,0.31381100,0.36309760,0.91748860,0.30708600,0.36288020,0.90130030,0.31394700,0.36622710,0.89424780,0.32415950,0,2
0.33158550,0.84968020,0.31493030,0.33158550,0.84968020,0.31493030,0.33158550,0.84968020,0.31493030,0.34110670,0.87026770,0.30469810,0.34813370,0.88884580,0.29065930,0.36718520,0.91024050,0.27680900,0.38917990,0.92729750,0.29467280,0.34096230,0.94577570,0.30560120,0.34985150,0.98174580,0.30782860,0.35632280,1.00458500,0.30933580,0.34318470,0.94182990,0.32699440,0.38227190,0.95358600,0.31704370,0.38449840,0.92818180,0.30828870,0.35202220,0.93157610,0.34219490,0.38749450,0.93418230,0.32835610,0.38380910,0.91164550,0.31591110,0.35080140,0.87794350,0.33807380,0.36291190,0.91775390,0.35433970,0.38773950,0.91836670,0.33739370,0.38582830,0.90252520,0.32553820,0.40295260,0.93367830,0.31338780,0.35936940,1.02591000,0.31334780,0.36295790,0.91659310,0.30840820,0.36281820,0.90031210,0.31537400,0.36647110,0.89319340,0.32540490,0,2
0.33138070,0.84854200,0.31612890,0.33138070,0.84854200,0.31612890,0.33138070,0.84854200,0.31612890,0.34083120,0.86918500,0.30594310,0.34774580,0.88783460,0.29194350,0.36666610,0.90932760,0.27806550,0.38883090,0.92651290,0.29559310,0.34066060,0.94468740,0.30722740,0.34898110,0.98083760,0.30855570,0.35508660,1.00380800,0.30948620,0.34301440,0.94063480,0.32858660,0.38200380,0.95265980,0.31857320,0.38425430,0.92733740,0.30959040,0.35194830,0.93030860,0.34368140,0.38735500,0.93326560,0.32974560,0.38359420,0.91075620,0.31727330,0.35072480,0.87669700,0.33929760,0.36291720,0.91643040,0.35569020,0.38771600,0.91740700,0.33871910,0.38586690,0.90161930,0.32678230,0.40279000,0.93293730,0.31415440,0.35784890,1.02526300,0.31297400,0.36274470,0.91569170,0.30971870,0.36264960,0.89933450,0.31680210,0.36656320,0.89217670,0.32668490,0,2
0.33109210,0.84741220,0.31729960,0.33109210,0.84741220,0.31729960,0.33109210,0.84741220,0.31729960,0.34049070,0.86810470,0.30716630,0.34731020,0.88681730,0.29320410,0.36612970,0.90838720,0.27930840,0.38840450,0.92560510,0.29666380,0.34030010,0.94360040,0.30879410,0.34795110,0.97991590,0.30948670,0.35362780,1.00300800,0.31000940,0.34274910,0.93945180,0.33012410,0.38158930,0.95200160,0.32017560,0.38440660,0.92684720,0.31088580,0.35175270,0.92906040,0.34513250,0.38712270,0.93250170,0.33121480,0.38356780,0.91000530,0.31865880,0.35052830,0.87546870,0.34051070,0.36277890,0.91513170,0.35702990,0.38764250,0.91673760,0.34020200,0.38619850,0.90102080,0.32811670,0.40250360,0.93203540,0.31511690,0.35598550,1.02456600,0.31314350,0.36315260,0.91474090,0.31081930,0.36277320,0.89831610,0.31811220,0.36711100,0.89115350,0.32778640,0,2
0.32980570,0.84734390,0.31882600,0.32980570,0.84734390,0.31882600,0.32980570,0.84734390,0.31882600,0.33916320,0.86805420,0.30869100,0.34581080,0.88684430,0.29474990,0.36447380,0.90839780,0.28061970,0.38732310,0.92535220,0.29748050,0.33969650,0.94352810,0.31107580,0.34702310,0.97991680,0.31121560,0.35249390,1.00306400,0.31136700,0.34258430,0.93914100,0.33230300,0.38121100,0.95189270,0.32179560,0.38414860,0.92693980,0.31201270,0.35182650,0.92851790,0.34700080,0.38693250,0.93218260,0.33248460,0.38312390,0.90980580,0.31978990,0.35001110,0.87498900,0.34187330,0.36298890,0.91437150,0.35850800,0.38761510,0.91645650,0.34138610,0.38618340,0.90089950,0.32909430,0.40195140,0.93155940,0.31559500,0.35471050,1.02467500,0.31423290,0.36302600,0.91460560,0.31206690,0.36235400,0.89806400,0.31948520,0.36720200,0.89082730,0.32884460,0,2
0.32854580,0.84719170,0.32030330,0.32854580,0.84719170,0.32030330,0.32854580,0.84719170,0.32030330,0.33787430,0.86791880,0.31017600,0.34437470,0.88678130,0.29626340,0.36289570,0.90832760,0.28193670,0.38624400,0.92505590,0.29833330,0.33908100,0.94336040,0.31324100,0.34604470,0.97981850,0.31285580,0.35128660,1.00301900,0.31265480,0.34234820,0.93875240,0.33436620,0.38077890,0.95171170,0.32340390,0.38383700,0.92695960,0.31315880,0.35178840,0.92791800,0.34878120,0.38665820,0.93181430,0.33376450,0.38262780,0.90954750,0.32094570,0.34942830,0.87445580,0.34320040,0.36305660,0.91357480,0.35993620,0.38747930,0.91612210,0.34258680,0.38607320,0.90071810,0.33010090,0.40133770,0.93106840,0.31612880,0.35333900,1.02467800,0.31526040,0.36284120,0.91441110,0.31328280,0.36188740,0.89775030,0.32084000,0.36719070,0.89046040,0.32990640,0,2
0.32730640,0.84697350,0.32174250,0.32730640,0.84697350,0.32174250,0.32730640,0.84697350,0.32174250,0.33661560,0.86771660,0.31163010,0.34305150,0.88665120,0.29778570,0.36165870,0.90802900,0.28331900,0.38550770,0.92449460,0.29925440,0.33845540,0.94311760,0.31531580,0.34577640,0.97950740,0.31518920,0.35118690,1.00267000,0.31516500,0.34205570,0.93830250,0.33634040,0.38030050,0.95156220,0.32509070,0.38314170,0.92695160,0.31445000,0.35166280,0.92727300,0.35049480,0.38634150,0.93162320,0.33516350,0.38234980,0.90948100,0.32211860,0.34879470,0.87388040,0.34450120,0.36301360,0.91274940,0.36132790,0.38733430,0.91595440,0.34394440,0.38620340,0.90086770,0.33104980,0.40098080,0.93028830,0.31679480,0.35350950,1.02427900,0.31795390,0.36211770,0.91445270,0.31471520,0.36168600,0.89754970,0.32211090,0.36750590,0.89028710,0.33054270,0,2
0.32559020,0.84680530,0.32200390,0.32559020,0.84680530,0.32200390,0.32559020,0.84680530,0.32200390,0.33484200,0.86760310,0.31195140,0.34122100,0.88661930,0.29819260,0.35989120,0.90793600,0.28371710,0.38395280,0.92434730,0.29938670,0.33676980,0.94297860,0.31608680,0.34410220,0.97936640,0.31606660,0.34946760,1.00253900,0.31612810,0.34051950,0.93803160,0.33705460,0.37860490,0.95180240,0.32587830,0.38152530,0.92733640,0.31492980,0.35022080,0.92690780,0.35107050,0.38482600,0.93188140,0.33576280,0.38111970,0.90980960,0.32251620,0.34726580,0.87355530,0.34477000,0.36163860,0.91230920,0.36173090,0.38599570,0.91625090,0.34455100,0.38533180,0.90144380,0.33130460,0.39958770,0.93007510,0.31680500,0.35182890,1.02413500,0.31898890,0.36056650,0.91472740,0.31514080,0.36060540,0.89762310,0.32243330,0.36688490,0.89046160,0.33035240,0,2
0.32393970,0.84659040,0.32233540,0.32393970,0.84659040,0.32233540,0.32393970,0.84659040,0.32233540,0.33314480,0.86743800,0.31234320,0.33947510,0.88652980,0.29866700,0.35820870,0.90778550,0.28418360,0.38247170,0.92414550,0.29959420,0.33517630,0.94278590,0.31690860,0.34246480,0.97918250,0.31691230,0.34775450,1.00237300,0.31700630,0.33906200,0.93771200,0.33782120,0.37699760,0.95196380,0.32673930,0.38001020,0.92764570,0.31549080,0.34884600,0.92649660,0.35170580,0.38337860,0.93205960,0.33643690,0.37993500,0.91006010,0.32300050,0.34579490,0.87318490,0.34511190,0.36032050,0.91182430,0.36220320,0.38470690,0.91645910,0.34523900,0.38448510,0.90193360,0.33167000,0.39826160,0.92981170,0.31689230,0.35012160,1.02396400,0.31988890,0.35911990,0.91492250,0.31563080,0.35956300,0.89763800,0.32283970,0.36628450,0.89059200,0.33028730,0,2
0.32237090,0.84634700,0.32270970,0.32237090,0.84634700,0.32270970,0.32237090,0.84634700,0.32270970,0.33153750,0.86723980,0.31277700,0.33774120,0.88639760,0.29913490,0.35633970,0.90772690,0.28458570,0.38073870,0.92404170,0.29982860,0.33368220,0.94255890,0.31774850,0.34096310,0.97895660,0.31792550,0.34618660,1.00216100,0.31815480,0.33769110,0.93736450,0.33860810,0.37547210,0.95209140,0.32761960,0.37857740,0.92790230,0.31612070,0.34754790,0.92606130,0.35236950,0.38198200,0.93200150,0.33702030,0.37901860,0.91004770,0.32339600,0.34439610,0.87279050,0.34549830,0.35907050,0.91131830,0.36271410,0.38337090,0.91628170,0.34571970,0.38335350,0.90180550,0.33209620,0.39669060,0.92964950,0.31699660,0.34845100,1.02374100,0.32120610,0.35775590,0.91506650,0.31620820,0.35882730,0.89733520,0.32316210,0.36533180,0.89019210,0.33062980,0,2
0.32103160,0.84638630,0.32315620,0.32103160,0.84638630,0.32315620,0.32103160,0.84638630,0.32315620,0.33033670,0.86726310,0.31331900,0.33664470,0.88641550,0.29971740,0.35536080,0.90771310,0.28527300,0.37971720,0.92401030,0.30060260,0.33266700,0.94256960,0.31839580,0.33996930,0.97896270,0.31862620,0.34514660,1.00217600,0.31892090,0.33649970,0.93733910,0.33927960,0.37430330,0.95240830,0.32884660,0.37762130,0.92829640,0.31724540,0.34621660,0.92599060,0.35310310,0.38077310,0.93219180,0.33813710,0.37840070,0.91024090,0.32439280,0.34295930,0.87273750,0.34614490,0.35761530,0.91120130,0.36351860,0.38207980,0.91641250,0.34683670,0.38244770,0.90195020,0.33320340,0.39560370,0.92961030,0.31783370,0.34729750,1.02375900,0.32203550,0.35684750,0.91538490,0.31704210,0.35836440,0.89729370,0.32387070,0.36461490,0.89009060,0.33143060,0,2
