RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.03319427,1.20295900,0.46334170,-0.03319427,1.20295900,0.46334170,-0.03319427,1.20295900,0.46334170,-0.00998766,1.20921500,0.46073630,0.01314173,1.21228200,0.45698800,0.04291326,1.21674400,0.46402280,0.06442343,1.23554600,0.47872860,0.03621443,1.26004400,0.43496370,0.06533960,1.27441300,0.45064160,0.07824924,1.26700900,0.46832080,0.02269120,1.27253400,0.44556980,0.05381549,1.27056500,0.47190320,0.04197849,1.24778200,0.47710210,0.01199932,1.27631900,0.46176900,0.04034272,1.27081500,0.48503380,0.03176499,1.24716000,0.48733370,-0.01948385,1.23777600,0.47776190,0.00183207,1.27553000,0.47986590,0.02610637,1.26935400,0.49489510,0.02089714,1.25092500,0.49240060,0.08292976,1.24507300,0.48944510,0.08982049,1.26170500,0.48538450,0.02429731,1.24149300,0.46252210,0.01413191,1.24205600,0.47317590,0.00618444,1.24489100,0.47887150,13,5
-0.03365276,1.20313800,0.46353140,-0.03365276,1.20313800,0.46353140,-0.03365276,1.20313800,0.46353140,-0.01046403,1.20945200,0.46090690,0.01264225,1.21250800,0.45700940,0.04247222,1.21701600,0.46376100,0.06391731,1.23596900,0.47836790,0.03559064,1.26037700,0.43506030,0.06456912,1.27494100,0.45083050,0.07754244,1.26763100,0.46850240,0.02204099,1.27284100,0.44566250,0.05306849,1.27068100,0.47209490,0.04114885,1.24791300,0.47716970,0.01134856,1.27661400,0.46186430,0.03971103,1.27121000,0.48512930,0.03123684,1.24751900,0.48744200,-0.02002487,1.23800400,0.47791130,0.00119378,1.27581500,0.47996780,0.02552681,1.26985000,0.49498690,0.02041954,1.25138600,0.49253940,0.08245562,1.24556800,0.48896470,0.08915004,1.26239800,0.48556330,0.02352410,1.24183800,0.46243170,0.01362165,1.24229900,0.47330430,0.00572756,1.24523700,0.47903940,13,5
-0.03409972,1.20330500,0.46370260,-0.03409972,1.20330500,0.46370260,-0.03409972,1.20330500,0.46370260,-0.01093301,1.20968500,0.46104240,0.01215155,1.21276800,0.45703900,0.04200241,1.21728500,0.46369190,0.06342952,1.23628100,0.47826930,0.03493849,1.26072600,0.43509900,0.06384347,1.27529000,0.45100380,0.07673436,1.26785200,0.46868280,0.02136698,1.27315800,0.44571110,0.05237932,1.27095300,0.47215760,0.04043895,1.24818400,0.47717810,0.01068553,1.27691100,0.46192480,0.03904061,1.27149300,0.48519550,0.03063386,1.24777400,0.48746890,-0.02055385,1.23822100,0.47804040,0.00055756,1.27609500,0.48004250,0.02494182,1.27025700,0.49502860,0.01986702,1.25178200,0.49259130,0.08200181,1.24587300,0.48881160,0.08823653,1.26245300,0.48576320,0.02284201,1.24222900,0.46235790,0.01303557,1.24248500,0.47333570,0.00516615,1.24560700,0.47911330,13,5
-0.03433579,1.20371100,0.46347410,-0.03433579,1.20371100,0.46347410,-0.03433579,1.20371100,0.46347410,-0.01116521,1.21006800,0.46079520,0.01191618,1.21308400,0.45672260,0.04178555,1.21755100,0.46332610,0.06322165,1.23660100,0.47781860,0.03474160,1.26093500,0.43457190,0.06358633,1.27551200,0.45057330,0.07635067,1.26803300,0.46832660,0.02116293,1.27343700,0.44509240,0.05208665,1.27122600,0.47164200,0.04003869,1.24852300,0.47670310,0.01046717,1.27729400,0.46127200,0.03874309,1.27190000,0.48464430,0.03032213,1.24819300,0.48699330,-0.02079566,1.23871300,0.47760310,0.00032214,1.27659500,0.47938510,0.02469860,1.27086700,0.49442640,0.01959635,1.25238800,0.49209020,0.08183432,1.24618600,0.48829670,0.08771160,1.26255800,0.48547720,0.02248678,1.24266300,0.46179200,0.01275612,1.24281000,0.47285560,0.00489773,1.24615600,0.47863590,13,5
-0.03457997,1.20409000,0.46326320,-0.03457997,1.20409000,0.46326320,-0.03457997,1.20409000,0.46326320,-0.01141031,1.21043800,0.46055320,0.01166353,1.21339900,0.45639840,0.04155312,1.21782200,0.46293890,0.06300052,1.23692600,0.47734520,0.03449024,1.26116500,0.43405040,0.06328136,1.27576900,0.45012380,0.07594734,1.26826100,0.46793500,0.02090625,1.27372300,0.44449630,0.05175663,1.27149700,0.47112980,0.03961254,1.24885200,0.47622100,0.01020598,1.27767100,0.46065130,0.03842040,1.27229400,0.48410190,0.02999613,1.24859500,0.48651780,-0.02105131,1.23917600,0.47719530,0.00005709,1.27707200,0.47876590,0.02443507,1.27144100,0.49384100,0.01930712,1.25295700,0.49159680,0.08165692,1.24650100,0.48775380,0.08719430,1.26272300,0.48514070,0.02210003,1.24308900,0.46122600,0.01245447,1.24311800,0.47238610,0.00460378,1.24667000,0.47817320,13,5
-0.03483070,1.20444900,0.46306600,-0.03483070,1.20444900,0.46306600,-0.03483070,1.20444900,0.46306600,-0.01166571,1.21079600,0.46031510,0.01140218,1.21373600,0.45611250,0.04130834,1.21823600,0.46252430,0.06262883,1.23754300,0.47684640,0.03419588,1.26141200,0.43353250,0.06306516,1.27569000,0.44975720,0.07550605,1.26798600,0.46764280,0.02060796,1.27401600,0.44391740,0.05134936,1.27164300,0.47066400,0.03909341,1.24905900,0.47576110,0.00991077,1.27804200,0.46005520,0.03803189,1.27252400,0.48358510,0.02943934,1.24888300,0.48597300,-0.02131815,1.23961500,0.47681040,-0.00023169,1.27753200,0.47817610,0.02420579,1.27221800,0.49327020,0.01914357,1.25370500,0.49111640,0.08121616,1.24728800,0.48722100,0.08651824,1.26220800,0.48492130,0.02160708,1.24337800,0.46070470,0.01190445,1.24350000,0.47179670,0.00444574,1.24735500,0.47771660,13,5
-0.03524584,1.20445400,0.46269290,-0.03524584,1.20445400,0.46269290,-0.03524584,1.20445400,0.46269290,-0.01208608,1.21074900,0.45978400,0.01096148,1.21361300,0.45542070,0.04092139,1.21813000,0.46156370,0.06222886,1.23760900,0.47567200,0.03371153,1.26111700,0.43243200,0.06275166,1.27505100,0.44865170,0.07503851,1.26716700,0.46656580,0.02019297,1.27381100,0.44279890,0.05094756,1.27128500,0.46951630,0.03856436,1.24879400,0.47471510,0.00958189,1.27796000,0.45896210,0.03771067,1.27229700,0.48244800,0.02892749,1.24873200,0.48489330,-0.02161633,1.23969200,0.47613180,-0.00047086,1.27758700,0.47713620,0.02407705,1.27253600,0.49214100,0.01902419,1.25400500,0.49012700,0.08082159,1.24748900,0.48590800,0.08588766,1.26117300,0.48387380,0.02102390,1.24320000,0.45968910,0.01132423,1.24344100,0.47076710,0.00425621,1.24760300,0.47682950,13,5
-0.03565232,1.20447200,0.46234300,-0.03565232,1.20447200,0.46234300,-0.03565232,1.20447200,0.46234300,-0.01250113,1.21072500,0.45927970,0.01052376,1.21352300,0.45475700,0.04053345,1.21806000,0.46063710,0.06182501,1.23770300,0.47454020,0.03320946,1.26087400,0.43138430,0.06240539,1.27447200,0.44760900,0.07454021,1.26641600,0.46555000,0.01975504,1.27364600,0.44173790,0.05052397,1.27097500,0.46842480,0.03802589,1.24857000,0.47371690,0.00922848,1.27790800,0.45792710,0.03736750,1.27210700,0.48136720,0.02841162,1.24861200,0.48386490,-0.02192163,1.23978000,0.47549200,-0.00073423,1.27765900,0.47615290,0.02392047,1.27285500,0.49106320,0.01887881,1.25430700,0.48917860,0.08042319,1.24771200,0.48464020,0.08522655,1.26021300,0.48288580,0.02043489,1.24306000,0.45871880,0.01074359,1.24340400,0.46978890,0.00404320,1.24785500,0.47598070,13,5
-0.03605234,1.20450000,0.46201120,-0.03605234,1.20450000,0.46201120,-0.03605234,1.20450000,0.46201120,-0.01291246,1.21071900,0.45879610,0.01007899,1.21342300,0.45405140,0.04015710,1.21792000,0.45960330,0.06145228,1.23770500,0.47329890,0.03269266,1.26066900,0.43037710,0.06215414,1.27344300,0.44679060,0.07400868,1.26511500,0.46479450,0.01929833,1.27351300,0.44072130,0.05017143,1.27090500,0.46729390,0.03767201,1.24854900,0.47278780,0.00885508,1.27787800,0.45693700,0.03704207,1.27203500,0.48030880,0.02790993,1.24861100,0.48283820,-0.02223295,1.23987700,0.47488210,-0.00101722,1.27774400,0.47521310,0.02372841,1.27318300,0.49004910,0.01868302,1.25463400,0.48818930,0.08005688,1.24783900,0.48326130,0.08442366,1.25861900,0.48218800,0.01999667,1.24295900,0.45791900,0.01017904,1.24351800,0.46879930,0.00379298,1.24824400,0.47502270,13,5
-0.03678002,1.20395500,0.46187540,-0.03678002,1.20395500,0.46187540,-0.03678002,1.20395500,0.46187540,-0.01363387,1.21008800,0.45854070,0.00932682,1.21266200,0.45357990,0.03948902,1.21696600,0.45881990,0.06087147,1.23669100,0.47246470,0.03200982,1.25993300,0.43000040,0.06175693,1.27165800,0.44667970,0.07331208,1.26287400,0.46466160,0.01873139,1.27280100,0.44046320,0.04971655,1.26989200,0.46687360,0.03713385,1.24758400,0.47237080,0.00840345,1.27716000,0.45675410,0.03663755,1.27096300,0.47997740,0.02725468,1.24762200,0.48234310,-0.02273596,1.23923500,0.47477010,-0.00136012,1.27701200,0.47508840,0.02347305,1.27246700,0.48978250,0.01835156,1.25395300,0.48778850,0.07952966,1.24679100,0.48236110,0.08343989,1.25591200,0.48204460,0.01934382,1.24212400,0.45759050,0.00943118,1.24282400,0.46831730,0.00337055,1.24779400,0.47461510,13,5
