RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.40221200,0.91486190,0.41259340,0.40221200,0.91486190,0.41259340,0.40221200,0.91486190,0.41259340,0.41229910,0.93318690,0.40047260,0.42219430,0.94903090,0.38599910,0.44451750,0.96742490,0.37508710,0.46486540,0.99202430,0.37873620,0.40721090,1.00443200,0.38371840,0.43829820,1.02243100,0.38052760,0.46129440,1.02015500,0.38035910,0.40446940,1.00548900,0.40475960,0.44318340,1.01810600,0.40191440,0.44706550,0.99232660,0.39934760,0.40981210,1.00007000,0.42301200,0.44601120,1.00673800,0.41853390,0.44824720,0.98310590,0.40987470,0.41300820,0.94857730,0.43143090,0.41803300,0.99088570,0.43973220,0.44584820,0.99502660,0.43183120,0.44508940,0.97913120,0.42088770,0.48184100,1.00813700,0.37928350,0.48213260,1.01603400,0.38176750,0.42693840,0.97989650,0.39708110,0.42835900,0.97148570,0.40725700,0.42701720,0.96980330,0.41616690,13,2
0.39991410,0.91543490,0.41223830,0.39991410,0.91543490,0.41223830,0.39991410,0.91543490,0.41223830,0.41002940,0.93377880,0.40016960,0.42000770,0.94964560,0.38577840,0.44234210,0.96814440,0.37506840,0.46253720,0.99285950,0.37878330,0.40477190,1.00496300,0.38320760,0.43602960,1.02266800,0.38004360,0.45899970,1.02014000,0.38017580,0.40183110,1.00605300,0.40422010,0.44048480,1.01891800,0.40168230,0.44454740,0.99315330,0.39925620,0.40702930,1.00070000,0.42253330,0.44326450,1.00737500,0.41836870,0.44559220,0.98375230,0.40970800,0.41038190,0.94924120,0.43109830,0.41513700,0.99159050,0.43934960,0.44300470,0.99552210,0.43152730,0.44214620,0.97956510,0.42068130,0.47944350,1.00904500,0.37932150,0.47977580,1.01582600,0.38189130,0.42454560,0.98054730,0.39685590,0.42574260,0.97211000,0.40690230,0.42405330,0.97029600,0.41592360,13,2
0.39766960,0.91597890,0.41192160,0.39766960,0.91597890,0.41192160,0.39766960,0.91597890,0.41192160,0.40780770,0.93434230,0.39990180,0.41783120,0.95021810,0.38555190,0.44013940,0.96881990,0.37496670,0.46014340,0.99365810,0.37888910,0.40237500,1.00546300,0.38273150,0.43357530,1.02329600,0.37972150,0.45654490,1.02078600,0.38008220,0.39924200,1.00658700,0.40371440,0.43781410,1.01974500,0.40145300,0.44212740,0.99400550,0.39919750,0.40430130,1.00129800,0.42208540,0.44051550,1.00830400,0.41829830,0.44311780,0.98470900,0.40964210,0.40781350,0.94987520,0.43079700,0.41230040,0.99226430,0.43899390,0.44021420,0.99672350,0.43163220,0.43994570,0.98079160,0.42071900,0.47696460,1.00993000,0.37950180,0.47729430,1.01643900,0.38202390,0.42223970,0.98124240,0.39668240,0.42337830,0.97292980,0.40663860,0.42224180,0.97103290,0.41549950,13,2
0.39502540,0.91612510,0.41177030,0.39502540,0.91612510,0.41177030,0.39502540,0.91612510,0.41177030,0.40532960,0.93448670,0.39989010,0.41552340,0.95036270,0.38566080,0.43795290,0.96894310,0.37529630,0.45795750,0.99372850,0.37953690,0.40027330,1.00566600,0.38285020,0.43157790,1.02335600,0.38007920,0.45452120,1.02065500,0.38067000,0.39695190,1.00674800,0.40380630,0.43554320,1.01990500,0.40189320,0.43989090,0.99416700,0.39968580,0.40182640,1.00139800,0.42220940,0.43807400,1.00844100,0.41883370,0.44075280,0.98489240,0.41007440,0.40510030,0.94994260,0.43082310,0.40964250,0.99229710,0.43916750,0.43762770,0.99700460,0.43224480,0.43775000,0.98114990,0.42121700,0.47482010,1.00995100,0.38029900,0.47520220,1.01609200,0.38283020,0.42001570,0.98142080,0.39699130,0.42102730,0.97315700,0.40681720,0.42033240,0.97113540,0.41553900,13,2
0.39243650,0.91628720,0.41163040,0.39243650,0.91628720,0.41163040,0.39243650,0.91628720,0.41163040,0.40288980,0.93464880,0.39988100,0.41323860,0.95052530,0.38576480,0.43577440,0.96909320,0.37561040,0.45576210,0.99383990,0.38014640,0.39815350,1.00587500,0.38294390,0.42956280,1.02341100,0.38039450,0.45247570,1.02052000,0.38121750,0.39464690,1.00692200,0.40387160,0.43324660,1.02009800,0.40229360,0.43763490,0.99436260,0.40014500,0.39934380,1.00152200,0.42230650,0.43561850,1.00860500,0.41932760,0.43837830,0.98509940,0.41047770,0.40241970,0.95004170,0.43084260,0.40698630,0.99236800,0.43931510,0.43503310,0.99728070,0.43279560,0.43550780,0.98149500,0.42167870,0.47265530,1.01002300,0.38104360,0.47308490,1.01574600,0.38359900,0.41777900,0.98162340,0.39728120,0.41867160,0.97340210,0.40697880,0.41836460,0.97125450,0.41558370,13,2
0.38988930,0.91646210,0.41149970,0.38988930,0.91646210,0.41149970,0.38988930,0.91646210,0.41149970,0.40047850,0.93482480,0.39987440,0.41102720,0.95072900,0.38593830,0.43360180,0.96940270,0.37606850,0.45352420,0.99419700,0.38063190,0.39601860,1.00608800,0.38301870,0.42715120,1.02417100,0.38093990,0.45006220,1.02130700,0.38189720,0.39232970,1.00710500,0.40391650,0.43099560,1.02012700,0.40271670,0.43542160,0.99440090,0.40052470,0.39685430,1.00166600,0.42238270,0.43314880,1.00878800,0.41975970,0.43611730,0.98531500,0.41089120,0.39976300,0.95016570,0.43085710,0.40433030,0.99246940,0.43944220,0.43241130,0.99765950,0.43329600,0.43316250,0.98185160,0.42222610,0.47038020,1.01041700,0.38156930,0.47062440,1.01638300,0.38437660,0.41560110,0.98165860,0.39743840,0.41651910,0.97351180,0.40714760,0.41623410,0.97139940,0.41589480,13,2
0.38788090,0.91660710,0.41199890,0.38788090,0.91660710,0.41199890,0.38788090,0.91660710,0.41199890,0.39866900,0.93489730,0.40044240,0.40942820,0.95075880,0.38661910,0.43212930,0.96933310,0.37685230,0.45227480,0.99396070,0.38133790,0.39501520,1.00628100,0.38390570,0.42608110,1.02449900,0.38201260,0.44896230,1.02138100,0.38288700,0.39136120,1.00724900,0.40481200,0.43019890,1.01975100,0.40363670,0.43438090,0.99399720,0.40129610,0.39584290,1.00167600,0.42324890,0.43219940,1.00848000,0.42064060,0.43504550,0.98503580,0.41165680,0.39816500,0.95010850,0.43149320,0.40323070,0.99231820,0.44025920,0.43133490,0.99749340,0.43420670,0.43207840,0.98169090,0.42312850,0.46926560,1.01004400,0.38220110,0.46944050,1.01607200,0.38526340,0.41443790,0.98146090,0.39815530,0.41539630,0.97334350,0.40783330,0.41519130,0.97122890,0.41670390,13,2
0.38585670,0.91676330,0.41245110,0.38585670,0.91676330,0.41245110,0.38585670,0.91676330,0.41245110,0.39682900,0.93498670,0.40096260,0.40778580,0.95080750,0.38724830,0.43059930,0.96929960,0.37758800,0.45093130,0.99378420,0.38201500,0.39390540,1.00646900,0.38470710,0.42491930,1.02479300,0.38300250,0.44776710,1.02142500,0.38382170,0.39026800,1.00739200,0.40561830,0.42925330,1.01943000,0.40448710,0.43322040,0.99365440,0.40201930,0.39469780,1.00170100,0.42403170,0.43110830,1.00822600,0.42146310,0.43385960,0.98481070,0.41237420,0.39649130,0.95008030,0.43207290,0.40199410,0.99220090,0.44100250,0.43012050,0.99737830,0.43505620,0.43087830,0.98157860,0.42397520,0.46803640,1.00974900,0.38281450,0.46815360,1.01574200,0.38612130,0.41317270,0.98130180,0.39881810,0.41417180,0.97321310,0.40846160,0.41404750,0.97108850,0.41744950,13,2
0.38382000,0.91692830,0.41286630,0.38382000,0.91692830,0.41286630,0.38382000,0.91692830,0.41286630,0.39496490,0.93508920,0.40144530,0.40606950,0.95085440,0.38778590,0.42904710,0.96917470,0.37818710,0.44964970,0.99346850,0.38240920,0.39271180,1.00665200,0.38544210,0.42387150,1.02473900,0.38385180,0.44669280,1.02119200,0.38465620,0.38907670,1.00753500,0.40635540,0.42821340,1.01908000,0.40531360,0.43185510,0.99327330,0.40267810,0.39344770,1.00173800,0.42474970,0.42992640,1.00786400,0.42216530,0.43256290,0.98444280,0.41305760,0.39475820,0.95007530,0.43260880,0.40065010,0.99211100,0.44168880,0.42881440,0.99712570,0.43578260,0.42976680,0.98136400,0.42466240,0.46688460,1.00929300,0.38320490,0.46701400,1.01527000,0.38693050,0.41168100,0.98115090,0.39939140,0.41284970,0.97290890,0.40908530,0.41309660,0.97075420,0.41792130,13,2
0.38323070,0.91665240,0.41332430,0.38323070,0.91665240,0.41332430,0.38323070,0.91665240,0.41332430,0.39421190,0.93490050,0.40188350,0.40514070,0.95076130,0.38819310,0.42795550,0.96921630,0.37846510,0.44854150,0.99358460,0.38232310,0.39156630,1.00652100,0.38619940,0.42261590,1.02478100,0.38445570,0.44545920,1.02133500,0.38504000,0.38810920,1.00730400,0.40714680,0.42723200,1.01887000,0.40584650,0.43086690,0.99308400,0.40300180,0.39265970,1.00144700,0.42547830,0.42909940,1.00765500,0.42256310,0.43184100,0.98427260,0.41338780,0.39422150,0.94975630,0.43310980,0.40004250,0.99177490,0.44231430,0.42812460,0.99700310,0.43620540,0.42936330,0.98130180,0.42502820,0.46570860,1.00949000,0.38295680,0.46580490,1.01541900,0.38710370,0.41069780,0.98092910,0.39980560,0.41221420,0.97255710,0.40952040,0.41292930,0.97037230,0.41821830,13,2
