RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.04532472,0.91482690,0.42857080,-0.04532472,0.91482690,0.42857080,-0.04532472,0.91482690,0.42857080,-0.03083043,0.93372190,0.42440390,-0.01476562,0.95010260,0.41874480,0.00838907,0.96969760,0.42471390,0.02467315,0.99535450,0.43515590,-0.02762938,1.00333300,0.40145900,-0.00782801,1.02769400,0.41920800,0.00872119,1.03455700,0.43380440,-0.04378520,1.00481500,0.41517600,-0.01244157,1.01607500,0.43877370,-0.00787202,0.99030360,0.43986140,-0.05169868,1.00066400,0.43281700,-0.02093459,1.00648200,0.45268200,-0.01235594,0.98296980,0.44921450,-0.05190349,0.95016990,0.44633960,-0.05623076,0.99303900,0.45160040,-0.02926458,0.99607920,0.46240960,-0.02149690,0.97947810,0.45632170,0.03748895,1.01272400,0.44421920,0.02277745,1.04162800,0.44814380,-0.02092149,0.97660110,0.42548440,-0.02270761,0.96757940,0.43530760,-0.02908823,0.96614550,0.44216130,13,0
-0.04468861,0.91469400,0.42845560,-0.04468861,0.91469400,0.42845560,-0.04468861,0.91469400,0.42845560,-0.03026703,0.93363570,0.42424850,-0.01427974,0.95014980,0.41876030,0.00857414,0.97010110,0.42470870,0.02427159,0.99606000,0.43530130,-0.02734455,1.00323500,0.40122920,-0.00717908,1.02704800,0.41930860,0.00954029,1.03321200,0.43402240,-0.04348549,1.00467400,0.41496830,-0.01224070,1.01645800,0.43844020,-0.00725986,0.99077910,0.43984720,-0.05135858,1.00051200,0.43262500,-0.02059358,1.00649100,0.45244070,-0.01179807,0.98304130,0.44909550,-0.05136589,0.95003150,0.44619850,-0.05583641,0.99289040,0.45142260,-0.02884355,0.99594610,0.46216060,-0.02090106,0.97939320,0.45616780,0.03662053,1.01368300,0.44452130,0.02390390,1.03919100,0.44855310,-0.02006427,0.97663690,0.42567700,-0.02202315,0.96750810,0.43525410,-0.02836660,0.96594490,0.44204990,13,0
-0.04433419,0.91445060,0.42877050,-0.04433419,0.91445060,0.42877050,-0.04433419,0.91445060,0.42877050,-0.02996788,0.93341180,0.42446300,-0.01404896,0.95001790,0.41905430,0.00859822,0.97023060,0.42490990,0.02386554,0.99641250,0.43558220,-0.02728609,1.00298300,0.40132900,-0.00667846,1.02623900,0.41963290,0.01024427,1.03174500,0.43437540,-0.04335973,1.00441300,0.41514770,-0.01209438,1.01659400,0.43838860,-0.00678422,0.99099640,0.44005490,-0.05113583,1.00026300,0.43285010,-0.02028157,1.00632900,0.45249980,-0.01133431,0.98292390,0.44924540,-0.05098442,0.94980190,0.44649610,-0.05550476,0.99266030,0.45168110,-0.02844008,0.99568250,0.46224650,-0.02038366,0.97915950,0.45632350,0.03586739,1.01422400,0.44489800,0.02489295,1.03677600,0.44898040,-0.01943443,0.97648060,0.42612610,-0.02151045,0.96726350,0.43551160,-0.02780136,0.96560500,0.44228230,13,0
-0.04398569,0.91422880,0.42903060,-0.04398569,0.91422880,0.42903060,-0.04398569,0.91422880,0.42903060,-0.02967177,0.93320890,0.42463320,-0.01381117,0.94986580,0.41920930,0.00866377,0.97034350,0.42480160,0.02344825,0.99678530,0.43551300,-0.02721539,1.00275500,0.40139960,-0.00608219,1.02536500,0.41991210,0.01108667,1.02989600,0.43470180,-0.04322759,1.00417500,0.41529040,-0.01195697,1.01674600,0.43831590,-0.00655044,0.99117330,0.44005640,-0.05091491,1.00003500,0.43303370,-0.02001454,1.00631200,0.45254390,-0.01098360,0.98293330,0.44933490,-0.05061448,0.94959110,0.44674230,-0.05518402,0.99244830,0.45189420,-0.02810155,0.99564150,0.46236320,-0.02001421,0.97912390,0.45646750,0.03503054,1.01482400,0.44492320,0.02607155,1.03349600,0.44938840,-0.01924657,0.97661810,0.42621080,-0.02120706,0.96723660,0.43567790,-0.02750601,0.96553500,0.44249900,13,0
-0.04364753,0.91399620,0.42957460,-0.04364753,0.91399620,0.42957460,-0.04364753,0.91399620,0.42957460,-0.02939393,0.93302860,0.42520770,-0.01358488,0.94977070,0.41989690,0.00863162,0.97054330,0.42543440,0.02278841,0.99725430,0.43632440,-0.02712777,1.00254800,0.40187590,-0.00571998,1.02458400,0.42076160,0.01151546,1.02820600,0.43572360,-0.04320398,1.00392300,0.41569710,-0.01215775,1.01693100,0.43878320,-0.00661034,0.99139760,0.44064280,-0.05094865,0.99977860,0.43341440,-0.02018547,1.00632700,0.45305210,-0.01098611,0.98299550,0.44997510,-0.05049706,0.94935800,0.44720300,-0.05526559,0.99220380,0.45226860,-0.02826259,0.99561880,0.46287210,-0.02004929,0.97912530,0.45708400,0.03383296,1.01552300,0.44593480,0.02661395,1.03044800,0.45056290,-0.01919017,0.97676470,0.42677300,-0.02109177,0.96722900,0.43631080,-0.02745110,0.96547440,0.44312800,13,0
-0.04331255,0.91377880,0.43005940,-0.04331255,0.91377880,0.43005940,-0.04331255,0.91377880,0.43005940,-0.02911663,0.93286050,0.42571930,-0.01335818,0.94968270,0.42051200,0.00861025,0.97073450,0.42598430,0.02215587,0.99769320,0.43703990,-0.02703256,1.00235600,0.40229790,-0.00536905,1.02383000,0.42153640,0.01190718,1.02655200,0.43664110,-0.04316607,1.00368800,0.41605640,-0.01233141,1.01710400,0.43919240,-0.00664835,0.99160810,0.44116070,-0.05096142,0.99953750,0.43375020,-0.02032367,1.00633000,0.45350060,-0.01096415,0.98304680,0.45054880,-0.05036596,0.94913850,0.44761170,-0.05532006,0.99197240,0.45259880,-0.02839022,0.99558920,0.46332070,-0.02005647,0.97911970,0.45763740,0.03267484,1.01617100,0.44683750,0.02705485,1.02744600,0.45157260,-0.01911670,0.97689850,0.42727130,-0.02095759,0.96721240,0.43688040,-0.02737237,0.96540730,0.44369640,13,0
-0.04298004,0.91357360,0.43049750,-0.04298004,0.91357360,0.43049750,-0.04298004,0.91357360,0.43049750,-0.02883975,0.93270190,0.42618140,-0.01312334,0.94956510,0.42097960,0.00866463,0.97084940,0.42627100,0.02166732,0.99803360,0.43742580,-0.02693146,1.00217400,0.40267710,-0.00511965,1.02325900,0.42217670,0.01216958,1.02519100,0.43738800,-0.04311702,1.00346400,0.41637830,-0.01248527,1.01727500,0.43955190,-0.00665034,0.99182310,0.44164450,-0.05095785,0.99930810,0.43405060,-0.02044556,1.00636900,0.45390080,-0.01105041,0.98309160,0.45101730,-0.05022420,0.94892950,0.44797950,-0.05535339,0.99175130,0.45289390,-0.02851215,0.99563650,0.46374330,-0.02017104,0.97915200,0.45811460,0.03175637,1.01669400,0.44732900,0.02731017,1.02480400,0.45234840,-0.01904254,0.97709200,0.42770980,-0.02106316,0.96728820,0.43732720,-0.02751253,0.96543350,0.44419300,13,0
-0.04327995,0.91346190,0.43075410,-0.04327995,0.91346190,0.43075410,-0.04327995,0.91346190,0.43075410,-0.02916586,0.93262850,0.42652290,-0.01346771,0.94952600,0.42137760,0.00818755,0.97097320,0.42655480,0.02072085,0.99829660,0.43790510,-0.02733736,1.00217400,0.40323120,-0.00531868,1.02274500,0.42304520,0.01198600,1.02379800,0.43832500,-0.04355168,1.00339400,0.41690490,-0.01306275,1.01743200,0.44013010,-0.00712143,0.99200530,0.44222610,-0.05141915,0.99917090,0.43454930,-0.02098753,1.00634600,0.45448240,-0.01159511,0.98307220,0.45155830,-0.05062162,0.94875190,0.44832820,-0.05583749,0.99154940,0.45336120,-0.02905959,0.99559190,0.46430930,-0.02073820,0.97910470,0.45865920,0.03043342,1.01706600,0.44797770,0.02708022,1.02206500,0.45323670,-0.01948025,0.97732810,0.42820530,-0.02166592,0.96736900,0.43779570,-0.02813646,0.96544490,0.44471000,13,0
-0.04353078,0.91335100,0.43099320,-0.04353078,0.91335100,0.43099320,-0.04353078,0.91335100,0.43099320,-0.02944404,0.93255480,0.42684000,-0.01376540,0.94948600,0.42174650,0.00775766,0.97109290,0.42680960,0.01983213,0.99854560,0.43834380,-0.02770007,1.00216700,0.40374050,-0.00548504,1.02223100,0.42385180,0.01181220,1.02243400,0.43917500,-0.04394167,1.00332000,0.41738750,-0.01359342,1.01758400,0.44065920,-0.00754657,0.99218270,0.44276240,-0.05183377,0.99903430,0.43500600,-0.02147993,1.00632300,0.45501640,-0.01208363,0.98305440,0.45206050,-0.05096926,0.94857970,0.44864950,-0.05627268,0.99135380,0.45378900,-0.02955616,0.99554890,0.46482920,-0.02124735,0.97906010,0.45916540,0.02917566,1.01741500,0.44857700,0.02680378,1.01941100,0.45398430,-0.01987038,0.97755150,0.42866280,-0.02220528,0.96744140,0.43823270,-0.02869398,0.96544970,0.44519360,13,0
-0.04374322,0.91324070,0.43121890,-0.04374322,0.91324070,0.43121890,-0.04374322,0.91324070,0.43121890,-0.02968478,0.93248070,0.42713820,-0.01402499,0.94943810,0.42207400,0.00744584,0.97109960,0.42712580,0.01927425,0.99858810,0.43882830,-0.02802907,1.00215300,0.40421480,-0.00587792,1.02234500,0.42426880,0.01139613,1.02234700,0.43961940,-0.04429675,1.00324200,0.41783610,-0.01406139,1.01771600,0.44112510,-0.00782070,0.99237720,0.44340610,-0.05221188,0.99889830,0.43542980,-0.02196607,1.00641800,0.45551800,-0.01249798,0.98317310,0.45260910,-0.05127795,0.94841150,0.44894950,-0.05666957,0.99116280,0.45418580,-0.03002374,0.99553440,0.46532800,-0.02165929,0.97908160,0.45964140,0.02842353,1.01748200,0.44919200,0.02631856,1.01885200,0.45439450,-0.02001997,0.97760810,0.42934200,-0.02256027,0.96753100,0.43877090,-0.02907168,0.96549830,0.44562510,13,0
