RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.22874740,0.90604750,0.31447570,-0.22874740,0.90604750,0.31447570,-0.22874740,0.90604750,0.31447570,-0.21219020,0.91511200,0.32958080,-0.19615890,0.92203210,0.34550370,-0.18344550,0.92922750,0.37274950,-0.17437480,0.94291530,0.40036920,-0.17716150,0.97583260,0.35122500,-0.16576310,0.98002210,0.38518210,-0.16529010,0.96994260,0.40597190,-0.19717400,0.98296080,0.35145090,-0.18871160,0.97985030,0.39125990,-0.19539850,0.95476930,0.38773330,-0.21620270,0.98040700,0.35618870,-0.20798100,0.97354660,0.39168840,-0.21005080,0.94933460,0.38476490,-0.23796210,0.93582840,0.33970110,-0.23474790,0.97299220,0.36189770,-0.22432210,0.96770040,0.38866630,-0.22235620,0.94951340,0.38247240,-0.16753740,0.95053320,0.42142400,-0.16805200,0.95792840,0.42332770,-0.19917130,0.94720770,0.36552210,-0.21322330,0.94468960,0.36227540,-0.22333210,0.94294030,0.36267980,13,3
-0.22863270,0.90580160,0.31469310,-0.22863270,0.90580160,0.31469310,-0.22863270,0.90580160,0.31469310,-0.21208930,0.91491640,0.32978320,-0.19605100,0.92188250,0.34567890,-0.18328890,0.92917500,0.37287600,-0.17420540,0.94295850,0.40044390,-0.17718350,0.97573320,0.35135540,-0.16591600,0.98015160,0.38532720,-0.16543310,0.97006550,0.40611360,-0.19721120,0.98281840,0.35158200,-0.18881320,0.97957180,0.39139380,-0.19543060,0.95449440,0.38771330,-0.21623260,0.98022830,0.35632950,-0.20804050,0.97316460,0.39179620,-0.21004800,0.94897440,0.38477900,-0.23790210,0.93558700,0.33989320,-0.23475960,0.97277900,0.36205260,-0.22430660,0.96732130,0.38877730,-0.22234920,0.94916290,0.38249730,-0.16746830,0.95071920,0.42147890,-0.16820130,0.95793370,0.42338650,-0.19914320,0.94702270,0.36546160,-0.21318620,0.94437330,0.36227560,-0.22334350,0.94267900,0.36267620,13,3
-0.22807290,0.90509380,0.31505210,-0.22807290,0.90509380,0.31505210,-0.22807290,0.90509380,0.31505210,-0.21143550,0.91421280,0.33003580,-0.19529060,0.92118410,0.34582100,-0.18233770,0.92857800,0.37290030,-0.17306270,0.94248310,0.40034300,-0.17623710,0.97499750,0.35121970,-0.16493650,0.97966870,0.38514660,-0.16441240,0.96964380,0.40596150,-0.19624020,0.98215010,0.35150330,-0.18776310,0.97885440,0.39129430,-0.19446280,0.95380410,0.38757840,-0.21524960,0.97964190,0.35634160,-0.20698420,0.97245250,0.39176600,-0.20909050,0.94827210,0.38474390,-0.23713650,0.93500860,0.34017360,-0.23377670,0.97227690,0.36217260,-0.22322510,0.96668840,0.38883140,-0.22139400,0.94852620,0.38252440,-0.16629550,0.95040210,0.42130920,-0.16717820,0.95747490,0.42320880,-0.19824590,0.94636770,0.36532680,-0.21230940,0.94366510,0.36225310,-0.22251400,0.94206330,0.36270310,13,3
-0.22753930,0.90440110,0.31541740,-0.22753930,0.90440110,0.31541740,-0.22753930,0.90440110,0.31541740,-0.21081390,0.91352850,0.33029760,-0.19456780,0.92050870,0.34597470,-0.18143320,0.92800050,0.37293930,-0.17197850,0.94202230,0.40026100,-0.17535330,0.97429090,0.35110500,-0.16401720,0.97920320,0.38498600,-0.16344630,0.96924200,0.40583020,-0.19533430,0.98150250,0.35144370,-0.18677720,0.97816740,0.39121430,-0.19354850,0.95314030,0.38747250,-0.21433080,0.97906770,0.35636980,-0.20599130,0.97176550,0.39175370,-0.20818590,0.94759310,0.38473090,-0.23641270,0.93443720,0.34046200,-0.23285470,0.97177860,0.36230500,-0.22220820,0.96607090,0.38890070,-0.22049100,0.94790430,0.38257430,-0.16518200,0.95009180,0.42116030,-0.16620210,0.95704230,0.42305730,-0.19739840,0.94573390,0.36522230,-0.21148250,0.94298010,0.36225270,-0.22172750,0.94145350,0.36275610,13,3
-0.22705190,0.90375800,0.31576470,-0.22705190,0.90375800,0.31576470,-0.22705190,0.90375800,0.31576470,-0.21024760,0.91289570,0.33054930,-0.19387410,0.91987710,0.34609280,-0.18053090,0.92741390,0.37294230,-0.17093730,0.94152740,0.40016820,-0.17455820,0.97364200,0.35100970,-0.16310600,0.97903030,0.38477910,-0.16228960,0.96945630,0.40579590,-0.19451990,0.98090430,0.35139900,-0.18586740,0.97761730,0.39115300,-0.19269310,0.95260500,0.38741050,-0.21350340,0.97853390,0.35640560,-0.20507730,0.97128080,0.39177910,-0.20730750,0.94707900,0.38486960,-0.23575590,0.93390310,0.34073770,-0.23202260,0.97131150,0.36243650,-0.22129030,0.96559120,0.38899500,-0.21965380,0.94740840,0.38269360,-0.16412910,0.94972180,0.42101500,-0.16480650,0.95754890,0.42326240,-0.19659900,0.94522760,0.36516050,-0.21067150,0.94230670,0.36243460,-0.22098660,0.94092790,0.36289140,13,3
-0.22651790,0.90322320,0.31624690,-0.22651790,0.90322320,0.31624690,-0.22651790,0.90322320,0.31624690,-0.20966300,0.91230940,0.33100570,-0.19320040,0.91922910,0.34648250,-0.17971650,0.92671200,0.37327660,-0.17003700,0.94081490,0.40047760,-0.17375580,0.97294600,0.35141020,-0.16226390,0.97863290,0.38511700,-0.16128610,0.96932970,0.40624830,-0.19369450,0.98026970,0.35182980,-0.18503520,0.97689140,0.39157460,-0.19192390,0.95191020,0.38774130,-0.21267760,0.97795780,0.35686540,-0.20424740,0.97062430,0.39222140,-0.20651880,0.94642140,0.38532920,-0.23509100,0.93339530,0.34123250,-0.23120970,0.97079240,0.36292470,-0.22045590,0.96496380,0.38945100,-0.21889580,0.94678510,0.38311870,-0.16325010,0.94905070,0.42131500,-0.16364430,0.95762180,0.42387100,-0.19584420,0.94463100,0.36546150,-0.20990550,0.94158770,0.36291070,-0.22028250,0.94034000,0.36330850,13,3
-0.22601450,0.90270400,0.31670950,-0.22601450,0.90270400,0.31670950,-0.22601450,0.90270400,0.31670950,-0.20911140,0.91174670,0.33143990,-0.19256280,0.91861270,0.34684870,-0.17894100,0.92605160,0.37358530,-0.16917830,0.94015180,0.40075800,-0.17300540,0.97228830,0.35177570,-0.16147900,0.97827100,0.38541950,-0.16034650,0.96923140,0.40665720,-0.19292320,0.97966680,0.35222540,-0.18425500,0.97620340,0.39196100,-0.19119900,0.95125090,0.38804170,-0.21190460,0.97740810,0.35729140,-0.20346730,0.96999560,0.39262920,-0.20577430,0.94579140,0.38575360,-0.23446510,0.93290440,0.34170270,-0.23044670,0.97029490,0.36338140,-0.21966910,0.96436000,0.38987440,-0.21817990,0.94618520,0.38351400,-0.16241450,0.94843540,0.42158390,-0.16255370,0.95771320,0.42442400,-0.19513220,0.94406490,0.36573390,-0.20918350,0.94090000,0.36335110,-0.21961890,0.93977140,0.36369740,13,3
-0.22555420,0.90221990,0.31713740,-0.22555420,0.90221990,0.31713740,-0.22555420,0.90221990,0.31713740,-0.20860670,0.91122590,0.33183930,-0.19196620,0.91804240,0.34717080,-0.17817850,0.92546780,0.37382600,-0.16818170,0.93954340,0.40092630,-0.17232360,0.97168590,0.35210230,-0.16065050,0.97803990,0.38562730,-0.15930030,0.96936100,0.40700230,-0.19222270,0.97911260,0.35258030,-0.18353980,0.97564690,0.39231250,-0.19049770,0.95070170,0.38837140,-0.21120180,0.97690120,0.35767610,-0.20275020,0.96946320,0.39300510,-0.20508640,0.94526450,0.38611970,-0.23389360,0.93244770,0.34213480,-0.22975170,0.96983460,0.36379650,-0.21894820,0.96385310,0.39026850,-0.21751840,0.94567720,0.38389760,-0.16123330,0.94780290,0.42170100,-0.16129930,0.95813800,0.42498140,-0.19444910,0.94350400,0.36607060,-0.20851510,0.94033280,0.36372900,-0.21900800,0.93928340,0.36407830,13,3
-0.22470500,0.90165120,0.31817160,-0.22470500,0.90165120,0.31817160,-0.22470500,0.90165120,0.31817160,-0.20762160,0.91068240,0.33269960,-0.19078280,0.91750900,0.34780850,-0.17662200,0.92494650,0.37426400,-0.16622280,0.93900690,0.40122040,-0.17127810,0.97121100,0.35264710,-0.15919410,0.97792730,0.38595520,-0.15739420,0.96956840,0.40742430,-0.19119030,0.97858450,0.35335260,-0.18210340,0.97508690,0.39299150,-0.18898940,0.95012230,0.38904700,-0.21010660,0.97631620,0.35865240,-0.20127280,0.96882950,0.39387740,-0.20358190,0.94463620,0.38696460,-0.23285010,0.93182370,0.34329960,-0.22856990,0.96919250,0.36496550,-0.21746260,0.96316780,0.39130160,-0.21606150,0.94500910,0.38487570,-0.15895920,0.94725230,0.42189260,-0.15897060,0.95858800,0.42559420,-0.19313110,0.94293850,0.36677620,-0.20721540,0.93968490,0.36461050,-0.21775530,0.93866040,0.36505820,13,3
-0.22390790,0.90109760,0.31913920,-0.22390790,0.90109760,0.31913920,-0.22390790,0.90109760,0.31913920,-0.20670050,0.91015260,0.33350520,-0.18968070,0.91698940,0.34840530,-0.17517770,0.92444120,0.37467070,-0.16441250,0.93849330,0.40148730,-0.17029770,0.97074340,0.35315370,-0.15785040,0.97780060,0.38625690,-0.15564210,0.96974380,0.40780320,-0.19021870,0.97807030,0.35406680,-0.18076470,0.97454340,0.39361710,-0.18758800,0.94956240,0.38966680,-0.20907570,0.97575270,0.35955340,-0.19989460,0.96822020,0.39467980,-0.20218100,0.94403120,0.38774390,-0.23186980,0.93122430,0.34438060,-0.22745840,0.96857960,0.36604340,-0.21607470,0.96251210,0.39225130,-0.21470330,0.94436850,0.38577630,-0.15686830,0.94673400,0.42206060,-0.15683240,0.95899160,0.42613820,-0.19190290,0.94239380,0.36742410,-0.20600120,0.93905830,0.36542580,-0.21658530,0.93805940,0.36596330,13,3
