RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.03074728,1.13190900,0.51866280,0.03074728,1.13190900,0.51866280,0.03074728,1.13190900,0.51866280,0.04884490,1.14568500,0.50933870,0.06728995,1.15363500,0.49615190,0.08973859,1.17041200,0.48191590,0.10394920,1.19952300,0.47767460,0.06524400,1.20453000,0.46652730,0.09175907,1.22706300,0.47809320,0.09504320,1.20724100,0.49027600,0.05000575,1.21328800,0.47908610,0.08398069,1.23233400,0.49341570,0.08607844,1.20934000,0.50669270,0.04198594,1.21614300,0.49730200,0.07309672,1.23372800,0.50931220,0.08036819,1.21105400,0.51895640,0.03207424,1.17210700,0.52536580,0.03667293,1.21533200,0.51772760,0.04820502,1.24264400,0.51595380,0.05482882,1.26112900,0.51615910,0.10117540,1.21990700,0.48964960,0.08149555,1.19066900,0.48706210,0.07132214,1.19080700,0.50193390,0.06600998,1.19322800,0.51332870,0.06071889,1.28134400,0.51345660,6,5
0.03071728,1.13035900,0.51965860,0.03071728,1.13035900,0.51965860,0.03071728,1.13035900,0.51965860,0.04874412,1.14424300,0.51035770,0.06711182,1.15230200,0.49712920,0.08945188,1.16920400,0.48287180,0.10364610,1.19832100,0.47860950,0.06483103,1.20339800,0.46785700,0.09133963,1.22589600,0.47950620,0.09470963,1.20600200,0.49154710,0.04961250,1.21203500,0.48052300,0.08358405,1.23112900,0.49479720,0.08578196,1.20807400,0.50795230,0.04164840,1.21475400,0.49878400,0.07280354,1.23224900,0.51081130,0.08002874,1.20948900,0.52028740,0.03195645,1.17051700,0.52660720,0.03640892,1.21380100,0.51922240,0.04796915,1.24108300,0.51717580,0.05461031,1.25956300,0.51719860,0.10097050,1.21868100,0.49064720,0.08118781,1.18942200,0.48826170,0.07105009,1.18953300,0.50315230,0.06562119,1.19172900,0.51457980,0.06050625,1.27974900,0.51430270,6,5
0.03058597,1.12811900,0.51952630,0.03058597,1.12811900,0.51952630,0.03058597,1.12811900,0.51952630,0.04859229,1.14207000,0.51028690,0.06693118,1.15019800,0.49706040,0.08923130,1.16717900,0.48283280,0.10347300,1.19627300,0.47857840,0.06458879,1.20148400,0.46811340,0.09110864,1.22389700,0.47989860,0.09449444,1.20393100,0.49181360,0.04937732,1.21003600,0.48084550,0.08335194,1.22910300,0.49514730,0.08556867,1.20598800,0.50819260,0.04143075,1.21264300,0.49913050,0.07263598,1.22998800,0.51124560,0.07975239,1.20713400,0.52057850,0.03180216,1.16823700,0.52670660,0.03621391,1.21156700,0.51956860,0.04786245,1.23879200,0.51727750,0.05456080,1.25725000,0.51713480,0.10089870,1.21661600,0.49066830,0.08097164,1.18737100,0.48843030,0.07083350,1.18746800,0.50332030,0.06527607,1.18946400,0.51476280,0.06051320,1.27739400,0.51406100,6,5
0.03044964,1.12598300,0.51941750,0.03044964,1.12598300,0.51941750,0.03044964,1.12598300,0.51941750,0.04843815,1.13999700,0.51023770,0.06675182,1.14818800,0.49701540,0.08901618,1.16524000,0.48281770,0.10330360,1.19431200,0.47856760,0.06435634,1.19964800,0.46837060,0.09088662,1.22198000,0.48028580,0.09428407,1.20194600,0.49208380,0.04915003,1.20812000,0.48116180,0.08312777,1.22715800,0.49549540,0.08535735,1.20398700,0.50843950,0.04121762,1.21062300,0.49946750,0.07247089,1.22781900,0.51167010,0.07947955,1.20487800,0.52086960,0.03164411,1.16606300,0.52681260,0.03601938,1.20943400,0.51990400,0.04775357,1.23660100,0.51737980,0.05450873,1.25503700,0.51707970,0.10082250,1.21463900,0.49070410,0.08075912,1.18540800,0.48860670,0.07061747,1.18549000,0.50349770,0.06493657,1.18729800,0.51495030,0.06051785,1.27513700,0.51383670,6,5
0.03030947,1.12392900,0.51932710,0.03030947,1.12392900,0.51932710,0.03030947,1.12392900,0.51932710,0.04828224,1.13800100,0.51020530,0.06658036,1.14626900,0.49700930,0.08882722,1.16340300,0.48288340,0.10316810,1.19245100,0.47864680,0.06413150,1.19787300,0.46862850,0.09066130,1.22016400,0.48062010,0.09406044,1.20007200,0.49231820,0.04892889,1.20627000,0.48147320,0.08291388,1.22527700,0.49583100,0.08506838,1.20203000,0.50865090,0.04100804,1.20867600,0.49979690,0.07226911,1.22584500,0.51201810,0.07911178,1.20279500,0.52106840,0.03148319,1.16397200,0.52692350,0.03582528,1.20738000,0.52023090,0.04759657,1.23448400,0.51724830,0.05437836,1.25290300,0.51663950,0.10079680,1.21278500,0.49079380,0.08051875,1.18356700,0.48875000,0.07027611,1.18360500,0.50359700,0.06440360,1.18541300,0.51497480,0.06040806,1.27294100,0.51306410,6,5
0.03032575,1.12201900,0.51893870,0.03032575,1.12201900,0.51893870,0.03032575,1.12201900,0.51893870,0.04826136,1.13617300,0.50987250,0.06650302,1.14456100,0.49667360,0.08869480,1.16182100,0.48261400,0.10309400,1.19085300,0.47846780,0.06394118,1.19643200,0.46879270,0.09053172,1.21860700,0.48086480,0.09395837,1.19840400,0.49236230,0.04879512,1.20471000,0.48178090,0.08285401,1.22359300,0.49612670,0.08496621,1.20021600,0.50871470,0.04095335,1.20694400,0.50016030,0.07228275,1.22399700,0.51236890,0.07897165,1.20079600,0.52114310,0.03153818,1.16198800,0.52690610,0.03585815,1.20545700,0.52060320,0.04767133,1.23250200,0.51726810,0.05448896,1.25089800,0.51642680,0.10088670,1.21113800,0.49072600,0.08037455,1.18195900,0.48868000,0.07009201,1.18189500,0.50352540,0.06406753,1.18365100,0.51485700,0.06053882,1.27088500,0.51260740,6,5
0.03032641,1.12015200,0.51858750,0.03032641,1.12015200,0.51858750,0.03032641,1.12015200,0.51858750,0.04822839,1.13438500,0.50957670,0.06641871,1.14288400,0.49637850,0.08856044,1.16026100,0.48238400,0.10301690,1.18927600,0.47831710,0.06375591,1.19500100,0.46896790,0.09040204,1.21706600,0.48111870,0.09385146,1.19676100,0.49242800,0.04866121,1.20316600,0.48208690,0.08278747,1.22193300,0.49642440,0.08485572,1.19843700,0.50879620,0.04089091,1.20523800,0.50051550,0.07228498,1.22217700,0.51271720,0.07881507,1.19883400,0.52123090,0.03157424,1.16005000,0.52690130,0.03587474,1.20357200,0.52096410,0.04772411,1.23055600,0.51728440,0.05457380,1.24892900,0.51621540,0.10096420,1.20951700,0.49067480,0.08022758,1.18037400,0.48863690,0.06990422,1.18021500,0.50348000,0.06372167,1.18192400,0.51476230,0.06064086,1.26886300,0.51215720,6,5
0.03031478,1.11832000,0.51826550,0.03031478,1.11832000,0.51826550,0.03031478,1.11832000,0.51826550,0.04818591,1.13262500,0.50930990,0.06632285,1.14121600,0.49609750,0.08835158,1.15871500,0.48207670,0.10291560,1.18764900,0.47782060,0.06357448,1.19357600,0.46915190,0.09023333,1.21562100,0.48131280,0.09381091,1.19527100,0.49250190,0.04852705,1.20163300,0.48239180,0.08272300,1.22028400,0.49671440,0.08482752,1.19671700,0.50894400,0.04082229,1.20355200,0.50086440,0.07223541,1.22049800,0.51300790,0.07875587,1.19708300,0.52133080,0.03159542,1.15814700,0.52690630,0.03587849,1.20171600,0.52131620,0.04786910,1.22863000,0.51757740,0.05481943,1.24696300,0.51647240,0.10118960,1.20795700,0.49011770,0.08021908,1.17886100,0.48869540,0.06988315,1.17848500,0.50364420,0.06359107,1.18026800,0.51478150,0.06098498,1.26686000,0.51238010,6,5
0.02973406,1.11593400,0.51769750,0.02973406,1.11593400,0.51769750,0.02973406,1.11593400,0.51769750,0.04758310,1.13028000,0.50876150,0.06570740,1.13889500,0.49554780,0.08765107,1.15645000,0.48146380,0.10226870,1.18530500,0.47686650,0.06287962,1.19127100,0.46862900,0.08945040,1.21344600,0.48074580,0.09314297,1.19314800,0.49199180,0.04780250,1.19929300,0.48185610,0.08196219,1.21802000,0.49616660,0.08409526,1.19448400,0.50845080,0.04007617,1.20119200,0.50032170,0.07142080,1.21829800,0.51241740,0.07793434,1.19489000,0.52076480,0.03092153,1.15576300,0.52634670,0.03511692,1.19934200,0.52076850,0.04719818,1.22618100,0.51679050,0.05420871,1.24448000,0.51552150,0.10075150,1.20576400,0.48893830,0.07963215,1.17666000,0.48823570,0.06921683,1.17617200,0.50323840,0.06275766,1.17809300,0.51419760,0.06044151,1.26431800,0.51125030,6,5
0.02919293,1.11361900,0.51717030,0.02919293,1.11361900,0.51717030,0.02919293,1.11361900,0.51717030,0.04702074,1.12800500,0.50825640,0.06513177,1.13664800,0.49504270,0.08699366,1.15426000,0.48090260,0.10166270,1.18303600,0.47598800,0.06222878,1.18904900,0.46817170,0.08871901,1.21134000,0.48025190,0.09251978,1.19108800,0.49154300,0.04712589,1.19703400,0.48139200,0.08125493,1.21582400,0.49569310,0.08341131,1.19231200,0.50801900,0.03938174,1.19890800,0.49985280,0.07066591,1.21615300,0.51190670,0.07716259,1.19274400,0.52026460,0.03029595,1.15344500,0.52584400,0.03441046,1.19703600,0.52029470,0.04658148,1.22379700,0.51607800,0.05365216,1.24206100,0.51464540,0.10034850,1.20363300,0.48784780,0.07908353,1.17452900,0.48782910,0.06859098,1.17393200,0.50288240,0.06196534,1.17597600,0.51367100,0.05995144,1.26183900,0.51019640,6,5
