RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.27047030,0.87065880,0.29402260,0.27047030,0.87065880,0.29402260,0.27047030,0.87065880,0.29402260,0.28682270,0.86620070,0.27621920,0.29618900,0.86291530,0.25433790,0.31468300,0.85778560,0.22944380,0.34655270,0.85549110,0.22262780,0.34222200,0.89485850,0.23530290,0.37143360,0.87343670,0.22961700,0.35347340,0.85969110,0.23598760,0.34867460,0.90098850,0.25498560,0.37636830,0.87088320,0.24797730,0.35332170,0.85924390,0.25451940,0.35178570,0.89674010,0.27439070,0.37845800,0.87084170,0.26812590,0.35612360,0.85816750,0.26737220,0.31039230,0.87592070,0.30043130,0.35225280,0.88817380,0.29369070,0.38062230,0.88055350,0.28930690,0.39945480,0.87513640,0.28804060,0.36781740,0.85431710,0.23326050,0.33471160,0.86962040,0.24022180,0.33254660,0.87129830,0.25715150,0.33536540,0.86928500,0.26841670,0.42026430,0.87205680,0.28519030,6,7
0.26960680,0.87110230,0.29324150,0.26960680,0.87110230,0.29324150,0.26960680,0.87110230,0.29324150,0.28603740,0.86676990,0.27547920,0.29556490,0.86346430,0.25367060,0.31425910,0.85841320,0.22891030,0.34616580,0.85647920,0.22215620,0.34117700,0.89591490,0.23455610,0.37069520,0.87485590,0.22910320,0.35285550,0.86090000,0.23535410,0.34752790,0.90218250,0.25422870,0.37556910,0.87235950,0.24739740,0.35262860,0.86048950,0.25389770,0.35065500,0.89803370,0.27365270,0.37782030,0.87260820,0.26757160,0.35569130,0.85958440,0.26672190,0.30945630,0.87683520,0.29969630,0.35118710,0.88953720,0.29298180,0.37947040,0.88159420,0.28861410,0.39827940,0.87608430,0.28740050,0.36762320,0.85555010,0.23241960,0.33407300,0.87088510,0.23935930,0.33182000,0.87252180,0.25636130,0.33476270,0.87038910,0.26764220,0.41908080,0.87290450,0.28460100,6,7
0.26882130,0.87146570,0.29255660,0.26882130,0.87146570,0.29255660,0.26882130,0.87146570,0.29255660,0.28532110,0.86725940,0.27482810,0.29489510,0.86400070,0.25303280,0.31365990,0.85925630,0.22826530,0.34556870,0.85777310,0.22140790,0.34018670,0.89688320,0.23388070,0.36989790,0.87605450,0.22859440,0.35215200,0.86197560,0.23483630,0.34644340,0.90328230,0.25354110,0.37488990,0.87382410,0.24680340,0.35210840,0.86166160,0.25332190,0.34959160,0.89922930,0.27298200,0.37719150,0.87424810,0.26701720,0.35535690,0.86073900,0.26613010,0.30859700,0.87765870,0.29904190,0.35019330,0.89079980,0.29233840,0.37861120,0.88316010,0.28831670,0.39747770,0.87780610,0.28731690,0.36730320,0.85701200,0.23108540,0.33335300,0.87198600,0.23869750,0.33118250,0.87350340,0.25571330,0.33427650,0.87125000,0.26698560,0.41833590,0.87480320,0.28475430,6,7
0.26878770,0.87139460,0.29327620,0.26878770,0.87139460,0.29327620,0.26878770,0.87139460,0.29327620,0.28535750,0.86716540,0.27561860,0.29498070,0.86373240,0.25387180,0.31381640,0.85905280,0.22914590,0.34572290,0.85803000,0.22219400,0.33982650,0.89696520,0.23427140,0.36979350,0.87641010,0.22937170,0.35219060,0.86222260,0.23577050,0.34597860,0.90373690,0.25383980,0.37490280,0.87465470,0.24751520,0.35232130,0.86221510,0.25420440,0.34917060,0.90001150,0.27333890,0.37726560,0.87549790,0.26775810,0.35576570,0.86145440,0.26700420,0.30846740,0.87824360,0.29968990,0.34987830,0.89187340,0.29281600,0.37842370,0.88452390,0.28917490,0.39735190,0.87935060,0.28841990,0.36771120,0.85762440,0.23130290,0.33334610,0.87224180,0.23937980,0.33125130,0.87383790,0.25639800,0.33450790,0.87161480,0.26768730,0.41826370,0.87653340,0.28609470,6,7
0.26874330,0.87130710,0.29393730,0.26874330,0.87130710,0.29393730,0.26874330,0.87130710,0.29393730,0.28537740,0.86706980,0.27634220,0.29504990,0.86348330,0.25464220,0.31395050,0.85887560,0.22995220,0.34584670,0.85829420,0.22290290,0.33945470,0.89705720,0.23461830,0.36966570,0.87677950,0.23007330,0.35220100,0.86248510,0.23661150,0.34550480,0.90417150,0.25409670,0.37487800,0.87546350,0.24814230,0.35249190,0.86276140,0.25499320,0.34873820,0.90074940,0.27364450,0.37730060,0.87670460,0.26840780,0.35613200,0.86216060,0.26778140,0.30832290,0.87878080,0.30027090,0.34954750,0.89288120,0.29322830,0.37819750,0.88578300,0.28992630,0.39717680,0.88077170,0.28939170,0.36805950,0.85822370,0.23145920,0.33331610,0.87251190,0.23998000,0.33129090,0.87417670,0.25700550,0.33471040,0.87198050,0.26831110,0.41813280,0.87811980,0.28727990,6,7
0.26869200,0.87121010,0.29454230,0.26869200,0.87121010,0.29454230,0.26869200,0.87121010,0.29454230,0.28538500,0.86697550,0.27700250,0.29498480,0.86331580,0.25528230,0.31379950,0.85906520,0.23046300,0.34566180,0.85903640,0.22323870,0.33908250,0.89715240,0.23492600,0.36946950,0.87706320,0.23073200,0.35209930,0.86271510,0.23740320,0.34503390,0.90458020,0.25431760,0.37474480,0.87614480,0.24874310,0.35250040,0.86326820,0.25572830,0.34830530,0.90143760,0.27390610,0.37705310,0.87756820,0.26888580,0.35605580,0.86276840,0.26855500,0.30816960,0.87927200,0.30079080,0.34921030,0.89381860,0.29358400,0.37798730,0.88709040,0.29062890,0.39697270,0.88208880,0.29024580,0.36785480,0.85936330,0.23184000,0.33309630,0.87257150,0.24060670,0.33108880,0.87430140,0.25764050,0.33458940,0.87249220,0.26904460,0.41793990,0.87941850,0.28827210,6,7
0.26856820,0.87132540,0.29466550,0.26856820,0.87132540,0.29466550,0.26856820,0.87132540,0.29466550,0.28554140,0.86696450,0.27742810,0.29536530,0.86311880,0.25584070,0.31442480,0.85902870,0.23118170,0.34634720,0.85934780,0.22423480,0.33960500,0.89693890,0.23567690,0.37011890,0.87688640,0.23230930,0.35267780,0.86258780,0.23890110,0.34522270,0.90469510,0.25503940,0.37519490,0.87637770,0.25032970,0.35293080,0.86345850,0.25717180,0.34823770,0.90186450,0.27471630,0.37713540,0.87804030,0.27038950,0.35624940,0.86308330,0.27007980,0.30789070,0.87978350,0.30135310,0.34891920,0.89454090,0.29451500,0.37780580,0.88799790,0.29230900,0.39677120,0.88290670,0.29235310,0.36842890,0.85996100,0.23310280,0.33358030,0.87240180,0.24163880,0.33136170,0.87424880,0.25865000,0.33477530,0.87280160,0.27018930,0.41775790,0.88010570,0.29081670,6,7
0.26844500,0.87141200,0.29480180,0.26844500,0.87141200,0.29480180,0.26844500,0.87141200,0.29480180,0.28567080,0.86695060,0.27784300,0.29569980,0.86293640,0.25638090,0.31497810,0.85899960,0.23186750,0.34694640,0.85966400,0.22516080,0.34002800,0.89677980,0.23637000,0.37066360,0.87679980,0.23376250,0.35317170,0.86253100,0.24028430,0.34533690,0.90484580,0.25569310,0.37556220,0.87667690,0.25177790,0.35329630,0.86369740,0.25849950,0.34812200,0.90230980,0.27544400,0.37717940,0.87857230,0.27175850,0.35641560,0.86344560,0.27147530,0.30761140,0.88027500,0.30186990,0.34860740,0.89526460,0.29534920,0.37757970,0.88890920,0.29382360,0.39652070,0.88374570,0.29425690,0.36894220,0.86055600,0.23421700,0.33399360,0.87229900,0.24258860,0.33158660,0.87425030,0.25958020,0.33492680,0.87312920,0.27123340,0.41751790,0.88083550,0.29311960,6,7
0.26832810,0.87147690,0.29493960,0.26832810,0.87147690,0.29493960,0.26832810,0.87147690,0.29493960,0.28577680,0.86693670,0.27823140,0.29602690,0.86275570,0.25690610,0.31554500,0.85882700,0.23258190,0.34756490,0.85974480,0.22615710,0.34036900,0.89666360,0.23699430,0.37109240,0.87673520,0.23513000,0.35353230,0.86250130,0.24154360,0.34539900,0.90501170,0.25627210,0.37592330,0.87708570,0.25298660,0.35372350,0.86398140,0.25968420,0.34798100,0.90274470,0.27608320,0.37714620,0.87906730,0.27289600,0.35661420,0.86362560,0.27274590,0.30734420,0.88073010,0.30233160,0.34829600,0.89595310,0.29607980,0.37744890,0.89047490,0.29459130,0.39657920,0.88607410,0.29511420,0.36938600,0.86094350,0.23559240,0.33425100,0.87215130,0.24345010,0.33191180,0.87435110,0.26043420,0.33502440,0.87307230,0.27225770,0.41767690,0.88398950,0.29402410,6,7
0.26895510,0.87110410,0.29544340,0.26895510,0.87110410,0.29544340,0.26895510,0.87110410,0.29544340,0.28653200,0.86668550,0.27883730,0.29688200,0.86258050,0.25754550,0.31649760,0.85895240,0.23325310,0.34852480,0.86022950,0.22692670,0.34109030,0.89680920,0.23784410,0.37190400,0.87699140,0.23632290,0.35433050,0.86270240,0.24257550,0.34594460,0.90523210,0.25713440,0.37676250,0.87761220,0.25400560,0.35467610,0.86429610,0.26066000,0.34843880,0.90302030,0.27696300,0.37772150,0.87947740,0.27385660,0.35743340,0.86371610,0.27378590,0.30785020,0.88070280,0.30302970,0.34870380,0.89626490,0.29697260,0.37799050,0.89159410,0.29536390,0.39726390,0.88786470,0.29584960,0.37024300,0.86164200,0.23656780,0.33496160,0.87221060,0.24429640,0.33276210,0.87445450,0.26131420,0.33573940,0.87291960,0.27327440,0.41841830,0.88651690,0.29470050,6,7
