RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.01894641,0.91359010,0.39487930,0.01894641,0.91359010,0.39487930,0.01894641,0.91359010,0.39487930,0.00839920,0.93278210,0.38371420,-0.00024377,0.94351940,0.36403360,-0.01267099,0.96332400,0.34302420,-0.03065386,0.99052860,0.34104360,-0.05628052,0.96565480,0.36638190,-0.05381796,1.00184400,0.37174780,-0.03201600,0.99366880,0.36859680,-0.05963723,0.96183960,0.38737710,-0.05219986,1.00261600,0.38947070,-0.02803016,0.99204800,0.38578760,-0.05308826,0.96213330,0.40638530,-0.04421944,0.99877450,0.40598650,-0.02185542,0.98856580,0.39852570,-0.00639732,0.93829090,0.41512980,-0.04169556,0.96320620,0.42413760,-0.05675156,0.98837670,0.42881480,-0.06511617,1.00565600,0.43294830,-0.04014475,1.00886400,0.35289050,-0.02957705,0.97241520,0.36530090,-0.02227065,0.96908630,0.38094680,-0.01849163,0.96571090,0.39384220,-0.07682930,1.02305700,0.43621050,6,6
0.01971975,0.91409620,0.39488430,0.01971975,0.91409620,0.39488430,0.01971975,0.91409620,0.39488430,0.00917614,0.93337540,0.38386700,0.00048493,0.94426200,0.36429000,-0.01204280,0.96418980,0.34345750,-0.03006933,0.99135120,0.34129050,-0.05549015,0.96649800,0.36696560,-0.05306001,1.00267600,0.37242660,-0.03125038,0.99451580,0.36928760,-0.05877618,0.96257310,0.38795190,-0.05092109,1.00326100,0.39023290,-0.02680083,0.99264700,0.38636290,-0.05215436,0.96274480,0.40693620,-0.04315117,0.99935510,0.40680080,-0.02078090,0.98941960,0.39899780,-0.00548771,0.93874320,0.41536920,-0.04069178,0.96369120,0.42465070,-0.05580423,0.98872180,0.42986570,-0.06431027,1.00582900,0.43440630,-0.03958306,1.00971100,0.35308220,-0.02848787,0.97331040,0.36593750,-0.02106650,0.96971630,0.38134830,-0.01726055,0.96665930,0.39398060,-0.07617562,1.02303600,0.43811540,6,6
0.02061822,0.91391090,0.39403040,0.02061822,0.91391090,0.39403040,0.02061822,0.91391090,0.39403040,0.01023402,0.93329010,0.38303720,0.00158070,0.94425770,0.36348860,-0.01087821,0.96426930,0.34269520,-0.02871917,0.99152300,0.34017870,-0.05414745,0.96707470,0.36636040,-0.05143274,1.00325000,0.37170250,-0.02969006,0.99490150,0.36859470,-0.05739161,0.96320280,0.38736300,-0.04880806,1.00374700,0.38956350,-0.02482600,0.99286850,0.38557290,-0.05069347,0.96332150,0.40632100,-0.04123866,0.99981780,0.40619920,-0.01895655,0.98989880,0.39812760,-0.00424824,0.93883880,0.41459190,-0.03915176,0.96416300,0.42398930,-0.05409740,0.98921480,0.42957020,-0.06259395,1.00624600,0.43440270,-0.03809882,1.01006300,0.35179390,-0.02680434,0.97370210,0.36531150,-0.01931376,0.96988900,0.38053300,-0.01551031,0.96716610,0.39293730,-0.07445903,1.02337900,0.43844210,6,6
0.02153604,0.91377900,0.39321860,0.02153604,0.91377900,0.39321860,0.02153604,0.91377900,0.39321860,0.01130891,0.93325880,0.38225590,0.00269852,0.94430800,0.36273440,-0.00968325,0.96440700,0.34197910,-0.02734404,0.99174490,0.33912740,-0.05278756,0.96768380,0.36579220,-0.04979270,1.00384900,0.37105210,-0.02811789,0.99531980,0.36796130,-0.05599771,0.96384980,0.38680710,-0.04671951,1.00424400,0.38895340,-0.02287199,0.99311520,0.38484770,-0.04923315,0.96390600,0.40574180,-0.03933093,1.00028400,0.40565240,-0.01713632,0.99038030,0.39732440,-0.00300765,0.93896040,0.41385900,-0.03762249,0.96463600,0.42336980,-0.05240344,0.98970070,0.42931970,-0.06089402,1.00664800,0.43444950,-0.03659870,1.01045500,0.35056900,-0.02511583,0.97412960,0.36472320,-0.01757591,0.97009280,0.37977140,-0.01378023,0.96767530,0.39195670,-0.07276142,1.02369700,0.43882190,6,6
0.02246886,0.91368960,0.39244060,0.02246886,0.91368960,0.39244060,0.02246886,0.91368960,0.39244060,0.01239701,0.93326990,0.38151340,0.00383085,0.94436710,0.36199970,-0.00818531,0.96468770,0.34124540,-0.02540687,0.99230530,0.33840140,-0.05141371,0.96831740,0.36525440,-0.04793744,1.00444800,0.37045620,-0.02639439,0.99559640,0.36735050,-0.05459612,0.96450970,0.38627820,-0.04486051,1.00480600,0.38823890,-0.02119814,0.99322110,0.38432710,-0.04777308,0.96449600,0.40519190,-0.03732843,1.00072100,0.40500280,-0.01520001,0.99068500,0.39665780,-0.00176637,0.93910240,0.41316160,-0.03610170,0.96510950,0.42278430,-0.05060570,0.99022610,0.42917980,-0.05890936,1.00717600,0.43459880,-0.03433776,1.01105300,0.35003640,-0.02364637,0.97436710,0.36414240,-0.01622237,0.97008810,0.37943290,-0.01193166,0.96797300,0.39126540,-0.07059887,1.02425900,0.43930700,6,6
0.02436112,0.91463920,0.39270030,0.02436112,0.91463920,0.39270030,0.02436112,0.91463920,0.39270030,0.01407048,0.93409480,0.38175410,0.00520188,0.94496580,0.36224810,-0.00694336,0.96516660,0.34145200,-0.02413980,0.99279120,0.33852650,-0.05008405,0.96877260,0.36606540,-0.04657670,1.00495300,0.37088640,-0.02507690,0.99605600,0.36761540,-0.05297437,0.96511880,0.38715850,-0.04329468,1.00545300,0.38853000,-0.01969761,0.99373070,0.38463270,-0.04590267,0.96527990,0.40598010,-0.03541574,1.00148700,0.40530020,-0.01330783,0.99155360,0.39677970,0.00030295,0.94012310,0.41353990,-0.03400293,0.96607580,0.42341140,-0.04849892,0.99109910,0.43018020,-0.05680182,1.00797200,0.43583400,-0.03289966,1.01156400,0.35025090,-0.02230639,0.97480470,0.36457680,-0.01476673,0.97052820,0.38003060,-0.00988860,0.96883620,0.39150490,-0.06850688,1.02495500,0.44085520,6,6
0.02618437,0.91553210,0.39289740,0.02618437,0.91553210,0.39289740,0.02618437,0.91553210,0.39289740,0.01570624,0.93488320,0.38194400,0.00656877,0.94555570,0.36245250,-0.00567407,0.96566160,0.34162180,-0.02282948,0.99330110,0.33859690,-0.04873299,0.96927150,0.36679400,-0.04517984,1.00549000,0.37127800,-0.02372681,0.99653780,0.36785570,-0.05135871,0.96575380,0.38794480,-0.04169629,1.00610600,0.38879250,-0.01816557,0.99424760,0.38490720,-0.04406162,0.96606340,0.40667820,-0.03350771,1.00224000,0.40556170,-0.01142535,0.99239940,0.39686930,0.00230458,0.94108970,0.41385170,-0.03195543,0.96701220,0.42395900,-0.04641723,0.99195200,0.43109870,-0.05471223,1.00874600,0.43699430,-0.03142577,1.01210700,0.35038960,-0.02093365,0.97526900,0.36496480,-0.01328474,0.97098490,0.38056360,-0.00787927,0.96968060,0.39168490,-0.06642280,1.02562900,0.44233040,6,6
0.02795376,0.91638110,0.39304600,0.02795376,0.91638110,0.39304600,0.02795376,0.91638110,0.39304600,0.01731257,0.93564400,0.38209410,0.00792624,0.94606840,0.36258660,-0.00463684,0.96588390,0.34166840,-0.02190361,0.99345420,0.33864640,-0.04736548,0.96980520,0.36745670,-0.04364761,1.00604500,0.37163140,-0.02218778,0.99715820,0.36808150,-0.04974814,0.96640940,0.38865620,-0.04025755,1.00681000,0.38900670,-0.01675193,0.99487210,0.38521320,-0.04224379,0.96684710,0.40730500,-0.03181504,1.00304800,0.40584320,-0.00981219,0.99315860,0.39700530,0.00425329,0.94201430,0.41411130,-0.02994818,0.96792530,0.42444390,-0.04442996,0.99283240,0.43165670,-0.05264631,1.00967200,0.43753330,-0.03029303,1.01221000,0.35066630,-0.01910170,0.97591530,0.36529950,-0.01191891,0.97154880,0.38114990,-0.00633977,0.97039530,0.39196860,-0.06428435,1.02659800,0.44289190,6,6
0.02985609,0.91789930,0.39365700,0.02985609,0.91789930,0.39365700,0.02985609,0.91789930,0.39365700,0.01908365,0.93707850,0.38268670,0.00957540,0.94729810,0.36313000,-0.00318307,0.96686970,0.34210060,-0.02061008,0.99433130,0.33900970,-0.04581139,0.97087370,0.36816050,-0.04208490,1.00713000,0.37217600,-0.02056770,0.99837890,0.36863740,-0.04811060,0.96752330,0.38937640,-0.03889122,1.00798800,0.38944180,-0.01534709,0.99605450,0.38588090,-0.04055027,0.96804940,0.40800030,-0.03032071,1.00430100,0.40639430,-0.00829186,0.99447750,0.39754780,0.00609257,0.94346980,0.41472740,-0.02820674,0.96923600,0.42509760,-0.04282341,0.99404070,0.43239060,-0.05106797,1.01086300,0.43827570,-0.02895063,1.01298900,0.35121350,-0.01712311,0.97718320,0.36591640,-0.01045856,0.97270290,0.38205340,-0.00476403,0.97170310,0.39260030,-0.06273592,1.02776100,0.44366020,6,6
0.03170979,0.91933000,0.39419510,0.03170979,0.91933000,0.39419510,0.03170979,0.91933000,0.39419510,0.02082002,0.93843600,0.38321300,0.01119719,0.94846700,0.36361460,-0.00173252,0.96781870,0.34248660,-0.01929399,0.99518590,0.33931990,-0.04426557,0.97191800,0.36881460,-0.04051289,1.00818800,0.37268090,-0.01894824,0.99955240,0.36914720,-0.04648182,0.96861020,0.39004600,-0.03748693,1.00912500,0.38983770,-0.01391605,0.99718050,0.38649720,-0.03886364,0.96921440,0.40864390,-0.02879170,1.00550400,0.40690020,-0.00674165,0.99574440,0.39803540,0.00790540,0.94485060,0.41527990,-0.02647007,0.97049560,0.42569810,-0.04119188,0.99520450,0.43310440,-0.04945745,1.01200400,0.43902670,-0.02757542,1.01376100,0.35168890,-0.01517553,0.97840570,0.36648120,-0.00899012,0.97380110,0.38289370,-0.00316297,0.97296170,0.39316330,-0.06114770,1.02886700,0.44446830,6,6
