RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.43254830,0.88882910,0.32363500,0.43254830,0.88882910,0.32363500,0.43254830,0.88882910,0.32363500,0.42357240,0.91125450,0.32819210,0.40806220,0.92730000,0.33709670,0.39168190,0.95330760,0.34368030,0.39807020,0.98533400,0.34273110,0.42772310,0.97108440,0.37255030,0.42278000,0.99764420,0.34775750,0.41506710,0.97765790,0.33810600,0.44871290,0.96820240,0.36833700,0.43950830,0.99834780,0.34133840,0.43036650,0.97614200,0.32981700,0.46347950,0.96448890,0.35520530,0.45476150,0.99399310,0.33341340,0.44172220,0.97447680,0.32296730,0.45706630,0.92138810,0.32477230,0.47512670,0.95929340,0.33836970,0.48309600,0.98776770,0.34116650,0.48085580,1.00605300,0.33436580,0.41530350,0.99993960,0.33522700,0.41377410,0.95666370,0.34321450,0.42869590,0.95358060,0.33830440,0.44155450,0.95355210,0.33381750,0.47808690,1.02655900,0.32962640,6,2
0.42944990,0.88922450,0.32194200,0.42944990,0.88922450,0.32194200,0.42944990,0.88922450,0.32194200,0.42040970,0.91163900,0.32642530,0.40487780,0.92775320,0.33516620,0.38857700,0.95381520,0.34173280,0.39477880,0.98588370,0.34099610,0.42426630,0.97155560,0.37069290,0.41968060,0.99860480,0.34636490,0.41184640,0.97882840,0.33638440,0.44527790,0.96871040,0.36656430,0.43620250,0.99887820,0.33954720,0.42706630,0.97665320,0.32805840,0.46010200,0.96500490,0.35349530,0.45167920,0.99472830,0.33188610,0.43853740,0.97539520,0.32123000,0.45389500,0.92183720,0.32311450,0.47182400,0.95980440,0.33671330,0.47940450,0.98844520,0.33879830,0.47672900,1.00646500,0.33146820,0.41190060,1.00069400,0.33363960,0.41040150,0.95779010,0.34126560,0.42536350,0.95411750,0.33660750,0.43816940,0.95438780,0.33191410,0.47347860,1.02675200,0.32612630,6,2
0.42649950,0.88955360,0.32045710,0.42649950,0.88955360,0.32045710,0.42649950,0.88955360,0.32045710,0.41739800,0.91195670,0.32487310,0.40177680,0.92800400,0.33357800,0.38538450,0.95399020,0.34021640,0.39139090,0.98609840,0.33959980,0.42097850,0.97195150,0.36905790,0.41652050,0.99907550,0.34478940,0.40867730,0.97932050,0.33477350,0.44201000,0.96914290,0.36500670,0.43295880,0.99923030,0.33789190,0.42390180,0.97697080,0.32640700,0.45688690,0.96544690,0.35199510,0.44847290,0.99506570,0.33023910,0.43532400,0.97575820,0.31954520,0.45087360,0.92221810,0.32166210,0.46867760,0.96024370,0.33526200,0.47598010,0.98898660,0.33688580,0.47303310,1.00682400,0.32922170,0.40844450,1.00100700,0.33228330,0.40720590,0.95829070,0.33968350,0.42220990,0.95444450,0.33498290,0.43485740,0.95473720,0.33019850,0.46947450,1.02695400,0.32349580,6,2
0.42620580,0.88970240,0.32215620,0.42620580,0.88970240,0.32215620,0.42620580,0.88970240,0.32215620,0.41698690,0.91208780,0.32641540,0.40118800,0.92805860,0.33493840,0.38462530,0.95395820,0.34149180,0.39042230,0.98610750,0.34103000,0.41985230,0.97217830,0.37052230,0.41571300,0.99935780,0.34625950,0.40796440,0.97961280,0.33615090,0.44094000,0.96942200,0.36673600,0.43212980,0.99940780,0.33943000,0.42327020,0.97710130,0.32788250,0.45598660,0.96574340,0.35391600,0.44774550,0.99523410,0.33192120,0.43470240,0.97593620,0.32108150,0.45047030,0.92243890,0.32359680,0.46799730,0.96054150,0.33733980,0.47498730,0.98938230,0.33854880,0.47182830,1.00702200,0.33052000,0.40745740,1.00112600,0.33389870,0.40643560,0.95859140,0.34107930,0.42152990,0.95458670,0.33647950,0.43405950,0.95490460,0.33170490,0.46800300,1.02697800,0.32437260,6,2
0.42579330,0.88982060,0.32373440,0.42579330,0.88982060,0.32373440,0.42579330,0.88982060,0.32373440,0.41646580,0.91218820,0.32784810,0.40050280,0.92808440,0.33620320,0.38377930,0.95389960,0.34268060,0.38937740,0.98608590,0.34235880,0.41866750,0.97236560,0.37187450,0.41481820,0.99959430,0.34761920,0.40715700,0.97985740,0.33742810,0.43980420,0.96966050,0.36833210,0.43121360,0.99954880,0.34084980,0.42253760,0.97719740,0.32924990,0.45500490,0.96600030,0.35568990,0.44691820,0.99536540,0.33347090,0.43397540,0.97607510,0.32249830,0.44995050,0.92262630,0.32538950,0.46721670,0.96080170,0.33926020,0.47392050,0.98972420,0.34007440,0.47056890,1.00717000,0.33170650,0.40638830,1.00121100,0.33539630,0.40557440,0.95884340,0.34237050,0.42075450,0.95469370,0.33786670,0.43317120,0.95503290,0.33308960,0.46650140,1.02695200,0.32516650,6,2
0.42528770,0.88991460,0.32521690,0.42528770,0.88991460,0.32521690,0.42528770,0.88991460,0.32521690,0.41585810,0.91226410,0.32919390,0.39979830,0.92819080,0.33730170,0.38295440,0.95403700,0.34332800,0.38840830,0.98624710,0.34292860,0.41743680,0.97252130,0.37313780,0.41382470,0.99966030,0.34874580,0.40620930,0.97988520,0.33859460,0.43861670,0.96986670,0.36982270,0.43018330,0.99959840,0.34212270,0.42174800,0.97712610,0.33057900,0.45395930,0.96622570,0.35734740,0.44590960,0.99538950,0.33485160,0.43319610,0.97594880,0.32387640,0.44933910,0.92278730,0.32706990,0.46635710,0.96103200,0.34105610,0.47306390,0.98994600,0.34211040,0.46993410,1.00749200,0.33386670,0.40547840,1.00139000,0.33615210,0.40454510,0.95889040,0.34359210,0.42001140,0.95468230,0.33935990,0.43239810,0.95496000,0.33457360,0.46610810,1.02737500,0.32748960,6,2
0.42441710,0.89029280,0.32572800,0.42441710,0.89029280,0.32572800,0.42441710,0.89029280,0.32572800,0.41487660,0.91254890,0.32995610,0.39883200,0.92836480,0.33830750,0.38189210,0.95411150,0.34448840,0.38705170,0.98637070,0.34414960,0.41655730,0.97254900,0.37424680,0.41250800,0.99977630,0.35002250,0.40480170,0.98000950,0.33992390,0.43771390,0.97006790,0.37065910,0.42868040,0.99982040,0.34317140,0.42032320,0.97728410,0.33169600,0.45292940,0.96661380,0.35797680,0.44428210,0.99571400,0.33562080,0.43163400,0.97615890,0.32477400,0.44825290,0.92332710,0.32749130,0.46516510,0.96160860,0.34150490,0.47172670,0.99054600,0.34280400,0.46850550,1.00820800,0.33484790,0.40395270,1.00166500,0.33729000,0.40326540,0.95898690,0.34484460,0.41892760,0.95482340,0.34049470,0.43117180,0.95513520,0.33542230,0.46463390,1.02819200,0.32882360,6,2
0.42351350,0.89063030,0.32625560,0.42351350,0.89063030,0.32625560,0.42351350,0.89063030,0.32625560,0.41386940,0.91279810,0.33070720,0.39783580,0.92851140,0.33927030,0.38080330,0.95416570,0.34557970,0.38568680,0.98646850,0.34529860,0.41561900,0.97256650,0.37530730,0.41118220,0.99986980,0.35123680,0.40339560,0.98010870,0.34118880,0.43675230,0.97024820,0.37148180,0.42717870,1.00000600,0.34418300,0.41890580,0.97740600,0.33277150,0.45185480,0.96696610,0.35862000,0.44266330,0.99599070,0.33638310,0.43008710,0.97632650,0.32565040,0.44714460,0.92381510,0.32794790,0.46394780,0.96213350,0.34199190,0.47035650,0.99109560,0.34348790,0.46703990,1.00884800,0.33577640,0.40243210,1.00190400,0.33837230,0.40197170,0.95906200,0.34603990,0.41782450,0.95493530,0.34158880,0.42992910,0.95527490,0.33625220,0.46311490,1.02891000,0.33005400,6,2
0.42258390,0.89093570,0.32679580,0.42258390,0.89093570,0.32679580,0.42258390,0.89093570,0.32679580,0.41284200,0.91301910,0.33144910,0.39679820,0.92860220,0.34022860,0.37967030,0.95413180,0.34678090,0.38413270,0.98649660,0.34671130,0.41463420,0.97257600,0.37632960,0.40979020,1.00001900,0.35249790,0.40208270,0.98026430,0.34237690,0.43574470,0.97041170,0.37229350,0.42570050,1.00021400,0.34521300,0.41751660,0.97756350,0.33383700,0.45074540,0.96728980,0.35927360,0.44126120,0.99647300,0.33736970,0.42865880,0.97682700,0.32663450,0.44601910,0.92426190,0.32843150,0.46271100,0.96261690,0.34250830,0.46881500,0.99164210,0.34405550,0.46509740,1.00931200,0.33633790,0.40062490,1.00219200,0.33976350,0.40092070,0.95920220,0.34723110,0.41678780,0.95514750,0.34282780,0.42876090,0.95574950,0.33718560,0.46076190,1.02929000,0.33061750,6,2
0.41966220,0.89088610,0.32669240,0.41966220,0.89088610,0.32669240,0.41966220,0.89088610,0.32669240,0.40996690,0.91299220,0.33133540,0.39402150,0.92863420,0.34018900,0.37696590,0.95421210,0.34674110,0.38122400,0.98660400,0.34654980,0.41222000,0.97277480,0.37589380,0.40712360,1.00014300,0.35202820,0.39934950,0.98034250,0.34204770,0.43328760,0.97059130,0.37164900,0.42293360,1.00022400,0.34449990,0.41468620,0.97746330,0.33339410,0.44815220,0.96740460,0.35848960,0.43852350,0.99656510,0.33661850,0.42576810,0.97690150,0.32609850,0.44310950,0.92422140,0.32791580,0.45994310,0.96264780,0.34162430,0.46593440,0.99170830,0.34292960,0.46193850,1.00924500,0.33504940,0.39755940,1.00237600,0.33940740,0.39831020,0.95932220,0.34710650,0.41417730,0.95519850,0.34276770,0.42600810,0.95590390,0.33680560,0.45733390,1.02911200,0.32915380,6,2
