RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.04402623,0.90600820,0.35931030,-0.04402623,0.90600820,0.35931030,-0.04402623,0.90600820,0.35931030,-0.05205502,0.92494650,0.34613990,-0.05779788,0.93475010,0.32514210,-0.06395844,0.95500830,0.30218140,-0.07737961,0.98228260,0.29078580,-0.11195620,0.96001510,0.32013930,-0.13511600,0.98688180,0.31181400,-0.13871770,1.00975900,0.30885240,-0.11777520,0.95762730,0.34066120,-0.14614500,0.98709900,0.33545150,-0.14985400,1.01321000,0.33323650,-0.11336520,0.95865800,0.36012020,-0.13869290,0.98616780,0.36237870,-0.13549350,1.01141500,0.36037850,-0.06972151,0.93301460,0.37518070,-0.10399670,0.96012550,0.37884220,-0.11937770,0.98384670,0.38730790,-0.11660300,1.00316100,0.38731470,-0.08697259,1.00233800,0.29885970,-0.13891010,1.03125300,0.30811580,-0.14410560,1.03645600,0.33150550,-0.12250000,1.03034700,0.35576040,-0.11407120,1.02395900,0.38487830,8,6
-0.04036545,0.90720490,0.35776380,-0.04036545,0.90720490,0.35776380,-0.04036545,0.90720490,0.35776380,-0.04837934,0.92622400,0.34470130,-0.05412982,0.93610660,0.32374270,-0.06042472,0.95638250,0.30083410,-0.07387384,0.98345120,0.28899010,-0.10825440,0.96151630,0.31894430,-0.13167510,0.98831570,0.31114890,-0.13548860,1.01119100,0.30845320,-0.11405710,0.95902870,0.33945910,-0.14239380,0.98859660,0.33462800,-0.14605670,1.01473200,0.33264480,-0.10962680,0.95995030,0.35891890,-0.13486620,0.98752200,0.36139930,-0.13157170,1.01276800,0.35954090,-0.06600598,0.93416440,0.37380140,-0.10023810,0.96130540,0.37763930,-0.11553370,0.98504080,0.38621880,-0.11275690,1.00435400,0.38634320,-0.08351353,1.00356600,0.29685840,-0.13584030,1.03269000,0.30793340,-0.14027620,1.03798300,0.33107640,-0.11861080,1.03174600,0.35502170,-0.11025690,1.02517300,0.38405490,8,6
-0.03680051,0.90836350,0.35630620,-0.03680051,0.90836350,0.35630620,-0.03680051,0.90836350,0.35630620,-0.04479057,0.92746440,0.34334890,-0.05054091,0.93762180,0.32252200,-0.05704763,0.95808780,0.29984280,-0.07067156,0.98524590,0.28841040,-0.10462330,0.96301380,0.31784850,-0.12807930,0.98982790,0.31021130,-0.13211350,1.01267300,0.30758120,-0.11040360,0.96043740,0.33835860,-0.13866590,0.99011120,0.33374580,-0.14223190,1.01627100,0.33191540,-0.10594510,0.96125300,0.35781670,-0.13086960,0.98907460,0.36066350,-0.12745630,1.01431900,0.35900350,-0.06236047,0.93529890,0.37251190,-0.09652808,0.96249500,0.37653070,-0.11192110,0.98616920,0.38510550,-0.10934810,1.00550900,0.38538780,-0.08032036,1.00522400,0.29660860,-0.13269840,1.03416800,0.30710950,-0.13640520,1.03951800,0.33046650,-0.11448040,1.03330800,0.35457750,-0.10722780,1.02639900,0.38337760,8,6
-0.03615118,0.90805230,0.35734740,-0.03615118,0.90805230,0.35734740,-0.03615118,0.90805230,0.35734740,-0.04417983,0.92719200,0.34447130,-0.05015653,0.93749540,0.32378030,-0.05705650,0.95801650,0.30126770,-0.07083039,0.98524570,0.29018980,-0.10409880,0.96318750,0.31981300,-0.12754030,0.99010260,0.31249360,-0.13169160,1.01292400,0.30983740,-0.10958420,0.96070330,0.34041530,-0.13765150,0.99062140,0.33620830,-0.14098830,1.01681300,0.33439370,-0.10482010,0.96152290,0.35980070,-0.12923420,0.98973840,0.36315100,-0.12557100,1.01494500,0.36145350,-0.06123291,0.93523570,0.37388310,-0.09510630,0.96272580,0.37836500,-0.11031410,0.98649980,0.38699390,-0.10780630,1.00584800,0.38725900,-0.08024645,1.00521800,0.29866820,-0.13237970,1.03441400,0.30928180,-0.13499470,1.04000900,0.33281580,-0.11252860,1.03383500,0.35680230,-0.10593970,1.02677100,0.38534160,8,6
-0.03533338,0.90783260,0.35824980,-0.03533338,0.90783260,0.35824980,-0.03533338,0.90783260,0.35824980,-0.04338775,0.92701610,0.34545530,-0.04956685,0.93747080,0.32490000,-0.05683205,0.95805540,0.30256110,-0.07073295,0.98535110,0.29181010,-0.10335530,0.96346740,0.32159750,-0.12677900,0.99048360,0.31460030,-0.13104810,1.01328200,0.31193690,-0.10856280,0.96106510,0.34228140,-0.13642600,0.99122550,0.33846570,-0.13953490,1.01744700,0.33667120,-0.10351240,0.96187880,0.36159440,-0.12742280,0.99046270,0.36542010,-0.12351130,1.01563000,0.36369030,-0.05994646,0.93525330,0.37509510,-0.09352161,0.96303300,0.38001420,-0.10854300,0.98690430,0.38870090,-0.10609220,1.00626000,0.38896070,-0.07992063,1.00532000,0.30054450,-0.13183970,1.03476700,0.31131760,-0.13337710,1.04059100,0.33497710,-0.11040480,1.03442300,0.35883280,-0.10446230,1.02721200,0.38714810,8,6
-0.03438360,0.90768530,0.35904210,-0.03438360,0.90768530,0.35904210,-0.03438360,0.90768530,0.35904210,-0.04245330,0.92691650,0.34632910,-0.04881768,0.93749560,0.32589430,-0.05645520,0.95810430,0.30370230,-0.07048673,0.98541640,0.29316480,-0.10243800,0.96383030,0.32323800,-0.12568020,0.99108630,0.31657360,-0.12986310,1.01390600,0.31394910,-0.10738120,0.96150140,0.34399500,-0.13512440,0.99182960,0.34066650,-0.13807470,1.01807400,0.33894050,-0.10205990,0.96230110,0.36323580,-0.12570790,0.99104580,0.36746570,-0.12183350,1.01621800,0.36573130,-0.05853523,0.93533400,0.37618000,-0.09180832,0.96339880,0.38151510,-0.10643180,0.98752160,0.39018580,-0.10372970,1.00684600,0.39027520,-0.07944958,1.00536800,0.30216680,-0.13061740,1.03539100,0.31330920,-0.13186340,1.04119700,0.33716290,-0.10896210,1.03513800,0.36074020,-0.10192440,1.02777200,0.38833950,8,6
-0.03359861,0.90736220,0.35983050,-0.03359861,0.90736220,0.35983050,-0.03359861,0.90736220,0.35983050,-0.04129221,0.92668220,0.34701940,-0.04734244,0.93741000,0.32656680,-0.05474700,0.95807960,0.30435240,-0.06850549,0.98549060,0.29371230,-0.10055850,0.96442390,0.32341730,-0.12331730,0.99204430,0.31658690,-0.12722810,1.01490500,0.31390090,-0.10568520,0.96221320,0.34414270,-0.13302990,0.99288830,0.34069600,-0.13561130,1.01917000,0.33895810,-0.10049180,0.96297660,0.36341980,-0.12376390,0.99204230,0.36754020,-0.11970450,1.01719000,0.36586510,-0.05746358,0.93540040,0.37673540,-0.09035742,0.96396330,0.38177080,-0.10461340,0.98842160,0.39010720,-0.10155900,1.00769300,0.39008360,-0.07730116,1.00549200,0.30276900,-0.12780380,1.03639400,0.31321280,-0.12915470,1.04222900,0.33721290,-0.10681880,1.03613200,0.36099870,-0.09943020,1.02858200,0.38806640,8,6
-0.03270974,0.90710280,0.36054400,-0.03270974,0.90710280,0.36054400,-0.03270974,0.90710280,0.36054400,-0.04005392,0.92650510,0.34765250,-0.04582059,0.93737750,0.32719430,-0.05302859,0.95810860,0.30497260,-0.06653943,0.98561080,0.29425080,-0.09864080,0.96503540,0.32363180,-0.12094840,0.99299140,0.31667940,-0.12461420,1.01588700,0.31394510,-0.10392010,0.96293690,0.34433060,-0.13087970,0.99394230,0.34080790,-0.13310670,1.02025700,0.33906900,-0.09882990,0.96366350,0.36363670,-0.12172540,0.99303630,0.36768820,-0.11748350,1.01815700,0.36607210,-0.05627493,0.93550760,0.37725650,-0.08879070,0.96454200,0.38204530,-0.10267940,0.98931080,0.39007930,-0.09929687,1.00852700,0.38995570,-0.07516824,1.00565600,0.30337120,-0.12503100,1.03737800,0.31321620,-0.12641670,1.04325100,0.33735450,-0.10458540,1.03712000,0.36131550,-0.09687683,1.02937800,0.38787320,8,6
-0.03173845,0.90689410,0.36119940,-0.03173845,0.90689410,0.36119940,-0.03173845,0.90689410,0.36119940,-0.03875390,0.92637330,0.34824090,-0.04426963,0.93730990,0.32774780,-0.05153963,0.95792130,0.30543510,-0.06502105,0.98540770,0.29463570,-0.09669104,0.96566080,0.32387320,-0.11849140,0.99399140,0.31682880,-0.12205250,1.01689600,0.31403270,-0.10209870,0.96366950,0.34454940,-0.12856730,0.99507790,0.34087620,-0.13057880,1.02140700,0.33909170,-0.09709251,0.96435900,0.36387880,-0.11954370,0.99409620,0.36775530,-0.11474940,1.01911300,0.36607560,-0.05499328,0.93564670,0.37775100,-0.08713143,0.96513120,0.38233470,-0.10058830,0.99031700,0.38978590,-0.09657335,1.00940500,0.38927120,-0.07356016,1.00565700,0.30338080,-0.12245680,1.03838500,0.31324400,-0.12382240,1.04438200,0.33737800,-0.10138310,1.03774700,0.36131150,-0.09340540,1.03010300,0.38672530,8,6
-0.03064622,0.90755230,0.36250520,-0.03064622,0.90755230,0.36250520,-0.03064622,0.90755230,0.36250520,-0.03748193,0.92700830,0.34941640,-0.04287369,0.93789020,0.32886130,-0.05036901,0.95826010,0.30640190,-0.06398527,0.98561850,0.29544780,-0.09505762,0.96661970,0.32471890,-0.11653850,0.99515750,0.31753020,-0.12012330,1.01803900,0.31458380,-0.10051210,0.96480050,0.34539870,-0.12667740,0.99643870,0.34152940,-0.12861540,1.02276200,0.33959130,-0.09552908,0.96556790,0.36473110,-0.11768210,0.99555560,0.36838630,-0.11250180,1.02048300,0.36652610,-0.05368816,0.93659650,0.37884410,-0.08558936,0.96637180,0.38319710,-0.09872045,0.99190460,0.39002260,-0.09421666,1.01086600,0.38906360,-0.07251093,1.00604800,0.30377810,-0.12062680,1.03952000,0.31364220,-0.12191250,1.04574300,0.33775360,-0.09882239,1.03885500,0.36163730,-0.09047976,1.03140000,0.38601250,8,6
