RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.02596260,0.89990630,0.36058710,0.02596260,0.89990630,0.36058710,0.02596260,0.89990630,0.36058710,0.01044536,0.91835090,0.36453590,-0.00805398,0.92861260,0.37560260,-0.03000669,0.94792160,0.38659270,-0.04528288,0.97547630,0.39441900,-0.00031391,0.98223750,0.40054610,-0.00619725,1.01760800,0.40701320,-0.01616108,1.03753300,0.40002710,0.01926162,0.98585240,0.39251830,0.01431601,1.02670500,0.39519720,0.00418343,1.04971600,0.38693450,0.03207358,0.98515360,0.37720400,0.03011706,1.02251700,0.37907810,0.01999925,1.04472200,0.37157970,0.03692813,0.93824630,0.35342750,0.04199339,0.98143790,0.35908700,0.04376321,1.01089200,0.35958220,0.04010386,1.02947300,0.35488100,-0.05634084,0.99620460,0.39715780,-0.02304466,1.05724600,0.39486790,-0.00613050,1.06927300,0.37757690,0.00685316,1.06181300,0.36243390,0.02908726,1.04623000,0.34834190,8,1
0.02778252,0.90070400,0.35991920,0.02778252,0.90070400,0.35991920,0.02778252,0.90070400,0.35991920,0.01241780,0.91933920,0.36355710,-0.00621240,0.92971400,0.37429390,-0.02829103,0.94914310,0.38480990,-0.04343514,0.97688520,0.39221940,0.00160311,0.98321490,0.39957020,-0.00419579,1.01850100,0.40655550,-0.01387403,1.03858000,0.39960890,0.02142234,0.98659920,0.39205640,0.01638940,1.02742400,0.39497770,0.00656932,1.05058600,0.38675900,0.03460790,0.98579160,0.37706800,0.03258554,1.02315200,0.37892590,0.02272166,1.04540200,0.37122230,0.03943689,0.93892230,0.35321140,0.04493324,0.98201800,0.35919110,0.04644880,1.01148700,0.35963630,0.04281278,1.03004300,0.35482110,-0.05419773,0.99781610,0.39456590,-0.02063392,1.05831200,0.39436300,-0.00362092,1.07007300,0.37712200,0.00991151,1.06260700,0.36181850,0.03179460,1.04665900,0.34793160,8,1
0.02941650,0.90140380,0.35938240,0.02941650,0.90140380,0.35938240,0.02941650,0.90140380,0.35938240,0.01419816,0.92021320,0.36272730,-0.00455470,0.93070150,0.37313530,-0.02672344,0.95025920,0.38321390,-0.04170585,0.97818660,0.39024690,0.00330304,0.98407840,0.39873450,-0.00244409,1.01926900,0.40622470,-0.01185860,1.03949200,0.39933230,0.02333743,0.98724670,0.39171320,0.01821677,1.02804400,0.39486860,0.00869265,1.05135000,0.38671170,0.03686915,0.98633390,0.37704270,0.03477423,1.02369300,0.37885750,0.02515364,1.04597900,0.37095510,0.04169645,0.93950080,0.35311510,0.04757493,0.98250200,0.35940360,0.04885474,1.01198400,0.35977380,0.04524242,1.03051200,0.35483550,-0.05215997,0.99930920,0.39224500,-0.01849993,1.05924400,0.39401120,-0.00137237,1.07076600,0.37680350,0.01266730,1.06328800,0.36130960,0.03422477,1.04697600,0.34759270,8,1
0.03097513,0.90205230,0.35894250,0.03097513,0.90205230,0.35894250,0.03097513,0.90205230,0.35894250,0.01590660,0.92103190,0.36199080,-0.00296878,0.93156350,0.37213020,-0.02520933,0.95118420,0.38192440,-0.04007656,0.97922020,0.38876710,0.00490025,0.98488720,0.39798190,-0.00063509,1.02002000,0.40589080,-0.00978859,1.04029000,0.39878950,0.02513749,0.98783900,0.39146620,0.02009776,1.02862000,0.39493670,0.01092537,1.05209100,0.38684850,0.03901306,0.98681810,0.37712780,0.03700329,1.02418300,0.37890980,0.02771226,1.04654100,0.37081880,0.04386235,0.94002120,0.35313380,0.05010145,0.98292370,0.35974050,0.05157023,1.01239900,0.35978320,0.04828060,1.03092200,0.35460680,-0.05014215,1.00055700,0.39046490,-0.01631857,1.05998000,0.39310960,0.00114438,1.07158300,0.37680700,0.01559461,1.06396900,0.36092010,0.03768039,1.04750400,0.34701680,8,1
0.03226357,0.90242210,0.35821250,0.03226357,0.90242210,0.35821250,0.03226357,0.90242210,0.35821250,0.01733775,0.92151900,0.36123040,-0.00148903,0.93205430,0.37145580,-0.02366438,0.95168670,0.38137360,-0.03836917,0.97979750,0.38826020,0.00671621,0.98541580,0.39726340,0.00138900,1.02047600,0.40562390,-0.00772652,1.04074900,0.39848010,0.02700024,0.98821220,0.39082510,0.02194447,1.02896500,0.39459980,0.01286190,1.05254000,0.38671680,0.04091927,0.98709730,0.37653590,0.03888544,1.02446500,0.37822670,0.02967101,1.04683800,0.37008700,0.04547799,0.94029290,0.35249950,0.05203914,0.98313520,0.35918410,0.05356712,1.01260500,0.35883140,0.05040544,1.03109600,0.35346190,-0.04809589,1.00130000,0.38982930,-0.01432504,1.06034400,0.39255860,0.00306802,1.07202500,0.37667480,0.01765262,1.06431200,0.36014930,0.03996847,1.04770700,0.34571140,8,1
0.03352894,0.90278260,0.35757240,0.03352894,0.90278260,0.35757240,0.03352894,0.90278260,0.35757240,0.01874494,0.92199870,0.36053050,-0.00005452,0.93254630,0.37079360,-0.02217652,0.95220140,0.38078530,-0.03671715,0.98039410,0.38768570,0.00844158,0.98592920,0.39659620,0.00329704,1.02090600,0.40540970,-0.00575598,1.04119200,0.39822630,0.02878612,0.98856590,0.39028270,0.02371412,1.02928800,0.39435460,0.01474629,1.05297000,0.38666470,0.04278015,0.98735580,0.37607470,0.04072969,1.02472700,0.37767800,0.03161839,1.04711800,0.36947550,0.04709195,0.94055020,0.35199510,0.05396968,0.98332660,0.35878320,0.05555283,1.01278700,0.35807260,0.05252494,1.03124700,0.35252190,-0.04610532,1.00205600,0.38911600,-0.01239491,1.06070400,0.39207610,0.00496176,1.07244400,0.37659010,0.01972925,1.06464700,0.35947810,0.04225057,1.04787600,0.34459470,8,1
0.03477639,0.90313580,0.35700310,0.03477639,0.90313580,0.35700310,0.03477639,0.90313580,0.35700310,0.02013426,0.92247280,0.35987890,0.00134546,0.93308060,0.37009930,-0.02047345,0.95287850,0.38046820,-0.03443973,0.98131750,0.38754200,0.01009703,0.98643060,0.39597100,0.00496885,1.02132400,0.40511860,-0.00401657,1.04164200,0.39794130,0.03051165,0.98890370,0.38981950,0.02557147,1.02962100,0.39408900,0.01686322,1.05347500,0.38663270,0.04460458,0.98759700,0.37571830,0.04248561,1.02496400,0.37732990,0.03345629,1.04737400,0.36908870,0.04870373,0.94079520,0.35159430,0.05589307,0.98350040,0.35850720,0.05757384,1.01295500,0.35778330,0.05465589,1.03142300,0.35220120,-0.04314385,1.00326800,0.38890180,-0.01073775,1.06102800,0.39149170,0.00733588,1.07317400,0.37675250,0.02165611,1.06491000,0.35899900,0.04456956,1.04814600,0.34423070,8,1
0.03570203,0.90284730,0.35692840,0.03570203,0.90284730,0.35692840,0.03570203,0.90284730,0.35692840,0.02124443,0.92236740,0.35948240,0.00239404,0.93314470,0.36940780,-0.01918495,0.95319220,0.37979920,-0.03258080,0.98193220,0.38675880,0.01130804,0.98653530,0.39522800,0.00622601,1.02139400,0.40453000,-0.00253502,1.04175000,0.39718340,0.03186327,0.98874510,0.38945630,0.02712847,1.02948800,0.39371400,0.01883000,1.05350200,0.38630280,0.04620198,0.98723160,0.37562610,0.04413433,1.02460900,0.37705590,0.03536391,1.04703500,0.36858200,0.05018514,0.94032130,0.35169420,0.05776154,0.98295400,0.35864040,0.05964250,1.01239300,0.35777040,0.05695900,1.03084900,0.35203460,-0.04055996,1.00417100,0.38785800,-0.00917651,1.06101300,0.39029660,0.00970217,1.07337600,0.37639680,0.02383647,1.06458200,0.35820040,0.04719543,1.04764700,0.34382360,8,1
0.03669236,0.90260740,0.35685750,0.03669236,0.90260740,0.35685750,0.03669236,0.90260740,0.35685750,0.02243188,0.92231170,0.35908450,0.00351779,0.93326190,0.36869450,-0.01784662,0.95355120,0.37905990,-0.03069649,0.98256990,0.38589150,0.01258534,0.98667430,0.39450340,0.00755196,1.02149400,0.40397680,-0.00096128,1.04189500,0.39646550,0.03327806,0.98861540,0.38914080,0.02874306,1.02938100,0.39340590,0.02085799,1.05354800,0.38604470,0.04787076,0.98689370,0.37560380,0.04587945,1.02428200,0.37685550,0.03739670,1.04673000,0.36814930,0.05174509,0.93988660,0.35184440,0.05971368,0.98243620,0.35886120,0.06180489,1.01185600,0.35784410,0.05937108,1.03029800,0.35195430,-0.03796684,1.00506200,0.38673690,-0.00748080,1.06104500,0.38916100,0.01212554,1.07357600,0.37609070,0.02617376,1.06429800,0.35747520,0.04994263,1.04716300,0.34349230,8,1
0.03766016,0.90240930,0.35679290,0.03766016,0.90240930,0.35679290,0.03766016,0.90240930,0.35679290,0.02359536,0.92228590,0.35871190,0.00462934,0.93347250,0.36793960,-0.01658892,0.95404830,0.37803700,-0.02847534,0.98364350,0.38409640,0.01383008,0.98682240,0.39383560,0.00917612,1.02162300,0.40356830,0.00103215,1.04211200,0.39588770,0.03464506,0.98850750,0.38887470,0.03050830,1.02931500,0.39313950,0.02307421,1.05360800,0.38572240,0.04947713,0.98658870,0.37562740,0.04789132,1.02400000,0.37676130,0.03981280,1.04649900,0.36780800,0.05325191,0.93949780,0.35201850,0.06158993,0.98196150,0.35912570,0.06397828,1.01134000,0.35767380,0.06180108,1.02970200,0.35144230,-0.03455298,1.00650200,0.38416080,-0.00528637,1.06110700,0.38802220,0.01471582,1.07368600,0.37555110,0.02895907,1.06410600,0.35681850,0.05269511,1.04654000,0.34258130,8,1
