RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.00907734,0.88088820,0.39293570,-0.00907734,0.88088820,0.39293570,-0.00907734,0.88088820,0.39293570,0.00905676,0.89710180,0.39073220,0.02380261,0.91309450,0.38089400,0.04731323,0.93267040,0.37460320,0.06826897,0.94800140,0.39408890,0.03027130,0.96690150,0.40384470,0.05017843,0.99357710,0.41866430,0.07203989,0.99791360,0.42561930,0.02231025,0.96184840,0.42312690,0.04685098,0.98835070,0.44302520,0.07197052,0.99161910,0.45069030,0.02065079,0.94898290,0.43832190,0.04596638,0.96864940,0.45770560,0.07131380,0.96680710,0.46011030,0.00587918,0.89995040,0.42540710,0.02094463,0.93224040,0.45097250,0.03996589,0.94751020,0.46758460,0.05920690,0.94871150,0.47059550,0.08204629,0.95490140,0.41203380,0.09250391,0.99857600,0.43220510,0.09534861,0.99162100,0.45615950,0.09393151,0.96129550,0.45753800,0.08006397,0.94797740,0.46753290,8,0
-0.00924275,0.88067430,0.39279850,-0.00924275,0.88067430,0.39279850,-0.00924275,0.88067430,0.39279850,0.00887156,0.89691340,0.39062090,0.02361301,0.91294380,0.38083740,0.04711588,0.93255100,0.37461570,0.06802857,0.94779010,0.39421940,0.03002414,0.96669980,0.40390330,0.04986028,0.99337950,0.41881070,0.07171832,0.99772610,0.42577010,0.02208835,0.96158520,0.42317970,0.04657980,0.98812450,0.44308950,0.07170592,0.99141510,0.45072340,0.02045837,0.94867630,0.43834100,0.04578778,0.96837750,0.45767130,0.07114246,0.96657180,0.46002670,0.00572649,0.89966340,0.42530680,0.02078327,0.93189950,0.45094530,0.03976795,0.94719310,0.46757730,0.05900585,0.94844010,0.47058950,0.08174384,0.95458660,0.41225110,0.09219193,0.99835260,0.43232950,0.09509169,0.99144100,0.45615970,0.09376380,0.96109460,0.45741280,0.07985790,0.94773410,0.46748650,8,0
-0.00939696,0.88047810,0.39267340,-0.00939696,0.88047810,0.39267340,-0.00939696,0.88047810,0.39267340,0.00870059,0.89673920,0.39051990,0.02342620,0.91280530,0.38077130,0.04691548,0.93244150,0.37458980,0.06782907,0.94764540,0.39421990,0.02980150,0.96651170,0.40395610,0.04967595,0.99322320,0.41875500,0.07154926,0.99760240,0.42564560,0.02188770,0.96134220,0.42322690,0.04627138,0.98796450,0.44315810,0.07136140,0.99142390,0.45083590,0.02028312,0.94839420,0.43835760,0.04556842,0.96815590,0.45768410,0.07092894,0.96640150,0.46001540,0.00558420,0.89940040,0.42521520,0.02063464,0.93158660,0.45092000,0.03961672,0.94683250,0.46759870,0.05885866,0.94806890,0.47058940,0.08157740,0.95443060,0.41223060,0.09204133,0.99825300,0.43214490,0.09473598,0.99161230,0.45631690,0.09354645,0.96093570,0.45734540,0.07969943,0.94734420,0.46741560,8,0
-0.00964408,0.88042090,0.39262920,-0.00964408,0.88042090,0.39262920,-0.00964408,0.88042090,0.39262920,0.00845567,0.89668140,0.39049090,0.02320136,0.91274050,0.38076100,0.04670753,0.93236680,0.37461230,0.06758906,0.94757760,0.39427110,0.02953410,0.96646360,0.40391290,0.04942978,0.99323360,0.41857690,0.07130517,0.99764590,0.42543970,0.02159338,0.96130570,0.42317570,0.04585343,0.98804600,0.44310000,0.07089491,0.99166410,0.45086280,0.01996810,0.94836740,0.43831240,0.04518734,0.96822250,0.45762930,0.07054666,0.96650190,0.45999850,0.00529019,0.89936440,0.42518020,0.02030273,0.93156750,0.45088590,0.03925531,0.94680440,0.46760640,0.05849480,0.94802640,0.47061860,0.08132933,0.95439070,0.41227750,0.09180067,0.99831910,0.43192590,0.09424607,0.99200080,0.45643560,0.09316188,0.96101990,0.45734240,0.07933146,0.94725910,0.46742800,8,0
-0.00987567,0.88036410,0.39258650,-0.00987567,0.88036410,0.39258650,-0.00987567,0.88036410,0.39258650,0.00822661,0.89662370,0.39046290,0.02299148,0.91267620,0.38075120,0.04651395,0.93229280,0.37463390,0.06736587,0.94750730,0.39432120,0.02928681,0.96641330,0.40387480,0.04920275,0.99323780,0.41841130,0.07108063,0.99768020,0.42524660,0.02132133,0.96126570,0.42313020,0.04546607,0.98811690,0.44304530,0.07046145,0.99188390,0.45088530,0.01967671,0.94833530,0.43827160,0.04483667,0.96827790,0.45757570,0.07019493,0.96658810,0.45997830,0.00501638,0.89932520,0.42514660,0.01999535,0.93154220,0.45085450,0.03891989,0.94676980,0.46761510,0.05815689,0.94797880,0.47064840,0.08109692,0.95434270,0.41232620,0.09158006,0.99837160,0.43171840,0.09378986,0.99236030,0.45654270,0.09280749,0.96108970,0.45733340,0.07898939,0.94717070,0.46744070,8,0
-0.01009504,0.88030770,0.39254500,-0.01009504,0.88030770,0.39254500,-0.01009504,0.88030770,0.39254500,0.00801002,0.89656610,0.39043560,0.02281671,0.91260680,0.38076820,0.04642503,0.93214070,0.37471740,0.06722119,0.94724010,0.39455180,0.02905531,0.96636150,0.40384080,0.04895288,0.99319660,0.41838270,0.07081564,0.99766780,0.42524760,0.02106677,0.96122270,0.42308890,0.04516169,0.98802670,0.44312750,0.07013665,0.99178030,0.45103870,0.01940386,0.94829930,0.43823430,0.04446113,0.96828430,0.45762790,0.06981482,0.96665530,0.46011890,0.00475843,0.89928340,0.42511420,0.01970722,0.93151200,0.45082520,0.03868690,0.94672390,0.46753770,0.05791536,0.94795660,0.47061520,0.08085449,0.95397690,0.41266780,0.09130587,0.99837720,0.43174650,0.09345171,0.99224320,0.45675210,0.09246038,0.96124390,0.45757910,0.07876709,0.94721010,0.46751940,8,0
-0.01029065,0.88041290,0.39257930,-0.01029065,0.88041290,0.39257930,-0.01029065,0.88041290,0.39257930,0.00778056,0.89670900,0.39046960,0.02257845,0.91277750,0.38083510,0.04621704,0.93228820,0.37482780,0.06696068,0.94730590,0.39477890,0.02869062,0.96654030,0.40389900,0.04854004,0.99341550,0.41843260,0.07039081,0.99795290,0.42529230,0.02072104,0.96137620,0.42314820,0.04474219,0.98817470,0.44328250,0.06970130,0.99196730,0.45122510,0.01909101,0.94844220,0.43828810,0.04404229,0.96850450,0.45773840,0.06939864,0.96698190,0.46026920,0.00453888,0.89940310,0.42515100,0.01943390,0.93164940,0.45087080,0.03845711,0.94687040,0.46752540,0.05767969,0.94816170,0.47061590,0.08051750,0.95396380,0.41298130,0.09088187,0.99871430,0.43178270,0.09301120,0.99246770,0.45695620,0.09208031,0.96169760,0.45778450,0.07854433,0.94751380,0.46758570,8,0
-0.01047987,0.88050450,0.39260770,-0.01047987,0.88050450,0.39260770,-0.01047987,0.88050450,0.39260770,0.00756097,0.89683430,0.39049890,0.02235284,0.91292770,0.38089660,0.04602239,0.93241390,0.37493210,0.06671567,0.94735180,0.39499510,0.02834908,0.96669750,0.40395200,0.04815536,0.99361090,0.41847380,0.06999508,0.99820950,0.42532780,0.02039578,0.96151030,0.42320170,0.04434564,0.98830660,0.44342380,0.06928844,0.99213960,0.45139820,0.01879464,0.94856660,0.43833650,0.04364618,0.96870290,0.45783800,0.06900444,0.96727910,0.46040700,0.00432684,0.89950700,0.42518260,0.01917253,0.93176900,0.45091150,0.03823651,0.94699630,0.46751360,0.05745331,0.94834050,0.47061730,0.08019900,0.95393360,0.41327960,0.09048709,0.99901770,0.43180960,0.09259265,0.99267860,0.45714890,0.09171860,0.96211140,0.45797450,0.07832903,0.94778060,0.46764630,8,0
-0.01066913,0.88058660,0.39263190,-0.01066913,0.88058660,0.39263190,-0.01066913,0.88058660,0.39263190,0.00734354,0.89694770,0.39052490,0.02206294,0.91308010,0.38087690,0.04571600,0.93256270,0.37483550,0.06644684,0.94749710,0.39486220,0.02801777,0.96684000,0.40400190,0.04781714,0.99377920,0.41848550,0.06965339,0.99842290,0.42532020,0.02007887,0.96163120,0.42325170,0.04410420,0.98835360,0.44348210,0.06903645,0.99223080,0.45146810,0.01850400,0.94867830,0.43838130,0.04346322,0.96868160,0.45788230,0.06882418,0.96717370,0.46037550,0.00411507,0.89960010,0.42521070,0.01891388,0.93187590,0.45094910,0.03807015,0.94702470,0.46751680,0.05730348,0.94831100,0.47054160,0.07992870,0.95404800,0.41315890,0.09014865,0.99927230,0.43178640,0.09233647,0.99281920,0.45723090,0.09152803,0.96198320,0.45789560,0.07816615,0.94770940,0.46748820,8,0
-0.01107872,0.88071790,0.39245500,-0.01107872,0.88071790,0.39245500,-0.01107872,0.88071790,0.39245500,0.00693704,0.89708040,0.39038600,0.02163556,0.91322610,0.38072850,0.04531890,0.93266600,0.37466790,0.06606447,0.94755880,0.39471020,0.02758594,0.96696740,0.40392930,0.04739114,0.99390120,0.41841490,0.06921750,0.99855470,0.42527440,0.01961415,0.96174990,0.42316320,0.04370317,0.98836930,0.44345330,0.06861397,0.99225310,0.45150280,0.01801368,0.94879030,0.43828440,0.04305732,0.96863870,0.45783530,0.06841313,0.96702030,0.46031160,0.00364891,0.89971750,0.42506740,0.01840249,0.93198240,0.45084540,0.03763597,0.94702800,0.46741770,0.05687964,0.94823360,0.47040980,0.07951429,0.95405510,0.41304990,0.08970448,0.99941110,0.43176590,0.09189868,0.99285510,0.45732580,0.09110588,0.96177940,0.45783620,0.07773564,0.94756470,0.46732520,8,0
