RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.05912356,0.89560150,0.38572000,-0.05912356,0.89560150,0.38572000,-0.05912356,0.89560150,0.38572000,-0.06298889,0.91734500,0.37462960,-0.06688988,0.93667070,0.36067190,-0.06248130,0.96489000,0.34714790,-0.05386918,0.99077840,0.36543670,-0.10546260,0.97913830,0.37327730,-0.12312720,1.01131200,0.36984720,-0.13394190,1.03221300,0.36779240,-0.10118580,0.97809090,0.39454340,-0.12117880,1.01446100,0.39882720,-0.13400300,1.03777500,0.40183220,-0.08801947,0.97531160,0.40962820,-0.09005035,1.01203600,0.41878610,-0.09111317,1.03709000,0.42497370,-0.05897455,0.93052640,0.40718160,-0.07120413,0.97062540,0.42171790,-0.05888717,0.99585950,0.41156330,-0.04809295,0.98619480,0.39815320,-0.04775761,0.99656700,0.38783860,-0.14645940,1.04999200,0.36867780,-0.14935950,1.05577300,0.40734480,-0.09241296,1.06031800,0.42948040,-0.04627524,0.96755390,0.38792120,2,6
-0.05840483,0.89580570,0.38598570,-0.05840483,0.89580570,0.38598570,-0.05840483,0.89580570,0.38598570,-0.06208191,0.91747560,0.37468900,-0.06583344,0.93669180,0.36054050,-0.06118106,0.96472490,0.34671420,-0.05229758,0.99081290,0.36458480,-0.10396180,0.97965910,0.37280600,-0.12121690,1.01200000,0.36889130,-0.13174850,1.03301100,0.36651500,-0.09965473,0.97877930,0.39407360,-0.11931650,1.01537400,0.39796740,-0.13192810,1.03883400,0.40072230,-0.08648710,0.97602140,0.40916110,-0.08830526,1.01287000,0.41785100,-0.08922293,1.03800700,0.42371960,-0.05787905,0.93093650,0.40710250,-0.06969466,0.97129230,0.42126590,-0.05732251,0.99651550,0.41115140,-0.04657761,0.98691290,0.39765740,-0.04602358,0.99706340,0.38681710,-0.14400520,1.05098200,0.36711000,-0.14711740,1.05702800,0.40604800,-0.09047377,1.06128100,0.42799770,-0.04477793,0.96834560,0.38728900,2,6
-0.05765286,0.89608270,0.38610100,-0.05765286,0.89608270,0.38610100,-0.05765286,0.89608270,0.38610100,-0.06115926,0.91782010,0.37488000,-0.06475476,0.93710870,0.36078970,-0.05987846,0.96515890,0.34707560,-0.05089972,0.99121910,0.36493920,-0.10264740,0.98026900,0.37311310,-0.11958520,1.01276400,0.36909420,-0.12989360,1.03387700,0.36664690,-0.09841470,0.97927730,0.39439070,-0.11788940,1.01596900,0.39830470,-0.13038200,1.03949200,0.40107260,-0.08531323,0.97637740,0.40950920,-0.08708230,1.01321900,0.41823880,-0.08796617,1.03835000,0.42413620,-0.05697808,0.93112460,0.40736080,-0.06858960,0.97149570,0.42164870,-0.05617839,0.99686980,0.41196870,-0.04538707,0.98753390,0.39832540,-0.04459784,0.99762920,0.38711800,-0.14195300,1.05198500,0.36714970,-0.14549230,1.05775500,0.40638740,-0.08926538,1.06160500,0.42850500,-0.04350314,0.96918300,0.38759320,2,6
-0.05691079,0.89636460,0.38620470,-0.05691079,0.89636460,0.38620470,-0.05691079,0.89636460,0.38620470,-0.06024270,0.91815690,0.37503700,-0.06367926,0.93750300,0.36098600,-0.05856922,0.96555100,0.34735290,-0.04947656,0.99159590,0.36518110,-0.10131600,0.98088100,0.37333370,-0.11792550,1.01353000,0.36919590,-0.12800300,1.03474500,0.36666750,-0.09715094,0.97980020,0.39462030,-0.11642310,1.01660000,0.39852400,-0.12878680,1.04019100,0.40128540,-0.08411213,0.97677080,0.40976750,-0.08581126,1.01361500,0.41850090,-0.08664712,1.03874600,0.42440240,-0.05606768,0.93133970,0.40756820,-0.06745568,0.97174450,0.42194030,-0.05498868,0.99723780,0.41265310,-0.04416119,0.98813940,0.39887870,-0.04313643,0.99818000,0.38729800,-0.13985680,1.05299000,0.36707180,-0.14380870,1.05853400,0.40657650,-0.08798281,1.06198600,0.42883840,-0.04221005,0.96999200,0.38781760,2,6
-0.05617537,0.89665070,0.38629920,-0.05617537,0.89665070,0.38629920,-0.05617537,0.89665070,0.38629920,-0.05932945,0.91848770,0.37516740,-0.06258761,0.93789300,0.36115550,-0.05746201,0.96599080,0.34763120,-0.04834377,0.99198600,0.36551870,-0.09996861,0.98149470,0.37348650,-0.11625850,1.01428200,0.36917240,-0.12608100,1.03560000,0.36651430,-0.09586595,0.98034230,0.39478150,-0.11506800,1.01720500,0.39843450,-0.12738820,1.04083700,0.40103490,-0.08288728,0.97719320,0.40995590,-0.08451515,1.01404600,0.41866800,-0.08530214,1.03918200,0.42455650,-0.05514838,0.93157600,0.40773600,-0.06629702,0.97202870,0.42216120,-0.05416242,0.99794170,0.41362590,-0.04306832,0.98954270,0.39962120,-0.04192320,0.99873790,0.38756170,-0.13770640,1.05399400,0.36677580,-0.14239480,1.05923600,0.40617080,-0.08660214,1.06242500,0.42898860,-0.04061893,0.97185980,0.38792520,2,6
-0.05540301,0.89678290,0.38594080,-0.05540301,0.89678290,0.38594080,-0.05540301,0.89678290,0.38594080,-0.05842367,0.91862990,0.37479160,-0.06154688,0.93805120,0.36077120,-0.05643878,0.96616610,0.34727570,-0.04731354,0.99217230,0.36514370,-0.09873199,0.98184610,0.37300380,-0.11475830,1.01473100,0.36845010,-0.12436340,1.03612600,0.36562140,-0.09467356,0.98068420,0.39430670,-0.11385180,1.01758900,0.39764260,-0.12615790,1.04125000,0.40003970,-0.08173865,0.97747600,0.40950610,-0.08334482,1.01435600,0.41810580,-0.08411683,1.03951000,0.42391890,-0.05423309,0.93171420,0.40736060,-0.06519735,0.97223210,0.42174390,-0.05340404,0.99850350,0.41384990,-0.04207120,0.99074490,0.39966810,-0.04081288,0.99915250,0.38709190,-0.13579000,1.05464600,0.36570790,-0.14116870,1.05969600,0.40499230,-0.08542149,1.06276300,0.42829580,-0.03915090,0.97350110,0.38743680,2,6
-0.05463873,0.89693010,0.38561250,-0.05463873,0.89693010,0.38561250,-0.05463873,0.89693010,0.38561250,-0.05752007,0.91878320,0.37443840,-0.06050416,0.93821520,0.36040240,-0.05539124,0.96633660,0.34692240,-0.04624148,0.99235740,0.36475660,-0.09747535,0.98221950,0.37252600,-0.11322690,1.01520200,0.36772740,-0.12260830,1.03667300,0.36472530,-0.09345880,0.98105470,0.39383670,-0.11259150,1.01801000,0.39685530,-0.12486960,1.04170600,0.39904890,-0.08056707,0.97778910,0.40906060,-0.08213469,1.01469900,0.41753620,-0.08288023,1.03987300,0.42326590,-0.05331133,0.93187400,0.40700240,-0.06407534,0.97246510,0.42133070,-0.05258242,0.99904140,0.41403730,-0.04104014,0.99187980,0.39971120,-0.03965978,0.99956660,0.38660640,-0.13382970,1.05531800,0.36463490,-0.13987270,1.06020600,0.40381940,-0.08418444,1.06313700,0.42758400,-0.03769475,0.97506890,0.38699560,2,6
-0.05388082,0.89708920,0.38530780,-0.05388082,0.89708920,0.38530780,-0.05388082,0.89708920,0.38530780,-0.05661824,0.91894530,0.37410320,-0.05940647,0.93842420,0.36009210,-0.05404601,0.96653490,0.34668620,-0.04480797,0.99260810,0.36439800,-0.09620269,0.98260930,0.37205240,-0.11173380,1.01567400,0.36710120,-0.12089630,1.03722100,0.36397320,-0.09222612,0.98144690,0.39337070,-0.11138350,1.01843900,0.39571240,-0.12367940,1.04216100,0.39747200,-0.07937723,0.97812510,0.40861860,-0.08081771,1.01507100,0.41696190,-0.08147640,1.04026700,0.42260220,-0.05238451,0.93205060,0.40665810,-0.06293572,0.97272050,0.42092090,-0.05216257,0.99985230,0.41464450,-0.04020582,0.99384080,0.40013080,-0.03812958,1.00031700,0.38604710,-0.13192500,1.05597900,0.36375660,-0.13872090,1.06072400,0.40186130,-0.08272886,1.06354500,0.42685910,-0.03598819,0.97785770,0.38663130,2,6
-0.05346099,0.89709400,0.38528080,-0.05346099,0.89709400,0.38528080,-0.05346099,0.89709400,0.38528080,-0.05614867,0.91893660,0.37403820,-0.05883974,0.93844090,0.36004330,-0.05336144,0.96654540,0.34667210,-0.04406245,0.99270840,0.36421880,-0.09555116,0.98271110,0.37191490,-0.11096590,1.01580900,0.36682670,-0.11997920,1.03740200,0.36358130,-0.09155224,0.98157730,0.39323060,-0.11082560,1.01854300,0.39494350,-0.12319710,1.04225300,0.39629970,-0.07869460,0.97824700,0.40846930,-0.08009630,1.01522800,0.41665930,-0.08072850,1.04044900,0.42219520,-0.05183772,0.93209110,0.40656320,-0.06225395,0.97281810,0.42076190,-0.05225507,1.00044100,0.41541770,-0.03996977,0.99556210,0.40075430,-0.03725068,1.00092300,0.38563900,-0.13086790,1.05624000,0.36325370,-0.13831280,1.06083400,0.40034770,-0.08199003,1.06373900,0.42638010,-0.03494918,0.98043960,0.38655620,2,6
-0.05301804,0.89711950,0.38524710,-0.05301804,0.89711950,0.38524710,-0.05301804,0.89711950,0.38524710,-0.05564473,0.91894830,0.37396310,-0.05823094,0.93847390,0.35997840,-0.05262877,0.96656690,0.34663420,-0.04326110,0.99281480,0.36401680,-0.09483719,0.98284900,0.37175150,-0.11011740,1.01598600,0.36651620,-0.11897170,1.03762600,0.36314790,-0.09082000,0.98174500,0.39306530,-0.11018150,1.01868800,0.39417340,-0.12261080,1.04238600,0.39514160,-0.07795777,0.97840270,0.40829740,-0.07930902,1.01542000,0.41633000,-0.07990682,1.04066500,0.42175860,-0.05125645,0.93215390,0.40645700,-0.06152257,0.97294400,0.42058410,-0.05221879,1.00096200,0.41610910,-0.03967017,0.99713320,0.40135710,-0.03632044,1.00150500,0.38520690,-0.12971160,1.05654700,0.36270350,-0.13778600,1.06098700,0.39886090,-0.08117118,1.06396900,0.42586990,-0.03394601,0.98286430,0.38655450,2,6
