RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.07048547,0.88227420,0.47673740,-0.07048547,0.88227420,0.47673740,-0.07048547,0.88227420,0.47673740,-0.06866263,0.90675740,0.47391370,-0.06588668,0.93007510,0.46824890,-0.05481125,0.95744760,0.45699090,-0.02286785,0.96473460,0.45467170,-0.04500640,0.97077750,0.50499510,-0.02989900,1.00396700,0.51040190,-0.01990112,1.02512000,0.51365430,-0.02728745,0.95854850,0.50784600,-0.00634832,0.98976280,0.52595960,0.00727414,1.00963000,0.53765370,-0.01380113,0.94533210,0.50063000,0.01433229,0.96981090,0.50740840,0.03357882,0.98649000,0.51170950,-0.03410023,0.90105770,0.47865210,-0.00306982,0.93093330,0.48929890,0.00535840,0.95027070,0.46816570,-0.00666460,0.95238200,0.45264980,0.00031912,0.95890930,0.45573730,-0.00945089,1.04375800,0.51777730,0.01951750,1.02555000,0.55132020,0.05062955,1.00146100,0.51854330,-0.02528328,0.94280480,0.45678550,2,1
-0.07064512,0.88246860,0.47628330,-0.07064512,0.88246860,0.47628330,-0.07064512,0.88246860,0.47628330,-0.06842907,0.90688530,0.47317890,-0.06508988,0.93005890,0.46723370,-0.05326915,0.95730560,0.45643780,-0.02117620,0.96419270,0.45522560,-0.04479102,0.97102740,0.50402160,-0.02953693,1.00409000,0.50977750,-0.01943987,1.02515900,0.51326900,-0.02731571,0.95861670,0.50751800,-0.00659892,0.98980340,0.52593240,0.00687686,1.00965200,0.53782690,-0.01381230,0.94513240,0.50085050,0.01448696,0.96934810,0.50787900,0.03385379,0.98584150,0.51235250,-0.03408401,0.90081650,0.47893100,-0.00296697,0.93044350,0.49001110,0.00600296,0.94938830,0.46874570,-0.00566516,0.95123300,0.45292790,0.00190700,0.95814140,0.45702940,-0.00894810,1.04369700,0.51772060,0.01886790,1.02557200,0.55171440,0.05094373,1.00069900,0.51933450,-0.02439112,0.94176090,0.45681400,2,1
-0.07078459,0.88264610,0.47586660,-0.07078459,0.88264610,0.47586660,-0.07078459,0.88264610,0.47586660,-0.06818272,0.90699010,0.47250170,-0.06444273,0.93005060,0.46635840,-0.05206416,0.95705710,0.45558420,-0.01983000,0.96335530,0.45519640,-0.04455760,0.97124850,0.50311140,-0.02923365,1.00426700,0.50893770,-0.01908738,1.02530200,0.51248690,-0.02733632,0.95867420,0.50722850,-0.00698096,0.98997400,0.52585290,0.00625952,1.00989500,0.53788970,-0.01383315,0.94493810,0.50109580,0.01451226,0.96903530,0.50834210,0.03391761,0.98544170,0.51296620,-0.03407835,0.90058170,0.47923380,-0.00289302,0.92997400,0.49073880,0.00669424,0.94857410,0.46943850,-0.00459430,0.95017480,0.45332150,0.00308362,0.95692250,0.45770480,-0.00859306,1.04381400,0.51703810,0.01792703,1.02590300,0.55195080,0.05097561,1.00027600,0.52007450,-0.02340879,0.94078110,0.45696260,2,1
-0.07082906,0.88292080,0.47619520,-0.07082906,0.88292080,0.47619520,-0.07082906,0.88292080,0.47619520,-0.06779773,0.90719780,0.47270780,-0.06362683,0.93016520,0.46649380,-0.05067791,0.95697520,0.45590060,-0.01832402,0.96262500,0.45630600,-0.04396130,0.97135160,0.50337300,-0.02849819,1.00426400,0.50942500,-0.01825953,1.02522800,0.51313100,-0.02702397,0.95856530,0.50798540,-0.00692818,0.98984270,0.52692650,0.00614213,1.00974800,0.53917240,-0.01358243,0.94458960,0.50227310,0.01487721,0.96846930,0.50978680,0.03436633,0.98472270,0.51459520,-0.03395502,0.90035580,0.48028130,-0.00262277,0.92938920,0.49228740,0.00753509,0.94773400,0.47103010,-0.00342345,0.94918050,0.45467260,0.00438754,0.95575370,0.45941670,-0.00772265,1.04366900,0.51786710,0.01754796,1.02574800,0.55345610,0.05144297,0.99945960,0.52185980,-0.02232220,0.93987190,0.45808890,2,1
-0.07086764,0.88317610,0.47648810,-0.07086764,0.88317610,0.47648810,-0.07086764,0.88317610,0.47648810,-0.06741751,0.90737980,0.47288270,-0.06282616,0.93024840,0.46660070,-0.04932983,0.95686380,0.45620180,-0.01689339,0.96189340,0.45740120,-0.04339319,0.97144420,0.50358830,-0.02780728,1.00425800,0.50985600,-0.01748724,1.02515400,0.51371290,-0.02674666,0.95846270,0.50868830,-0.00691779,0.98973300,0.52792020,0.00597752,1.00963400,0.54035870,-0.01337493,0.94425670,0.50339570,0.01518937,0.96792600,0.51117360,0.03475562,0.98403110,0.51616410,-0.03385623,0.90013220,0.48128570,-0.00240349,0.92882600,0.49378330,0.00830847,0.94690490,0.47257030,-0.00232342,0.94818460,0.45598490,0.00559852,0.95460690,0.46110620,-0.00691865,1.04353100,0.51862900,0.01711763,1.02563700,0.55484710,0.05184618,0.99867540,0.52358150,-0.02130085,0.93895970,0.45918530,2,1
-0.07090157,0.88341590,0.47675240,-0.07090157,0.88341590,0.47675240,-0.07090157,0.88341590,0.47675240,-0.06704105,0.90754050,0.47303430,-0.06202366,0.93030050,0.46668460,-0.04796608,0.95666370,0.45638710,-0.01546634,0.96099030,0.45836350,-0.04284699,0.97152710,0.50376880,-0.02700866,1.00423700,0.50995010,-0.01651714,1.02506400,0.51371560,-0.02649872,0.95836540,0.50934920,-0.00678815,0.98962970,0.52871220,0.00602727,1.00952600,0.54124020,-0.01320549,0.94393770,0.50447520,0.01551061,0.96730680,0.51259430,0.03518620,0.98320290,0.51781970,-0.03378056,0.89991180,0.48225610,-0.00223061,0.92828200,0.49523770,0.00894129,0.94601040,0.47396620,-0.00148899,0.94705800,0.45723710,0.00675162,0.95322290,0.46269190,-0.00582133,1.04339200,0.51853730,0.01699284,1.02554800,0.55583990,0.05231825,0.99769600,0.52543570,-0.02052762,0.93794700,0.46040000,2,1
-0.07154813,0.88368550,0.47714580,-0.07154813,0.88368550,0.47714580,-0.07154813,0.88368550,0.47714580,-0.06732655,0.90772280,0.47325870,-0.06194344,0.93036320,0.46678220,-0.04741512,0.95647540,0.45649890,-0.01488221,0.96016860,0.45911230,-0.04291555,0.97172360,0.50379140,-0.02684750,1.00435600,0.50978590,-0.01619883,1.02513000,0.51339860,-0.02683321,0.95842390,0.50980070,-0.00720541,0.98974790,0.52915110,0.00555346,1.00968200,0.54167620,-0.01363073,0.94378850,0.50531450,0.01523165,0.96691640,0.51360370,0.03501138,0.98264310,0.51894720,-0.03433464,0.89978900,0.48316270,-0.00268176,0.92790870,0.49643580,0.00883918,0.94525720,0.47503760,-0.00145789,0.94602970,0.45821140,0.00707226,0.95197990,0.46397560,-0.00538189,1.04342600,0.51807030,0.01638161,1.02576900,0.55630740,0.05219383,0.99702630,0.52665740,-0.02053546,0.93701930,0.46142740,2,1
-0.07213958,0.88394190,0.47750880,-0.07213958,0.88394190,0.47750880,-0.07213958,0.88394190,0.47750880,-0.06755716,0.90788670,0.47346280,-0.06180882,0.93040340,0.46686960,-0.04681586,0.95626720,0.45662580,-0.01427850,0.95934870,0.45989440,-0.04294060,0.97189830,0.50380720,-0.02664895,1.00444800,0.50964390,-0.01584624,1.02516500,0.51312510,-0.02713335,0.95846970,0.51024460,-0.00759883,0.98985410,0.52959160,0.00509670,1.00982700,0.54211960,-0.01402833,0.94363370,0.50614880,0.01497021,0.96652400,0.51462030,0.03484713,0.98208370,0.52009020,-0.03485126,0.89966170,0.48405390,-0.00311053,0.92753580,0.49763190,0.00877021,0.94450340,0.47612530,-0.00138422,0.94500520,0.45920230,0.00739579,0.95075920,0.46529340,-0.00491116,1.04342300,0.51766900,0.01577963,1.02598000,0.55678490,0.05207387,0.99635930,0.52790110,-0.02050521,0.93610110,0.46245620,2,1
-0.07268770,0.88418800,0.47784780,-0.07268770,0.88418800,0.47784780,-0.07268770,0.88418800,0.47784780,-0.06774440,0.90803520,0.47365260,-0.06164990,0.93043010,0.46695640,-0.04627358,0.95619150,0.45702750,-0.01377340,0.95862520,0.46111080,-0.04293060,0.97205420,0.50382010,-0.02625653,1.00444300,0.50947100,-0.01520006,1.02504900,0.51281190,-0.02740764,0.95850560,0.51068380,-0.00774863,0.98982890,0.53000350,0.00502246,1.00976100,0.54251860,-0.01440749,0.94347550,0.50697980,0.01464701,0.96607720,0.51601590,0.03456885,0.98143700,0.52187380,-0.03534173,0.89953200,0.48493370,-0.00352702,0.92716500,0.49882740,0.00866711,0.94374840,0.47719680,-0.00141624,0.94389970,0.46022460,0.00748460,0.94942380,0.46712230,-0.00405608,1.04321400,0.51721790,0.01567051,1.02589900,0.55722640,0.05177017,0.99555760,0.53001530,-0.02058218,0.93509290,0.46347920,2,1
-0.07293621,0.88449990,0.47737620,-0.07293621,0.88449990,0.47737620,-0.07293621,0.88449990,0.47737620,-0.06768408,0.90824420,0.47297770,-0.06130375,0.93051050,0.46612070,-0.04562879,0.95616420,0.45638180,-0.01318005,0.95802010,0.46112450,-0.04263421,0.97235240,0.50275840,-0.02561603,1.00461100,0.50812140,-0.01433074,1.02512500,0.51125620,-0.02735352,0.95872560,0.51000050,-0.00755705,0.99005690,0.52916660,0.00529867,1.00999400,0.54158710,-0.01445995,0.94352010,0.50665780,0.01464400,0.96590330,0.51607070,0.03460482,0.98111060,0.52218790,-0.03553652,0.89954000,0.48482130,-0.00363567,0.92700420,0.49885150,0.00876208,0.94317850,0.47702790,-0.00131809,0.94294450,0.46005480,0.00767965,0.94827770,0.46765630,-0.00299349,1.04321700,0.51546210,0.01593675,1.02616400,0.55626660,0.05178957,0.99512450,0.53054610,-0.02050393,0.93421930,0.46341010,2,1
