RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.28913240,0.88472240,0.34156770,0.28913240,0.88472240,0.34156770,0.28913240,0.88472240,0.34156770,0.28050640,0.90775490,0.34398020,0.27045790,0.92970750,0.34476940,0.25958190,0.95773360,0.33502690,0.27454800,0.97956600,0.31557910,0.29526310,0.97672660,0.36946340,0.29544620,1.01358400,0.37016010,0.29565730,1.03720500,0.37018320,0.31366490,0.97280810,0.35861670,0.32500020,1.01290700,0.36073010,0.33250870,1.03857900,0.36199890,0.32313440,0.96598640,0.34211150,0.33019390,1.00127600,0.33021890,0.33483610,1.02526400,0.32184160,0.30983820,0.91667850,0.32638730,0.32848620,0.95685140,0.32370530,0.31380280,0.97624180,0.30638490,0.29485700,0.97329550,0.30168080,0.29262110,0.98530580,0.30098030,0.29724070,1.05890200,0.36963970,0.34336060,1.05983900,0.36651330,0.34084740,1.04756300,0.31653490,0.28875400,0.95739310,0.31453960,2,2
0.28750250,0.88472400,0.34167280,0.28750250,0.88472400,0.34167280,0.28750250,0.88472400,0.34167280,0.27883860,0.90774150,0.34409230,0.26876310,0.92968230,0.34486820,0.25791060,0.95775230,0.33522680,0.27297750,0.97954550,0.31581270,0.29349050,0.97673500,0.36957680,0.29381790,1.01358900,0.37040630,0.29413190,1.03720900,0.37052770,0.31189370,0.97284900,0.35872070,0.32347450,1.01285700,0.36119310,0.33114010,1.03847000,0.36269190,0.32136680,0.96604550,0.34221010,0.32814780,1.00129000,0.33002550,0.33259930,1.02524400,0.32145040,0.30814670,0.91671710,0.32648630,0.32672520,0.95692180,0.32380030,0.31164380,0.97614570,0.30663710,0.29274290,0.97286790,0.30197190,0.29112340,0.98515590,0.30125400,0.29580550,1.05890100,0.37006860,0.34211720,1.05962300,0.36740330,0.33844510,1.04754100,0.31595160,0.28703760,0.95677330,0.31477420,2,2
0.28564710,0.88502400,0.34283980,0.28564710,0.88502400,0.34283980,0.28564710,0.88502400,0.34283980,0.27689560,0.90800580,0.34528310,0.26673560,0.92990700,0.34607390,0.25575840,0.95796610,0.33654220,0.27073100,0.97972910,0.31702160,0.29140870,0.97710530,0.37055910,0.29176450,1.01395700,0.37146210,0.29210550,1.03757600,0.37164440,0.30975440,0.97328560,0.35958260,0.32143240,1.01325400,0.36222820,0.32915990,1.03884200,0.36383670,0.31914450,0.96649890,0.34301780,0.32544970,1.00169700,0.33044910,0.32957450,1.02561500,0.32161470,0.30604090,0.91708620,0.32746190,0.32441770,0.95737040,0.32458570,0.30894940,0.97646950,0.30762850,0.29007420,0.97291680,0.30306190,0.28883510,0.98524420,0.30237480,0.29379590,1.05926800,0.37122650,0.34020590,1.05994400,0.36861440,0.33514370,1.04791700,0.31585530,0.28474270,0.95665680,0.31581600,2,2
0.28380930,0.88527580,0.34390700,0.28380930,0.88527580,0.34390700,0.28380930,0.88527580,0.34390700,0.27497910,0.90822510,0.34637300,0.26474410,0.93009090,0.34717630,0.25366030,0.95814200,0.33774500,0.26855920,0.97987190,0.31813140,0.28936340,0.97741710,0.37146910,0.28975450,1.01426600,0.37245860,0.29012850,1.03788400,0.37271120,0.30765760,0.97365730,0.36038660,0.31943210,1.01358600,0.36321030,0.32722100,1.03914700,0.36493160,0.31697490,0.96688650,0.34377430,0.32281250,1.00203500,0.33084420,0.32661660,1.02591400,0.32176600,0.30397880,0.91740000,0.32836340,0.32217340,0.95775470,0.32532260,0.30644000,0.97680740,0.30855830,0.28759250,0.97305720,0.30403550,0.28663270,0.98529080,0.30341090,0.29184140,1.05957500,0.37234430,0.33833290,1.06019800,0.36978160,0.33191200,1.04821800,0.31576120,0.28253010,0.95664050,0.31669850,2,2
0.28202650,0.88548780,0.34487910,0.28202650,0.88548780,0.34487910,0.28202650,0.88548780,0.34487910,0.27312580,0.90840760,0.34736620,0.26284080,0.93025080,0.34814350,0.25171700,0.95831360,0.33879450,0.26647840,0.98010830,0.31914880,0.28739100,0.97768030,0.37230700,0.28792850,1.01451500,0.37368140,0.28839990,1.03812700,0.37418660,0.30563940,0.97397450,0.36113120,0.31743120,1.01388300,0.36415570,0.32523090,1.03943300,0.36600470,0.31489250,0.96721860,0.34447690,0.32042030,1.00239900,0.33149760,0.32401220,1.02629900,0.32238680,0.30199520,0.91766740,0.32919170,0.32002580,0.95808470,0.32600810,0.30353810,0.97674290,0.30952730,0.28477100,0.97252300,0.30508450,0.28442560,0.98565360,0.30432140,0.29015890,1.05981700,0.37399990,0.33636170,1.06045200,0.37094200,0.32912280,1.04863500,0.31634220,0.28024850,0.95586340,0.31763390,2,2
0.27922430,0.88558510,0.34698980,0.27922430,0.88558510,0.34698980,0.27922430,0.88558510,0.34698980,0.27030040,0.90852140,0.34922830,0.26003170,0.93038110,0.34970010,0.24909490,0.95843220,0.34009860,0.26408010,0.98010700,0.32048980,0.28433940,0.97797900,0.37378010,0.28511770,1.01480400,0.37528960,0.28575330,1.03841000,0.37589060,0.30268620,0.97419300,0.36279390,0.31458870,1.01406000,0.36592700,0.32246010,1.03958200,0.36784820,0.31208670,0.96731520,0.34627260,0.31758420,1.00241700,0.33306960,0.32115810,1.02626000,0.32380560,0.29932870,0.91765030,0.33124160,0.31738380,0.95804540,0.32791810,0.30058710,0.97634620,0.31134890,0.28194960,0.97178240,0.30670490,0.28213920,0.98560360,0.30578060,0.28763210,1.06009000,0.37576240,0.33360890,1.06056800,0.37289060,0.32623120,1.04857000,0.31763200,0.27763340,0.95499460,0.31915570,2,2
0.27652430,0.88566660,0.34894150,0.27652430,0.88566660,0.34894150,0.27652430,0.88566660,0.34894150,0.26757890,0.90861530,0.35095640,0.25732660,0.93048690,0.35115150,0.24656180,0.95852800,0.34132900,0.26175240,0.98009340,0.32175770,0.28141130,0.97823830,0.37515430,0.28240960,1.01505200,0.37680690,0.28319660,1.03865100,0.37750940,0.29984500,0.97438340,0.36433880,0.31184860,1.01421100,0.36759190,0.31978550,1.03970600,0.36959240,0.30937680,0.96739770,0.34793850,0.31481200,1.00242300,0.33450980,0.31834570,1.02621200,0.32509130,0.29674660,0.91763070,0.33313890,0.31482030,0.95800690,0.32968850,0.29777750,0.97600450,0.31303880,0.27926560,0.97114970,0.30819220,0.27991400,0.98554230,0.30715730,0.28518550,1.06032100,0.37744600,0.33094850,1.06065900,0.37473900,0.32336350,1.04849700,0.31878520,0.27511470,0.95424000,0.32053380,2,2
0.27401680,0.88573460,0.35070230,0.27401680,0.88573460,0.35070230,0.27401680,0.88573460,0.35070230,0.26505230,0.90869230,0.35251980,0.25479420,0.93056200,0.35251410,0.24410670,0.95855870,0.34248280,0.25939210,0.98006340,0.32291840,0.27870050,0.97846050,0.37640220,0.27967130,1.01527600,0.37803620,0.28040750,1.03887800,0.37868400,0.29720950,0.97454690,0.36573760,0.30911110,1.01441500,0.36886950,0.31697060,1.03994100,0.37078030,0.30685640,0.96746740,0.34944510,0.31251500,1.00245800,0.33601800,0.31620320,1.02622400,0.32659920,0.29434060,0.91761050,0.33485190,0.31242840,0.95797060,0.33128900,0.29516210,0.97563540,0.31451350,0.27674440,0.97057070,0.30952450,0.27763120,0.98548050,0.30840300,0.28229710,1.06055600,0.37851280,0.32803580,1.06095800,0.37587740,0.32134180,1.04848500,0.32030880,0.27262340,0.95361780,0.32181680,2,2
0.27146480,0.88570800,0.35203470,0.27146480,0.88570800,0.35203470,0.27146480,0.88570800,0.35203470,0.26250430,0.90867630,0.35373420,0.25226640,0.93055500,0.35359760,0.24170400,0.95855960,0.34345620,0.25713890,0.98005730,0.32400190,0.27601570,0.97848150,0.37758610,0.27701680,1.01528900,0.37936290,0.27774520,1.03889000,0.38006480,0.29460680,0.97453210,0.36707860,0.30646410,1.01440700,0.37028130,0.31428150,1.03994500,0.37222330,0.30437890,0.96741240,0.35087850,0.31025710,1.00240700,0.33755630,0.31409750,1.02617600,0.32820720,0.29194110,0.91753620,0.33628480,0.31008910,0.95787480,0.33278690,0.29266800,0.97531190,0.31593330,0.27434830,0.97008880,0.31075080,0.27548060,0.98547340,0.30961600,0.27958010,1.06057300,0.37989010,0.32527290,1.06098700,0.37737480,0.31935340,1.04843300,0.32199870,0.27022370,0.95304430,0.32291460,2,2
0.26896620,0.88568170,0.35332450,0.26896620,0.88568170,0.35332450,0.26896620,0.88568170,0.35332450,0.26000800,0.90865900,0.35491120,0.24978900,0.93054540,0.35464750,0.23934590,0.95855770,0.34440430,0.25492130,0.98004660,0.32505260,0.27338630,0.97850360,0.37872300,0.27442540,1.01530300,0.38065340,0.27515440,1.03890200,0.38141960,0.29205250,0.97452140,0.36836200,0.30387300,1.01440100,0.37164370,0.31165210,1.03994700,0.37362070,0.30194020,0.96736300,0.35224930,0.30798990,1.00235700,0.33900390,0.31194940,1.02612700,0.32970550,0.28957940,0.91746540,0.33766360,0.30777870,0.95778560,0.33421980,0.29020210,0.97499630,0.31729530,0.27198240,0.96961280,0.31192740,0.27335790,0.98546030,0.31078750,0.27694510,1.06058800,0.38125200,0.32257400,1.06101200,0.37882610,0.31729410,1.04838000,0.32355920,0.26787230,0.95247450,0.32396360,2,2
0.26668210,0.88565760,0.35449600,0.26668210,0.88565760,0.35449600,0.26668210,0.88565760,0.35449600,0.25772540,0.90864230,0.35598140,0.24748980,0.93052030,0.35566830,0.23700920,0.95844880,0.34523660,0.25258720,0.97993520,0.32588420,0.27098290,0.97852430,0.37975090,0.27193110,1.01533600,0.38148100,0.27255780,1.03894300,0.38205790,0.28971460,0.97451350,0.36951990,0.30150640,1.01442300,0.37253590,0.30923980,1.03999800,0.37431170,0.29970410,0.96732030,0.35348580,0.30582750,1.00228200,0.34018670,0.30983900,1.02602700,0.33085090,0.28741370,0.91740190,0.33891170,0.30565580,0.95770660,0.33551280,0.28811000,0.97498900,0.31862940,0.27002120,0.96956400,0.31287500,0.27111570,0.98530190,0.31172080,0.27422390,1.06063700,0.38168020,0.32010590,1.06112700,0.37936860,0.31521660,1.04826600,0.32467960,0.26559860,0.95216900,0.32442230,2,2
0.26470820,0.88557240,0.35532710,0.26470820,0.88557240,0.35532710,0.26470820,0.88557240,0.35532710,0.25571220,0.90854640,0.35673620,0.24543650,0.93040500,0.35637730,0.23497340,0.95828600,0.34580180,0.25067560,0.97986290,0.32665140,0.26858460,0.97839200,0.38082240,0.26941000,1.01520600,0.38255290,0.26992160,1.03881800,0.38307250,0.28745710,0.97441760,0.37083900,0.29915340,1.01435400,0.37387120,0.30680000,1.03995600,0.37562750,0.29766970,0.96726480,0.35492770,0.30390790,1.00225400,0.34175570,0.30800130,1.02601900,0.33250430,0.28562200,0.91736520,0.34008900,0.30387350,0.95769200,0.33701820,0.28643710,0.97505830,0.32010760,0.26853120,0.96958810,0.31384590,0.26938730,0.98526410,0.31274440,0.27145830,1.06052000,0.38261210,0.31754870,1.06113800,0.38071730,0.31342170,1.04827500,0.32643320,0.26379680,0.95191480,0.32483330,2,2
0.26272130,0.88549300,0.35617370,0.26272130,0.88549300,0.35617370,0.26272130,0.88549300,0.35617370,0.25368960,0.90845770,0.35750590,0.24337770,0.93029830,0.35709650,0.23293710,0.95813490,0.34638290,0.24875360,0.97979160,0.32741740,0.26620150,0.97827510,0.38186240,0.26692590,1.01509100,0.38361010,0.26733960,1.03870500,0.38408490,0.28520130,0.97433140,0.37211070,0.29681280,1.01429100,0.37516060,0.30438040,1.03991800,0.37689770,0.29561890,0.96721210,0.35631790,0.30195630,1.00222400,0.34325510,0.30612070,1.02600500,0.33407620,0.28379920,0.91732660,0.34125000,0.30205510,0.95767270,0.33847270,0.28470000,0.97509560,0.32153660,0.26697840,0.96958010,0.31480820,0.26763200,0.98522190,0.31374910,0.26876200,1.06041300,0.38355100,0.31501960,1.06114800,0.38201550,0.31157610,1.04827600,0.32809200,0.26197840,0.95165530,0.32525750,2,2
0.26093220,0.88542450,0.35693990,0.26093220,0.88542450,0.35693990,0.26093220,0.88542450,0.35693990,0.25187040,0.90838120,0.35820280,0.24151830,0.93020220,0.35776310,0.23109490,0.95801790,0.34697870,0.24708040,0.97969170,0.32817520,0.26406840,0.97817650,0.38278090,0.26461940,1.01499700,0.38447950,0.26488830,1.03861500,0.38486500,0.28317550,0.97425820,0.37323090,0.29464520,1.01424900,0.37640810,0.30215850,1.03988300,0.37827010,0.29376880,0.96716590,0.35754310,0.30039500,1.00224400,0.34480360,0.30475990,1.02607100,0.33584240,0.28214820,0.91729140,0.34228550,0.30040480,0.95765350,0.33975680,0.28321850,0.97524070,0.32281850,0.26566190,0.96971680,0.31567700,0.26613160,0.98507330,0.31472920,0.26616380,1.06033000,0.38422860,0.31272600,1.06110800,0.38355600,0.31036650,1.04836400,0.33008340,0.26020170,0.95157590,0.32550420,2,2
0.25912060,0.88557820,0.35757570,0.25912060,0.88557820,0.35757570,0.25912060,0.88557820,0.35757570,0.24999680,0.90851360,0.35877680,0.23957100,0.93029900,0.35831470,0.22909920,0.95807120,0.34746520,0.24516880,0.97977970,0.32877370,0.26183120,0.97832070,0.38349840,0.26217390,1.01514700,0.38514460,0.26227610,1.03876700,0.38543960,0.28102620,0.97445150,0.37410610,0.29230650,1.01449000,0.37735440,0.29972590,1.04014600,0.37929590,0.29176620,0.96739300,0.35850310,0.29856080,1.00253300,0.34602530,0.30304340,1.02640400,0.33724050,0.28038630,0.91750200,0.34311850,0.29857220,0.95790670,0.34076700,0.28146390,0.97559950,0.32385970,0.26407000,0.97003540,0.31636000,0.26434600,0.98514120,0.31549980,0.26338100,1.06048800,0.38469450,0.31019360,1.06139100,0.38469600,0.30873120,1.04872200,0.33166300,0.25825080,0.95169280,0.32558870,2,2
0.25728990,0.88571300,0.35823910,0.25728990,0.88571300,0.35823910,0.25728990,0.88571300,0.35823910,0.24810920,0.90862900,0.35937650,0.23762620,0.93038590,0.35886810,0.22710610,0.95807420,0.34785200,0.24320810,0.97982170,0.32923420,0.25959760,0.97844860,0.38422550,0.25969820,1.01527500,0.38590510,0.25961460,1.03889500,0.38616610,0.27887640,0.97462360,0.37498790,0.29001910,1.01469000,0.37836770,0.29736920,1.04035700,0.38041720,0.28975760,0.96759470,0.35946950,0.29668570,1.00282500,0.34732700,0.30126270,1.02676100,0.33876830,0.27860640,0.91768750,0.34397010,0.29672720,0.95813080,0.34178510,0.27985560,0.97579970,0.32461700,0.26244290,0.97026990,0.31713570,0.26250330,0.98517850,0.31613050,0.26053850,1.06062300,0.38537260,0.30773170,1.06162700,0.38592540,0.30700790,1.04912100,0.33341950,0.25642750,0.95208570,0.32655030,2,2
0.25570260,0.88586650,0.35886810,0.25570260,0.88586650,0.35886810,0.25570260,0.88586650,0.35886810,0.24654490,0.90879770,0.35987560,0.23609210,0.93056600,0.35924440,0.22571140,0.95821130,0.34799100,0.24205660,0.97993550,0.32955870,0.25777900,0.97859000,0.38491720,0.25777750,1.01541500,0.38662780,0.25760640,1.03903500,0.38685370,0.27718730,0.97473490,0.37596790,0.28832120,1.01478600,0.37954550,0.29567970,1.04043900,0.38174120,0.28828760,0.96769230,0.36061170,0.29554220,1.00297900,0.34882780,0.30034670,1.02695500,0.34051050,0.27728470,0.91780900,0.34493030,0.29550490,0.95822200,0.34303040,0.27902190,0.97592890,0.32552710,0.26164800,0.97047770,0.31789930,0.26157480,0.98521710,0.31675820,0.25844720,1.06076400,0.38601720,0.30597570,1.06169700,0.38741710,0.30625610,1.04933100,0.33541340,0.25533520,0.95242770,0.32737730,2,2
0.25408180,0.88600530,0.35951890,0.25408180,0.88600530,0.35951890,0.25408180,0.88600530,0.35951890,0.24494490,0.90895000,0.36040190,0.23451870,0.93072730,0.35965390,0.22426850,0.95832710,0.34817120,0.24083580,0.98003040,0.32991340,0.25592650,0.97871990,0.38561730,0.25582060,1.01554300,0.38735610,0.25556160,1.03916300,0.38754440,0.27545410,0.97483780,0.37694330,0.28657170,1.01487700,0.38070440,0.29392960,1.04051800,0.38303220,0.28676060,0.96778200,0.36174450,0.29431450,1.00312200,0.35031240,0.29932770,1.02713600,0.34223200,0.27590700,0.91791870,0.34589650,0.29421250,0.95830480,0.34426500,0.27808760,0.97604320,0.32646280,0.26076250,0.97065590,0.31868030,0.26056050,0.98524160,0.31740380,0.25631750,1.06089400,0.38666000,0.30415360,1.06177000,0.38885850,0.30538560,1.04952600,0.33738010,0.25417590,0.95271680,0.32818250,2,2
0.25243450,0.88613270,0.36018680,0.25243450,0.88613270,0.36018680,0.25243450,0.88613270,0.36018680,0.24331690,0.90908940,0.36094950,0.23294630,0.93088700,0.36003850,0.22294800,0.95854780,0.34848080,0.23965120,0.98039730,0.33052360,0.25404730,0.97884080,0.38632350,0.25395380,1.01565800,0.38818430,0.25369520,1.03927800,0.38841530,0.27368580,0.97493410,0.37791500,0.28478990,1.01496200,0.38183660,0.29214600,1.04059300,0.38427840,0.28518840,0.96786550,0.36287000,0.29325260,1.00325500,0.35195260,0.29861840,1.02730800,0.34421970,0.27448510,0.91801910,0.34686760,0.29286460,0.95838120,0.34549180,0.27713980,0.97609530,0.32731150,0.25979950,0.97072560,0.31955060,0.25944260,0.98582660,0.31821390,0.25444370,1.06100900,0.38755090,0.30229600,1.06184500,0.39023100,0.30495400,1.04969400,0.33971740,0.25309280,0.95301850,0.32939760,2,2
0.25059440,0.88596330,0.36080450,0.25059440,0.88596330,0.36080450,0.25059440,0.88596330,0.36080450,0.24145000,0.90891130,0.36150590,0.23107470,0.93070280,0.36050680,0.22114070,0.95837990,0.34893250,0.23772830,0.98039500,0.33107060,0.25202220,0.97870820,0.38682130,0.25186450,1.01552100,0.38875490,0.25154550,1.03914100,0.38899520,0.27169270,0.97481100,0.37848340,0.28272610,1.01485900,0.38239070,0.29004120,1.04050300,0.38482990,0.28325270,0.96773440,0.36348630,0.29163860,1.00317500,0.35298360,0.29722600,1.02726600,0.34553160,0.27265540,0.91785510,0.34751570,0.29099670,0.95823480,0.34614650,0.27543500,0.97585810,0.32773900,0.25801990,0.97044750,0.32017640,0.25744310,0.98607460,0.31875090,0.25221810,1.06087300,0.38810620,0.30012340,1.06179100,0.39076750,0.30374330,1.04965300,0.34130250,0.25134330,0.95296230,0.33043170,2,2
0.24895650,0.88582120,0.36136190,0.24895650,0.88582120,0.36136190,0.24895650,0.88582120,0.36136190,0.23978950,0.90876180,0.36200750,0.22941240,0.93054850,0.36092770,0.21954130,0.95824160,0.34933800,0.23601760,0.98041470,0.33156890,0.25021870,0.97859720,0.38727610,0.25000060,1.01540600,0.38928500,0.24962400,1.03902400,0.38953600,0.26991920,0.97470780,0.37900580,0.28088970,1.01477400,0.38290500,0.28816760,1.04042800,0.38534360,0.28153360,0.96762430,0.36405410,0.29022610,1.00310900,0.35395980,0.29602460,1.02723400,0.34678460,0.27103180,0.91771730,0.34810710,0.28934160,0.95811160,0.34675030,0.27393300,0.97565050,0.32813450,0.25645010,0.97020360,0.32075680,0.25565950,0.98633020,0.31924360,0.25022360,1.06075800,0.38862410,0.29818600,1.06175100,0.39126770,0.30271460,1.04962000,0.34282370,0.24980460,0.95292830,0.33138140,2,2
0.24727340,0.88569120,0.36194840,0.24727340,0.88569120,0.36194840,0.24727340,0.88569120,0.36194840,0.23808540,0.90862500,0.36253400,0.22768570,0.93039850,0.36140480,0.21785490,0.95813020,0.34987350,0.23443460,0.98030320,0.33220050,0.24836200,0.97849670,0.38776460,0.24809650,1.01530600,0.38976120,0.24768190,1.03892400,0.38998440,0.26809690,0.97461440,0.37957300,0.27909330,1.01466900,0.38352310,0.28638990,1.04031400,0.38599790,0.27977340,0.96752390,0.36467300,0.28902410,1.00302100,0.35513300,0.29520550,1.02716000,0.34833340,0.26937260,0.91759070,0.34874180,0.28765440,0.95799860,0.34740930,0.27244130,0.97548440,0.32858400,0.25489360,0.96998430,0.32140230,0.25409990,0.98625170,0.31992860,0.24825250,1.06065800,0.38905280,0.29643570,1.06160100,0.39200390,0.30222100,1.04950700,0.34473490,0.24833050,0.95292410,0.33241860,2,2
0.24638710,0.88574420,0.36188950,0.24638710,0.88574420,0.36188950,0.24638710,0.88574420,0.36188950,0.23709840,0.90863750,0.36246890,0.22659670,0.93036230,0.36134490,0.21667350,0.95810810,0.34992710,0.23321320,0.98036850,0.33232670,0.24704800,0.97855150,0.38771340,0.24660780,1.01535700,0.38974600,0.24606980,1.03897200,0.38997170,0.26680660,0.97475620,0.37953840,0.27769260,1.01483500,0.38355180,0.28491990,1.04049500,0.38606930,0.27852670,0.96771800,0.36464780,0.28814500,1.00326200,0.35566090,0.29457890,1.02743700,0.34923660,0.26835780,0.91774110,0.34870400,0.28646400,0.95822860,0.34739010,0.27132730,0.97562340,0.32841940,0.25371370,0.97002550,0.32147860,0.25284080,0.98644260,0.32005620,0.24652760,1.06070900,0.38904290,0.29492830,1.06177900,0.39214690,0.30180710,1.04977100,0.34599520,0.24731780,0.95315150,0.33287340,2,2
0.24540620,0.88579070,0.36190210,0.24540620,0.88579070,0.36190210,0.24540620,0.88579070,0.36190210,0.23602470,0.90864660,0.36246780,0.22543000,0.93032590,0.36133980,0.21543140,0.95808620,0.35002340,0.23194130,0.98043230,0.33250390,0.24565560,0.97859970,0.38772740,0.24505080,1.01540100,0.38979600,0.24439620,1.03901300,0.39002310,0.26544140,0.97488400,0.37958180,0.27622480,1.01498300,0.38366080,0.28338730,1.04065800,0.38622200,0.27721180,0.96789310,0.36470860,0.28719050,1.00347100,0.35626750,0.29387210,1.02767500,0.35021370,0.26726770,0.91787580,0.34874950,0.28521280,0.95843580,0.34746270,0.27016930,0.97573940,0.32833520,0.25249340,0.97005710,0.32162500,0.25153780,0.98663030,0.32024560,0.24474690,1.06075200,0.38909470,0.29335720,1.06193900,0.39237130,0.30130700,1.04999000,0.34732450,0.24624730,0.95337860,0.33338510,2,2
0.24435060,0.88583230,0.36197110,0.24435060,0.88583230,0.36197110,0.24435060,0.88583230,0.36197110,0.23488240,0.90865280,0.36251720,0.22431770,0.93033600,0.36119870,0.21454560,0.95822970,0.35001300,0.23119160,0.98066090,0.33273270,0.24420100,0.97864260,0.38779250,0.24354890,1.01544100,0.38989930,0.24285370,1.03905200,0.39013120,0.26401670,0.97500070,0.37968630,0.27477770,1.01508900,0.38392700,0.28192660,1.04075700,0.38659340,0.27584270,0.96805330,0.36483680,0.28593210,1.00367800,0.35672860,0.29269080,1.02791600,0.35090050,0.26611780,0.91799860,0.34886030,0.28391330,0.95862540,0.34760720,0.26890360,0.97592020,0.32844520,0.25125330,0.97025160,0.32165650,0.25083250,0.98692820,0.32058110,0.24316970,1.06079100,0.38921000,0.29188810,1.06200900,0.39285720,0.30018120,1.05023800,0.34822680,0.24508150,0.95355900,0.33343570,2,2
0.24245970,0.88583960,0.36226840,0.24245970,0.88583960,0.36226840,0.24245970,0.88583960,0.36226840,0.23293320,0.90863410,0.36288390,0.22239750,0.93032650,0.36148720,0.21273170,0.95834180,0.35051520,0.22932270,0.98082570,0.33325040,0.24230080,0.97867550,0.38799750,0.24165080,1.01547300,0.39011550,0.24093340,1.03908400,0.39033780,0.26204680,0.97508080,0.37970240,0.27286640,1.01515500,0.38393200,0.28005280,1.04081300,0.38658930,0.27374730,0.96815130,0.36474560,0.28390070,1.00380100,0.35683090,0.29070110,1.02805900,0.35113520,0.26400790,0.91805320,0.34891440,0.28167620,0.95872840,0.34744760,0.26649760,0.97600260,0.32840040,0.24878230,0.97035040,0.32176920,0.24886760,0.98713690,0.32096750,0.24121730,1.06082300,0.38939800,0.29009390,1.06203600,0.39282280,0.29824560,1.05037700,0.34857590,0.24281450,0.95367840,0.33368200,2,2
0.24058650,0.88584620,0.36258560,0.24058650,0.88584620,0.36258560,0.24058650,0.88584620,0.36258560,0.23100390,0.90861560,0.36325910,0.22049630,0.93031590,0.36177600,0.21094770,0.95844790,0.35100190,0.22750530,0.98098360,0.33377270,0.24039180,0.97870630,0.38822710,0.23973880,1.01550300,0.39035770,0.23899690,1.03911300,0.39057060,0.26007740,0.97515670,0.37977050,0.27095070,1.01521600,0.38399960,0.27817150,1.04086500,0.38665510,0.27167110,0.96824430,0.36472280,0.28191780,1.00391500,0.35702680,0.28878050,1.02819000,0.35148020,0.26193510,0.91810480,0.34902120,0.27948050,0.95882600,0.34736820,0.26416500,0.97607700,0.32840960,0.24639030,0.97043850,0.32192740,0.24696930,0.98734060,0.32138540,0.23924750,1.06085200,0.38961330,0.28828060,1.06206300,0.39286460,0.29639360,1.05049900,0.34905250,0.24061540,0.95379950,0.33398050,2,2
