RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.00304243,0.87794120,0.43555870,-0.00304243,0.87794120,0.43555870,-0.00304243,0.87794120,0.43555870,0.01501634,0.89182950,0.44513570,0.03213104,0.90359460,0.45747200,0.04866370,0.91770390,0.48041240,0.03899973,0.93591020,0.50598570,0.03988865,0.96176930,0.45581410,0.05748260,0.99279920,0.46511920,0.06956731,1.01125500,0.47356750,0.01933277,0.96413900,0.46240780,0.02454460,1.00432300,0.47235630,0.02765749,1.03012500,0.47880770,0.00346197,0.95742650,0.47297590,0.00440831,0.98998870,0.49235270,0.00509734,1.01201000,0.50583330,-0.01124845,0.90697370,0.46331020,-0.01046506,0.94606690,0.48428410,0.00424656,0.95565150,0.50843550,0.01648508,0.94087360,0.51308100,0.02698528,0.94644730,0.52379950,0.07827906,1.03024500,0.47965170,0.02723636,1.05434500,0.48062750,0.00501611,1.03357300,0.51566010,0.02566097,0.92301450,0.50584630,2,0
-0.00358856,0.87792090,0.43560370,-0.00358856,0.87792090,0.43560370,-0.00358856,0.87792090,0.43560370,0.01456131,0.89171550,0.44514380,0.03177293,0.90337090,0.45744930,0.04847535,0.91732390,0.48036240,0.03877047,0.93533310,0.50605950,0.03963053,0.96154160,0.45610260,0.05739778,0.99247130,0.46541150,0.06959203,1.01087800,0.47380970,0.01912565,0.96390320,0.46285600,0.02452605,1.00400100,0.47304770,0.02775816,1.02974900,0.47965310,0.00331769,0.95714900,0.47349150,0.00448210,0.98958050,0.49307440,0.00532135,1.01151000,0.50669400,-0.01154863,0.90678550,0.46360080,-0.01054948,0.94573950,0.48482310,0.00434451,0.95515800,0.50892800,0.01659851,0.94034680,0.51342460,0.02669484,0.94570850,0.52392670,0.07836265,1.02986500,0.47981990,0.02741518,1.05395800,0.48163810,0.00536254,1.03300900,0.51666260,0.02570294,0.92251520,0.50603360,2,0
-0.00358666,0.87781800,0.43571190,-0.00358666,0.87781800,0.43571190,-0.00358666,0.87781800,0.43571190,0.01462668,0.89156540,0.44519900,0.03190398,0.90316640,0.45746390,0.04872328,0.91704480,0.48033670,0.03892781,0.93493270,0.50608410,0.03982085,0.96133310,0.45624330,0.05771947,0.99220850,0.46548050,0.06999493,1.01060000,0.47379150,0.01935422,0.96369300,0.46311230,0.02489289,1.00374500,0.47340870,0.02821153,1.02946600,0.48007850,0.00359616,0.95692050,0.47381010,0.00491125,0.98929380,0.49347950,0.00585446,1.01118300,0.50715740,-0.01137084,0.90660240,0.46384080,-0.01022198,0.94548880,0.48517910,0.00480099,0.95484820,0.50922690,0.01707707,0.94003610,0.51365970,0.02676560,0.94519910,0.52395550,0.07880101,1.02960700,0.47968610,0.02792236,1.05366900,0.48213750,0.00597904,1.03265300,0.51718750,0.02614338,0.92221180,0.50620440,2,0
-0.00359302,0.87772650,0.43580700,-0.00359302,0.87772650,0.43580700,-0.00359302,0.87772650,0.43580700,0.01468023,0.89142870,0.44524420,0.03201930,0.90297650,0.45747190,0.04894883,0.91677530,0.48031160,0.03906477,0.93453680,0.50611270,0.03998888,0.96114000,0.45638170,0.05801171,0.99196330,0.46555130,0.07036473,1.01034000,0.47378080,0.01955976,0.96349470,0.46336330,0.02522847,1.00350300,0.47376000,0.02862814,1.02919700,0.48049100,0.00385120,0.95670090,0.47412020,0.00530401,0.98901860,0.49387130,0.00634233,1.01086900,0.50760410,-0.01120869,0.90642720,0.46406730,-0.00991789,0.94524420,0.48552350,0.00522644,0.95455430,0.50951420,0.01752823,0.93974740,0.51389300,0.02682259,0.94469270,0.52399260,0.07920374,1.02936500,0.47956780,0.02838757,1.05339400,0.48262000,0.00654241,1.03231100,0.51769230,0.02656472,0.92193060,0.50638410,2,0
-0.00360512,0.87764500,0.43589080,-0.00360512,0.87764500,0.43589080,-0.00360512,0.87764500,0.43589080,0.01472420,0.89130430,0.44528140,0.03212886,0.90280100,0.45746390,0.04918574,0.91662960,0.48019060,0.03960252,0.93442500,0.50608160,0.04013757,0.96096200,0.45651530,0.05821968,0.99176870,0.46562390,0.07061648,1.01014300,0.47379160,0.01974474,0.96330890,0.46360470,0.02544007,1.00328400,0.47411250,0.02885575,1.02895700,0.48091390,0.00408437,0.95649200,0.47441720,0.00564346,0.98879430,0.49418540,0.00675543,1.01063400,0.50792960,-0.01106101,0.90626110,0.46427910,-0.00963672,0.94500890,0.48585170,0.00568989,0.95419440,0.50977460,0.01797390,0.93933690,0.51403000,0.02761856,0.94462480,0.52411090,0.07947019,1.02918100,0.47951450,0.02859823,1.05314900,0.48310560,0.00701163,1.03206800,0.51803290,0.02687823,0.92151770,0.50636990,2,0
-0.00296565,0.87742920,0.43595000,-0.00296565,0.87742920,0.43595000,-0.00296565,0.87742920,0.43595000,0.01539319,0.89107530,0.44530210,0.03283739,0.90255000,0.45744880,0.04998241,0.91642490,0.48008070,0.04061638,0.93422760,0.50604610,0.04080090,0.96071960,0.45663130,0.05889564,0.99153580,0.46568250,0.07130659,1.00992700,0.47379170,0.02043678,0.96302990,0.46381480,0.02610136,1.00298300,0.47442300,0.02949596,1.02864200,0.48128730,0.00482807,0.95616910,0.47467410,0.00643189,0.98846110,0.49445560,0.00757567,1.01029400,0.50820840,-0.01032199,0.90595640,0.46445360,-0.00883516,0.94464190,0.48613350,0.00663591,0.95374460,0.50999500,0.01892671,0.93886450,0.51415080,0.02883303,0.94444140,0.52419920,0.08014505,1.02899000,0.47945050,0.02918915,1.05282900,0.48353360,0.00784915,1.03172200,0.51832370,0.02774263,0.92105540,0.50636620,2,0
-0.00239031,0.87723180,0.43600440,-0.00239031,0.87723180,0.43600440,-0.00239031,0.87723180,0.43600440,0.01599885,0.89086270,0.44531890,0.03348285,0.90231340,0.45743110,0.05071411,0.91621920,0.47997830,0.04153799,0.93401380,0.50601700,0.04140647,0.96049080,0.45674840,0.05951890,0.99131210,0.46574650,0.07194708,1.00971600,0.47380070,0.02107163,0.96276510,0.46402560,0.02671550,1.00269500,0.47473390,0.03009534,1.02833900,0.48166080,0.00551421,0.95586090,0.47493090,0.00716500,0.98813830,0.49473220,0.00834210,1.00996100,0.50849820,-0.00964458,0.90566830,0.46462460,-0.00809196,0.94428970,0.48641380,0.00751694,0.95331570,0.51021460,0.01981739,0.93841800,0.51427740,0.02993285,0.94422880,0.52428390,0.08077339,1.02880300,0.47939910,0.02974563,1.05251900,0.48396280,0.00863438,1.03138100,0.51863000,0.02855352,0.92062000,0.50637830,2,0
-0.00188186,0.87705520,0.43605340,-0.00188186,0.87705520,0.43605340,-0.00188186,0.87705520,0.43605340,0.01653645,0.89067080,0.44533270,0.03410145,0.90209690,0.45735050,0.05149602,0.91609120,0.47971690,0.04261910,0.93393030,0.50582860,0.04194719,0.96028160,0.45685990,0.06020868,0.99101750,0.46584890,0.07278907,1.00927900,0.47399040,0.02164058,0.96252210,0.46422590,0.02743172,1.00238400,0.47510490,0.03094152,1.02796600,0.48219660,0.00613170,0.95557670,0.47517400,0.00794275,0.98781220,0.49502970,0.00923019,1.00960600,0.50883200,-0.00903773,0.90540450,0.46478460,-0.00742072,0.94396400,0.48667860,0.00839223,0.95260750,0.51048670,0.02064944,0.93759540,0.51424840,0.03118837,0.94416180,0.52419600,0.08179720,1.02823300,0.47974850,0.03070496,1.05212900,0.48468610,0.00961281,1.03100500,0.51900410,0.02922958,0.91986970,0.50602280,2,0
-0.00136556,0.87699940,0.43620710,-0.00136556,0.87699940,0.43620710,-0.00136556,0.87699940,0.43620710,0.01697956,0.89072410,0.44547060,0.03450624,0.90226810,0.45743160,0.05186217,0.91655660,0.47964140,0.04302964,0.93459490,0.50563110,0.04210773,0.96047880,0.45674450,0.06035062,0.99126100,0.46561190,0.07295856,1.00949500,0.47377240,0.02177453,0.96267870,0.46404910,0.02750600,1.00257600,0.47483030,0.03100818,1.02816300,0.48190640,0.00626331,0.95572670,0.47498970,0.00799224,0.98807470,0.49466880,0.00922363,1.00994600,0.50835190,-0.00869722,0.90545270,0.46479080,-0.00727589,0.94411700,0.48651290,0.00854850,0.95263920,0.51035710,0.02078926,0.93759320,0.51403560,0.03160913,0.94493720,0.52394270,0.08203012,1.02840200,0.47958300,0.03078074,1.05232700,0.48438650,0.00955608,1.03140300,0.51840570,0.02933287,0.91990040,0.50570180,2,0
-0.00088486,0.87694190,0.43634840,-0.00088486,0.87694190,0.43634840,-0.00088486,0.87694190,0.43634840,0.01739768,0.89076180,0.44559410,0.03482787,0.90240920,0.45759570,0.05203377,0.91689870,0.47979210,0.04308503,0.93505130,0.50566210,0.04227496,0.96064090,0.45665190,0.06030321,0.99154640,0.46552930,0.07281619,1.00980000,0.47379010,0.02192104,0.96280120,0.46391050,0.02743230,1.00276800,0.47454730,0.03085955,1.02836300,0.48163340,0.00641245,0.95583910,0.47484850,0.00813440,0.98821030,0.49449000,0.00936100,1.01009800,0.50814760,-0.00836341,0.90547810,0.46481120,-0.00710988,0.94422820,0.48639020,0.00876402,0.95256490,0.51026700,0.02097000,0.93745660,0.51380310,0.03157144,0.94545030,0.52388310,0.08183031,1.02869500,0.47973210,0.03059907,1.05252200,0.48415390,0.00968944,1.03156600,0.51817630,0.02943601,0.91980610,0.50530200,2,0
