RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.14269790,0.90395410,0.39905800,-0.14269790,0.90395410,0.39905800,-0.14269790,0.90395410,0.39905800,-0.13335520,0.91740520,0.41756490,-0.12413790,0.92865130,0.43685420,-0.12187720,0.94082120,0.46593090,-0.14377040,0.95957570,0.48167290,-0.11516860,0.98646030,0.44047540,-0.10937300,1.01699700,0.46029660,-0.10711580,1.03382500,0.47672070,-0.13519380,0.99024020,0.43296960,-0.13922090,1.02937100,0.44687780,-0.14239520,1.05345100,0.45815140,-0.15465290,0.98494260,0.43158820,-0.16733690,1.01444800,0.45171800,-0.17610610,1.03434700,0.46565480,-0.16402760,0.93485430,0.41550780,-0.17338420,0.97495220,0.43204270,-0.17806210,0.98020480,0.46106190,-0.17135670,0.96643720,0.47352150,-0.16404040,0.97063430,0.48796100,-0.10624250,1.05015100,0.49108240,-0.14533610,1.07672600,0.46445610,-0.18323000,1.05433200,0.47620960,-0.15796210,0.94985990,0.47239820,2,3
-0.14126870,0.90316520,0.40001900,-0.14126870,0.90316520,0.40001900,-0.14126870,0.90316520,0.40001900,-0.13202720,0.91664230,0.41855780,-0.12311650,0.92794070,0.43796040,-0.12131810,0.94013370,0.46705960,-0.14329250,0.95888760,0.48268880,-0.11402270,0.98573680,0.44149330,-0.10800190,1.01629400,0.46121580,-0.10561120,1.03318300,0.47755830,-0.13401670,0.98948850,0.43389060,-0.13786160,1.02872800,0.44754290,-0.14092790,1.05290600,0.45863620,-0.15346330,0.98416860,0.43242280,-0.16613500,1.01404300,0.45200870,-0.17489840,1.03419800,0.46557710,-0.16270850,0.93405640,0.41634210,-0.17218580,0.97415840,0.43279820,-0.17698020,0.97924110,0.46182860,-0.17029300,0.96548990,0.47431620,-0.16355780,0.96997820,0.48893560,-0.10460870,1.04957100,0.49184050,-0.14375140,1.07624300,0.46476220,-0.18199140,1.05437800,0.47577490,-0.15683300,0.94895650,0.47333790,2,3
-0.13980390,0.90241110,0.40096440,-0.13980390,0.90241110,0.40096440,-0.13980390,0.90241110,0.40096440,-0.13063930,0.91591770,0.41951990,-0.12184550,0.92725090,0.43895550,-0.12019140,0.93951650,0.46803270,-0.14218350,0.95829120,0.48361210,-0.11280390,0.98505790,0.44244970,-0.10674410,1.01578600,0.46189280,-0.10430820,1.03287800,0.47801600,-0.13277940,0.98877470,0.43478150,-0.13648240,1.02814900,0.44807990,-0.13944930,1.05248600,0.45884750,-0.15221380,0.98342590,0.43325790,-0.16477940,1.01353100,0.45255680,-0.17347250,1.03384500,0.46593080,-0.16133800,0.93328640,0.41719310,-0.17092320,0.97338950,0.43358390,-0.17582890,0.97847220,0.46259570,-0.16912700,0.96472120,0.47507550,-0.16249650,0.96937080,0.48972200,-0.10325930,1.04945800,0.49207200,-0.14216390,1.07592700,0.46461420,-0.18048440,1.05414900,0.47593950,-0.15561240,0.94823440,0.47406240,2,3
-0.13836590,0.90202630,0.40128350,-0.13836590,0.90202630,0.40128350,-0.13836590,0.90202630,0.40128350,-0.12928050,0.91544200,0.41994350,-0.12065050,0.92669460,0.43949890,-0.11925660,0.93897970,0.46858160,-0.14119410,0.95798350,0.48395880,-0.11106990,0.98440890,0.44309920,-0.10478570,1.01521400,0.46234890,-0.10224090,1.03245500,0.47829530,-0.13092710,0.98830910,0.43521770,-0.13415860,1.02783900,0.44817290,-0.13683920,1.05235000,0.45861620,-0.15039140,0.98313680,0.43348180,-0.16266490,1.01358900,0.45242010,-0.17116450,1.03414500,0.46554850,-0.15979430,0.93308830,0.41729440,-0.16919310,0.97326980,0.43360100,-0.17437320,0.97835430,0.46256470,-0.16789790,0.96451730,0.47506910,-0.16147890,0.96925930,0.48979750,-0.10107210,1.04918900,0.49215780,-0.13923030,1.07591100,0.46402730,-0.17794730,1.05463600,0.47533000,-0.15449540,0.94793610,0.47411060,2,3
-0.13690080,0.90163390,0.40164520,-0.13690080,0.90163390,0.40164520,-0.13690080,0.90163390,0.40164520,-0.12787910,0.91497250,0.42039120,-0.11939750,0.92615970,0.44004880,-0.11823340,0.93847070,0.46913060,-0.14011400,0.95767710,0.48433630,-0.10933670,0.98378770,0.44373450,-0.10282620,1.01466800,0.46278710,-0.10016160,1.03205000,0.47856030,-0.12909060,0.98784610,0.43567540,-0.13187380,1.02751500,0.44830670,-0.13427570,1.05218200,0.45844400,-0.14857850,0.98282750,0.43376210,-0.16055520,1.01360200,0.45236740,-0.16885750,1.03438000,0.46526910,-0.15822800,0.93285910,0.41747280,-0.16745750,0.97310860,0.43370800,-0.17286300,0.97819080,0.46263100,-0.16657970,0.96427990,0.47515140,-0.16036610,0.96912670,0.48994550,-0.09886528,1.04892700,0.49223650,-0.13635940,1.07584700,0.46352090,-0.17541460,1.05504300,0.47484000,-0.15327470,0.94761800,0.47423480,2,3
-0.13541410,0.90123550,0.40204050,-0.13541410,0.90123550,0.40204050,-0.13541410,0.90123550,0.40204050,-0.12644370,0.91450770,0.42085810,-0.11796970,0.92562250,0.44056000,-0.11694560,0.93775100,0.46972360,-0.13882600,0.95701460,0.48485700,-0.10760260,0.98318790,0.44435880,-0.10092780,1.01417000,0.46318800,-0.09816767,1.03171700,0.47876020,-0.12726560,0.98738500,0.43614970,-0.12965530,1.02711600,0.44866380,-0.13182120,1.05184700,0.45869910,-0.14677270,0.98250250,0.43408610,-0.15872970,1.01335200,0.45257960,-0.16702140,1.03418200,0.46540390,-0.15664430,0.93260520,0.41771170,-0.16571790,0.97291510,0.43388520,-0.17108460,0.97774430,0.46285860,-0.16487670,0.96355310,0.47509890,-0.15904970,0.96856530,0.49036050,-0.09676577,1.04876300,0.49221510,-0.13364750,1.07555900,0.46365510,-0.17354110,1.05488600,0.47491230,-0.15171720,0.94680480,0.47375630,2,3
-0.13347300,0.90112000,0.40183110,-0.13347300,0.90112000,0.40183110,-0.13347300,0.90112000,0.40183110,-0.12446000,0.91434320,0.42066290,-0.11591110,0.92540570,0.44036190,-0.11490110,0.93739430,0.46958380,-0.13670550,0.95674230,0.48471910,-0.10519030,0.98290570,0.44415960,-0.09824447,1.01399900,0.46270600,-0.09530405,1.03171600,0.47805080,-0.12479930,0.98723760,0.43589170,-0.12672340,1.02704200,0.44825290,-0.12859640,1.05184700,0.45816500,-0.14433520,0.98249410,0.43377720,-0.15615870,1.01345500,0.45216920,-0.16436150,1.03436300,0.46492430,-0.15452030,0.93265530,0.41741650,-0.16334840,0.97304330,0.43353080,-0.16855490,0.97766390,0.46256750,-0.16238340,0.96322570,0.47453420,-0.15687080,0.96840800,0.49019420,-0.09372270,1.04893300,0.49126630,-0.13013360,1.07560700,0.46297910,-0.17078160,1.05512700,0.47436990,-0.14938140,0.94639430,0.47276330,2,3
-0.13153650,0.90097310,0.40169880,-0.13153650,0.90097310,0.40169880,-0.13153650,0.90097310,0.40169880,-0.12248010,0.91415200,0.42054080,-0.11386320,0.92516760,0.44023640,-0.11287130,0.93702610,0.46951200,-0.13460450,0.95644980,0.48465290,-0.10281220,0.98260520,0.44402650,-0.09560101,1.01380300,0.46229290,-0.09248049,1.03168300,0.47741240,-0.12237280,0.98705970,0.43570930,-0.12384920,1.02693100,0.44791510,-0.12543870,1.05180500,0.45770100,-0.14193480,0.98244360,0.43355310,-0.15362300,1.01351800,0.45184030,-0.16173550,1.03450400,0.46452390,-0.15241110,0.93265980,0.41720940,-0.16100940,0.97311850,0.43327020,-0.16606070,0.97753720,0.46236570,-0.15992410,0.96287130,0.47407060,-0.15471520,0.96822040,0.49010430,-0.09072090,1.04906100,0.49039190,-0.12669810,1.07561100,0.46237040,-0.16805640,1.05532800,0.47390350,-0.14707230,0.94597210,0.47189570,2,3
-0.12960360,0.90080150,0.40162730,-0.12960360,0.90080150,0.40162730,-0.12960360,0.90080150,0.40162730,-0.12050310,0.91393980,0.42047630,-0.11186700,0.92492000,0.44018340,-0.11095070,0.93667660,0.46950250,-0.13258680,0.95618470,0.48467400,-0.10046060,0.98229000,0.44394550,-0.09310038,1.01351400,0.46210720,-0.08990166,1.03143000,0.47716750,-0.11997730,0.98685780,0.43558660,-0.12119120,1.02678800,0.44762730,-0.12263390,1.05168800,0.45737120,-0.13956300,0.98236020,0.43339600,-0.15119520,1.01355700,0.45150890,-0.15927100,1.03462900,0.46407410,-0.15031320,0.93262840,0.41707170,-0.15869400,0.97315230,0.43308330,-0.16376060,0.97770820,0.46215490,-0.15776520,0.96301140,0.47389410,-0.15261540,0.96807630,0.49016480,-0.08806676,1.04883700,0.49009720,-0.12374930,1.07550200,0.46203670,-0.16554360,1.05551700,0.47334280,-0.14505590,0.94600180,0.47174200,2,3
-0.12798520,0.90124580,0.40272330,-0.12798520,0.90124580,0.40272330,-0.12798520,0.90124580,0.40272330,-0.11869890,0.91436050,0.42149800,-0.10988760,0.92532060,0.44113860,-0.10880110,0.93697010,0.47049460,-0.13025030,0.95649860,0.48590320,-0.09824590,0.98265080,0.44478660,-0.09064053,1.01391700,0.46277410,-0.08726227,1.03187800,0.47774080,-0.11780860,0.98728250,0.43657160,-0.11874060,1.02726300,0.44847050,-0.12000130,1.05218400,0.45818670,-0.13742550,0.98285170,0.43452920,-0.14890440,1.01413600,0.45259010,-0.15687490,1.03526800,0.46512130,-0.14846890,0.93315050,0.41830770,-0.15658990,0.97370980,0.43436350,-0.16139710,0.97834800,0.46346610,-0.15538430,0.96361920,0.47515640,-0.15017810,0.96845320,0.49161950,-0.08526950,1.04932200,0.49059820,-0.12098300,1.07600300,0.46285560,-0.16306140,1.05620100,0.47434640,-0.14279150,0.94654020,0.47287320,2,3
