RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.05413999,1.16556100,0.54628840,-0.05413999,1.16556100,0.54628840,-0.05413999,1.16556100,0.54628840,-0.03213810,1.17591200,0.54369600,-0.02357345,1.19822800,0.54364000,-0.00721904,1.22349900,0.55210790,0.01132354,1.24691400,0.56492310,0.02762505,1.20182300,0.57924520,0.05637945,1.19239200,0.55887810,0.03738445,1.18978100,0.54550880,0.02546617,1.18285900,0.58911900,0.05432687,1.17315200,0.56123820,0.03353770,1.17346600,0.54481380,0.02223960,1.16313900,0.58822200,0.04597199,1.15616200,0.56003110,0.02628990,1.16254400,0.54502900,-0.02092568,1.14807500,0.56166120,0.01742121,1.14349200,0.58254590,0.03588639,1.14360400,0.55948120,0.02114042,1.14923000,0.54796950,0.01998077,1.26790100,0.57165630,0.01773466,1.19393700,0.55327220,0.01384077,1.18203700,0.55560030,0.00968572,1.16994100,0.55984190,0.00483235,1.15500200,0.56008120,5,5
-0.05469935,1.16086300,0.54639290,-0.05469935,1.16086300,0.54639290,-0.05469935,1.16086300,0.54639290,-0.03271161,1.17125100,0.54382380,-0.02413261,1.19356100,0.54384310,-0.00778145,1.21876600,0.55251040,0.01072694,1.24210200,0.56551800,0.02706454,1.19705900,0.57942540,0.05601419,1.18783700,0.55924000,0.03717021,1.18518800,0.54566600,0.02493744,1.17804700,0.58921270,0.05389666,1.16849200,0.56138150,0.03317896,1.16886800,0.54486840,0.02173105,1.15832800,0.58822710,0.04554608,1.15148300,0.56007340,0.02587176,1.15792200,0.54508530,-0.02144856,1.14334200,0.56164550,0.01692726,1.13870200,0.58246450,0.03544229,1.13893100,0.55944060,0.02071401,1.14457600,0.54791610,0.01929019,1.26307900,0.57240140,0.01743861,1.18922700,0.55328260,0.01342852,1.17737300,0.55560910,0.00925043,1.16523700,0.55991910,0.00441732,1.15025100,0.56008910,5,5
-0.05522314,1.15638100,0.54653220,-0.05522314,1.15638100,0.54653220,-0.05522314,1.15638100,0.54653220,-0.03324419,1.16679300,0.54398800,-0.02464411,1.18909400,0.54407740,-0.00828755,1.21423300,0.55292510,0.01020273,1.23748600,0.56610610,0.02654741,1.19248600,0.57964680,0.05567327,1.18344700,0.55963290,0.03697199,1.18076600,0.54586910,0.02444090,1.17343100,0.58935460,0.05349234,1.16400600,0.56157520,0.03284399,1.16444100,0.54497680,0.02124596,1.15371400,0.58828750,0.04514481,1.14698100,0.56017790,0.02548020,1.15347500,0.54520060,-0.02194787,1.13881500,0.56168030,0.01644932,1.13411000,0.58244530,0.03502203,1.13444000,0.55946910,0.02031181,1.14009800,0.54792800,0.01868942,1.25844900,0.57312450,0.01716645,1.18470300,0.55334600,0.01304438,1.17289200,0.55567000,0.00884336,1.16072100,0.56005130,0.00402606,1.14568200,0.56015780,5,5
-0.05571907,1.15206600,0.54669910,-0.05571907,1.15206600,0.54669910,-0.05571907,1.15206600,0.54669910,-0.03374471,1.16249500,0.54418120,-0.02523428,1.18483000,0.54439560,-0.00902609,1.20992000,0.55364730,0.00925440,1.23311200,0.56722040,0.02606421,1.18806400,0.57990050,0.05531938,1.17918700,0.56000260,0.03670051,1.17648300,0.54613200,0.02396954,1.16896900,0.58953430,0.05307255,1.15963000,0.56177980,0.03247943,1.16018700,0.54511650,0.02077926,1.14925600,0.58839140,0.04496796,1.14256900,0.56051980,0.02542849,1.14911000,0.54540010,-0.02242866,1.13445000,0.56175490,0.01598400,1.12967400,0.58247490,0.03468665,1.13002300,0.55960470,0.02008869,1.13585200,0.54800620,0.01754013,1.25404700,0.57455740,0.01684480,1.18032900,0.55352280,0.01266018,1.16862000,0.55578730,0.00867382,1.15632300,0.56013380,0.00382689,1.14143500,0.56026810,5,5
-0.05672003,1.14933200,0.54879780,-0.05672003,1.14933200,0.54879780,-0.05672003,1.14933200,0.54879780,-0.03475107,1.15978900,0.54635340,-0.02632936,1.18215500,0.54675070,-0.01027488,1.20717100,0.55646030,0.00779481,1.23026500,0.57047670,0.02503034,1.18516700,0.58225430,0.05443778,1.17651000,0.56248440,0.03592014,1.17381000,0.54847840,0.02294385,1.16601100,0.59176640,0.05213019,1.15683700,0.56404470,0.03160821,1.15753800,0.54729930,0.01976577,1.14630400,0.59049780,0.04425683,1.13973900,0.56286220,0.02484696,1.14635600,0.54760920,-0.02342419,1.13164100,0.56375340,0.01498427,1.12675700,0.58445600,0.03383376,1.12719100,0.56170820,0.01934681,1.13319000,0.55005710,0.01588097,1.25114900,0.57817260,0.01600520,1.17754000,0.55576830,0.01175421,1.16591800,0.55794710,0.00796627,1.15349400,0.56223520,0.00309221,1.13872500,0.56235020,5,5
-0.05765361,1.14659500,0.55073930,-0.05765361,1.14659500,0.55073930,-0.05765361,1.14659500,0.55073930,-0.03568720,1.15707400,0.54836460,-0.02734224,1.17946500,0.54893180,-0.01142618,1.20439900,0.55906990,0.00645285,1.22738600,0.57350060,0.02407207,1.18226100,0.58443650,0.05362874,1.17380500,0.56480230,0.03521476,1.17110800,0.55065970,0.02198831,1.16304900,0.59383540,0.05125653,1.15401900,0.56615240,0.03080595,1.15485800,0.54932620,0.01881728,1.14334800,0.59245010,0.04359376,1.13688700,0.56504550,0.02430859,1.14357800,0.54966720,-0.02435759,1.12882700,0.56560370,0.01404460,1.12383500,0.58629210,0.03303679,1.12434200,0.56366480,0.01865544,1.13049500,0.55196320,0.01435577,1.24821300,0.58153130,0.01524188,1.17473200,0.55784390,0.01091827,1.16319400,0.55994600,0.00731134,1.15065100,0.56418960,0.00240775,1.13598300,0.56428610,5,5
-0.05851964,1.14391400,0.55252820,-0.05851964,1.14391400,0.55252820,-0.05851964,1.14391400,0.55252820,-0.03655372,1.15440900,0.55021900,-0.02827413,1.17681900,0.55094270,-0.01244164,1.20171400,0.56130690,0.00525071,1.22470100,0.57596590,0.02318758,1.17940800,0.58645040,0.05290618,1.17115600,0.56697520,0.03459548,1.16844600,0.55270140,0.02110270,1.16014600,0.59574460,0.05045804,1.15127600,0.56810210,0.03007643,1.15217200,0.55119530,0.01793495,1.14045300,0.59425160,0.04287286,1.13412400,0.56696280,0.02365581,1.14084000,0.55151050,-0.02522714,1.12607100,0.56730980,0.01316741,1.12097200,0.58798640,0.03241291,1.12151900,0.56557500,0.01818492,1.12778500,0.55374660,0.01296062,1.24552900,0.58417980,0.01456746,1.17196400,0.55978410,0.01013576,1.16043700,0.56177090,0.00657390,1.14783400,0.56597110,0.00186495,1.13324600,0.56598570,5,5
-0.05888160,1.14240400,0.55489800,-0.05888160,1.14240400,0.55489800,-0.05888160,1.14240400,0.55489800,-0.03693067,1.15292200,0.55255220,-0.02871168,1.17535000,0.55341910,-0.01290784,1.20018600,0.56396500,0.00468669,1.22313900,0.57879450,0.02298152,1.17769300,0.58865850,0.05275064,1.16967200,0.56916370,0.03446484,1.16697300,0.55485600,0.02094872,1.15836600,0.59783020,0.05024114,1.14970100,0.57005640,0.02983542,1.15067900,0.55318340,0.01777976,1.13868200,0.59621760,0.04273126,1.13252900,0.56890110,0.02349654,1.13929600,0.55349280,-0.02551072,1.12447200,0.56939150,0.01298735,1.11924400,0.58984230,0.03234199,1.11987100,0.56752720,0.01818976,1.12626000,0.55567420,0.01225821,1.24394800,0.58718370,0.01442136,1.17037400,0.56195200,0.00990026,1.15885600,0.56383720,0.00641058,1.14618800,0.56799760,0.00187244,1.13166900,0.56794040,5,5
-0.05925427,1.14078100,0.55713070,-0.05925427,1.14078100,0.55713070,-0.05925427,1.14078100,0.55713070,-0.03731547,1.15131800,0.55475660,-0.02915184,1.17376000,0.55576250,-0.01337739,1.19853400,0.56649630,0.00411879,1.22144600,0.58150430,0.02275152,1.17586500,0.59075840,0.05258004,1.16806200,0.57126570,0.03432829,1.16537300,0.55691280,0.02076208,1.15647800,0.59981350,0.05000525,1.14800100,0.57192990,0.02958535,1.14906200,0.55507900,0.01758902,1.13680500,0.59808710,0.04257274,1.13081000,0.57076480,0.02333126,1.13762700,0.55538700,-0.02581713,1.12276100,0.57136050,0.01277149,1.11740800,0.59160700,0.03223941,1.11810200,0.56939270,0.01816612,1.12461200,0.55751140,0.01155410,1.24223200,0.59007120,0.01426569,1.16866400,0.56400700,0.00965204,1.15716100,0.56579660,0.00623453,1.14442700,0.56992300,0.00185119,1.12997300,0.56980190,5,5
-0.05961523,1.13916700,0.55917190,-0.05961523,1.13916700,0.55917190,-0.05961523,1.13916700,0.55917190,-0.03768624,1.14971900,0.55677560,-0.02957763,1.17217500,0.55791470,-0.01381835,1.19691500,0.56874790,0.00354292,1.21986000,0.58386180,0.02251825,1.17405600,0.59269020,0.05234405,1.16646100,0.57311180,0.03408217,1.16375000,0.55877570,0.02056466,1.15461600,0.60163770,0.04977817,1.14630800,0.57367240,0.02933917,1.14745200,0.55685010,0.01738583,1.13495300,0.59980700,0.04219656,1.12915000,0.57228640,0.02283502,1.13603900,0.55709290,-0.02612259,1.12106500,0.57316520,0.01254418,1.11559400,0.59323040,0.03199411,1.11644600,0.57100590,0.01785960,1.12292000,0.55917700,0.01081718,1.24065700,0.59254160,0.01401863,1.16692600,0.56591920,0.00941368,1.15548100,0.56763410,0.00583797,1.14272900,0.57179580,0.00160002,1.12811800,0.57160980,5,5
