RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.18331100,0.92347430,0.59044250,0.18331100,0.92347430,0.59044250,0.18331100,0.92347430,0.59044250,0.20139060,0.90879520,0.58298500,0.21215270,0.90108260,0.56308490,0.23399750,0.89486020,0.54159340,0.25945590,0.89165880,0.52164490,0.27347360,0.90471980,0.56583360,0.28735150,0.87315310,0.57773010,0.26440170,0.86905150,0.57941700,0.27478410,0.91517130,0.58456410,0.28587970,0.87710380,0.59606450,0.25963930,0.87343460,0.59589150,0.26924100,0.91722020,0.60367330,0.27722710,0.88164440,0.61246040,0.25234990,0.88069010,0.60668150,0.21713500,0.91922890,0.61242390,0.25977880,0.91612670,0.62240110,0.26554390,0.88729330,0.62529110,0.24806420,0.88786100,0.61658790,0.27644370,0.88767200,0.50563680,0.25367780,0.88654260,0.57288130,0.24797280,0.89221150,0.58645190,0.24209770,0.89998230,0.59816490,0.23700710,0.90274870,0.60648530,5,7
0.18288380,0.92367310,0.59051120,0.18288380,0.92367310,0.59051120,0.18288380,0.92367310,0.59051120,0.20109000,0.90914160,0.58307260,0.21196510,0.90158720,0.56317320,0.23391970,0.89560960,0.54172410,0.25942710,0.89269910,0.52179380,0.27326080,0.90561260,0.56617130,0.28730560,0.87410780,0.57803610,0.26438030,0.86982600,0.57960550,0.27443210,0.91601200,0.58494000,0.28560900,0.87794890,0.59637610,0.25938720,0.87415850,0.59605930,0.26880580,0.91796120,0.60403540,0.27697270,0.88240210,0.61272380,0.25211820,0.88131050,0.60687240,0.21665590,0.91958680,0.61260210,0.25928340,0.91674260,0.62272480,0.26515550,0.88791940,0.62549990,0.24769010,0.88846200,0.61676640,0.27646840,0.88891880,0.50579240,0.25355340,0.88725560,0.57307480,0.24759520,0.89286790,0.58664170,0.24175610,0.90055910,0.59839020,0.23655560,0.90331160,0.60669280,5,7
0.18249220,0.92387310,0.59056730,0.18249220,0.92387310,0.59056730,0.18249220,0.92387310,0.59056730,0.20081900,0.90948810,0.58314010,0.21179550,0.90209110,0.56323730,0.23384730,0.89635800,0.54182120,0.25939340,0.89373640,0.52190040,0.27306460,0.90649780,0.56645610,0.28728530,0.87505760,0.57828280,0.26438770,0.87059440,0.57974740,0.27410700,0.91684470,0.58526140,0.28537480,0.87878730,0.59662720,0.25917260,0.87487590,0.59618230,0.26840780,0.91869500,0.60434500,0.27676470,0.88315580,0.61293350,0.25193080,0.88192420,0.60702270,0.21622150,0.91994300,0.61275180,0.25883510,0.91735270,0.62300030,0.26481220,0.88854010,0.62565890,0.24735680,0.88905530,0.61690370,0.27648060,0.89016130,0.50590070,0.25345310,0.88796050,0.57322710,0.24725400,0.89351830,0.58679130,0.24145190,0.90112610,0.59857840,0.23613770,0.90386270,0.60686180,5,7
0.18212880,0.92407390,0.59061310,0.18212880,0.92407390,0.59061310,0.18212880,0.92407390,0.59061310,0.20057130,0.90983450,0.58319180,0.21165440,0.90256880,0.56329970,0.23383240,0.89712420,0.54193870,0.25945460,0.89482810,0.52207540,0.27288100,0.90737690,0.56669950,0.28724070,0.87598990,0.57849960,0.26436530,0.87137820,0.57984490,0.27380260,0.91767100,0.58554000,0.28534500,0.87967030,0.59681960,0.25917330,0.87557080,0.59628470,0.26803860,0.91942290,0.60461340,0.27652600,0.88389310,0.61311200,0.25172050,0.88259630,0.60709640,0.21582210,0.92029770,0.61287890,0.25842350,0.91795810,0.62323760,0.26445780,0.88914760,0.62578730,0.24703680,0.88969770,0.61696590,0.27661720,0.89148400,0.50610660,0.25335190,0.88869470,0.57332530,0.24706890,0.89411410,0.58693520,0.24122320,0.90180120,0.59868180,0.23581940,0.90452160,0.60694650,5,7
0.18173650,0.92418560,0.59046060,0.18173650,0.92418560,0.59046060,0.18173650,0.92418560,0.59046060,0.20034640,0.91012570,0.58311550,0.21152900,0.90289780,0.56326530,0.23381020,0.89768590,0.54195370,0.25947250,0.89568620,0.52211020,0.27269260,0.90842270,0.56668790,0.28737090,0.87725150,0.57866650,0.26454570,0.87238720,0.57997670,0.27348160,0.91880900,0.58548380,0.28549030,0.88100640,0.59694090,0.25936970,0.87659400,0.59639900,0.26768270,0.92057840,0.60454510,0.27649720,0.88516700,0.61320380,0.25171500,0.88363180,0.60714850,0.21545310,0.92089240,0.61276780,0.25807020,0.91908520,0.62316840,0.26430790,0.89032660,0.62581280,0.24689910,0.89075480,0.61696080,0.27668970,0.89253370,0.50616120,0.25335420,0.88954870,0.57335130,0.24697950,0.89490940,0.58697490,0.24107950,0.90271960,0.59864130,0.23558270,0.90545810,0.60687520,5,7
0.18136580,0.92430500,0.59031710,0.18136580,0.92430500,0.59031710,0.18136580,0.92430500,0.59031710,0.20013400,0.91042260,0.58303720,0.21140950,0.90324290,0.56322220,0.23378370,0.89826600,0.54195180,0.25947680,0.89656170,0.52212060,0.27250600,0.90945200,0.56666390,0.28749180,0.87848790,0.57879810,0.26471860,0.87337770,0.58007530,0.27316780,0.91991670,0.58542110,0.28561650,0.88230350,0.59703080,0.25954800,0.87759360,0.59648250,0.26733650,0.92169390,0.60447170,0.27646790,0.88639660,0.61326700,0.25170930,0.88463220,0.60717780,0.21510080,0.92146560,0.61265880,0.25772800,0.92016520,0.62309420,0.26415850,0.89145620,0.62581430,0.24676020,0.89177080,0.61693690,0.27674120,0.89360190,0.50618570,0.25335480,0.89038930,0.57335750,0.24688660,0.89569020,0.58699640,0.24093710,0.90360760,0.59859160,0.23534480,0.90635870,0.60679550,5,7
0.18101200,0.92443050,0.59018080,0.18101200,0.92443050,0.59018080,0.18101200,0.92443050,0.59018080,0.19993100,0.91072430,0.58295740,0.21130170,0.90358830,0.56318100,0.23376860,0.89883650,0.54195700,0.25951990,0.89739500,0.52218050,0.27231950,0.91046850,0.56663010,0.28757790,0.87968760,0.57889000,0.26484930,0.87437770,0.58014630,0.27285840,0.92100090,0.58535340,0.28574140,0.88355930,0.59704410,0.25970450,0.87867150,0.59655730,0.26699670,0.92277820,0.60439470,0.27643500,0.88758340,0.61327560,0.25168070,0.88565400,0.60721930,0.21476130,0.92202230,0.61255150,0.25739320,0.92120860,0.62301640,0.26404150,0.89255310,0.62577730,0.24662300,0.89279670,0.61693740,0.27686230,0.89460090,0.50630040,0.25334550,0.89126470,0.57335290,0.24685770,0.89662790,0.58705400,0.24086240,0.90459240,0.59860940,0.23517630,0.90738630,0.60683370,5,7
0.18078320,0.92443560,0.59052970,0.18078320,0.92443560,0.59052970,0.18078320,0.92443560,0.59052970,0.19987240,0.91098330,0.58327700,0.21131950,0.90399860,0.56349070,0.23384790,0.89961150,0.54225320,0.25961740,0.89857640,0.52247510,0.27223930,0.91168760,0.56686760,0.28787230,0.88108760,0.57910820,0.26520760,0.87551080,0.58036330,0.27266120,0.92221570,0.58559630,0.28608650,0.88493980,0.59720570,0.26009620,0.87980250,0.59680130,0.26679830,0.92390520,0.60464520,0.27665000,0.88880780,0.61346300,0.25189720,0.88666650,0.60747190,0.21458670,0.92245850,0.61286080,0.25723760,0.92219900,0.62327680,0.26417800,0.89360540,0.62595900,0.24672550,0.89376280,0.61718440,0.27700980,0.89605590,0.50660380,0.25350650,0.89226560,0.57357950,0.24699900,0.89761490,0.58736920,0.24095970,0.90556520,0.59892580,0.23518320,0.90834960,0.60718600,5,7
0.18055570,0.92445480,0.59084360,0.18055570,0.92445480,0.59084360,0.18055570,0.92445480,0.59084360,0.19980630,0.91124950,0.58356360,0.21132570,0.90441350,0.56376730,0.23390730,0.90037720,0.54251690,0.25968660,0.89973320,0.52273490,0.27214140,0.91288010,0.56708010,0.28813690,0.88246050,0.57930210,0.26553790,0.87662280,0.58055510,0.27244930,0.92340220,0.58581440,0.28639050,0.88629300,0.59734930,0.26044940,0.88090800,0.59701710,0.26658520,0.92500670,0.60487030,0.27683760,0.89000980,0.61362990,0.25209020,0.88765530,0.60769640,0.21440460,0.92289380,0.61313880,0.25706620,0.92316920,0.62351080,0.26429050,0.89463930,0.62612040,0.24680810,0.89470420,0.61740420,0.27712060,0.89747700,0.50686970,0.25364510,0.89324600,0.57378080,0.24711140,0.89857510,0.58764950,0.24102710,0.90650680,0.59920780,0.23516460,0.90927410,0.60749900,5,7
0.18032920,0.92448510,0.59113000,0.18032920,0.92448510,0.59113000,0.18032920,0.92448510,0.59113000,0.19973390,0.91152180,0.58382430,0.21133340,0.90481590,0.56403030,0.23397650,0.90111650,0.54278390,0.25977190,0.90085080,0.52301420,0.27202770,0.91405170,0.56727310,0.28840820,0.88383420,0.57948650,0.26588180,0.87771860,0.58072020,0.27222390,0.92456650,0.58601290,0.28674060,0.88767080,0.59752310,0.26085970,0.88200440,0.59716900,0.26635890,0.92608830,0.60507520,0.27703780,0.89121600,0.61382300,0.25232270,0.88862580,0.60785350,0.21421610,0.92332860,0.61339220,0.25688100,0.92412340,0.62372370,0.26436910,0.89565820,0.62629630,0.24689650,0.89560560,0.61756060,0.27724500,0.89885230,0.50715740,0.25379100,0.89419860,0.57394660,0.24736610,0.89955110,0.58779780,0.24115430,0.90742170,0.59937950,0.23516190,0.91011890,0.60767960,5,7
