RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.07386559,0.92029500,0.37525710,-0.07386559,0.92029500,0.37525710,-0.07386559,0.92029500,0.37525710,-0.07433821,0.94369950,0.36818810,-0.06658529,0.96053950,0.35310080,-0.06721736,0.98239180,0.33074280,-0.07117996,1.00261500,0.30561020,-0.10889730,0.99392940,0.32588740,-0.11258850,1.02379900,0.34649770,-0.09349763,1.01240200,0.35371040,-0.12589580,0.98498540,0.33552260,-0.12532660,1.01873000,0.35930220,-0.10260920,1.00678600,0.36588250,-0.13480520,0.97814890,0.35207470,-0.13228220,1.00984200,0.37197060,-0.10948560,0.99915720,0.37636840,-0.10718460,0.94289700,0.38018250,-0.13949200,0.97129250,0.37137450,-0.13826670,0.99874870,0.38221960,-0.11993120,0.99239160,0.38445680,-0.06863365,1.01610500,0.28631620,-0.09095158,0.99463860,0.34180950,-0.09712156,0.98798470,0.35194770,-0.10672790,0.97984740,0.36335470,-0.11435200,0.97472420,0.37432260,5,6
-0.07322066,0.92038340,0.37476640,-0.07322066,0.92038340,0.37476640,-0.07322066,0.92038340,0.37476640,-0.07367516,0.94386580,0.36795960,-0.06585418,0.96080640,0.35302070,-0.06646477,0.98278060,0.33078190,-0.07054949,1.00325900,0.30587660,-0.10813000,0.99457010,0.32614250,-0.11150450,1.02425100,0.34707740,-0.09266096,1.01245900,0.35430620,-0.12515210,0.98551980,0.33563580,-0.12457360,1.01891600,0.35990180,-0.10183380,1.00686000,0.36619390,-0.13410160,0.97849850,0.35208870,-0.13156270,1.00993400,0.37238670,-0.10882170,0.99904060,0.37655380,-0.10655030,0.94293120,0.37986530,-0.13883510,0.97142620,0.37129900,-0.13773780,0.99875000,0.38248680,-0.11939340,0.99237610,0.38459920,-0.06812438,1.01697300,0.28672550,-0.09032153,0.99480340,0.34220440,-0.09648534,0.98829870,0.35188790,-0.10646630,0.97995810,0.36313220,-0.11392160,0.97484360,0.37417630,5,6
-0.07345202,0.92023970,0.37413740,-0.07345202,0.92023970,0.37413740,-0.07345202,0.92023970,0.37413740,-0.07374884,0.94379840,0.36759050,-0.06578776,0.96078480,0.35277810,-0.06628831,0.98288510,0.33066190,-0.07041685,1.00364100,0.30599490,-0.10786980,0.99519430,0.32634790,-0.11069790,1.02469500,0.34761480,-0.09215400,1.01240900,0.35479390,-0.12495040,0.98615550,0.33574660,-0.12407600,1.01919900,0.36048220,-0.10138070,1.00688700,0.36643000,-0.13394290,0.97901380,0.35212400,-0.13113450,1.01017900,0.37280010,-0.10851210,0.99894050,0.37668750,-0.10662630,0.94295550,0.37949650,-0.13871920,0.97176200,0.37125660,-0.13753970,0.99894460,0.38277480,-0.11922380,0.99243610,0.38471720,-0.06806785,1.01756100,0.28698310,-0.09015869,0.99485520,0.34248400,-0.09633054,0.98853370,0.35175210,-0.10670080,0.98007830,0.36287580,-0.11400060,0.97500530,0.37400030,5,6
-0.07359549,0.92014500,0.37362820,-0.07359549,0.92014500,0.37362820,-0.07359549,0.92014500,0.37362820,-0.07374939,0.94377300,0.36733080,-0.06565964,0.96080310,0.35263880,-0.06606303,0.98302110,0.33063880,-0.07024081,1.00404000,0.30620410,-0.10756360,0.99581010,0.32664320,-0.10988570,1.02512300,0.34822950,-0.09163204,1.01237800,0.35535230,-0.12469730,0.98677710,0.33595050,-0.12355400,1.01947400,0.36113210,-0.10089940,1.00693100,0.36674330,-0.13372990,0.97951790,0.35225400,-0.13068340,1.01042200,0.37328480,-0.10817540,0.99886920,0.37690530,-0.10662890,0.94300560,0.37923620,-0.13854640,0.97209360,0.37131020,-0.13730660,0.99913820,0.38314280,-0.11901590,0.99251280,0.38492100,-0.06797163,1.01816000,0.28732980,-0.08995797,0.99493310,0.34284060,-0.09613209,0.98878990,0.35171110,-0.10687710,0.98023600,0.36272980,-0.11402520,0.97518850,0.37392420,5,6
-0.07366953,0.92008880,0.37321340,-0.07366953,0.92008880,0.37321340,-0.07366953,0.92008880,0.37321340,-0.07369190,0.94378030,0.36715760,-0.06549430,0.96088000,0.35260690,-0.06590270,0.98317220,0.33068230,-0.07018606,1.00435900,0.30641130,-0.10722020,0.99641900,0.32701090,-0.10930670,1.02564500,0.34873850,-0.09129353,1.01260500,0.35593960,-0.12440270,0.98738760,0.33622910,-0.12315510,1.01981900,0.36174650,-0.10052580,1.00715900,0.36719450,-0.13347330,0.98001300,0.35245960,-0.13023830,1.01067100,0.37382010,-0.10781550,0.99889150,0.37723290,-0.10657330,0.94307570,0.37906170,-0.13832840,0.97242160,0.37144000,-0.13701650,0.99932680,0.38357870,-0.11873760,0.99263780,0.38523570,-0.06789678,1.01851500,0.28756700,-0.08976768,0.99520840,0.34334230,-0.09586914,0.98917830,0.35193680,-0.10681960,0.98045060,0.36278410,-0.11384390,0.97542890,0.37401640,5,6
-0.07327589,0.91983140,0.37334810,-0.07327589,0.91983140,0.37334810,-0.07327589,0.91983140,0.37334810,-0.07311583,0.94359980,0.36760330,-0.06472643,0.96079840,0.35328040,-0.06500874,0.98323410,0.33150060,-0.06925780,1.00467100,0.30744430,-0.10611930,0.99697980,0.32800440,-0.10802170,1.02604200,0.34996650,-0.09029903,1.01266400,0.35726610,-0.12340160,0.98794270,0.33702870,-0.12212440,1.02002300,0.36298440,-0.09956016,1.00720200,0.36832340,-0.13259230,0.98041670,0.35312150,-0.12924060,1.01075900,0.37490980,-0.10693320,0.99872360,0.37818100,-0.10605360,0.94295730,0.37935400,-0.13758120,0.97261010,0.37197950,-0.13623120,0.99933580,0.38450460,-0.11797920,0.99255950,0.38610320,-0.06685746,1.01893200,0.28869320,-0.08889388,0.99536020,0.34452740,-0.09497273,0.98942830,0.35280400,-0.10619620,0.98052540,0.36341240,-0.11315440,0.97549640,0.37463410,5,6
-0.07285310,0.91961530,0.37351120,-0.07285310,0.91961530,0.37351120,-0.07285310,0.91961530,0.37351120,-0.07251782,0.94345550,0.36808020,-0.06394380,0.96075080,0.35398480,-0.06410409,0.98333380,0.33235650,-0.06832357,1.00502600,0.30852500,-0.10501510,0.99756130,0.32905170,-0.10672200,1.02644600,0.35126270,-0.08929050,1.01272900,0.35863510,-0.12239210,0.98851760,0.33788530,-0.12108160,1.02023600,0.36428050,-0.09857982,1.00725400,0.36949450,-0.13169780,0.98084010,0.35384000,-0.12823540,1.01086200,0.37605150,-0.10604240,0.99857690,0.37917120,-0.10550800,0.94287030,0.37968620,-0.13681520,0.97281890,0.37257300,-0.13543440,0.99935970,0.38548180,-0.11720820,0.99249970,0.38701600,-0.06582546,1.01940400,0.28987580,-0.08801365,0.99552830,0.34574510,-0.09406734,0.98969760,0.35370920,-0.10556510,0.98063300,0.36408430,-0.11245440,0.97558800,0.37529580,5,6
-0.07243901,0.91943560,0.37368090,-0.07243901,0.91943560,0.37368090,-0.07243901,0.91943560,0.37368090,-0.07194352,0.94333870,0.36854650,-0.06322038,0.96076820,0.35471040,-0.06324479,0.98357310,0.33331560,-0.06741974,1.00560100,0.30978570,-0.10397520,0.99811330,0.33006990,-0.10557290,1.02694200,0.35236190,-0.08847903,1.01292300,0.35995380,-0.12143820,0.98906390,0.33872640,-0.12012340,1.02047700,0.36548450,-0.09771021,1.00731700,0.37063340,-0.13084910,0.98124500,0.35455010,-0.12738180,1.01103000,0.37707740,-0.10531270,0.99851080,0.38014460,-0.10498030,0.94280490,0.38002170,-0.13608440,0.97302340,0.37316330,-0.13475640,0.99942920,0.38635150,-0.11656290,0.99248320,0.38788690,-0.06473213,1.02010900,0.29126430,-0.08727328,0.99575070,0.34701910,-0.09321664,0.98992450,0.35466160,-0.10502070,0.98077040,0.36481420,-0.11186410,0.97568480,0.37598310,5,6
-0.07220893,0.91946200,0.37431540,-0.07220893,0.91946200,0.37431540,-0.07220893,0.91946200,0.37431540,-0.07142267,0.94338240,0.36929920,-0.06254818,0.96077200,0.35550910,-0.06246770,0.98363410,0.33417570,-0.06665339,1.00584900,0.31082370,-0.10293470,0.99877630,0.33128290,-0.10397670,1.02770100,0.35348300,-0.08725356,1.01331200,0.36120520,-0.12046830,0.98991640,0.33999280,-0.11865790,1.02119700,0.36687660,-0.09638365,1.00773100,0.37183320,-0.12989370,0.98214280,0.35583000,-0.12598110,1.01182000,0.37842690,-0.10410370,0.99892690,0.38131450,-0.10439850,0.94323060,0.38095940,-0.13513380,0.97389640,0.37443100,-0.13353260,1.00024700,0.38769920,-0.11541030,0.99309120,0.38910770,-0.06385258,1.02032900,0.29229800,-0.08638271,0.99607770,0.34832500,-0.09219817,0.99036290,0.35575180,-0.10427980,0.98128910,0.36586440,-0.11100740,0.97629090,0.37709380,5,6
-0.07196071,0.91949370,0.37491520,-0.07196071,0.91949370,0.37491520,-0.07196071,0.91949370,0.37491520,-0.07090329,0.94342960,0.37002490,-0.06188381,0.96078760,0.35628910,-0.06170671,0.98370920,0.33502020,-0.06590608,1.00611000,0.31184920,-0.10191430,0.99941590,0.33246720,-0.10242970,1.02840900,0.35459700,-0.08607025,1.01367000,0.36243890,-0.11951300,0.99072560,0.34121620,-0.11725450,1.02185600,0.36824030,-0.09511179,1.00810700,0.37300760,-0.12895600,0.98298220,0.35705790,-0.12463940,1.01253800,0.37973930,-0.10294850,0.99929710,0.38245150,-0.10382080,0.94362100,0.38184840,-0.13420600,0.97469910,0.37563970,-0.13236430,1.00098600,0.38900240,-0.11430910,0.99364010,0.39028900,-0.06300244,1.02057200,0.29332480,-0.08551782,0.99639270,0.34959950,-0.09121215,0.99078190,0.35680880,-0.10356820,0.98178040,0.36687570,-0.11017980,0.97685340,0.37815970,5,6
