RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.03222011,0.89152470,0.43194630,-0.03222011,0.89152470,0.43194630,-0.03222011,0.89152470,0.43194630,-0.01230223,0.90354340,0.43948230,-0.00191374,0.92496410,0.44161600,0.00659002,0.94977980,0.45863560,0.01498378,0.97188200,0.48093710,0.02039254,0.93746370,0.49681640,0.05553232,0.92868380,0.49249270,0.04451505,0.92290370,0.47270450,0.01422767,0.91924970,0.50640940,0.05273174,0.91001560,0.49471850,0.04044726,0.90573200,0.47163620,0.01260246,0.89931390,0.50629950,0.04705963,0.89325730,0.49278450,0.03279258,0.89261910,0.47158960,-0.01069644,0.87836590,0.46370850,0.01201250,0.87891980,0.50128050,0.03940866,0.87966910,0.49024220,0.02898281,0.88024820,0.47373240,0.01681814,0.99374700,0.48984190,0.02340576,0.92714010,0.47303820,0.01745962,0.91275660,0.47156270,0.01009471,0.89808980,0.47375920,0.00825276,0.88427480,0.47386740,5,0
-0.03252517,0.89187730,0.43123590,-0.03252517,0.89187730,0.43123590,-0.03252517,0.89187730,0.43123590,-0.01266898,0.90395340,0.43884270,-0.00224681,0.92535610,0.44099250,0.00602474,0.95015370,0.45815240,0.01421819,0.97215060,0.48063180,0.01967264,0.93807270,0.49625900,0.05484621,0.92933680,0.49212520,0.04386365,0.92354190,0.47232200,0.01349643,0.91986880,0.50586380,0.05208750,0.91069390,0.49441560,0.04000674,0.90630140,0.47124640,0.01191150,0.89992960,0.50579240,0.04643732,0.89389580,0.49244350,0.03235171,0.89321660,0.47112890,-0.01113355,0.87883570,0.46313550,0.01138712,0.87952270,0.50081840,0.03882375,0.88030030,0.48988300,0.02847475,0.88080760,0.47332260,0.01597314,0.99397350,0.48965510,0.02274399,0.92773490,0.47252010,0.01700081,0.91326120,0.47097670,0.00963324,0.89866240,0.47313930,0.00773560,0.88478880,0.47325290,5,0
-0.03282406,0.89221560,0.43057050,-0.03282406,0.89221560,0.43057050,-0.03282406,0.89221560,0.43057050,-0.01302537,0.90434650,0.43823980,-0.00257227,0.92573260,0.44040550,0.00548037,0.95051100,0.45769670,0.01348772,0.97240390,0.48034400,0.01899519,0.93864850,0.49572710,0.05419802,0.92995480,0.49175650,0.04324412,0.92414800,0.47194090,0.01281216,0.92045240,0.50534250,0.05148032,0.91133710,0.49410890,0.03958523,0.90684690,0.47086240,0.01126657,0.90051000,0.50530580,0.04585137,0.89450100,0.49209900,0.03192925,0.89378880,0.47067830,-0.01154828,0.87928240,0.46259140,0.01080409,0.88009180,0.50037210,0.03827613,0.88089880,0.48952800,0.02799057,0.88134450,0.47292630,0.01516741,0.99418500,0.48948200,0.02211504,0.92829740,0.47201440,0.01656359,0.91374560,0.47041880,0.00919297,0.89921070,0.47254720,0.00724474,0.88528340,0.47267470,5,0
-0.03310462,0.89252870,0.42996500,-0.03310462,0.89252870,0.42996500,-0.03310462,0.89252870,0.42996500,-0.01335806,0.90470990,0.43768860,-0.00279090,0.92603670,0.43988520,0.00511891,0.95075680,0.45732510,0.01304378,0.97246100,0.48018210,0.01837674,0.93917550,0.49523650,0.05357664,0.93046010,0.49128760,0.04262921,0.92466720,0.47146440,0.01218995,0.92098560,0.50486120,0.05087966,0.91187180,0.49370070,0.03910524,0.90739530,0.47039030,0.01068112,0.90104040,0.50485490,0.04530721,0.89503780,0.49175390,0.03156003,0.89437040,0.47021900,-0.01192923,0.87969300,0.46209150,0.01027524,0.88061240,0.49995670,0.03780577,0.88143150,0.48926300,0.02768476,0.88190750,0.47256130,0.01475482,0.99417330,0.48947660,0.02149934,0.92881320,0.47148620,0.01608714,0.91430100,0.46987880,0.00881342,0.89979610,0.47194620,0.00694255,0.88584830,0.47211660,5,0
-0.03345416,0.89273150,0.42917530,-0.03345416,0.89273150,0.42917530,-0.03345416,0.89273150,0.42917530,-0.01376750,0.90500120,0.43691180,-0.00309894,0.92628350,0.43904900,0.00464585,0.95103270,0.45652170,0.01245667,0.97266590,0.47948500,0.01763065,0.93990120,0.49438250,0.05283394,0.93115440,0.49053450,0.04191380,0.92527900,0.47072060,0.01143373,0.92176210,0.50409610,0.05015837,0.91260650,0.49309210,0.03852688,0.90802660,0.46973010,0.00996327,0.90181440,0.50421230,0.04464158,0.89576270,0.49127300,0.03108244,0.89503260,0.46962130,-0.01240512,0.88014590,0.46148320,0.00961962,0.88135430,0.49944520,0.03721436,0.88213990,0.48891570,0.02725841,0.88256210,0.47211360,0.01417787,0.99435590,0.48882970,0.02078200,0.92941450,0.47064550,0.01551120,0.91493020,0.46909500,0.00832441,0.90046530,0.47116610,0.00652123,0.88649800,0.47144640,5,0
-0.03379492,0.89293800,0.42842540,-0.03379492,0.89293800,0.42842540,-0.03379492,0.89293800,0.42842540,-0.01416527,0.90529100,0.43617430,-0.00340540,0.92653230,0.43826080,0.00417865,0.95130750,0.45576710,0.01187516,0.97287210,0.47883330,0.01691760,0.94058950,0.49357300,0.05212513,0.93181910,0.48981860,0.04123039,0.92586890,0.47001300,0.01071325,0.92249600,0.50336660,0.04947174,0.91330950,0.49250850,0.03797545,0.90863320,0.46909870,0.00928024,0.90254650,0.50359420,0.04400627,0.89645590,0.49080190,0.03062151,0.89566840,0.46904400,-0.01286190,0.88058350,0.46089760,0.00899613,0.88205810,0.49894640,0.03664853,0.88281830,0.48856740,0.02684070,0.88319060,0.47167730,0.01359879,0.99453960,0.48822960,0.02009631,0.92998990,0.46984500,0.01496137,0.91553060,0.46834860,0.00785338,0.90110370,0.47042130,0.00610959,0.88711830,0.47080490,5,0
-0.03410511,0.89313050,0.42775320,-0.03410511,0.89313050,0.42775320,-0.03410511,0.89313050,0.42775320,-0.01452662,0.90555760,0.43551290,-0.00380743,0.92682610,0.43753190,0.00371438,0.95171150,0.45490820,0.01129311,0.97346100,0.47783950,0.01627639,0.94120490,0.49284680,0.05150973,0.93245580,0.48929030,0.04075191,0.92641720,0.46943660,0.01006643,0.92315110,0.50270970,0.04885893,0.91394390,0.49199150,0.03742886,0.90920100,0.46856270,0.00866734,0.90320050,0.50303440,0.04342692,0.89708490,0.49034560,0.03011892,0.89621520,0.46854370,-0.01327411,0.88097980,0.46036750,0.00843660,0.88268800,0.49849080,0.03611585,0.88341950,0.48818150,0.02634162,0.88376230,0.47127130,0.01294786,0.99520110,0.48707910,0.01961822,0.93053630,0.46919020,0.01441231,0.91607580,0.46769080,0.00734166,0.90163900,0.46981140,0.00561392,0.88769540,0.47034370,5,0
-0.03420534,0.89368540,0.42656130,-0.03420534,0.89368540,0.42656130,-0.03420534,0.89368540,0.42656130,-0.01466335,0.90606690,0.43448430,-0.00393114,0.92731260,0.43666590,0.00354323,0.95210910,0.45418920,0.01101608,0.97377010,0.47723860,0.01584968,0.94142470,0.49215150,0.05109227,0.93265240,0.48874680,0.04047725,0.92674920,0.46877590,0.00958060,0.92332610,0.50189420,0.04840332,0.91412230,0.49128310,0.03707192,0.90956750,0.46776910,0.00817207,0.90337470,0.50211530,0.04297117,0.89728510,0.48952270,0.02977847,0.89658270,0.46764490,-0.01355192,0.88136900,0.45922640,0.00795742,0.88288450,0.49747180,0.03568164,0.88363130,0.48728520,0.02597295,0.88413200,0.47034120,0.01264035,0.99547580,0.48656400,0.01935286,0.93091080,0.46845550,0.01406963,0.91647820,0.46680950,0.00700249,0.90203270,0.46881960,0.00525893,0.88812260,0.46935510,5,0
-0.03432245,0.89420860,0.42543810,-0.03432245,0.89420860,0.42543810,-0.03432245,0.89420860,0.42543810,-0.01481783,0.90655360,0.43350870,-0.00410935,0.92779680,0.43582710,0.00325075,0.95252280,0.45349790,0.01061074,0.97406240,0.47669690,0.01541510,0.94166830,0.49147120,0.05068881,0.93293530,0.48829560,0.04023794,0.92710310,0.46821760,0.00909465,0.92353110,0.50110830,0.04795495,0.91434660,0.49061870,0.03670689,0.90992990,0.46703860,0.00768157,0.90357930,0.50124040,0.04251201,0.89751490,0.48872250,0.02936053,0.89696220,0.46681560,-0.01383337,0.88175410,0.45815430,0.00748637,0.88310840,0.49651170,0.03524273,0.88387050,0.48641420,0.02560945,0.88449650,0.46943140,0.01218574,0.99571850,0.48614540,0.01911484,0.93126000,0.46777490,0.01371238,0.91685250,0.46598320,0.00658970,0.90243840,0.46796790,0.00490993,0.88853020,0.46832440,5,0
-0.03426387,0.89457890,0.42534100,-0.03426387,0.89457890,0.42534100,-0.03426387,0.89457890,0.42534100,-0.01474288,0.90682420,0.43352300,-0.00394613,0.92801670,0.43589640,0.00340470,0.95270780,0.45361980,0.01073774,0.97418020,0.47688950,0.01533036,0.94179910,0.49165300,0.05058942,0.93290730,0.48876880,0.04028555,0.92711380,0.46860370,0.00885807,0.92369840,0.50125800,0.04771779,0.91428970,0.49096670,0.03655785,0.90996380,0.46732790,0.00733969,0.90375430,0.50138760,0.04218196,0.89748350,0.48900510,0.02909755,0.89705250,0.46705530,-0.01403417,0.88202800,0.45818140,0.00706517,0.88328310,0.49666390,0.03486717,0.88387580,0.48668120,0.02533146,0.88460110,0.46964730,0.01236675,0.99581580,0.48637550,0.01918663,0.93137230,0.46800190,0.01360849,0.91701090,0.46612410,0.00635896,0.90267560,0.46813460,0.00466964,0.88877830,0.46837970,5,0
