RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.12451500,0.84141300,0.39105850,-0.12451500,0.84141300,0.39105850,-0.12451500,0.84141300,0.39105850,-0.11653890,0.85414670,0.41035090,-0.09806463,0.86451810,0.42141700,-0.08054392,0.88806780,0.43219830,-0.06487379,0.91525990,0.44064550,-0.10604540,0.92199660,0.43851130,-0.11449600,0.92322950,0.47397470,-0.11260480,0.90017150,0.47064020,-0.12627750,0.92403910,0.43156340,-0.13363690,0.91865840,0.47183000,-0.12822630,0.89304820,0.46772010,-0.14483230,0.91675590,0.42990140,-0.14828910,0.90907960,0.46644940,-0.13998550,0.88528670,0.46219160,-0.14868310,0.86793080,0.40997860,-0.16211440,0.90480910,0.42965720,-0.16054880,0.89964790,0.45870660,-0.15071100,0.88376500,0.45300030,-0.04956935,0.93236420,0.44647270,-0.10785710,0.89240810,0.45112480,-0.11952400,0.88720880,0.44608780,-0.13312070,0.88237230,0.43996080,-0.14333330,0.88129950,0.43336730,5,3
-0.12169580,0.84245000,0.39221820,-0.12169580,0.84245000,0.39221820,-0.12169580,0.84245000,0.39221820,-0.11361570,0.85522560,0.41143960,-0.09506388,0.86554680,0.42242250,-0.07740244,0.88906420,0.43304350,-0.06159330,0.91622590,0.44132790,-0.10270830,0.92314160,0.43928160,-0.11110730,0.92448160,0.47475340,-0.10932300,0.90139990,0.47152640,-0.12294220,0.92526140,0.43236250,-0.13029890,0.92030660,0.47268420,-0.12504800,0.89461750,0.46886950,-0.14153870,0.91807000,0.43076710,-0.14502910,0.91073560,0.46738210,-0.13682500,0.88686670,0.46336390,-0.14568680,0.86917900,0.41106640,-0.15888460,0.90621450,0.43060750,-0.15733650,0.90115490,0.45967570,-0.14750090,0.88526430,0.45398710,-0.04619873,0.93328800,0.44704020,-0.10463700,0.89348670,0.45205630,-0.11639370,0.88840920,0.44732090,-0.12997550,0.88374530,0.44115650,-0.14013180,0.88277000,0.43435440,5,3
-0.11903390,0.84339950,0.39334750,-0.11903390,0.84339950,0.39334750,-0.11903390,0.84339950,0.39334750,-0.11085190,0.85621260,0.41250060,-0.09222548,0.86648370,0.42340400,-0.07442898,0.88996770,0.43387250,-0.05848854,0.91709880,0.44200420,-0.09954438,0.92418590,0.44004170,-0.10788960,0.92562350,0.47552230,-0.10620890,0.90251990,0.47239830,-0.11978050,0.92638060,0.43315220,-0.12712770,0.92183410,0.47352370,-0.12203100,0.89607300,0.46999660,-0.13841640,0.91927800,0.43162170,-0.14193380,0.91227290,0.46829850,-0.13382640,0.88833320,0.46451170,-0.14285190,0.87032820,0.41213070,-0.15582290,0.90751080,0.43154390,-0.15429730,0.90256580,0.46063300,-0.14446210,0.88666610,0.45496930,-0.04300972,0.93412020,0.44760910,-0.10158560,0.89446230,0.45297250,-0.11342730,0.88950790,0.44853360,-0.12699460,0.88501210,0.44232780,-0.13710020,0.88413830,0.43533830,5,3
-0.11649570,0.84428020,0.39445250,-0.11649570,0.84428020,0.39445250,-0.11649570,0.84428020,0.39445250,-0.10821330,0.85712720,0.41353970,-0.08949183,0.86734600,0.42432870,-0.07154991,0.89081350,0.43458370,-0.05544595,0.91791780,0.44247900,-0.09651692,0.92515060,0.44079300,-0.10478900,0.92676600,0.47628310,-0.10323230,0.90363800,0.47327760,-0.11675530,0.92741850,0.43393390,-0.12400900,0.92322050,0.47436000,-0.11917810,0.89737810,0.47106070,-0.13542900,0.92040220,0.43246690,-0.13896470,0.91370340,0.46919920,-0.13094810,0.88970360,0.46560490,-0.14014400,0.87139940,0.41317600,-0.15289350,0.90872110,0.43246850,-0.15121970,0.90357070,0.46151380,-0.14145820,0.88766160,0.45575000,-0.03985231,0.93489390,0.44790020,-0.09868525,0.89545740,0.45388530,-0.11070290,0.89054920,0.44962890,-0.12414270,0.88621750,0.44343820,-0.13414920,0.88512220,0.43610060,5,3
-0.11230760,0.84587120,0.39488180,-0.11230760,0.84587120,0.39488180,-0.11230760,0.84587120,0.39488180,-0.10399740,0.85871060,0.41396190,-0.08523110,0.86888460,0.42471550,-0.06722145,0.89234030,0.43487810,-0.05103734,0.91942740,0.44266810,-0.09212583,0.92672340,0.44116600,-0.10041070,0.92838010,0.47665120,-0.09891855,0.90524140,0.47369500,-0.11235540,0.92904110,0.43429750,-0.11960280,0.92505160,0.47474580,-0.11496290,0.89915390,0.47161030,-0.13104760,0.92207450,0.43282910,-0.13466980,0.91556030,0.46958610,-0.12668410,0.89152970,0.46613050,-0.13588890,0.87306950,0.41357510,-0.14854390,0.91044100,0.43283330,-0.14680330,0.90504950,0.46183090,-0.13705920,0.88916740,0.45596410,-0.03538384,0.93637570,0.44800330,-0.09438486,0.89700590,0.45432280,-0.10654760,0.89214110,0.45021430,-0.11984670,0.88795980,0.44398700,-0.12974400,0.88668050,0.43631030,5,3
-0.10836470,0.84734730,0.39534940,-0.10836470,0.84734730,0.39534940,-0.10836470,0.84734730,0.39534940,-0.10002150,0.86018110,0.41441890,-0.08120947,0.87031020,0.42513490,-0.06312938,0.89375170,0.43520500,-0.04686458,0.92081990,0.44289170,-0.08796377,0.92818550,0.44156210,-0.09625360,0.92988450,0.47704420,-0.09482767,0.90673530,0.47413810,-0.10818570,0.93055330,0.43468840,-0.11542060,0.92677380,0.47515920,-0.11096460,0.90082450,0.47218730,-0.12689720,0.92363770,0.43322360,-0.13059520,0.91730820,0.47000530,-0.12264540,0.89324640,0.46668690,-0.13187260,0.87462870,0.41401400,-0.14442590,0.91205320,0.43323600,-0.14262910,0.90646120,0.46219210,-0.13290150,0.89060130,0.45623860,-0.03115213,0.93773980,0.44814310,-0.09031229,0.89844130,0.45478650,-0.10261120,0.89362650,0.45082860,-0.11578280,0.88958910,0.44456550,-0.12558050,0.88815430,0.43658190,5,3
-0.10468360,0.84870920,0.39583360,-0.10468360,0.84870920,0.39583360,-0.10468360,0.84870920,0.39583360,-0.09630435,0.86153860,0.41489030,-0.07747635,0.87162740,0.42561620,-0.05934021,0.89502220,0.43569440,-0.04300465,0.92204700,0.44338380,-0.08405709,0.92953610,0.44196580,-0.09235013,0.93127830,0.47744510,-0.09097750,0.90812350,0.47455800,-0.10427250,0.93195340,0.43509010,-0.11145250,0.92780130,0.47553410,-0.10703500,0.90187470,0.47231720,-0.12300310,0.92508850,0.43363230,-0.12670030,0.91856380,0.47038010,-0.11872350,0.89452570,0.46695670,-0.12811520,0.87607440,0.41447150,-0.14056400,0.91355280,0.43365640,-0.13878030,0.90793090,0.46260760,-0.12905800,0.89205590,0.45668530,-0.02723976,0.93891740,0.44863710,-0.08647594,0.89981650,0.45520880,-0.09871978,0.89490000,0.45086970,-0.11184920,0.89097830,0.44482100,-0.12170080,0.88955980,0.43704840,5,3
-0.10133330,0.85024420,0.39548130,-0.10133330,0.85024420,0.39548130,-0.10133330,0.85024420,0.39548130,-0.09275635,0.86300250,0.41449780,-0.07381693,0.87299980,0.42511260,-0.05552274,0.89630170,0.43511980,-0.03903113,0.92324600,0.44275860,-0.08004158,0.93089710,0.44161580,-0.08805723,0.93257830,0.47716160,-0.08678392,0.90942530,0.47421560,-0.10030130,0.93340420,0.43490450,-0.10712340,0.92883920,0.47536590,-0.10280940,0.90293460,0.47184580,-0.11906840,0.92661230,0.43358020,-0.12249180,0.91983060,0.47030790,-0.11454530,0.89581320,0.46667490,-0.12451480,0.87765770,0.41435940,-0.13667160,0.91514220,0.43371890,-0.13467840,0.90939530,0.46263180,-0.12502170,0.89351810,0.45660920,-0.02315770,0.94003800,0.44793570,-0.08245687,0.90115430,0.45481120,-0.09470691,0.89618820,0.45024440,-0.10783460,0.89241090,0.44446630,-0.11778660,0.89103400,0.43692550,5,3
-0.09808422,0.85170110,0.39522770,-0.09808422,0.85170110,0.39522770,-0.09808422,0.85170110,0.39522770,-0.08932310,0.86439520,0.41420320,-0.07034136,0.87431330,0.42481670,-0.05193462,0.89747570,0.43494070,-0.03537162,0.92432310,0.44276400,-0.07616217,0.93219600,0.44134290,-0.08393827,0.93376080,0.47694730,-0.08272933,0.91062070,0.47387540,-0.09646039,0.93478920,0.43478240,-0.10297130,0.92969360,0.47523190,-0.09868561,0.90383560,0.47135320,-0.11526150,0.92806860,0.43358240,-0.11841630,0.92102150,0.47028420,-0.11052770,0.89702020,0.46642610,-0.12102740,0.87916740,0.41431900,-0.13290560,0.91666320,0.43382900,-0.13087260,0.91115170,0.46278500,-0.12125260,0.89521130,0.45687170,-0.01945773,0.94103640,0.44806990,-0.07854599,0.90245440,0.45439540,-0.09074545,0.89741720,0.44959220,-0.10398550,0.89376050,0.44414600,-0.11407220,0.89258590,0.43718630,5,3
-0.09545561,0.85236480,0.39552440,-0.09545561,0.85236480,0.39552440,-0.09545561,0.85236480,0.39552440,-0.08649275,0.86494390,0.41448210,-0.06744125,0.87467180,0.42514650,-0.04881735,0.89758870,0.43543100,-0.03204904,0.92424260,0.44347530,-0.07256778,0.93257200,0.44167160,-0.08020118,0.93406950,0.47730970,-0.07918607,0.91093550,0.47412350,-0.09286793,0.93536980,0.43520180,-0.09922083,0.92979620,0.47561320,-0.09511326,0.90396130,0.47140150,-0.11173750,0.92883150,0.43407140,-0.11478150,0.92156270,0.47073930,-0.10708360,0.89752960,0.46669810,-0.11805330,0.88001870,0.41475630,-0.12948880,0.91759510,0.43437540,-0.12753190,0.91230890,0.46337850,-0.11802380,0.89625100,0.45760390,-0.01601272,0.94078420,0.44894800,-0.07513706,0.90284220,0.45458470,-0.08730991,0.89781200,0.44951360,-0.10066040,0.89436080,0.44437040,-0.11085520,0.89344040,0.43793970,5,3
-0.09284662,0.85303750,0.39584540,-0.09284662,0.85303750,0.39584540,-0.09284662,0.85303750,0.39584540,-0.08369331,0.86550930,0.41478310,-0.06457905,0.87505920,0.42549600,-0.04575400,0.89774200,0.43593200,-0.02879703,0.92421170,0.44418610,-0.06904647,0.93297170,0.44200500,-0.07654543,0.93440600,0.47767420,-0.07571290,0.91127930,0.47438380,-0.08934660,0.93596170,0.43562170,-0.09555353,0.92993250,0.47599040,-0.09161623,0.90412400,0.47146630,-0.10827900,0.92959590,0.43455960,-0.11122070,0.92212190,0.47119460,-0.10370190,0.89806100,0.46698550,-0.11511470,0.88086860,0.41520580,-0.12612990,0.91852010,0.43492110,-0.12424550,0.91346140,0.46396960,-0.11484060,0.89729340,0.45833470,-0.01264909,0.94059050,0.44981800,-0.07179000,0.90325330,0.45479150,-0.08394063,0.89823100,0.44946310,-0.09738981,0.89497720,0.44461420,-0.10768170,0.89430080,0.43869390,5,3
-0.09025336,0.85371740,0.39618540,-0.09025336,0.85371740,0.39618540,-0.09025336,0.85371740,0.39618540,-0.08091853,0.86608750,0.41510110,-0.06177623,0.87547300,0.42590880,-0.04279601,0.89793880,0.43653140,-0.02574802,0.92425980,0.44506920,-0.06558302,0.93338900,0.44234190,-0.07295030,0.93486870,0.47803670,-0.07229724,0.91174270,0.47470140,-0.08588142,0.93656170,0.43604180,-0.09198642,0.93030520,0.47639150,-0.08819205,0.90452650,0.47158440,-0.10487210,0.93036070,0.43504690,-0.10772250,0.92269650,0.47164980,-0.10035460,0.89863340,0.46719350,-0.11220420,0.88171700,0.41566480,-0.12281640,0.91943900,0.43546600,-0.12089450,0.91435500,0.46450760,-0.11160880,0.89816470,0.45874090,-0.00955142,0.94051080,0.45092690,-0.06849611,0.90374630,0.45507310,-0.08061846,0.89899640,0.44945200,-0.09417719,0.89578830,0.44475300,-0.10461120,0.89533910,0.43901740,5,3
-0.08725192,0.85384520,0.39689750,-0.08725192,0.85384520,0.39689750,-0.08725192,0.85384520,0.39689750,-0.07769091,0.86618860,0.41571740,-0.05848775,0.87541850,0.42655120,-0.03928816,0.89767530,0.43721930,-0.02207357,0.92384850,0.44587610,-0.06147522,0.93342700,0.44260220,-0.06867935,0.93515590,0.47831910,-0.06826860,0.91201310,0.47506260,-0.08176597,0.93680100,0.43638250,-0.08775764,0.93055190,0.47675030,-0.08418178,0.90476730,0.47180900,-0.10082940,0.93080950,0.43550160,-0.10358440,0.92316350,0.47211550,-0.09643645,0.89905520,0.46754650,-0.10879650,0.88217060,0.41635950,-0.11889280,0.92009170,0.43604960,-0.11692750,0.91513910,0.46511100,-0.10780720,0.89887030,0.45930130,-0.00578163,0.93996070,0.45185200,-0.06462463,0.90393160,0.45543940,-0.07673832,0.89944640,0.44958140,-0.09041305,0.89630170,0.44505280,-0.10098630,0.89607910,0.43951110,5,3
-0.08429139,0.85402230,0.39759340,-0.08429139,0.85402230,0.39759340,-0.08429139,0.85402230,0.39759340,-0.07451398,0.86633480,0.41632220,-0.05525587,0.87541560,0.42718430,-0.03585143,0.89746960,0.43790300,-0.01848409,0.92350110,0.44668110,-0.05745781,0.93349820,0.44287200,-0.06450228,0.93545620,0.47860890,-0.06432222,0.91230030,0.47542440,-0.07773904,0.93706580,0.43672990,-0.08362150,0.93080980,0.47711270,-0.08025479,0.90502290,0.47203830,-0.09686936,0.93127600,0.43595740,-0.09953250,0.92363830,0.47257980,-0.09259455,0.89949040,0.46789750,-0.10544340,0.88265190,0.41704080,-0.11504390,0.92075490,0.43662780,-0.11303720,0.91592920,0.46570780,-0.10407400,0.89958770,0.45985770,-0.00210600,0.93948080,0.45277580,-0.06082933,0.90414280,0.45580510,-0.07293307,0.89991090,0.44972140,-0.08671732,0.89683340,0.44535370,-0.09742065,0.89683430,0.44000530,5,3
-0.08136845,0.85423780,0.39827530,-0.08136845,0.85423780,0.39827530,-0.08136845,0.85423780,0.39827530,-0.07138283,0.86651580,0.41691670,-0.05211206,0.87546020,0.42786910,-0.03255450,0.89731930,0.43870800,-0.01510768,0.92322780,0.44769020,-0.05351912,0.93359430,0.44314810,-0.06039123,0.93582910,0.47890230,-0.06045065,0.91265930,0.47581680,-0.07378913,0.93734920,0.43708100,-0.07956685,0.93116850,0.47749050,-0.07642539,0.90536840,0.47233890,-0.09298134,0.93175450,0.43641250,-0.09551832,0.92404820,0.47302960,-0.08884010,0.89986850,0.46813840,-0.10213890,0.88315400,0.41770990,-0.11126030,0.92142410,0.43719990,-0.10904350,0.91640900,0.46623250,-0.10035690,0.90001620,0.46011450,0.00130847,0.93909400,0.45397610,-0.05711696,0.90440530,0.45621030,-0.06922191,0.90045840,0.44993830,-0.08315584,0.89741620,0.44552200,-0.09400866,0.89747040,0.44013490,5,3
-0.07784323,0.85438850,0.39936440,-0.07784323,0.85438850,0.39936440,-0.07784323,0.85438850,0.39936440,-0.06764824,0.86675180,0.41783530,-0.04836989,0.87571110,0.42876220,-0.02874249,0.89752850,0.43955910,-0.01132825,0.92344780,0.44857280,-0.04926978,0.93393160,0.44344480,-0.05583875,0.93651700,0.47923230,-0.05601212,0.91332500,0.47632350,-0.06957289,0.93773470,0.43752010,-0.07504809,0.93172680,0.47799770,-0.07200180,0.90591600,0.47284290,-0.08879456,0.93222150,0.43705040,-0.09102003,0.92456310,0.47369780,-0.08447824,0.90037510,0.46866510,-0.09832269,0.88353290,0.41876710,-0.10711190,0.92197900,0.43806240,-0.10456190,0.91691370,0.46705890,-0.09607299,0.90050050,0.46072230,0.00506023,0.93931890,0.45491830,-0.05286703,0.90493050,0.45674540,-0.06497624,0.90116890,0.45035090,-0.07905531,0.89807420,0.44596870,-0.09007502,0.89811470,0.44061510,5,3
-0.07439075,0.85457110,0.40041100,-0.07439075,0.85457110,0.40041100,-0.07439075,0.85457110,0.40041100,-0.06399237,0.86700630,0.41871960,-0.04470573,0.87597140,0.42962710,-0.02500601,0.89773840,0.44039370,-0.00761864,0.92366160,0.44944830,-0.04509795,0.93426410,0.44374220,-0.05137749,0.93717940,0.47955630,-0.05166732,0.91396850,0.47681210,-0.06542923,0.93812440,0.43795270,-0.07061989,0.93226700,0.47848980,-0.06767417,0.90644750,0.47332000,-0.08467960,0.93269920,0.43767050,-0.08661461,0.92507620,0.47434180,-0.08021396,0.90088050,0.46916710,-0.09457964,0.88393800,0.41978270,-0.10303610,0.92255030,0.43889390,-0.10017860,0.91743170,0.46785230,-0.09188619,0.90099950,0.46130810,0.00874537,0.93953170,0.45585910,-0.04870426,0.90544430,0.45726170,-0.06081900,0.90186850,0.45074080,-0.07503922,0.89873300,0.44639790,-0.08622015,0.89877490,0.44108650,5,3
-0.07099489,0.85477870,0.40142450,-0.07099489,0.85477870,0.40142450,-0.07099489,0.85477870,0.40142450,-0.06039781,0.86727500,0.41957680,-0.04100797,0.87621720,0.43031900,-0.02112896,0.89790450,0.44091550,-0.00353818,0.92375310,0.44978840,-0.04098675,0.93459170,0.44403930,-0.04699839,0.93774270,0.47987950,-0.04739258,0.91452230,0.47722960,-0.06134216,0.93851640,0.43837930,-0.06624299,0.93276770,0.47896800,-0.06343993,0.90694110,0.47375480,-0.08062035,0.93318450,0.43827570,-0.08226203,0.92548600,0.47494550,-0.07601716,0.90128450,0.46960970,-0.09089318,0.88436340,0.42076530,-0.09901634,0.92313390,0.43970010,-0.09581362,0.91782850,0.46858870,-0.08775820,0.90136090,0.46184070,0.01298565,0.93952050,0.45604100,-0.04459640,0.90592720,0.45768560,-0.05677030,0.90253370,0.45108600,-0.07107682,0.89926980,0.44677640,-0.08240313,0.89923540,0.44152390,5,3
-0.06827334,0.85506830,0.40268390,-0.06827334,0.85506830,0.40268390,-0.06827334,0.85506830,0.40268390,-0.05748959,0.86761990,0.42068760,-0.03801632,0.87657210,0.43126930,-0.01801288,0.89821460,0.44172220,-0.00029624,0.92402460,0.45045600,-0.03771386,0.93499860,0.44468260,-0.04342106,0.93830840,0.48055820,-0.04386201,0.91508250,0.47796550,-0.05810921,0.93894490,0.43918370,-0.06265726,0.93321960,0.47981680,-0.05993421,0.90740290,0.47451280,-0.07739949,0.93365670,0.43927240,-0.07868779,0.92582270,0.47592760,-0.07254307,0.90164180,0.47038670,-0.08793493,0.88478290,0.42206770,-0.09580483,0.92365440,0.44090200,-0.09222065,0.91812710,0.46970400,-0.08436526,0.90166210,0.46271800,0.01633738,0.93972830,0.45657630,-0.04123449,0.90645630,0.45841180,-0.05346478,0.90322330,0.45174300,-0.06785767,0.89981180,0.44748410,-0.07933659,0.89969430,0.44230210,5,3
-0.06553441,0.85536820,0.40389960,-0.06553441,0.85536820,0.40389960,-0.06553441,0.85536820,0.40389960,-0.05456667,0.86796830,0.42175760,-0.03501645,0.87692310,0.43219420,-0.01489108,0.89851370,0.44251960,0.00294478,0.92428170,0.45113440,-0.03441332,0.93539670,0.44529440,-0.03982625,0.93886640,0.48120050,-0.04032205,0.91563520,0.47866540,-0.05484384,0.93937360,0.43995020,-0.05905623,0.93366950,0.48062240,-0.05642137,0.90786240,0.47522800,-0.07414646,0.93413690,0.44022390,-0.07510060,0.92617270,0.47686120,-0.06906587,0.90201060,0.47112080,-0.08495428,0.88521780,0.42331950,-0.09256355,0.92419060,0.44205130,-0.08862094,0.91844610,0.47076390,-0.08096978,0.90198420,0.46354780,0.01968125,0.93991970,0.45714120,-0.03786030,0.90697700,0.45910430,-0.05014588,0.90390610,0.45236430,-0.06462708,0.90036370,0.44815540,-0.07625788,0.90017710,0.44304170,5,3
