RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.00829153,0.89123120,0.46148430,0.00829153,0.89123120,0.46148430,0.00829153,0.89123120,0.46148430,-0.00423124,0.91205330,0.46117200,-0.01975645,0.93001290,0.46194470,-0.03512048,0.95672400,0.45794140,-0.02116986,0.98362490,0.44676900,-0.01033041,0.97953040,0.49028350,-0.01160379,1.01482800,0.49843100,-0.01280192,1.03776800,0.50187690,0.01060916,0.97928450,0.48610280,0.00947015,1.02028200,0.48506260,0.00899210,1.04659900,0.48439120,0.02564313,0.97520350,0.47375750,0.01214915,0.99373850,0.44437390,0.00164114,0.97062770,0.44367960,0.02669946,0.92637800,0.45437650,0.03789446,0.96836440,0.45829580,0.02264909,0.98348860,0.43827410,0.01113812,0.96898480,0.43244570,-0.00287591,0.99494300,0.43723210,-0.01157479,1.05855600,0.50679750,0.01160696,1.07000400,0.48838520,0.00255490,0.95307900,0.45898160,0.01294492,0.95279820,0.44567890,1,1
0.00847903,0.89133320,0.46178100,0.00847903,0.89133320,0.46178100,0.00847903,0.89133320,0.46178100,-0.00406215,0.91214020,0.46126260,-0.01966878,0.93003520,0.46187490,-0.03507592,0.95671930,0.45785680,-0.02102302,0.98363510,0.44684980,-0.01061215,0.97967210,0.49014800,-0.01197895,1.01488600,0.49863770,-0.01327920,1.03781000,0.50214360,0.01037983,0.97944150,0.48623810,0.00911258,1.02043100,0.48503190,0.00855224,1.04674300,0.48425730,0.02557627,0.97535150,0.47409640,0.01240969,0.99378970,0.44450400,0.00197295,0.97065070,0.44368510,0.02693740,0.92648610,0.45483550,0.03803358,0.96849360,0.45880850,0.02298734,0.98348590,0.43853850,0.01157402,0.96896240,0.43256900,-0.00267715,0.99500230,0.43747220,-0.01219280,1.05860000,0.50709100,0.01103249,1.07017100,0.48819960,0.00276720,0.95315440,0.45905380,0.01322401,0.95279450,0.44584540,1,1
0.00856146,0.89152350,0.46196840,0.00856146,0.89152350,0.46196840,0.00856146,0.89152350,0.46196840,-0.00406872,0.91227460,0.46137600,-0.01981735,0.93004520,0.46197510,-0.03538943,0.95665690,0.45811640,-0.02137814,0.98366120,0.44727400,-0.01113529,0.97974910,0.49027370,-0.01266952,1.01484600,0.49920650,-0.01412684,1.03774100,0.50284370,0.00988591,0.97961620,0.48651940,0.00837739,1.02059900,0.48538440,0.00766215,1.04691000,0.48465760,0.02519005,0.97560580,0.47448690,0.01212989,0.99399450,0.44481670,0.00184175,0.97079400,0.44386840,0.02691294,0.92676520,0.45519200,0.03779089,0.96881810,0.45928550,0.02278687,0.98369260,0.43889770,0.01149211,0.96912380,0.43281390,-0.00305391,0.99513890,0.43798920,-0.01321836,1.05851900,0.50787470,0.00996795,1.07034400,0.48866570,0.00266198,0.95331070,0.45925050,0.01312007,0.95294580,0.44608070,1,1
0.00864609,0.89170600,0.46214490,0.00864609,0.89170600,0.46214490,0.00864609,0.89170600,0.46214490,-0.00406375,0.91240590,0.46147090,-0.01995013,0.93005400,0.46205310,-0.03568253,0.95659340,0.45834940,-0.02169573,0.98367320,0.44766520,-0.01162709,0.97982890,0.49036310,-0.01331913,1.01480800,0.49972000,-0.01492377,1.03767300,0.50347940,0.00942265,0.97978450,0.48677000,0.00770424,1.02076300,0.48575990,0.00685422,1.04707100,0.48511530,0.02483488,0.97584580,0.47485240,0.01189782,0.99418560,0.44509810,0.00175230,0.97092770,0.44402830,0.02690503,0.92702730,0.45553540,0.03757954,0.96912120,0.45974320,0.02263194,0.98388160,0.43923140,0.01145474,0.96926800,0.43303880,-0.00337657,0.99523430,0.43847420,-0.01418286,1.05843800,0.50858890,0.00900198,1.07050400,0.48922050,0.00258915,0.95346310,0.45943070,0.01305589,0.95308580,0.44630370,1,1
0.00873246,0.89188240,0.46231280,0.00873246,0.89188240,0.46231280,0.00873246,0.89188240,0.46231280,-0.00404955,0.91253470,0.46155100,-0.01998251,0.93014510,0.46198360,-0.03574859,0.95663830,0.45809680,-0.02179200,0.98378420,0.44754160,-0.01209401,0.97991070,0.49042310,-0.01407867,1.01491400,0.49962830,-0.01588899,1.03779600,0.50318990,0.00898339,0.97994770,0.48699600,0.00702907,1.02088200,0.48506330,0.00602758,1.04716400,0.48382820,0.02450372,0.97607440,0.47519770,0.01164795,0.99425320,0.44530970,0.00157197,0.97097730,0.44399960,0.02690974,0.92727630,0.45586840,0.03739219,0.96940730,0.46018530,0.02252743,0.98409150,0.43955900,0.01145552,0.96945670,0.43322910,-0.00322368,0.99512540,0.43857940,-0.01537582,1.05862000,0.50808200,0.00800739,1.07069500,0.48742620,0.00238847,0.95351640,0.45940730,0.01296061,0.95321830,0.44643650,1,1
0.00858038,0.89173730,0.46167350,0.00858038,0.89173730,0.46167350,0.00858038,0.89173730,0.46167350,-0.00425612,0.91236290,0.46113310,-0.02022128,0.92993910,0.46173500,-0.03603651,0.95643710,0.45808830,-0.02216095,0.98373380,0.44781910,-0.01247081,0.97940810,0.49071810,-0.01461693,1.01433500,0.50017730,-0.01656647,1.03719300,0.50381090,0.00860557,0.97953700,0.48728700,0.00647833,1.02044600,0.48503260,0.00536581,1.04671300,0.48359070,0.02413315,0.97582960,0.47544500,0.01114301,0.99416590,0.44571170,0.00110971,0.97089550,0.44402990,0.02666286,0.92724530,0.45560000,0.03703545,0.96935570,0.46036020,0.02210373,0.98418520,0.43988670,0.01107125,0.96960340,0.43336860,-0.00342756,0.99494330,0.43903660,-0.01620555,1.05801800,0.50871570,0.00725112,1.07028000,0.48700020,0.00201707,0.95329110,0.45926830,0.01257649,0.95318260,0.44634850,1,1
0.00844958,0.89161520,0.46109630,0.00844958,0.89161520,0.46109630,0.00844958,0.89161520,0.46109630,-0.00443850,0.91221270,0.46074540,-0.02044052,0.92974970,0.46149420,-0.03630818,0.95624570,0.45806770,-0.02249901,0.98367690,0.44807080,-0.01284066,0.97895010,0.49096680,-0.01514213,1.01380000,0.50067000,-0.01722484,1.03663600,0.50436930,0.00823749,0.97916490,0.48755070,0.00595866,1.02005100,0.48504270,0.00474881,1.04630400,0.48343780,0.02378179,0.97561030,0.47568390,0.01068859,0.99407940,0.44607830,0.00070282,0.97081600,0.44405200,0.02644636,0.92722510,0.45537550,0.03670984,0.96931390,0.46054610,0.02173063,0.98426850,0.44019870,0.01074238,0.96973480,0.43350070,-0.00360669,0.99475380,0.43946240,-0.01701139,1.05746100,0.50928370,0.00654739,1.06989800,0.48670070,0.00169054,0.95308960,0.45914330,0.01223960,0.95315090,0.44627240,1,1
0.00833621,0.89151260,0.46056150,0.00833621,0.89151260,0.46056150,0.00833621,0.89151260,0.46056150,-0.00460162,0.91208100,0.46037570,-0.02057293,0.92964480,0.46115230,-0.03638065,0.95617830,0.45773810,-0.02265183,0.98374940,0.44801940,-0.01320471,0.97852870,0.49117370,-0.01560262,1.01334200,0.50098350,-0.01772621,1.03615500,0.50479910,0.00787716,0.97882470,0.48778680,0.00560840,1.01971700,0.48535700,0.00440501,1.04597300,0.48380240,0.02344507,0.97541270,0.47590910,0.01039509,0.99427210,0.44653120,0.00050376,0.97099660,0.44420250,0.02625331,0.92721520,0.45517810,0.03640756,0.96928150,0.46073290,0.02149652,0.98447020,0.44050920,0.01052525,0.96992800,0.43380170,-0.00381159,0.99504960,0.43958890,-0.01756043,1.05695900,0.50980350,0.00620891,1.06956000,0.48711080,0.00162209,0.95318750,0.45918700,0.01207036,0.95332070,0.44653730,1,1
0.00846945,0.89184530,0.45904870,0.00846945,0.89184530,0.45904870,0.00846945,0.89184530,0.45904870,-0.00453408,0.91237310,0.45901340,-0.02048936,0.92994750,0.45987460,-0.03631034,0.95647490,0.45647470,-0.02278336,0.98411720,0.44667540,-0.01305071,0.97875420,0.48997860,-0.01546394,1.01359600,0.49968290,-0.01760817,1.03641200,0.50346930,0.00799675,0.97912100,0.48639060,0.00566490,1.01999600,0.48375650,0.00442106,1.04624300,0.48206790,0.02346096,0.97577310,0.47436010,0.01011266,0.99476830,0.44520470,0.00030526,0.97145910,0.44285910,0.02622204,0.92761100,0.45354070,0.03629685,0.96970200,0.45905280,0.02121718,0.98495100,0.43900020,0.01020410,0.97034700,0.43249890,-0.00407545,0.99555020,0.43813010,-0.01745593,1.05723200,0.50840660,0.00623855,1.06985000,0.48522490,0.00172384,0.95368090,0.45785480,0.01194319,0.95380430,0.44529350,1,1
0.00859227,0.89215120,0.45766130,0.00859227,0.89215120,0.45766130,0.00859227,0.89215120,0.45766130,-0.00447241,0.91263990,0.45776070,-0.02041655,0.93022070,0.45869430,-0.03625260,0.95674070,0.45530670,-0.02290683,0.98445090,0.44545110,-0.01293740,0.97895070,0.48889020,-0.01537672,1.01381500,0.49850570,-0.01754731,1.03663400,0.50226470,0.00807925,0.97938570,0.48513320,0.00568064,1.02024400,0.48229660,0.00439394,1.04647900,0.48047580,0.02345587,0.97610160,0.47297360,0.00985190,0.99522630,0.44402180,0.00012649,0.97188650,0.44164000,0.02619289,0.92797790,0.45206240,0.03618599,0.97009100,0.45755450,0.02096789,0.98540020,0.43765300,0.00992435,0.97074010,0.43133200,-0.00430521,0.99599180,0.43681910,-0.01741714,1.05746800,0.50713910,0.00621535,1.07010500,0.48348670,0.00181761,0.95413730,0.45664190,0.01183393,0.95425500,0.44417660,1,1
