RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.01289603,0.88834570,0.47394070,0.01289603,0.88834570,0.47394070,0.01289603,0.88834570,0.47394070,0.01028295,0.91133330,0.46681690,0.00726145,0.93298830,0.45777090,0.01109207,0.96177430,0.44705000,0.03328464,0.98437330,0.45270480,0.00107418,0.98074020,0.48905410,-0.00109160,1.01644800,0.49397750,-0.00169681,1.03945100,0.49641720,0.01717173,0.97501220,0.50172720,0.02502271,1.01496500,0.50526730,0.03022273,1.04055700,0.50772650,0.03470151,0.96614960,0.50422730,0.05221624,0.98968940,0.48147590,0.04670614,0.97196420,0.46428350,0.03802595,0.91691640,0.48676900,0.05213918,0.95497460,0.50230960,0.06147425,0.96977470,0.47887210,0.05454216,0.96000590,0.46369010,0.05358681,0.99273000,0.46092150,-0.00178157,1.06031900,0.50076500,0.03335252,1.06300200,0.51498160,0.03330218,0.95474730,0.47220480,0.04003115,0.94526730,0.46673260,1,0
0.01254395,0.88821490,0.47403230,0.01254395,0.88821490,0.47403230,0.01254395,0.88821490,0.47403230,0.01000702,0.91120100,0.46687610,0.00711809,0.93286120,0.45779930,0.01111455,0.96162320,0.44707410,0.03324450,0.98429880,0.45266670,0.00093983,0.98065880,0.48901260,-0.00119099,1.01636500,0.49396410,-0.00177332,1.03936600,0.49642560,0.01699630,0.97490260,0.50172500,0.02510809,1.01480700,0.50523090,0.03047501,1.04036600,0.50766830,0.03449713,0.96599600,0.50427100,0.05208173,0.98946360,0.48149900,0.04661628,0.97171290,0.46431870,0.03772456,0.91673340,0.48687760,0.05190856,0.95477190,0.50240180,0.06133568,0.96955550,0.47899080,0.05447520,0.95982620,0.46375090,0.05350588,0.99279570,0.46084030,-0.00182759,1.06023500,0.50076710,0.03377209,1.06281300,0.51484500,0.03318125,0.95454960,0.47230330,0.03994130,0.94509820,0.46673440,1,0
0.01281406,0.88769900,0.47429620,0.01281406,0.88769900,0.47429620,0.01281406,0.88769900,0.47429620,0.01033195,0.91069130,0.46714090,0.00755540,0.93236640,0.45806450,0.01168947,0.96112590,0.44738490,0.03372602,0.98389110,0.45298220,0.00128700,0.98015270,0.48927550,-0.00086377,1.01584600,0.49431150,-0.00145935,1.03884000,0.49683500,0.01729386,0.97436950,0.50203810,0.02559610,1.01423100,0.50558320,0.03108460,1.03976200,0.50804600,0.03477408,0.96543800,0.50463780,0.05243082,0.98889210,0.48190780,0.04704998,0.97114040,0.46470200,0.03799130,0.91617790,0.48723540,0.05217622,0.95419100,0.50282120,0.06170489,0.96900490,0.47947050,0.05494515,0.95932940,0.46415160,0.05392657,0.99253510,0.46115210,-0.00151897,1.05970200,0.50120870,0.03450187,1.06220200,0.51518590,0.03359259,0.95399960,0.47269750,0.04040243,0.94458970,0.46703260,1,0
0.01304168,0.88721140,0.47455350,0.01304168,0.88721140,0.47455350,0.01304168,0.88721140,0.47455350,0.01061406,0.91020970,0.46739860,0.00794715,0.93189860,0.45832250,0.01221547,0.96065440,0.44768600,0.03416504,0.98350330,0.45328440,0.00159902,0.97967610,0.48952930,-0.00057047,1.01535600,0.49465030,-0.00117981,1.03834200,0.49723770,0.01755833,0.97386600,0.50233920,0.02604500,1.01368500,0.50592040,0.03165124,1.03918800,0.50840670,0.03501785,0.96490890,0.50498960,0.05274649,0.98834720,0.48229930,0.04744278,0.97059670,0.46506820,0.03821912,0.91565030,0.48758010,0.05240960,0.95363790,0.50322270,0.06203560,0.96847870,0.47992910,0.05537147,0.95885630,0.46453500,0.05430749,0.99228920,0.46144620,-0.00124505,1.05919800,0.50164600,0.03518582,1.06162200,0.51550950,0.03396104,0.95347910,0.47307220,0.04081897,0.94410710,0.46731590,1,0
0.01323580,0.88674620,0.47480580,0.01323580,0.88674620,0.47480580,0.01323580,0.88674620,0.47480580,0.01085339,0.90983770,0.46762360,0.00820181,0.93161160,0.45851080,0.01250486,0.96048480,0.44786260,0.03466866,0.98324740,0.45367050,0.00184007,0.97957520,0.48983340,-0.00013400,1.01541900,0.49485810,-0.00058202,1.03851100,0.49732970,0.01781404,0.97371580,0.50273700,0.02664942,1.01362700,0.50623690,0.03247954,1.03918700,0.50867190,0.03531917,0.96469840,0.50544600,0.05327189,0.98813130,0.48269450,0.04791705,0.97039810,0.46532030,0.03851213,0.91525290,0.48796450,0.05276590,0.95335970,0.50372000,0.06248645,0.96811990,0.48027470,0.05574161,0.95846550,0.46484320,0.05494561,0.99168990,0.46211400,-0.00048593,1.05947600,0.50160810,0.03624506,1.06171900,0.51565100,0.03428115,0.95325630,0.47326820,0.04104775,0.94374130,0.46761360,1,0
0.01320586,0.88653850,0.47494570,0.01320586,0.88653850,0.47494570,0.01320586,0.88653850,0.47494570,0.01083638,0.90965040,0.46782480,0.00818321,0.93144690,0.45876680,0.01246527,0.96036900,0.44824350,0.03466520,0.98301860,0.45434750,0.00161919,0.97930540,0.49020880,-0.00027729,1.01515300,0.49523770,-0.00064407,1.03825000,0.49766920,0.01752830,0.97342280,0.50318180,0.02655523,1.01328600,0.50673680,0.03250739,1.03881500,0.50920780,0.03502864,0.96441670,0.50595870,0.05313046,0.98787340,0.48335020,0.04784333,0.97025750,0.46583640,0.03837580,0.91503150,0.48833600,0.05249782,0.95310370,0.50429270,0.06230037,0.96783090,0.48086090,0.05557491,0.95821210,0.46539860,0.05493917,0.99115930,0.46308920,-0.00046683,1.05922800,0.50188150,0.03640547,1.06134400,0.51612140,0.03413396,0.95309710,0.47361590,0.04083174,0.94351770,0.46806320,1,0
0.01317143,0.88632500,0.47509140,0.01317143,0.88632500,0.47509140,0.01317143,0.88632500,0.47509140,0.01081803,0.90945560,0.46802620,0.00816947,0.93127310,0.45901760,0.01243927,0.96023890,0.44861010,0.03467219,0.98278050,0.45498780,0.00142130,0.97903630,0.49056630,-0.00039851,1.01488700,0.49560150,-0.00068682,1.03798900,0.49799840,0.01726807,0.97312960,0.50360460,0.02648884,1.01294400,0.50720900,0.03256457,1.03844100,0.50971200,0.03476191,0.96413110,0.50644610,0.05300665,0.98760410,0.48396990,0.04778224,0.97009920,0.46632650,0.03824551,0.91480090,0.48869600,0.05224978,0.95283850,0.50483790,0.06213138,0.96753160,0.48141770,0.05542452,0.95794840,0.46592540,0.05493839,0.99063620,0.46400390,-0.00043033,1.05897800,0.50214990,0.03659739,1.06096600,0.51656010,0.03400207,0.95292540,0.47394980,0.04063339,0.94328450,0.46849010,1,0
0.01313292,0.88610690,0.47524200,0.01313292,0.88610690,0.47524200,0.01313292,0.88610690,0.47524200,0.01079806,0.90925500,0.46822800,0.00813341,0.93108880,0.45926390,0.01234381,0.96010900,0.44898440,0.03461123,0.98253430,0.45564540,0.00124075,0.97876750,0.49091040,-0.00056910,1.01460900,0.49601190,-0.00085311,1.03770500,0.49846600,0.01702709,0.97283660,0.50401070,0.02615398,1.01265500,0.50779650,0.03216854,1.03815500,0.51041660,0.03451305,0.96384250,0.50691410,0.05291180,0.98720660,0.48445000,0.04763618,0.96974550,0.46677840,0.03811929,0.91456320,0.48904760,0.05201666,0.95256650,0.50536170,0.06197361,0.96717650,0.48192160,0.05522446,0.95762980,0.46642500,0.05486600,0.99014060,0.46489800,-0.00060757,1.05868200,0.50268170,0.03612310,1.06066500,0.51735910,0.03375545,0.95262940,0.47434880,0.04034909,0.94304200,0.46893640,1,0
0.01273439,0.88608210,0.47560980,0.01273439,0.88608210,0.47560980,0.01273439,0.88608210,0.47560980,0.01039716,0.90923240,0.46860430,0.00769423,0.93106370,0.45964530,0.01182196,0.96011420,0.44941800,0.03413625,0.98244320,0.45624360,0.00074126,0.97872490,0.49130650,-0.00104577,1.01456800,0.49640340,-0.00131825,1.03766400,0.49886400,0.01650453,0.97279790,0.50443640,0.02556756,1.01262600,0.50828250,0.03154075,1.03813100,0.51094160,0.03399100,0.96381510,0.50737120,0.05247377,0.98703530,0.48482700,0.04710936,0.96958390,0.46717260,0.03767087,0.91454880,0.48948400,0.05150611,0.95255290,0.50584890,0.06147094,0.96703970,0.48233580,0.05464511,0.95749810,0.46686970,0.05440101,0.98982940,0.46565140,-0.00106947,1.05863800,0.50309290,0.03545163,1.06064200,0.51790700,0.03315571,0.95253450,0.47475970,0.03969923,0.94298500,0.46939490,1,0
0.01234330,0.88602860,0.47598510,0.01234330,0.88602860,0.47598510,0.01234330,0.88602860,0.47598510,0.01000863,0.90918240,0.46898970,0.00727495,0.93101250,0.46003740,0.01133058,0.96009250,0.44986520,0.03368951,0.98232450,0.45685930,0.00025707,0.97865360,0.49171610,-0.00150353,1.01449900,0.49681210,-0.00176102,1.03759300,0.49928030,0.01599284,0.97272720,0.50487920,0.02501027,1.01255900,0.50878590,0.03095378,1.03806700,0.51148420,0.03347776,0.96375290,0.50784930,0.05205032,0.98683640,0.48523860,0.04660696,0.96939980,0.46759360,0.03722969,0.91450100,0.48993750,0.05100323,0.95250230,0.50636080,0.06098350,0.96687270,0.48278280,0.05408945,0.95734020,0.46734150,0.05395955,0.98949130,0.46642400,-0.00150511,1.05856500,0.50352100,0.03483267,1.06057800,0.51846810,0.03257937,0.95241450,0.47518790,0.03907415,0.94289960,0.46987110,1,0
