RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.01436819,0.79343200,0.39858250,0.01436819,0.79343200,0.39858250,0.01436819,0.79343200,0.39858250,0.00838919,0.81697320,0.39784560,0.00079131,0.83932800,0.39525550,-0.00119124,0.86994790,0.39035110,0.02108367,0.89283500,0.39515830,0.00071101,0.87879940,0.43729670,-0.00162325,0.91304660,0.44894220,-0.00222472,0.93565760,0.45422530,0.02001564,0.87261170,0.44400840,0.02694416,0.91104000,0.45659580,0.03159893,0.93562410,0.46479470,0.03820703,0.86566400,0.44002280,0.04529894,0.89126330,0.41388070,0.03622866,0.87279330,0.39899460,0.04010798,0.82175480,0.41122990,0.05529010,0.85737000,0.43134460,0.05429138,0.87510860,0.40796990,0.04570812,0.86011250,0.39912240,0.04365287,0.89637490,0.40079950,-0.00174373,0.95598400,0.46089340,0.03597243,0.95705000,0.47440510,0.02775746,0.85418430,0.41017000,0.03609780,0.84199330,0.40356310,1,4
0.01487811,0.79510290,0.39947750,0.01487811,0.79510290,0.39947750,0.01487811,0.79510290,0.39947750,0.00880721,0.81861840,0.39867270,0.00120314,0.84096290,0.39601350,-0.00077270,0.87154580,0.39088060,0.02143019,0.89457860,0.39531010,0.00130215,0.88063210,0.43786190,-0.00107070,0.91495570,0.44927220,-0.00172032,0.93760300,0.45439130,0.02069528,0.87454970,0.44441290,0.02758377,0.91313160,0.45654440,0.03221443,0.93781630,0.46444930,0.03887072,0.86764490,0.44028270,0.04564463,0.89334810,0.41415810,0.03661518,0.87485080,0.39928110,0.04064116,0.82358570,0.41171150,0.05589571,0.85936420,0.43147860,0.05474354,0.87726180,0.40823250,0.04603814,0.86233550,0.39938620,0.04400649,0.89843470,0.40071060,-0.00125441,0.95799640,0.46085290,0.03659242,0.95935730,0.47379670,0.02830823,0.85611970,0.41037560,0.03643618,0.84422250,0.40387040,1,4
0.01580978,0.79662040,0.40034070,0.01580978,0.79662040,0.40034070,0.01580978,0.79662040,0.40034070,0.00958176,0.82009440,0.39952700,0.00191224,0.84241390,0.39684550,-0.00013375,0.87297280,0.39159830,0.02190364,0.89619570,0.39585860,0.00185706,0.88212180,0.43865190,-0.00071585,0.91646910,0.44994680,-0.00150906,0.93912820,0.45499320,0.02132019,0.87617670,0.44512080,0.02799171,0.91487770,0.45699130,0.03248427,0.93964110,0.46472800,0.03952062,0.86938380,0.44091570,0.04602595,0.89526950,0.41490330,0.03715685,0.87675720,0.39994870,0.04144379,0.82529050,0.41240700,0.05655757,0.86119990,0.43204440,0.05531399,0.87931390,0.40897130,0.04657897,0.86445630,0.40003910,0.04444513,0.90039080,0.40115060,-0.00115621,0.95955930,0.46134170,0.03675404,0.96126850,0.47392450,0.02901636,0.85785910,0.41088220,0.03701647,0.84630530,0.40445350,1,4
0.01669596,0.79811710,0.40119800,0.01669596,0.79811710,0.40119800,0.01669596,0.79811710,0.40119800,0.01032287,0.82155160,0.40036910,0.00251263,0.84382130,0.39767970,0.00027439,0.87435480,0.39236350,0.02223975,0.89767160,0.39648040,0.00240300,0.88360520,0.43941340,-0.00017240,0.91792290,0.45079750,-0.00096815,0.94058550,0.45582720,0.02193094,0.87778970,0.44580420,0.02853378,0.91650880,0.45765370,0.03298316,0.94128450,0.46537580,0.04015262,0.87109850,0.44152850,0.04651622,0.89725950,0.41575760,0.03764928,0.87879260,0.40074560,0.04221145,0.82696380,0.41309350,0.05719792,0.86300060,0.43259460,0.05587533,0.88129650,0.40966980,0.04706821,0.86648700,0.40072840,0.04476661,0.90210780,0.40163640,-0.00060228,0.96102810,0.46213810,0.03723188,0.96294120,0.47451320,0.02961809,0.85980650,0.41160720,0.03753148,0.84833220,0.40518250,1,4
0.01746218,0.79948730,0.40248080,0.01746218,0.79948730,0.40248080,0.01746218,0.79948730,0.40248080,0.01103553,0.82289790,0.40142060,0.00319800,0.84512800,0.39849380,0.00094460,0.87561340,0.39291440,0.02285169,0.89897820,0.39706920,0.00258366,0.88521240,0.43993420,-0.00004629,0.91957490,0.45116970,-0.00084601,0.94227030,0.45604850,0.02206559,0.87949630,0.44655120,0.02856041,0.91827830,0.45825400,0.03293949,0.94309500,0.46588410,0.04034441,0.87282350,0.44249660,0.04700556,0.89908370,0.41690230,0.03829375,0.88060440,0.40181500,0.04278807,0.82848860,0.41440530,0.05749464,0.86470680,0.43378320,0.05646710,0.88304400,0.41087630,0.04767020,0.86825600,0.40188950,0.04530409,0.90360530,0.40237980,-0.00049417,0.96275610,0.46221850,0.03710966,0.96481660,0.47490270,0.03015989,0.86161780,0.41259910,0.03804035,0.85015150,0.40634780,1,4
0.01820675,0.80085310,0.40372500,0.01820675,0.80085310,0.40372500,0.01820675,0.80085310,0.40372500,0.01172866,0.82423860,0.40244730,0.00386391,0.84642870,0.39929820,0.00159303,0.87686590,0.39346830,0.02344464,0.90027900,0.39764310,0.00279455,0.88679810,0.44045130,0.00012361,0.92120340,0.45154540,-0.00067406,0.94392910,0.45628190,0.02223528,0.88118000,0.44727030,0.02863792,0.92002110,0.45882710,0.03295698,0.94487630,0.46636550,0.04056450,0.87452740,0.44341480,0.04748795,0.90088440,0.41799040,0.03891579,0.88239230,0.40283900,0.04335716,0.83000390,0.41565640,0.05780779,0.86639540,0.43490170,0.05704624,0.88476880,0.41201350,0.04825201,0.87000100,0.40299100,0.04582668,0.90509370,0.40308250,-0.00032912,0.96445450,0.46231900,0.03706070,0.96665930,0.47526570,0.03069348,0.86340430,0.41355340,0.03853488,0.85194580,0.40746020,1,4
0.01893401,0.80221470,0.40493830,0.01893401,0.80221470,0.40493830,0.01893401,0.80221470,0.40493830,0.01240616,0.82557420,0.40345370,0.00451735,0.84772480,0.40009370,0.00223930,0.87811040,0.39400360,0.02399485,0.90161630,0.39815910,0.00302872,0.88836590,0.44096490,0.00017103,0.92283440,0.45181350,-0.00070864,0.94560620,0.45630770,0.02243212,0.88284440,0.44796680,0.02872634,0.92182690,0.45909930,0.03297516,0.94677460,0.46636750,0.04080656,0.87621360,0.44429350,0.04793257,0.90271430,0.41907520,0.03955340,0.88411260,0.40395000,0.04392016,0.83151080,0.41685920,0.05813370,0.86806890,0.43596460,0.05760778,0.88651320,0.41312680,0.04888498,0.87177780,0.40398280,0.04626484,0.90688010,0.40364210,-0.00044882,0.96619690,0.46212280,0.03701111,0.96870060,0.47494160,0.03135271,0.86520680,0.41482520,0.03914241,0.85372950,0.40842470,1,4
0.01923383,0.80504820,0.40538420,0.01923383,0.80504820,0.40538420,0.01923383,0.80504820,0.40538420,0.01283032,0.82843560,0.40380070,0.00507993,0.85061870,0.40033500,0.00301555,0.88099320,0.39411430,0.02485930,0.90440980,0.39831130,0.00354563,0.89137140,0.44109280,0.00078437,0.92587750,0.45184660,0.00000707,0.94868150,0.45619370,0.02288046,0.88577280,0.44822200,0.02938803,0.92479830,0.45907780,0.03377278,0.94977310,0.46616980,0.04124292,0.87904170,0.44467310,0.04872832,0.90574840,0.41977820,0.04037680,0.88716480,0.40461540,0.04429485,0.83425210,0.41737410,0.05857771,0.87078990,0.43646660,0.05839387,0.88941010,0.41376670,0.04961359,0.87481630,0.40445210,0.04705906,0.90994490,0.40381180,0.00035160,0.96930930,0.46187100,0.03792734,0.97177270,0.47449530,0.03207313,0.86836060,0.41558800,0.03971363,0.85683300,0.40880860,1,4
0.01955754,0.80775960,0.40587300,0.01955754,0.80775960,0.40587300,0.01955754,0.80775960,0.40587300,0.01326368,0.83116970,0.40418890,0.00563671,0.85337880,0.40061690,0.00376415,0.88373800,0.39426280,0.02568366,0.90707850,0.39848850,0.00405041,0.89425090,0.44125260,0.00137280,0.92879430,0.45190690,0.00068851,0.95162900,0.45610620,0.02332226,0.88858950,0.44850160,0.03002540,0.92765790,0.45908030,0.03453475,0.95266010,0.46599580,0.04167430,0.88176940,0.44507070,0.04948593,0.90866660,0.42048320,0.04116529,0.89009220,0.40529230,0.04467957,0.83688940,0.41791520,0.05901717,0.87341970,0.43698120,0.05915121,0.89219780,0.41441130,0.05032105,0.87773480,0.40494120,0.04781251,0.91288620,0.40399380,0.00111015,0.97229300,0.46164530,0.03879972,0.97473040,0.47407460,0.03277238,0.87138690,0.41636570,0.04027822,0.85981340,0.40922500,1,4
0.01989982,0.81037380,0.40639570,0.01989982,0.81037380,0.40639570,0.01989982,0.81037380,0.40639570,0.01370414,0.83380260,0.40460970,0.00621181,0.85603920,0.40092610,0.00448260,0.88641010,0.39458690,0.02636814,0.90976540,0.39890570,0.00454580,0.89702990,0.44143710,0.00203746,0.93153270,0.45226280,0.00148948,0.95436070,0.45651850,0.02375910,0.89131700,0.44880020,0.03068684,0.93048050,0.45887060,0.03533956,0.95554400,0.46546130,0.04210196,0.88441660,0.44548260,0.05025677,0.91147160,0.42118110,0.04192960,0.89305480,0.40580300,0.04507217,0.83944390,0.41847720,0.05945327,0.87597660,0.43750570,0.05981804,0.89470680,0.41489860,0.05090114,0.88036220,0.40533040,0.04837883,0.91603990,0.40437220,0.00203753,0.97501670,0.46207640,0.03973092,0.97770810,0.47320870,0.03334907,0.87432220,0.41668460,0.04066112,0.86252270,0.40948750,1,4
