RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.04317015,1.01623400,0.41471170,0.04317015,1.01623400,0.41471170,0.04317015,1.01623400,0.41471170,0.04740053,1.03908900,0.42239840,0.04970513,1.06204500,0.42874790,0.05968033,1.09095100,0.43545710,0.08152541,1.11470600,0.43960850,0.08754489,1.08164200,0.46819170,0.10829090,1.11169500,0.46788990,0.10541250,1.12773300,0.45109420,0.10327920,1.06985300,0.45945780,0.11291750,1.10803900,0.44691560,0.09477574,1.09887000,0.42987260,0.11193130,1.06170900,0.44333860,0.11380770,1.09578200,0.42767480,0.09447275,1.08401300,0.41574490,0.08034193,1.03244000,0.41255650,0.11662320,1.05435500,0.42419770,0.11479640,1.08177300,0.41324910,0.09745555,1.07393500,0.40873880,0.09008002,1.13640800,0.44383750,0.10049930,1.13925000,0.43354570,0.08475652,1.07797000,0.43634560,0.09170260,1.06366200,0.42711450,0.09691796,1.05613500,0.42013420,12,5
0.04212286,1.01387500,0.41327880,0.04212286,1.01387500,0.41327880,0.04212286,1.01387500,0.41327880,0.04635353,1.03671000,0.42102480,0.04856759,1.05963500,0.42751860,0.05844336,1.08851200,0.43448950,0.08028737,1.11221300,0.43894540,0.08614228,1.07908700,0.46728930,0.10702440,1.10904400,0.46765590,0.10464130,1.12529800,0.45099000,0.10192870,1.06724200,0.45872640,0.11184640,1.10540700,0.44633890,0.09387539,1.09623200,0.42911920,0.11073050,1.05907300,0.44270110,0.11301650,1.09322500,0.42726510,0.09382993,1.08162100,0.41494050,0.07937794,1.02994000,0.41155030,0.11560920,1.05171000,0.42361020,0.11402300,1.07915600,0.41269290,0.09672184,1.07137900,0.40793210,0.08861041,1.13395300,0.44343240,0.10021740,1.13706300,0.43347580,0.08373806,1.07535500,0.43548280,0.09081586,1.06123000,0.42617510,0.09597554,1.05355900,0.41928590,12,5
0.04114695,1.01152600,0.41187680,0.04114695,1.01152600,0.41187680,0.04114695,1.01152600,0.41187680,0.04537300,1.03434500,0.41967360,0.04749393,1.05724200,0.42629670,0.05726605,1.08609500,0.43350990,0.07910078,1.10974800,0.43825620,0.08480039,1.07657300,0.46638140,0.10579490,1.10643700,0.46738820,0.10388350,1.12288700,0.45085440,0.10063800,1.06467300,0.45799030,0.11081870,1.10282000,0.44575720,0.09302608,1.09363600,0.42835750,0.10958650,1.05647600,0.44206110,0.11225670,1.09070100,0.42684790,0.09323354,1.07924100,0.41414050,0.07847543,1.02746000,0.41056140,0.11464870,1.04910000,0.42302340,0.11328960,1.07656700,0.41213020,0.09603564,1.06883300,0.40713400,0.08718903,1.13152600,0.44298330,0.09992746,1.13487800,0.43338180,0.08277558,1.07278000,0.43460680,0.08999657,1.05881500,0.42524920,0.09510242,1.05100200,0.41845620,12,5
0.04026172,1.00929700,0.41056200,0.04026172,1.00929700,0.41056200,0.04026172,1.00929700,0.41056200,0.04448035,1.03210300,0.41840170,0.04650884,1.05497400,0.42513970,0.05614948,1.08384400,0.43246390,0.07805455,1.10741500,0.43729420,0.08355967,1.07420600,0.46551280,0.10454060,1.10404100,0.46733930,0.10320010,1.12077700,0.45103780,0.09944467,1.06225600,0.45728530,0.10982300,1.10033100,0.44499730,0.09212776,1.09117900,0.42748190,0.10853040,1.05402900,0.44144920,0.11140870,1.08823100,0.42622340,0.09250072,1.07680000,0.41332040,0.07765265,1.02511200,0.40963090,0.11376480,1.04663600,0.42246480,0.11258320,1.07410200,0.41154860,0.09536407,1.06640400,0.40637930,0.08612444,1.12919200,0.44205520,0.09977797,1.13304700,0.43364700,0.08169359,1.07037400,0.43359490,0.08911965,1.05639200,0.42442030,0.09425800,1.04857800,0.41769240,12,5
0.04019668,1.00676000,0.41180230,0.04019668,1.00676000,0.41180230,0.04019668,1.00676000,0.41180230,0.04444817,1.02959200,0.41954580,0.04641390,1.05247000,0.42628020,0.05595049,1.08140100,0.43349870,0.07792329,1.10495500,0.43809600,0.08360633,1.07184000,0.46646180,0.10452610,1.10168700,0.46872820,0.10351870,1.11862100,0.45260840,0.09947179,1.05983600,0.45827470,0.10984350,1.09781700,0.44569340,0.09208709,1.08859200,0.42827870,0.10853840,1.05153300,0.44246760,0.11140460,1.08566600,0.42708610,0.09250658,1.07417700,0.41421920,0.07760680,1.02252300,0.41078560,0.11375300,1.04405500,0.42351080,0.11257790,1.07147400,0.41247700,0.09535686,1.06375000,0.40735230,0.08595979,1.12677100,0.44273160,0.10039630,1.13107900,0.43529450,0.08158294,1.06783700,0.43444500,0.08914073,1.05382200,0.42541920,0.09424342,1.04597300,0.41874180,12,5
0.04009128,1.00424900,0.41281540,0.04009128,1.00424900,0.41281540,0.04009128,1.00424900,0.41281540,0.04436937,1.02710500,0.42047190,0.04634354,1.05000400,0.42713620,0.05583638,1.07902300,0.43405110,0.07774419,1.10268200,0.43841240,0.08356276,1.06948400,0.46724030,0.10426140,1.09947300,0.46966590,0.10364950,1.11663200,0.45376540,0.09941599,1.05742800,0.45910690,0.10966290,1.09530900,0.44613040,0.09187731,1.08583400,0.42888080,0.10847850,1.04905200,0.44333600,0.11125810,1.08306400,0.42767520,0.09234929,1.07152300,0.41487190,0.07752247,1.01996000,0.41175360,0.11369140,1.04149300,0.42441080,0.11242960,1.06883000,0.41318290,0.09521899,1.06100800,0.40817230,0.08568400,1.12457600,0.44284570,0.10093930,1.12935400,0.43657450,0.08143526,1.06511200,0.43525930,0.08897434,1.05123100,0.42618410,0.09420433,1.04331900,0.41970690,12,5
0.03998800,1.00217500,0.41331650,0.03998800,1.00217500,0.41331650,0.03998800,1.00217500,0.41331650,0.04440340,1.02499400,0.42100680,0.04648638,1.04786100,0.42774380,0.05605105,1.07689700,0.43449050,0.07798193,1.10058000,0.43860130,0.08411490,1.06710300,0.46758210,0.10469370,1.09715800,0.47019810,0.10435810,1.11463800,0.45464380,0.09986172,1.05501900,0.45928360,0.10995460,1.09287300,0.44610860,0.09198070,1.08331300,0.42910250,0.10876810,1.04666100,0.44341440,0.11140980,1.08066600,0.42771330,0.09236530,1.06920300,0.41504160,0.07746084,1.01776700,0.41199750,0.11380210,1.03914300,0.42442470,0.11241710,1.06648000,0.41321090,0.09516136,1.05863200,0.40840160,0.08590080,1.12250200,0.44292930,0.10192050,1.12773500,0.43769500,0.08161193,1.06260100,0.43562770,0.08903565,1.04889900,0.42634510,0.09430584,1.04095000,0.41996140,12,5
0.03985701,1.00008600,0.41370320,0.03985701,1.00008600,0.41370320,0.03985701,1.00008600,0.41370320,0.04439604,1.02287100,0.42142220,0.04657342,1.04570900,0.42822670,0.05619218,1.07476300,0.43481470,0.07813571,1.09847200,0.43870120,0.08455251,1.06473300,0.46783730,0.10501710,1.09484700,0.47066970,0.10497060,1.11263100,0.45546050,0.10020500,1.05262200,0.45940200,0.11015520,1.09044700,0.44603590,0.09202422,1.08079500,0.42925010,0.10897800,1.04427700,0.44345180,0.11150400,1.07827400,0.42771380,0.09234972,1.06688300,0.41514280,0.07736918,1.01556300,0.41217210,0.11386050,1.03679300,0.42440930,0.11236550,1.06412600,0.41320040,0.09507615,1.05624400,0.40856930,0.08601496,1.12042700,0.44293500,0.10282080,1.12608600,0.43875440,0.08172458,1.06009100,0.43591140,0.08905166,1.04656900,0.42643640,0.09436725,1.03857500,0.42015760,12,5
0.03970426,0.99798430,0.41400000,0.03970426,0.99798430,0.41400000,0.03970426,0.99798430,0.41400000,0.04435619,1.02073800,0.42174400,0.04661937,1.04355000,0.42860900,0.05623917,1.07267100,0.43488880,0.07820456,1.09642000,0.43839010,0.08490075,1.06237400,0.46802500,0.10545720,1.09244200,0.47067590,0.10556360,1.11037100,0.45563830,0.10046840,1.05023400,0.45947480,0.11031600,1.08799000,0.44583900,0.09198238,1.07830800,0.42929220,0.10912610,1.04189900,0.44345690,0.11151000,1.07584900,0.42759580,0.09222541,1.06453600,0.41515410,0.07725430,1.01335000,0.41229210,0.11387860,1.03444200,0.42437070,0.11214010,1.06173300,0.41309590,0.09484867,1.05376600,0.40862220,0.08599490,1.11844700,0.44241170,0.10350930,1.12399600,0.43905920,0.08166683,1.05764300,0.43605100,0.08886029,1.04420200,0.42639350,0.09431273,1.03612200,0.42025750,12,5
0.04022597,0.99537900,0.41492840,0.04022597,0.99537900,0.41492840,0.04022597,0.99537900,0.41492840,0.04485907,1.01816000,0.42260160,0.04707253,1.04098600,0.42943630,0.05650729,1.07026100,0.43526810,0.07834069,1.09420100,0.43826000,0.08556727,1.06000100,0.46855400,0.10602420,1.09015900,0.47092540,0.10620180,1.10819400,0.45601520,0.10111720,1.04789000,0.45992980,0.11060770,1.08557600,0.44585380,0.09212477,1.07567300,0.42960630,0.10969990,1.03955000,0.44387390,0.11171410,1.07339900,0.42774620,0.09236632,1.06199300,0.41548780,0.07771953,1.01085200,0.41295960,0.11435590,1.03207200,0.42477230,0.11218750,1.05925800,0.41331790,0.09494655,1.05107000,0.40905180,0.08589132,1.11636500,0.44196770,0.10418630,1.12193600,0.43952820,0.08192919,1.05501300,0.43655810,0.08906638,1.04166800,0.42676000,0.09471160,1.03350100,0.42081070,12,5
0.04067679,0.99280820,0.41574260,0.04067679,0.99280820,0.41574260,0.04067679,0.99280820,0.41574260,0.04529493,1.01561400,0.42335160,0.04746348,1.03845200,0.43016110,0.05672069,1.06786300,0.43557570,0.07842638,1.09197200,0.43809710,0.08614694,1.05763400,0.46901180,0.10650990,1.08787300,0.47114900,0.10677710,1.10601400,0.45636960,0.10168000,1.04554700,0.46032450,0.11084050,1.08315900,0.44583940,0.09222633,1.07305000,0.42987120,0.11019660,1.03720000,0.44423680,0.11187180,1.07094800,0.42786210,0.09247097,1.05946100,0.41576590,0.07812086,1.00836900,0.41354490,0.11476790,1.02970100,0.42512320,0.11220330,1.05678100,0.41350300,0.09501474,1.04838900,0.40942760,0.08574556,1.11426100,0.44151480,0.10482110,1.11987600,0.43997540,0.08213910,1.05239800,0.43700080,0.08922362,1.03914200,0.42706740,0.09505815,1.03089600,0.42130100,12,5
0.04107204,0.99026380,0.41646730,0.04107204,0.99026380,0.41646730,0.04107204,0.99026380,0.41646730,0.04567827,1.01309200,0.42401720,0.04785022,1.03594900,0.43075930,0.05697591,1.06549100,0.43566240,0.07873835,1.08960900,0.43752470,0.08665887,1.05527200,0.46941350,0.10720810,1.08540400,0.47126640,0.10751370,1.10357700,0.45652700,0.10217580,1.04320300,0.46067180,0.11109200,1.08071100,0.44576900,0.09229527,1.07051400,0.43007280,0.11063310,1.03484800,0.44455710,0.11189000,1.06846900,0.42788580,0.09247378,1.05689500,0.41589660,0.07847226,1.00590000,0.41406550,0.11512900,1.02732700,0.42543410,0.11230890,1.05432300,0.41367760,0.09507875,1.04596300,0.40971500,0.08600342,1.11197800,0.44049980,0.10549920,1.11745800,0.44015670,0.08218835,1.04990000,0.43728420,0.08923077,1.03656600,0.42717980,0.09505873,1.02847100,0.42159020,12,5
0.04139362,0.98857340,0.41867650,0.04139362,0.98857340,0.41867650,0.04139362,0.98857340,0.41867650,0.04598178,1.01144800,0.42609610,0.04814951,1.03434700,0.43269610,0.05714537,1.06401900,0.43702160,0.07896006,1.08813100,0.43822670,0.08698247,1.05392500,0.47119570,0.10770100,1.08395900,0.47273360,0.10811550,1.10211700,0.45797830,0.10250080,1.04183100,0.46249220,0.11124110,1.07917000,0.44706950,0.09230840,1.06883800,0.43162660,0.11094200,1.03340100,0.44640810,0.11186450,1.06682800,0.42932970,0.09246057,1.05513900,0.41743290,0.07876848,1.00424700,0.41612700,0.11541550,1.02578400,0.42731800,0.11239180,1.05265200,0.41532060,0.09513341,1.04430500,0.41145350,0.08617891,1.11057500,0.44071060,0.10612060,1.11597000,0.44158170,0.08215126,1.04829600,0.43897190,0.08917457,1.03484500,0.42876570,0.09502188,1.02686400,0.42340310,12,5
0.04168340,0.98682820,0.42069920,0.04168340,0.98682820,0.42069920,0.04168340,0.98682820,0.42069920,0.04625612,1.00974400,0.42799810,0.04841980,1.03268100,0.43446790,0.05728726,1.06246700,0.43824070,0.07914673,1.08656200,0.43882080,0.08727687,1.05249300,0.47282250,0.10814880,1.08243400,0.47407250,0.10868500,1.10058700,0.45931550,0.10279590,1.04037400,0.46415480,0.11136440,1.07754400,0.44823740,0.09230112,1.06708800,0.43304120,0.11122190,1.03187500,0.44809950,0.11182520,1.06511000,0.43063710,0.09243289,1.05331400,0.41882660,0.07903571,1.00253300,0.41801360,0.11567470,1.02416800,0.42904040,0.11245100,1.05091000,0.41681630,0.09516656,1.04257600,0.41303740,0.08634900,1.10905900,0.44082310,0.10672630,1.11442600,0.44290240,0.08209411,1.04661700,0.44051390,0.08910093,1.03305100,0.43020180,0.09496645,1.02518400,0.42505620,12,5
0.04194807,0.98504020,0.42257450,0.04194807,0.98504020,0.42257450,0.04194807,0.98504020,0.42257450,0.04650741,1.00799500,0.42976040,0.04869036,1.03097000,0.43608480,0.05742222,1.06087500,0.43916980,0.07929073,1.08496800,0.43903720,0.08754821,1.05099400,0.47432630,0.10863560,1.08079200,0.47534120,0.10957460,1.09909300,0.46078770,0.10306730,1.03885100,0.46569250,0.11132970,1.07588100,0.44929420,0.09223451,1.06527600,0.43424170,0.11147910,1.03028600,0.44966470,0.11188900,1.06332600,0.43183220,0.09237356,1.05161000,0.42014670,0.07928008,1.00077100,0.41976200,0.11591230,1.02249500,0.43063520,0.11257310,1.04913300,0.41821730,0.09520563,1.04096600,0.41445640,0.08646703,1.10751800,0.44046290,0.10794090,1.11314300,0.44451920,0.08206408,1.04483700,0.44185130,0.08893830,1.03140000,0.43158640,0.09473062,1.02357800,0.42647440,12,5
0.04207878,0.98338410,0.42279260,0.04207878,0.98338410,0.42279260,0.04207878,0.98338410,0.42279260,0.04653815,1.00630200,0.43015690,0.04864601,1.02923900,0.43664280,0.05709435,1.05925400,0.43943090,0.07883608,1.08345500,0.43883200,0.08759080,1.04916000,0.47484760,0.10873210,1.07891700,0.47592310,0.10987940,1.09753900,0.46179780,0.10313090,1.03719500,0.46600520,0.11081630,1.07434700,0.44960260,0.09166753,1.06370100,0.43464830,0.11149350,1.02882900,0.44984700,0.11143570,1.06192100,0.43210470,0.09181513,1.05032200,0.42047790,0.07929102,0.99937890,0.41988440,0.11585360,1.02123900,0.43071980,0.11218590,1.04792100,0.41848960,0.09476657,1.03986500,0.41472880,0.08588277,1.10606200,0.43996830,0.10839250,1.11198000,0.44586090,0.08167495,1.04313800,0.44216090,0.08844842,1.02999200,0.43172190,0.09418681,1.02232400,0.42651750,12,5
0.04220462,0.98167370,0.42305590,0.04220462,0.98167370,0.42305590,0.04220462,0.98167370,0.42305590,0.04657433,1.00455700,0.43057790,0.04861546,1.02746000,0.43720530,0.05679029,1.05757700,0.43969010,0.07841116,1.08187100,0.43862980,0.08764154,1.04729600,0.47536950,0.10884760,1.07700600,0.47647880,0.11020630,1.09590900,0.46275020,0.10319820,1.03549300,0.46633990,0.11034040,1.07274200,0.44991000,0.09113824,1.06204900,0.43505780,0.11151330,1.02730600,0.45006600,0.11100910,1.06042900,0.43238920,0.09129106,1.04893500,0.42082360,0.07930537,0.99790890,0.42005750,0.11580390,1.01989500,0.43085300,0.11182360,1.04660600,0.41878370,0.09435359,1.03865600,0.41503030,0.08534382,1.10452600,0.43946850,0.10886820,1.11069800,0.44712320,0.08130445,1.04137900,0.44248550,0.08798014,1.02849900,0.43189060,0.09366629,1.02098300,0.42661320,12,5
0.04232639,0.97992000,0.42335470,0.04232639,0.97992000,0.42335470,0.04232639,0.97992000,0.42335470,0.04661445,1.00277200,0.43101820,0.04855441,1.02563400,0.43781590,0.05648965,1.05581600,0.44028800,0.07806202,1.08014100,0.43898490,0.08769818,1.04540800,0.47589220,0.10904370,1.07501300,0.47715440,0.11086870,1.09428000,0.46399890,0.10326800,1.03375600,0.46669200,0.10992550,1.07106500,0.45019590,0.09063240,1.06031300,0.43550490,0.11153690,1.02573100,0.45031380,0.11046820,1.05875700,0.43248070,0.09058024,1.04724300,0.42123030,0.07932211,0.99637730,0.42027040,0.11576100,1.01848300,0.43102440,0.11173090,1.04527900,0.41916360,0.09416172,1.03751000,0.41549600,0.08495625,1.10281100,0.43971570,0.11005880,1.10963200,0.44888680,0.08099896,1.03956700,0.44298430,0.08747225,1.02680200,0.43234750,0.09351161,1.01975600,0.42695650,12,5
0.04162693,0.97819110,0.42273220,0.04162693,0.97819110,0.42273220,0.04162693,0.97819110,0.42273220,0.04592058,1.00103000,0.43043260,0.04785328,1.02387600,0.43728270,0.05569030,1.05409800,0.43958510,0.07733606,1.07833900,0.43798230,0.08704718,1.04358900,0.47534040,0.10867430,1.07298500,0.47667160,0.11109350,1.09248900,0.46396840,0.10260850,1.03195500,0.46610250,0.10904890,1.06919900,0.44937510,0.08967674,1.05841000,0.43481560,0.11086090,1.02396100,0.44970100,0.10948710,1.05680600,0.43155650,0.08942607,1.04532600,0.42058130,0.07861753,0.99465820,0.41963850,0.11506530,1.01674800,0.43039390,0.11115060,1.04357600,0.41856710,0.09346665,1.03604700,0.41495230,0.08429871,1.10099500,0.43849240,0.11092760,1.10826100,0.44927400,0.08009517,1.03768000,0.44240230,0.08635207,1.02495000,0.43182680,0.09270557,1.01827800,0.42638440,12,5
0.04099429,0.97643110,0.42221200,0.04099429,0.97643110,0.42221200,0.04099429,0.97643110,0.42221200,0.04529045,0.99925740,0.42994760,0.04721453,1.02209000,0.43684670,0.05494407,1.05235300,0.43895820,0.07665005,1.07651700,0.43704040,0.08645808,1.04174900,0.47488140,0.10835250,1.07094500,0.47626510,0.11133420,1.09064500,0.46399300,0.10201180,1.03013600,0.46560450,0.10822470,1.06731600,0.44864890,0.08877575,1.05648700,0.43422210,0.11024700,1.02217400,0.44917910,0.10856360,1.05484300,0.43074650,0.08833818,1.04340300,0.42003550,0.07797638,0.99291450,0.41910340,0.11443050,1.01499600,0.42985440,0.11060520,1.04184900,0.41805340,0.09281555,1.03454500,0.41449370,0.08367230,1.09915900,0.43731470,0.11178190,1.10678300,0.44970610,0.07924673,1.03576900,0.44190910,0.08529536,1.02308600,0.43139590,0.09194609,1.01676500,0.42589900,12,5
