RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.00387673,0.87420960,0.37897900,-0.00387673,0.87420960,0.37897900,-0.00387673,0.87420960,0.37897900,0.02020698,0.87856200,0.37837320,0.04403542,0.88048560,0.37730570,0.07411218,0.87361580,0.38261980,0.10184140,0.86915950,0.39905070,0.07459111,0.92406350,0.40053980,0.10587540,0.90539300,0.40305830,0.11933590,0.88625510,0.40347750,0.06435987,0.92124160,0.41925350,0.10007760,0.90113190,0.42457010,0.08724392,0.88080640,0.41335250,0.05553063,0.90912290,0.43252710,0.08733337,0.88972410,0.43723180,0.07651158,0.87398420,0.42020760,0.01759014,0.87762490,0.41327980,0.04641942,0.89308510,0.44263870,0.07217970,0.87919600,0.44693540,0.06717141,0.87204340,0.42943560,0.12457810,0.86371290,0.40297540,0.13112870,0.86828770,0.40515810,0.06584039,0.88752820,0.40464530,0.05640452,0.88258840,0.41167740,0.05253802,0.87875080,0.41572920,12,7
-0.00381695,0.87300520,0.37875300,-0.00381695,0.87300520,0.37875300,-0.00381695,0.87300520,0.37875300,0.02018103,0.87781530,0.37820880,0.04397186,0.88019290,0.37722080,0.07414685,0.87394610,0.38274280,0.10183390,0.87018660,0.39941710,0.07356682,0.92462070,0.40008540,0.10516500,0.90655000,0.40302530,0.11903890,0.88771920,0.40375260,0.06329935,0.92182410,0.41878290,0.09934214,0.90235640,0.42429190,0.08680072,0.88165740,0.41343240,0.05463991,0.90969540,0.43215900,0.08674784,0.89087310,0.43712510,0.07633916,0.87465970,0.42028860,0.01740989,0.87724270,0.41311150,0.04578980,0.89360560,0.44241880,0.07175369,0.88020900,0.44704120,0.06706648,0.87278600,0.42956510,0.12465380,0.86520000,0.40346900,0.13126870,0.87007700,0.40573020,0.06526751,0.88790250,0.40468990,0.05610105,0.88279340,0.41160810,0.05238970,0.87919470,0.41576250,12,7
-0.00375090,0.87187530,0.37850720,-0.00375090,0.87187530,0.37850720,-0.00375090,0.87187530,0.37850720,0.02015629,0.87712300,0.37801290,0.04389382,0.87998130,0.37701640,0.07416174,0.87427540,0.38261470,0.10182340,0.87110690,0.39945320,0.07256692,0.92515550,0.39958560,0.10435480,0.90747610,0.40284340,0.11851110,0.88886940,0.40384520,0.06226741,0.92238140,0.41826890,0.09842786,0.90321020,0.42404060,0.08616691,0.88230430,0.41325740,0.05377251,0.91024700,0.43174480,0.08612340,0.89187650,0.43682520,0.07623859,0.87508330,0.42024330,0.01723643,0.87689540,0.41290740,0.04517450,0.89411340,0.44214930,0.07135249,0.88116010,0.44682750,0.06690165,0.87335360,0.42945700,0.12468050,0.86651000,0.40374890,0.13112140,0.87153170,0.40610660,0.06461512,0.88825830,0.40435900,0.05584548,0.88249270,0.41128150,0.05212272,0.87929860,0.41555620,12,7
-0.00390593,0.87107400,0.37855760,-0.00390593,0.87107400,0.37855760,-0.00390593,0.87107400,0.37855760,0.01991232,0.87672000,0.37817130,0.04359591,0.88001290,0.37723430,0.07392286,0.87481580,0.38300590,0.10149740,0.87221910,0.40008360,0.07134508,0.92588720,0.39954010,0.10328890,0.90857730,0.40322800,0.11770020,0.89018790,0.40455500,0.06095669,0.92316120,0.41818130,0.09720508,0.90426920,0.42431080,0.08521822,0.88315950,0.41361710,0.05256882,0.91104550,0.43174080,0.08512433,0.89311010,0.43706280,0.07578881,0.87577280,0.42072440,0.01674012,0.87685760,0.41304420,0.04416791,0.89489320,0.44227640,0.07051520,0.88235350,0.44712790,0.06636130,0.87418380,0.42985120,0.12436850,0.86799220,0.40467390,0.13064990,0.87314870,0.40714270,0.06367420,0.88883480,0.40452010,0.05530138,0.88250230,0.41144700,0.05155087,0.87969620,0.41580640,12,7
-0.00403439,0.87027940,0.37856100,-0.00403439,0.87027940,0.37856100,-0.00403439,0.87027940,0.37856100,0.01968809,0.87632040,0.37826760,0.04331033,0.88004000,0.37738000,0.07368954,0.87535570,0.38331360,0.10117450,0.87333340,0.40061180,0.07014236,0.92659100,0.39940070,0.10223980,0.90966380,0.40350680,0.11690420,0.89150110,0.40514750,0.05967312,0.92390760,0.41800270,0.09602053,0.90531750,0.42446000,0.08430088,0.88400140,0.41387980,0.05139621,0.91181110,0.43164720,0.08415625,0.89432570,0.43720660,0.07536276,0.87647660,0.42112050,0.01627430,0.87681030,0.41311450,0.04319463,0.89564340,0.44231550,0.06970270,0.88352050,0.44734730,0.06585322,0.87501040,0.43016470,0.12405620,0.86948250,0.40547260,0.13018350,0.87476890,0.40804910,0.06275736,0.88938980,0.40460870,0.05479830,0.88254420,0.41156130,0.05102152,0.88010570,0.41598550,12,7
-0.00414059,0.86952700,0.37853570,-0.00414059,0.86952700,0.37853570,-0.00414059,0.86952700,0.37853570,0.01948457,0.87594120,0.37831990,0.04303373,0.88009400,0.37741220,0.07347386,0.87591050,0.38340750,0.10091160,0.87443500,0.40083550,0.06900297,0.92723580,0.39920420,0.10120010,0.91060650,0.40372630,0.11602820,0.89260510,0.40564770,0.05846158,0.92458930,0.41777080,0.09483226,0.90616420,0.42456140,0.08321700,0.88480660,0.41395010,0.05029232,0.91251220,0.43149710,0.08317518,0.89529850,0.43717780,0.07476182,0.87707850,0.42130550,0.01584586,0.87675680,0.41313790,0.04228148,0.89633340,0.44229270,0.06894706,0.88451580,0.44721730,0.06514101,0.87571170,0.43017370,0.12379740,0.87095360,0.40594870,0.12955830,0.87612750,0.40883450,0.06172931,0.89014150,0.40451990,0.05414835,0.88254830,0.41149440,0.05018739,0.88041000,0.41598540,12,7
-0.00391649,0.86891650,0.37835970,-0.00391649,0.86891650,0.37835970,-0.00391649,0.86891650,0.37835970,0.01958145,0.87578220,0.37814610,0.04302986,0.88044820,0.37712930,0.07356583,0.87682050,0.38299780,0.10104060,0.87584700,0.40040280,0.06808598,0.92808090,0.39891960,0.10046050,0.91183190,0.40355670,0.11552680,0.89403590,0.40553890,0.05757908,0.92528880,0.41748440,0.09407911,0.90711380,0.42425490,0.08258989,0.88574430,0.41353080,0.04962957,0.91309880,0.43124000,0.08272138,0.89623090,0.43674170,0.07467616,0.87774290,0.42098900,0.01589356,0.87663350,0.41295820,0.04192004,0.89680210,0.44207750,0.06879289,0.88533240,0.44668800,0.06499846,0.87636740,0.42972580,0.12396250,0.87277250,0.40561450,0.12937820,0.87784440,0.40880980,0.06108108,0.89100710,0.40410820,0.05395838,0.88263390,0.41109240,0.04985285,0.88074980,0.41564040,12,7
-0.00370917,0.86829400,0.37817170,-0.00370917,0.86829400,0.37817170,-0.00370917,0.86829400,0.37817170,0.01965551,0.87560040,0.37796080,0.04299546,0.88076180,0.37684740,0.07361674,0.87774130,0.38261450,0.10108410,0.87732190,0.40005330,0.06713961,0.92888080,0.39859660,0.09973711,0.91311380,0.40333450,0.11520870,0.89568180,0.40542540,0.05666345,0.92596040,0.41715910,0.09329911,0.90807020,0.42395560,0.08199000,0.88665850,0.41312470,0.04892744,0.91367410,0.43095060,0.08220144,0.89712260,0.43631280,0.07436852,0.87848880,0.42062510,0.01590776,0.87651160,0.41276490,0.04151244,0.89727540,0.44183980,0.06856447,0.88607080,0.44603550,0.06477561,0.87691230,0.42917580,0.12402040,0.87468830,0.40544020,0.12949130,0.87989400,0.40881300,0.06045442,0.89173930,0.40366350,0.05356861,0.88302340,0.41073100,0.04945184,0.88093840,0.41517710,12,7
-0.00324174,0.86736310,0.37787170,-0.00324174,0.86736310,0.37787170,-0.00324174,0.86736310,0.37787170,0.01996731,0.87514890,0.37763260,0.04317503,0.88084750,0.37638300,0.07389266,0.87844430,0.38192350,0.10140630,0.87849610,0.39929420,0.06639754,0.92931650,0.39835660,0.09925797,0.91406390,0.40295980,0.11515830,0.89701240,0.40497050,0.05602936,0.92611210,0.41693280,0.09286879,0.90855150,0.42348300,0.08175046,0.88714500,0.41244620,0.04858139,0.91361790,0.43069620,0.08208980,0.89742760,0.43568830,0.07446701,0.87874110,0.41995970,0.01628741,0.87585290,0.41244880,0.04153169,0.89702980,0.44154090,0.06878647,0.88612570,0.44517930,0.06497770,0.87689570,0.42836310,0.12437420,0.87630140,0.40474260,0.12989390,0.88163420,0.40830230,0.06013896,0.89205580,0.40306870,0.05354667,0.88294090,0.41017240,0.04943263,0.88064630,0.41453290,12,7
-0.00280628,0.86644790,0.37757220,-0.00280628,0.86644790,0.37757220,-0.00280628,0.86644790,0.37757220,0.02024041,0.87470130,0.37731050,0.04330589,0.88092400,0.37593440,0.07410152,0.87913550,0.38127070,0.10164210,0.87966800,0.39859050,0.06560779,0.92974030,0.39809220,0.09871451,0.91499970,0.40259760,0.11502550,0.89833430,0.40455570,0.05534220,0.92627840,0.41667920,0.09237598,0.90905090,0.42301460,0.08144636,0.88764050,0.41179860,0.04817443,0.91360020,0.43042300,0.08190510,0.89777670,0.43508380,0.07450783,0.87901650,0.41933530,0.01661411,0.87523910,0.41213520,0.04148185,0.89684460,0.44123650,0.06892125,0.88624780,0.44435840,0.06510945,0.87692380,0.42759480,0.12462960,0.87790810,0.40411370,0.13019520,0.88337760,0.40785750,0.05976404,0.89237160,0.40249250,0.05347995,0.88286500,0.40963440,0.04936064,0.88038320,0.41392000,12,7
