RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.01008373,0.79914930,0.35583280,0.01008373,0.79914930,0.35583280,0.01008373,0.79914930,0.35583280,0.00451219,0.82297650,0.35657730,0.00187786,0.84674360,0.35748200,0.00197649,0.87699570,0.36553480,-0.00069917,0.90570590,0.38061170,-0.04241274,0.87387940,0.38352770,-0.04098982,0.90623920,0.40039360,-0.02536955,0.92348810,0.40286320,-0.03810623,0.86299000,0.40157530,-0.01861435,0.89803860,0.41157930,-0.00144937,0.88774380,0.39417120,-0.02488273,0.85422490,0.41379490,-0.00504109,0.88585590,0.41775100,0.00814202,0.87450250,0.39898970,0.00741036,0.81886790,0.39123160,-0.00790238,0.84552280,0.42265000,0.00573162,0.87175080,0.42373120,0.01325873,0.86616640,0.40656600,-0.00120661,0.92923800,0.38344170,-0.00748345,0.93552200,0.40285010,-0.00698404,0.86813840,0.38136090,0.00129275,0.85461530,0.38856500,0.00638314,0.85002330,0.39477130,12,6
0.01007792,0.79950490,0.35626930,0.01007792,0.79950490,0.35626930,0.01007792,0.79950490,0.35626930,0.00495040,0.82343490,0.35689990,0.00276360,0.84725050,0.35771770,0.00343457,0.87752000,0.36567730,0.00119893,0.90643210,0.38043640,-0.04117046,0.87530240,0.38339520,-0.03915071,0.90779780,0.39993630,-0.02345016,0.92494390,0.40260460,-0.03717690,0.86439700,0.40150500,-0.01681240,0.89901860,0.41125460,0.00014397,0.88815600,0.39398760,-0.02419345,0.85542800,0.41383360,-0.00370363,0.88666290,0.41762970,0.00931403,0.87478180,0.39908090,0.00756412,0.81939320,0.39158460,-0.00743261,0.84643990,0.42282020,0.00674360,0.87238190,0.42382550,0.01422935,0.86656740,0.40671880,0.00111315,0.93000180,0.38298370,-0.00558412,0.93700150,0.40298660,-0.00580622,0.86858800,0.38130690,0.00208519,0.85494320,0.38882110,0.00702575,0.85049690,0.39502090,12,6
0.01000690,0.79986630,0.35669490,0.01000690,0.79986630,0.35669490,0.01000690,0.79986630,0.35669490,0.00534016,0.82389310,0.35721780,0.00358652,0.84774850,0.35790870,0.00473415,0.87804050,0.36572660,0.00285764,0.90716770,0.38010800,-0.03990747,0.87673380,0.38329240,-0.03731098,0.90935500,0.39950190,-0.02160702,0.92645830,0.40241410,-0.03622129,0.86581580,0.40145980,-0.01504005,0.90000490,0.41099310,0.00167825,0.88856100,0.39387010,-0.02347905,0.85664020,0.41388750,-0.00213504,0.88733200,0.41739540,0.01057362,0.87490450,0.39899090,0.00769218,0.81992150,0.39192940,-0.00694292,0.84736080,0.42299360,0.00777219,0.87300580,0.42386440,0.01536492,0.86706680,0.40684790,0.00311920,0.93076560,0.38236640,-0.00390786,0.93873020,0.40334390,-0.00471957,0.86903920,0.38133700,0.00282288,0.85516900,0.38891490,0.00801849,0.85108520,0.39511710,12,6
0.00992949,0.80041570,0.35660170,0.00992949,0.80041570,0.35660170,0.00992949,0.80041570,0.35660170,0.00573819,0.82453050,0.35709650,0.00443279,0.84841570,0.35774760,0.00606864,0.87869190,0.36554010,0.00455850,0.90797080,0.37965420,-0.03863866,0.87825860,0.38285210,-0.03545601,0.91092650,0.39886220,-0.01973549,0.92795740,0.40209220,-0.03530379,0.86726750,0.40104330,-0.01331755,0.90095600,0.41053620,0.00317204,0.88898920,0.39354940,-0.02283817,0.85783870,0.41356170,-0.00065313,0.88794180,0.41695180,0.01175724,0.87503400,0.39867480,0.00775617,0.82050920,0.39182340,-0.00655720,0.84823110,0.42278640,0.00870973,0.87355150,0.42365600,0.01640923,0.86752500,0.40671830,0.00518811,0.93157960,0.38171720,-0.00219693,0.94040020,0.40360880,-0.00366181,0.86957560,0.38107850,0.00349276,0.85545850,0.38869540,0.00890263,0.85168120,0.39490240,12,6
0.00980814,0.80095370,0.35654260,0.00980814,0.80095370,0.35654260,0.00980814,0.80095370,0.35654260,0.00610260,0.82514850,0.35700850,0.00525670,0.84905550,0.35761980,0.00740391,0.87930710,0.36538370,0.00629795,0.90872660,0.37924050,-0.03734878,0.87976830,0.38246520,-0.03354551,0.91246400,0.39828180,-0.01778418,0.92940150,0.40179180,-0.03435869,0.86871500,0.40067860,-0.01156996,0.90187940,0.41012420,0.00466317,0.88939380,0.39326420,-0.02217038,0.85903790,0.41328040,0.00083795,0.88852970,0.41655360,0.01292282,0.87515060,0.39839770,0.00780668,0.82109310,0.39174830,-0.00614922,0.84910420,0.42261400,0.00967351,0.87408140,0.42347790,0.01744360,0.86794470,0.40661220,0.00731628,0.93233750,0.38111540,-0.00038840,0.94196920,0.40383290,-0.00261649,0.87010160,0.38085760,0.00413995,0.85575130,0.38851740,0.00974379,0.85224180,0.39473280,12,6
0.00965200,0.80148340,0.35651030,0.00965200,0.80148340,0.35651030,0.00965200,0.80148340,0.35651030,0.00644102,0.82574930,0.35694730,0.00603270,0.84966990,0.35747090,0.00888489,0.87989010,0.36512890,0.00839513,0.90947790,0.37865910,-0.03603652,0.88125880,0.38212100,-0.03159534,0.91385850,0.39796970,-0.01592567,0.93078760,0.40190480,-0.03338649,0.87015350,0.40035530,-0.00987447,0.90278150,0.40989570,0.00611778,0.88992460,0.39308470,-0.02147744,0.86023310,0.41303470,0.00243115,0.88901760,0.41614800,0.01408179,0.87517920,0.39805270,0.00784690,0.82167290,0.39169790,-0.00572150,0.84997620,0.42246970,0.01063596,0.87460240,0.42344360,0.01852191,0.86853600,0.40660630,0.00994385,0.93308120,0.38024460,0.00107551,0.94374100,0.40471480,-0.00157034,0.87081030,0.38064900,0.00468679,0.85601230,0.38828270,0.01068300,0.85305040,0.39453410,12,6
0.00930268,0.80208740,0.35636310,0.00930268,0.80208740,0.35636310,0.00930268,0.80208740,0.35636310,0.00639657,0.82639260,0.35675040,0.00624013,0.85031860,0.35714280,0.00961625,0.88053260,0.36461000,0.00962539,0.91029600,0.37775870,-0.03531137,0.88248900,0.38191010,-0.03034369,0.91505380,0.39767400,-0.01485157,0.93209140,0.40183720,-0.03274809,0.87139490,0.40016370,-0.00869051,0.90367950,0.40951000,0.00699958,0.89053980,0.39263310,-0.02092767,0.86135660,0.41283320,0.00365134,0.88961480,0.41551760,0.01480628,0.87538580,0.39741280,0.00785103,0.82238180,0.39150670,-0.00527420,0.85092600,0.42224820,0.01142494,0.87532520,0.42313000,0.01932295,0.86934680,0.40626690,0.01152413,0.93389450,0.37899650,0.00167832,0.94551550,0.40519570,-0.00105933,0.87152240,0.38028390,0.00487469,0.85637120,0.38787870,0.01135982,0.85399000,0.39411180,12,6
0.00894566,0.80267910,0.35624370,0.00894566,0.80267910,0.35624370,0.00894566,0.80267910,0.35624370,0.00636613,0.82702180,0.35658010,0.00647950,0.85094990,0.35683800,0.01040499,0.88114530,0.36410950,0.01093499,0.91108010,0.37685190,-0.03452622,0.88373060,0.38170570,-0.02899844,0.91624900,0.39737870,-0.01369926,0.93339690,0.40179460,-0.03206759,0.87264600,0.39997940,-0.00743195,0.90454860,0.40913000,0.00793468,0.89110570,0.39219440,-0.02035205,0.86248000,0.41264450,0.00492059,0.89015870,0.41489180,0.01554764,0.87552630,0.39679110,0.00785072,0.82307340,0.39134230,-0.00481692,0.85186290,0.42204700,0.01224530,0.87601270,0.42284210,0.02016569,0.87012400,0.40595790,0.01320050,0.93466260,0.37772360,0.00230615,0.94728950,0.40573770,-0.00051702,0.87220040,0.37993600,0.00505581,0.85669090,0.38750440,0.01207362,0.85490740,0.39371200,12,6
0.00858204,0.80326190,0.35614610,0.00858204,0.80326190,0.35614610,0.00858204,0.80326190,0.35614610,0.00634650,0.82763930,0.35643050,0.00674428,0.85156540,0.35655150,0.01148565,0.88169510,0.36360620,0.01281548,0.91177240,0.37594840,-0.03369059,0.88497720,0.38150570,-0.02759709,0.91732510,0.39732080,-0.01253316,0.93458190,0.40210610,-0.03135061,0.87390150,0.39980040,-0.00610342,0.90536440,0.40880550,0.00889941,0.89165290,0.39175930,-0.01975331,0.86360100,0.41246550,0.00608721,0.89077130,0.41444170,0.01629649,0.87587210,0.39631810,0.00784722,0.82375130,0.39119870,-0.00434991,0.85278780,0.42186140,0.01321004,0.87658350,0.42247400,0.02092991,0.87063850,0.40551690,0.01565354,0.93530360,0.37645530,0.00285524,0.94894760,0.40674830,0.00001318,0.87290920,0.37956010,0.00538421,0.85721710,0.38715280,0.01241567,0.85558490,0.39335600,12,6
0.00783125,0.80429410,0.35598610,0.00783125,0.80429410,0.35598610,0.00783125,0.80429410,0.35598610,0.00600912,0.82870720,0.35610960,0.00675721,0.85262480,0.35596300,0.01244051,0.88268980,0.36258460,0.01475602,0.91293950,0.37434610,-0.03273597,0.88690050,0.38124390,-0.02581570,0.91913750,0.39694510,-0.01085827,0.93645920,0.40182900,-0.03034869,0.87592520,0.39959290,-0.00432267,0.90691330,0.40800730,0.01009055,0.89280690,0.39077570,-0.01876508,0.86552600,0.41218990,0.00772245,0.89210870,0.41346630,0.01726861,0.87682340,0.39530300,0.00788851,0.82505670,0.39088520,-0.00342658,0.85452530,0.42147370,0.01468025,0.87791530,0.42158940,0.02201200,0.87180830,0.40451790,0.01820900,0.93639390,0.37433370,0.00403106,0.95120300,0.40689370,0.00059583,0.87419330,0.37883850,0.00578876,0.85834200,0.38648580,0.01292698,0.85688450,0.39261280,12,6
