RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.01548994,0.84082660,0.44293300,0.01548994,0.84082660,0.44293300,0.01548994,0.84082660,0.44293300,0.01551826,0.86451530,0.43675400,0.01786459,0.88704160,0.42902780,0.02684232,0.91692720,0.43153810,0.02447798,0.94594350,0.44607100,-0.02665658,0.92288810,0.41849800,-0.00939790,0.95113500,0.43392170,0.00644032,0.96432470,0.44500320,-0.03726549,0.91604590,0.43591860,-0.01554521,0.94754950,0.45154480,0.00426015,0.92992380,0.45240950,-0.03711591,0.90943350,0.45482000,-0.01209580,0.93450530,0.46728040,0.00772549,0.91905020,0.46249120,-0.00555697,0.86805110,0.46449450,-0.03200682,0.90190610,0.47378590,-0.01013877,0.92135190,0.47809990,0.00434743,0.90974040,0.47195120,0.02685715,0.96769430,0.45519640,0.02092826,0.97545710,0.45644410,0.00001708,0.90882050,0.44165070,0.00461943,0.89854500,0.45149220,0.00304222,0.89156430,0.46123110,12,1
0.01550795,0.84108630,0.44251080,0.01550795,0.84108630,0.44251080,0.01550795,0.84108630,0.44251080,0.01544215,0.86481340,0.43648140,0.01769269,0.88739410,0.42888650,0.02657171,0.91729690,0.43153820,0.02423967,0.94629360,0.44611540,-0.02697459,0.92316920,0.41873880,-0.00992224,0.95145460,0.43432060,0.00585971,0.96468820,0.44543010,-0.03750239,0.91618450,0.43615210,-0.01586847,0.94763590,0.45200170,0.00418431,0.93028010,0.45257110,-0.03726742,0.90945360,0.45501070,-0.01236659,0.93459960,0.46756000,0.00758426,0.91934930,0.46265400,-0.00554826,0.86810890,0.46431560,-0.03206997,0.90182260,0.47391110,-0.01033195,0.92139770,0.47829710,0.00424354,0.90993450,0.47208140,0.02667738,0.96805380,0.45520240,0.02033345,0.97582190,0.45688770,0.00009451,0.90926020,0.44159160,0.00464014,0.89888220,0.45154010,0.00305617,0.89180240,0.46127360,12,1
0.01552354,0.84130860,0.44212730,0.01552354,0.84130860,0.44212730,0.01552354,0.84130860,0.44212730,0.01536512,0.86507050,0.43623800,0.01752308,0.88767310,0.42868160,0.02642833,0.91756110,0.43141130,0.02435067,0.94664990,0.44584250,-0.02728978,0.92340270,0.41899620,-0.01039863,0.95167070,0.43478390,0.00537998,0.96488190,0.44592470,-0.03773201,0.91628460,0.43640700,-0.01623354,0.94776520,0.45238230,0.00399122,0.93060530,0.45278330,-0.03740697,0.90944370,0.45522460,-0.01256753,0.93463180,0.46781120,0.00748685,0.91952240,0.46289130,-0.00553125,0.86813990,0.46416860,-0.03211669,0.90171740,0.47406040,-0.01047731,0.92139260,0.47848570,0.00417955,0.91004250,0.47225400,0.02707447,0.96848830,0.45465680,0.01987594,0.97597160,0.45739700,-0.00003015,0.90964910,0.44165790,0.00465109,0.89906320,0.45173480,0.00311296,0.89192650,0.46140670,12,1
0.01532051,0.84132440,0.44221130,0.01532051,0.84132440,0.44221130,0.01532051,0.84132440,0.44221130,0.01505731,0.86513140,0.43651070,0.01710989,0.88777240,0.42904060,0.02602309,0.91764540,0.43190560,0.02415013,0.94676700,0.44629880,-0.02786523,0.92345010,0.41989860,-0.01114054,0.95166840,0.43595000,0.00463039,0.96484280,0.44714510,-0.03821407,0.91615850,0.43729330,-0.01685106,0.94763430,0.45345870,0.00354204,0.93067110,0.45364080,-0.03779118,0.90917040,0.45605480,-0.01301627,0.93437950,0.46872640,0.00713747,0.91942480,0.46374020,-0.00573887,0.86790780,0.46454660,-0.03240000,0.90131400,0.47480800,-0.01086473,0.92108570,0.47931050,0.00386880,0.90986910,0.47301800,0.02711521,0.96864810,0.45492750,0.01914342,0.97587550,0.45865060,-0.00041655,0.90980620,0.44232290,0.00440122,0.89900230,0.45249180,0.00291430,0.89180050,0.46208160,12,1
0.01513437,0.84133230,0.44228220,0.01513437,0.84133230,0.44228220,0.01513437,0.84133230,0.44228220,0.01476890,0.86517980,0.43675990,0.01671736,0.88785530,0.42936660,0.02563949,0.91771400,0.43234990,0.02395281,0.94685830,0.44672020,-0.02841449,0.92347640,0.42075750,-0.01184633,0.95164320,0.43705980,0.00392005,0.96478430,0.44830050,-0.03866738,0.91602150,0.43813990,-0.01742543,0.94748870,0.45448050,0.00312491,0.93071540,0.45444160,-0.03814406,0.90889590,0.45684700,-0.01342441,0.93412390,0.46958890,0.00681910,0.91931560,0.46452970,-0.00592065,0.86767870,0.46490060,-0.03264968,0.90091860,0.47551910,-0.01121357,0.92078260,0.48008810,0.00358807,0.90969560,0.47372620,0.02713946,0.96877470,0.45517870,0.01845179,0.97576620,0.45983090,-0.00078499,0.90994260,0.44293880,0.00416747,0.89893020,0.45319420,0.00273155,0.89167580,0.46270150,12,1
0.01496141,0.84133370,0.44234290,0.01496141,0.84133370,0.44234290,0.01496141,0.84133370,0.44234290,0.01449570,0.86521830,0.43699070,0.01634092,0.88792440,0.42966520,0.02520890,0.91779350,0.43270550,0.02354362,0.94688810,0.44717860,-0.02894278,0.92348570,0.42158330,-0.01258799,0.95167760,0.43805680,0.00309651,0.96489040,0.44932780,-0.03909759,0.91587520,0.43895580,-0.01784584,0.94725380,0.45545340,0.00274036,0.93052720,0.45514470,-0.03847176,0.90861960,0.45760980,-0.01374645,0.93382130,0.47039260,0.00650160,0.91905140,0.46524040,-0.00608191,0.86745160,0.46523560,-0.03287238,0.90052880,0.47620160,-0.01151990,0.92047230,0.48081590,0.00331665,0.90945860,0.47440810,0.02679063,0.96880480,0.45561320,0.01755687,0.97594660,0.46087700,-0.00126788,0.90987710,0.44345640,0.00377578,0.89871530,0.45383400,0.00248988,0.89146770,0.46333410,12,1
0.01481181,0.84141020,0.44198320,0.01481181,0.84141020,0.44198320,0.01481181,0.84141020,0.44198320,0.01431260,0.86534150,0.43684720,0.01612737,0.88808910,0.42964370,0.02498418,0.91794480,0.43284240,0.02333403,0.94696470,0.44746670,-0.02920724,0.92368360,0.42196100,-0.01308326,0.95182500,0.43874560,0.00249753,0.96504950,0.45014590,-0.03935342,0.91590180,0.43926250,-0.01811229,0.94712130,0.45607270,0.00248510,0.93041400,0.45554960,-0.03871963,0.90847890,0.45785020,-0.01400147,0.93358470,0.47083370,0.00624957,0.91883220,0.46564340,-0.00627186,0.86728990,0.46510820,-0.03311109,0.90022830,0.47636890,-0.01182679,0.92020190,0.48116390,0.00305205,0.90925180,0.47474530,0.02664749,0.96885950,0.45593230,0.01685987,0.97612110,0.46180220,-0.00160348,0.90991910,0.44361840,0.00346795,0.89857500,0.45411090,0.00227036,0.89131800,0.46357580,12,1
0.01466756,0.84147620,0.44164970,0.01466756,0.84147620,0.44164970,0.01466756,0.84147620,0.44164970,0.01412886,0.86545050,0.43672250,0.01590613,0.88823690,0.42963330,0.02475114,0.91808020,0.43297790,0.02312298,0.94702980,0.44774320,-0.02948814,0.92385170,0.42236180,-0.01358725,0.95193870,0.43944750,0.00189646,0.96517370,0.45096740,-0.03961526,0.91590360,0.43959870,-0.01838356,0.94697140,0.45669930,0.00223026,0.93029270,0.45595570,-0.03896249,0.90832000,0.45812080,-0.01424949,0.93333700,0.47128430,0.00600543,0.91860650,0.46604700,-0.00644742,0.86712030,0.46500720,-0.03333370,0.89991720,0.47656480,-0.01211794,0.91992370,0.48152390,0.00280064,0.90903950,0.47508550,0.02650685,0.96890590,0.45622920,0.01616792,0.97625870,0.46272210,-0.00193911,0.90995140,0.44379190,0.00316823,0.89842580,0.45439460,0.00206010,0.89116230,0.46382270,12,1
0.01452754,0.84153400,0.44133660,0.01452754,0.84153400,0.44133660,0.01452754,0.84153400,0.44133660,0.01394480,0.86554820,0.43661270,0.01567894,0.88837520,0.42964460,0.02449419,0.91821070,0.43313400,0.02272880,0.94695310,0.44828330,-0.02978136,0.92399540,0.42278070,-0.01423237,0.95211140,0.44014040,0.00115307,0.96536630,0.45176850,-0.03988127,0.91588490,0.43995780,-0.01869882,0.94685730,0.45729110,0.00193094,0.93020500,0.45641020,-0.03920088,0.90814610,0.45841470,-0.01445509,0.93304740,0.47173510,0.00574252,0.91827260,0.46640220,-0.00661142,0.86694440,0.46492680,-0.03354315,0.89959720,0.47678250,-0.01232892,0.91957410,0.48186610,0.00257108,0.90868720,0.47538920,0.02605244,0.96874650,0.45700270,0.01535442,0.97645060,0.46360850,-0.00223026,0.90995730,0.44408830,0.00286411,0.89816580,0.45463270,0.00185811,0.89086370,0.46403990,12,1
0.01437826,0.84158410,0.44062910,0.01437826,0.84158410,0.44062910,0.01437826,0.84158410,0.44062910,0.01374738,0.86565290,0.43619830,0.01542811,0.88854390,0.42943000,0.02423316,0.91835450,0.43315130,0.02239272,0.94683990,0.44876960,-0.03010320,0.92420170,0.42321620,-0.01484609,0.95226030,0.44092430,0.00047476,0.96548210,0.45267480,-0.04013632,0.91586970,0.44032630,-0.01895018,0.94667070,0.45795770,0.00169058,0.93004770,0.45681910,-0.03938558,0.90790890,0.45868580,-0.01457049,0.93264000,0.47219310,0.00555678,0.91784140,0.46666380,-0.00671891,0.86667720,0.46459340,-0.03365671,0.89914620,0.47693040,-0.01243056,0.91907210,0.48216210,0.00243576,0.90820920,0.47556870,0.02569719,0.96852030,0.45777340,0.01463809,0.97651440,0.46460850,-0.00250579,0.90994790,0.44426920,0.00260193,0.89785370,0.45471180,0.00171760,0.89048360,0.46406750,12,1
