RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.31669770,0.87991290,0.32101750,0.31669770,0.87991290,0.32101750,0.31669770,0.87991290,0.32101750,0.31360980,0.90184960,0.33143760,0.30986390,0.92422600,0.33904660,0.30971690,0.95542980,0.34156700,0.31645160,0.98703830,0.34534720,0.34028780,0.95005230,0.38127900,0.34287450,0.98647800,0.38162760,0.33554640,1.00470800,0.36891610,0.35843380,0.94530190,0.37074330,0.35213880,0.98360060,0.35653030,0.33438270,0.97102620,0.34135580,0.36822370,0.94239810,0.35351740,0.35655330,0.97500400,0.33900830,0.33901180,0.95986880,0.32815020,0.34617690,0.90782460,0.32004090,0.37382730,0.93923540,0.33349070,0.36184320,0.96499670,0.32526260,0.34600370,0.95485750,0.31989690,0.31564530,1.01058700,0.34795750,0.32788790,1.01833400,0.35406980,0.33143340,0.94805920,0.34790810,0.34087100,0.93790580,0.33622880,0.34754500,0.93519960,0.32752470,12,7
0.31168890,0.87950520,0.32006760,0.31168890,0.87950520,0.32006760,0.31168890,0.87950520,0.32006760,0.30863480,0.90143290,0.33051670,0.30488260,0.92377190,0.33823200,0.30471740,0.95497800,0.34072090,0.31145360,0.98658410,0.34451820,0.33510550,0.94932500,0.38076630,0.33805660,0.98572150,0.38123710,0.33101710,1.00407000,0.36853270,0.35332860,0.94448580,0.37040570,0.34736750,0.98281220,0.35612380,0.32968910,0.97025640,0.34084340,0.36327770,0.94156570,0.35327400,0.35193810,0.97426280,0.33870770,0.33451640,0.95905200,0.32776260,0.34135620,0.90722770,0.31947430,0.36906790,0.93842170,0.33329750,0.35737880,0.96429830,0.32500750,0.34151690,0.95425850,0.31952230,0.31067400,1.01014000,0.34707600,0.32361820,1.01783000,0.35367880,0.32663530,0.94732330,0.34746590,0.33641930,0.93715590,0.33601080,0.34302220,0.93462470,0.32721890,12,7
0.30691150,0.87906900,0.31919770,0.30691150,0.87906900,0.31919770,0.30691150,0.87906900,0.31919770,0.30388260,0.90098710,0.32967420,0.30011460,0.92328850,0.33748980,0.29991980,0.95449720,0.33994420,0.30664990,0.98610360,0.34374970,0.33014130,0.94859700,0.38030180,0.33343580,0.98496240,0.38088850,0.32666550,1.00342100,0.36819750,0.34843550,0.94367960,0.37010460,0.34276630,0.98202300,0.35574940,0.32516250,0.96947610,0.34037590,0.35853250,0.94074610,0.35306190,0.34747760,0.97351220,0.33843180,0.33017980,0.95820810,0.32742050,0.33674170,0.90662160,0.31896290,0.36449710,0.93762000,0.33313400,0.35304700,0.96358230,0.32477830,0.33718080,0.95361110,0.31918160,0.30589370,1.00966600,0.34625220,0.31950770,1.01730800,0.35334300,0.32202080,0.94657600,0.34707110,0.33214610,0.93638530,0.33584580,0.33868080,0.93400500,0.32694970,12,7
0.30240020,0.87862240,0.31840260,0.30240020,0.87862240,0.31840260,0.30240020,0.87862240,0.31840260,0.29938960,0.90053080,0.32890490,0.29555240,0.92276900,0.33686550,0.29526870,0.95396970,0.33941060,0.30197780,0.98556860,0.34331520,0.32543710,0.94788490,0.37988020,0.32922270,0.98419880,0.38065860,0.32281480,1.00289000,0.36812080,0.34379640,0.94289810,0.36983490,0.33842230,0.98129030,0.35549690,0.32090140,0.96884600,0.33994620,0.35403030,0.93995350,0.35287600,0.34331380,0.97282950,0.33824070,0.32604180,0.95758570,0.32710580,0.33237140,0.90602240,0.31850100,0.36015680,0.93684430,0.33299460,0.34891660,0.96287330,0.32456180,0.33300990,0.95303040,0.31885420,0.30124520,1.00913000,0.34583750,0.31597630,1.01707700,0.35340030,0.31761260,0.94595130,0.34658900,0.32777860,0.93572370,0.33547980,0.33427790,0.93340180,0.32660680,12,7
0.29759630,0.87938210,0.31686870,0.29759630,0.87938210,0.31686870,0.29759630,0.87938210,0.31686870,0.29458200,0.90129560,0.32735910,0.29068030,0.92349000,0.33541010,0.29039300,0.95468590,0.33801330,0.29715290,0.98625740,0.34204940,0.32011530,0.94833840,0.37888000,0.32448220,0.98458190,0.37986690,0.31859960,1.00350100,0.36741340,0.33860750,0.94321720,0.36915100,0.33377010,0.98165950,0.35475630,0.31643130,0.96935630,0.33889260,0.34911510,0.94021840,0.35236990,0.33895490,0.97321610,0.33761250,0.32176970,0.95806510,0.32621980,0.32778720,0.90653140,0.31755070,0.35556650,0.93709450,0.33259380,0.34468130,0.96321270,0.32397330,0.32876590,0.95353180,0.31801800,0.29650180,1.00982200,0.34456560,0.31225180,1.01797900,0.35275720,0.31287150,0.94648490,0.34547570,0.32316570,0.93617710,0.33458970,0.32969980,0.93388820,0.32577990,12,7
0.29294060,0.88001420,0.31544570,0.29294060,0.88001420,0.31544570,0.29294060,0.88001420,0.31544570,0.28992060,0.90193130,0.32592690,0.28595330,0.92408410,0.33406000,0.28565720,0.95527600,0.33671010,0.29245910,0.98682330,0.34086320,0.31495870,0.94868610,0.37795060,0.31985590,0.98485550,0.37914460,0.31446040,1.00397600,0.36677930,0.33356910,0.94344130,0.36851740,0.32922280,0.98192360,0.35407250,0.31205950,0.96974360,0.33792530,0.34432850,0.94039240,0.35190570,0.33467580,0.97349330,0.33703880,0.31758200,0.95841520,0.32541420,0.32332160,0.90693120,0.31667620,0.35108070,0.93725470,0.33223250,0.34051780,0.96344850,0.32344210,0.32460480,0.95390990,0.31725540,0.29188280,1.01039000,0.34337040,0.30857040,1.01871600,0.35219230,0.30825580,0.94689650,0.34445600,0.31868110,0.93651180,0.33378800,0.32524530,0.93425730,0.32502440,12,7
0.28860000,0.88053850,0.31415890,0.28860000,0.88053850,0.31415890,0.28860000,0.88053850,0.31415890,0.28557310,0.90245810,0.32463290,0.28153460,0.92456840,0.33284600,0.28117820,0.95576630,0.33541790,0.28817670,0.98728620,0.33945020,0.31015020,0.94895360,0.37710670,0.31572980,0.98500880,0.37869740,0.31097180,1.00451700,0.36668100,0.32886310,0.94359790,0.36794240,0.32500470,0.98217170,0.35360380,0.30803580,0.97028480,0.33703820,0.33984800,0.94050350,0.35148740,0.33070890,0.97373560,0.33658900,0.31364610,0.95886770,0.32465240,0.31914150,0.90724540,0.31588950,0.34687120,0.93735270,0.33191140,0.33662240,0.96362970,0.32299850,0.32068920,0.95431220,0.31653300,0.28784010,1.01087700,0.34176880,0.30567770,1.01977500,0.35240160,0.30390580,0.94742160,0.34330930,0.31438970,0.93691540,0.33293700,0.32093970,0.93461770,0.32421770,12,7
0.28543930,0.87993560,0.31529560,0.28543930,0.87993560,0.31529560,0.28543930,0.87993560,0.31529560,0.28237220,0.90186850,0.32572990,0.27820910,0.92393620,0.33399550,0.27765520,0.95514320,0.33641680,0.28470840,0.98668030,0.34021290,0.30664340,0.94836650,0.37834380,0.31270920,0.98433090,0.38018980,0.30838760,1.00413800,0.36850150,0.32541360,0.94297310,0.36931980,0.32172190,0.98157080,0.35500160,0.30488620,0.96982500,0.33820120,0.33651250,0.93984760,0.35294750,0.32758890,0.97311480,0.33799680,0.31055700,0.95831510,0.32593200,0.31601090,0.90659440,0.31722670,0.34367250,0.93666960,0.33342550,0.33352650,0.96294800,0.32439940,0.31758140,0.95374070,0.31780650,0.28449740,1.01029400,0.34230080,0.30349960,1.01981000,0.35452870,0.30061460,0.94694770,0.34432440,0.31114450,0.93634900,0.33419250,0.31762430,0.93403300,0.32546130,12,7
0.28223680,0.87937000,0.31626080,0.28223680,0.87937000,0.31626080,0.28223680,0.87937000,0.31626080,0.27913160,0.90131440,0.32665990,0.27488170,0.92335800,0.33494540,0.27422720,0.95456840,0.33729670,0.28125440,0.98611840,0.34103260,0.30309570,0.94779930,0.37942590,0.30937940,0.98373540,0.38108340,0.30523790,1.00355100,0.36934470,0.32192250,0.94236730,0.37054400,0.31850170,0.98103990,0.35636140,0.30178390,0.96952490,0.33928580,0.33313660,0.93921270,0.35425610,0.32455580,0.97259060,0.33935170,0.30747930,0.95798920,0.32710950,0.31284070,0.90597550,0.31840320,0.34043520,0.93601080,0.33478940,0.33063050,0.96243940,0.32582530,0.31465180,0.95345260,0.31901350,0.28098190,1.00973800,0.34305240,0.30054240,1.01928600,0.35537680,0.29731050,0.94662710,0.34518430,0.30784250,0.93599120,0.33529760,0.31444980,0.93370250,0.32655590,12,7
0.27773530,0.87895970,0.31592520,0.27773530,0.87895970,0.31592520,0.27773530,0.87895970,0.31592520,0.27455970,0.90087830,0.32635700,0.27018080,0.92286130,0.33473580,0.26933760,0.95406620,0.33710020,0.27625360,0.98564060,0.34083800,0.29823870,0.94727750,0.37932680,0.30465060,0.98319510,0.38089210,0.30060320,1.00304500,0.36917860,0.31711050,0.94188540,0.37051660,0.31379230,0.98065270,0.35657030,0.29717870,0.96935130,0.33925190,0.32840000,0.93877790,0.35427160,0.32000760,0.97227130,0.33951960,0.30290250,0.95783410,0.32712340,0.30829960,0.90559450,0.31825900,0.33578790,0.93562560,0.33483060,0.32619640,0.96218290,0.32601760,0.31019990,0.95337080,0.31902190,0.27585800,1.00925900,0.34285080,0.29601810,1.01887300,0.35527910,0.29260140,0.94640880,0.34489130,0.30314440,0.93578980,0.33519070,0.30985440,0.93356500,0.32641130,12,7
