RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.03404614,0.89559670,0.44490320,-0.03404614,0.89559670,0.44490320,-0.03404614,0.89559670,0.44490320,-0.01465816,0.90944410,0.43927370,0.00527150,0.92096280,0.43273450,0.03461161,0.93142330,0.43586190,0.06064217,0.94849460,0.44533420,0.00909342,0.97844700,0.42535110,0.04313299,0.98173370,0.43816300,0.06352031,0.97595730,0.44809310,-0.00218472,0.98204090,0.44331570,0.03663434,0.98233910,0.45750780,0.03435704,0.95591620,0.45806010,-0.00714047,0.97683190,0.46200570,0.02871545,0.97304550,0.47248800,0.02966463,0.94753960,0.47069100,-0.02310723,0.92678250,0.46850040,-0.01003543,0.96702970,0.48039060,0.01913291,0.96349820,0.48381080,0.02124013,0.94454310,0.47948110,0.08158594,0.95807400,0.45095750,0.08105689,0.96909820,0.45858820,0.01444016,0.94704500,0.44787530,0.01056873,0.93709250,0.46189930,0.00489799,0.93457550,0.47050490,12,0
-0.03405292,0.89601480,0.44507040,-0.03405292,0.89601480,0.44507040,-0.03405292,0.89601480,0.44507040,-0.01470910,0.90991900,0.43942910,0.00514560,0.92147030,0.43272140,0.03451932,0.93187550,0.43571510,0.06058184,0.94893150,0.44512670,0.00881040,0.97897640,0.42538310,0.04281335,0.98245610,0.43824120,0.06325051,0.97689460,0.44819150,-0.00249627,0.98256780,0.44333030,0.03631104,0.98305130,0.45754950,0.03418868,0.95661740,0.45818870,-0.00745007,0.97738030,0.46202680,0.02840881,0.97376690,0.47255990,0.02948097,0.94826360,0.47079520,-0.02324532,0.92728830,0.46861200,-0.01032657,0.96760620,0.48042960,0.01886372,0.96429500,0.48388260,0.02117199,0.94533740,0.47966800,0.08157282,0.95846720,0.45064740,0.08083466,0.97019310,0.45870890,0.01431413,0.94765130,0.44800430,0.01043784,0.93773250,0.46198940,0.00497209,0.93510970,0.47072650,12,0
-0.03404893,0.89642470,0.44524130,-0.03404893,0.89642470,0.44524130,-0.03404893,0.89642470,0.44524130,-0.01474687,0.91038210,0.43958830,0.00505087,0.92197150,0.43277890,0.03441705,0.93242780,0.43566690,0.06040218,0.94958100,0.44511570,0.00855375,0.97948940,0.42542350,0.04253459,0.98329190,0.43824860,0.06310129,0.97818970,0.44817820,-0.00278013,0.98307900,0.44335390,0.03600806,0.98365570,0.45762170,0.03394945,0.95721720,0.45827910,-0.00773246,0.97791250,0.46205650,0.02812918,0.97446050,0.47263430,0.02935724,0.94896050,0.47092500,-0.02336589,0.92778130,0.46872900,-0.01059195,0.96816580,0.48047650,0.01860792,0.96494950,0.48393850,0.02103468,0.94598290,0.47983240,0.08136621,0.95917700,0.45063430,0.08087929,0.97200860,0.45868830,0.01409880,0.94823130,0.44806550,0.01039010,0.93829350,0.46211860,0.00490096,0.93560740,0.47094160,12,0
-0.03439753,0.89702030,0.44523740,-0.03439753,0.89702030,0.44523740,-0.03439753,0.89702030,0.44523740,-0.01510417,0.91097050,0.43953690,0.00466192,0.92253580,0.43259580,0.03405454,0.93295740,0.43533600,0.06003006,0.95013300,0.44477070,0.00816257,0.98005060,0.42518490,0.04214971,0.98406670,0.43792800,0.06283029,0.97934240,0.44780790,-0.00316067,0.98368080,0.44311380,0.03563234,0.98424700,0.45736890,0.03356075,0.95781060,0.45806480,-0.00809878,0.97855900,0.46183260,0.02777100,0.97516270,0.47240080,0.02907162,0.94966190,0.47075980,-0.02371002,0.92843900,0.46864010,-0.01094260,0.96885710,0.48027860,0.01826227,0.96565070,0.48370720,0.02074319,0.94666700,0.47971380,0.08100422,0.95972880,0.45025100,0.08077789,0.97360870,0.45828330,0.01369260,0.94885340,0.44786010,0.01013378,0.93891340,0.46198940,0.00463103,0.93619010,0.47090320,12,0
-0.03471062,0.89759580,0.44525000,-0.03471062,0.89759580,0.44525000,-0.03471062,0.89759580,0.44525000,-0.01542709,0.91154140,0.43950550,0.00430614,0.92308500,0.43243590,0.03372356,0.93347320,0.43503350,0.05968822,0.95067150,0.44445670,0.00779873,0.98059800,0.42497520,0.04178881,0.98482690,0.43764130,0.06257591,0.98047860,0.44747020,-0.00351629,0.98426570,0.44290180,0.03528035,0.98482670,0.45714710,0.03319901,0.95839200,0.45788120,-0.00844155,0.97918640,0.46163540,0.02743569,0.97584680,0.47219650,0.02881145,0.95034560,0.47062390,-0.02402510,0.92907540,0.46857150,-0.01127049,0.96952730,0.48010620,0.01793942,0.96633360,0.48350370,0.02047846,0.94733410,0.47962340,0.08067159,0.96026760,0.44990090,0.08068285,0.97519270,0.45790680,0.01331570,0.94946000,0.44768400,0.00990517,0.93951350,0.46188840,0.00439079,0.93675340,0.47089260,12,0
-0.03499585,0.89815520,0.44527560,-0.03499585,0.89815520,0.44527560,-0.03499585,0.89815520,0.44527560,-0.01572303,0.91209850,0.43948950,0.00399705,0.92363500,0.43237190,0.03340671,0.93406140,0.43490320,0.05927372,0.95135250,0.44442470,0.00745633,0.98113450,0.42478820,0.04140962,0.98564850,0.43745460,0.06224599,0.98151410,0.44727140,-0.00385230,0.98483730,0.44271160,0.03495039,0.98536120,0.45694190,0.03268793,0.95894130,0.45766930,-0.00876579,0.97979860,0.46145930,0.02710703,0.97640420,0.47201780,0.02837922,0.95089760,0.47044510,-0.02431733,0.92969500,0.46851890,-0.01158045,0.97018080,0.47995380,0.01762293,0.96690250,0.48332680,0.02013433,0.94788960,0.47949460,0.08019939,0.96102540,0.44995460,0.08043818,0.97649500,0.45769160,0.01273581,0.95017550,0.44746220,0.00942019,0.94015510,0.46171320,0.00400016,0.93734410,0.47080710,12,0
-0.03544024,0.89833800,0.44480380,-0.03544024,0.89833800,0.44480380,-0.03544024,0.89833800,0.44480380,-0.01619862,0.91228870,0.43893240,0.00348270,0.92382860,0.43171360,0.03289240,0.93429020,0.43409490,0.05869403,0.95166230,0.44364630,0.00687661,0.98132440,0.42406690,0.04083047,0.98610900,0.43663200,0.06174768,0.98219240,0.44636590,-0.00437060,0.98504010,0.44202620,0.03448188,0.98551970,0.45612150,0.03205108,0.95911400,0.45682230,-0.00921327,0.98001990,0.46079730,0.02668867,0.97656820,0.47123760,0.02786412,0.95105870,0.46963620,-0.02470216,0.92991320,0.46797160,-0.01195462,0.97042190,0.47931300,0.01725312,0.96706270,0.48256660,0.01973161,0.94804080,0.47875770,0.07958136,0.96140380,0.44920040,0.08005758,0.97744380,0.45670630,0.01200343,0.95051740,0.44665860,0.00883116,0.94040480,0.46095680,0.00352869,0.93753150,0.47015480,12,0
-0.03585222,0.89854090,0.44438200,-0.03585222,0.89854090,0.44438200,-0.03585222,0.89854090,0.44438200,-0.01664086,0.91249950,0.43843110,0.00300162,0.92404230,0.43111180,0.03241101,0.93453720,0.43334590,0.05814157,0.95199130,0.44293940,0.00633112,0.98153510,0.42340580,0.04027635,0.98660540,0.43588190,0.06127372,0.98293230,0.44553780,-0.00486071,0.98526390,0.44139700,0.03403635,0.98569730,0.45537030,0.03142959,0.95930770,0.45604330,-0.00963844,0.98026310,0.46018980,0.02628851,0.97675240,0.47052390,0.02736710,0.95124030,0.46889550,-0.02506413,0.93015300,0.46747600,-0.01231206,0.97068570,0.47872620,0.01689803,0.96724200,0.48186830,0.01934667,0.94821020,0.47808930,0.07898782,0.96180190,0.44852620,0.07970156,0.97848490,0.45580240,0.01128867,0.95088820,0.44591570,0.00826335,0.94067540,0.46026310,0.00307792,0.93773470,0.46956980,12,0
-0.03623868,0.89875970,0.44399940,-0.03623868,0.89875970,0.44399940,-0.03623868,0.89875970,0.44399940,-0.01705687,0.91272680,0.43797330,0.00256400,0.92428270,0.43061690,0.03195745,0.93483590,0.43278520,0.05766309,0.95235350,0.44232960,0.00581241,0.98176220,0.42279170,0.03973988,0.98715290,0.43518150,0.06084624,0.98388230,0.44474400,-0.00532866,0.98550460,0.44081150,0.03358655,0.98584850,0.45473670,0.03099262,0.95945560,0.45532550,-0.01004598,0.98052380,0.45962490,0.02589210,0.97691820,0.46988730,0.02696763,0.95141070,0.46818850,-0.02540795,0.93041010,0.46702080,-0.01265613,0.97096780,0.47818130,0.01654641,0.96738680,0.48123890,0.01905246,0.94836480,0.47744880,0.07857890,0.96213190,0.44770920,0.07943949,0.97994170,0.45491700,0.01082383,0.95112850,0.44517720,0.00784554,0.94087830,0.45955670,0.00281233,0.93783380,0.46894310,12,0
-0.03585724,0.89931910,0.44403790,-0.03585724,0.89931910,0.44403790,-0.03585724,0.89931910,0.44403790,-0.01671856,0.91327350,0.43784740,0.00286074,0.92481730,0.43036250,0.03224988,0.93541880,0.43234510,0.05796529,0.95301080,0.44172500,0.00602645,0.98226510,0.42228500,0.03997334,0.98798110,0.43447410,0.06120443,0.98511130,0.44388810,-0.00500806,0.98606620,0.44035800,0.03396840,0.98634300,0.45411240,0.03137193,0.95995000,0.45468930,-0.00961003,0.98114970,0.45921690,0.02636919,0.97746450,0.46930540,0.02742555,0.95195690,0.46759510,-0.02490357,0.93105560,0.46688190,-0.01210425,0.97165820,0.47782220,0.01709838,0.96794230,0.48071360,0.01963783,0.94891890,0.47695260,0.07896252,0.96276490,0.44682430,0.07997279,0.98167570,0.45392160,0.01113953,0.95170040,0.44460450,0.00825436,0.94144380,0.45904920,0.00339162,0.93832280,0.46853970,12,0
