RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.00869118,0.84404230,0.30994160,-0.00869118,0.84404230,0.30994160,-0.00869118,0.84404230,0.30994160,-0.00287078,0.86208830,0.32542710,0.00075232,0.88077860,0.33992460,0.01091187,0.90844070,0.35049050,0.03289687,0.93111310,0.35832420,0.03706088,0.88068130,0.38525300,0.05521021,0.91174870,0.39150250,0.05593652,0.93277190,0.38124990,0.05224128,0.87073760,0.37369800,0.06348073,0.91019520,0.36867890,0.04389893,0.90869130,0.35084760,0.06145113,0.86764090,0.35618810,0.06623014,0.90448700,0.35076670,0.04620533,0.90107750,0.33520840,0.02998029,0.85511240,0.31551020,0.06709395,0.86682870,0.33594040,0.06874346,0.89632670,0.33448950,0.05074764,0.89285350,0.32766520,0.04323165,0.95143070,0.36483670,0.05522144,0.95043560,0.36891260,0.03099240,0.88838400,0.35122400,0.03739183,0.87935610,0.33646950,0.04299296,0.87341610,0.33067200,12,7
-0.00457961,0.84350810,0.31119440,-0.00457961,0.84350810,0.31119440,-0.00457961,0.84350810,0.31119440,0.00138147,0.86180060,0.32633340,0.00516111,0.88073060,0.34047560,0.01545430,0.90853820,0.35051710,0.03759108,0.93126510,0.35774180,0.04188405,0.88135950,0.38546350,0.06000998,0.91255920,0.39109090,0.06080613,0.93349820,0.38067270,0.05695660,0.87123910,0.37392060,0.06795403,0.91064630,0.36804280,0.04823241,0.90876170,0.35040280,0.06599706,0.86786780,0.35637320,0.07058292,0.90462500,0.35023020,0.05043574,0.90082170,0.33492310,0.03413818,0.85468080,0.31620880,0.07144272,0.86673560,0.33608690,0.07270824,0.89621910,0.33406690,0.05476467,0.89234230,0.32732280,0.04800859,0.95167090,0.36383310,0.06009135,0.95104070,0.36816360,0.03544188,0.88839790,0.35131210,0.04176159,0.87908050,0.33670320,0.04723907,0.87287530,0.33069780,12,7
-0.00046278,0.84301140,0.31241360,-0.00046278,0.84301140,0.31241360,-0.00046278,0.84301140,0.31241360,0.00563668,0.86152710,0.32722230,0.00955613,0.88066890,0.34103770,0.01991482,0.90867540,0.35043880,0.04188344,0.93171260,0.35717730,0.04671638,0.88197370,0.38564980,0.06493452,0.91324730,0.39051800,0.06577984,0.93410310,0.37993790,0.06167967,0.87169400,0.37410560,0.07249112,0.91101340,0.36735910,0.05254109,0.90894790,0.34999850,0.07054604,0.86807110,0.35651950,0.07496133,0.90473590,0.34973250,0.05468391,0.90065580,0.33467060,0.03829528,0.85427870,0.31687450,0.07578867,0.86664490,0.33619830,0.07671887,0.89609820,0.33362900,0.05878329,0.89191170,0.32705080,0.05204531,0.95234320,0.36293450,0.06505308,0.95155130,0.36729830,0.03976312,0.88860540,0.35141870,0.04613027,0.87891060,0.33692280,0.05138669,0.87245940,0.33077740,12,7
0.00378114,0.84288180,0.31292020,0.00378114,0.84288180,0.31292020,0.00378114,0.84288180,0.31292020,0.00990313,0.86145530,0.32764710,0.01385642,0.88065740,0.34136880,0.02424163,0.90873230,0.35053350,0.04604719,0.93193470,0.35723500,0.05098724,0.88210310,0.38600060,0.06930468,0.91335520,0.39062890,0.07035831,0.93422990,0.38010490,0.06593961,0.87174670,0.37451090,0.07671835,0.91101400,0.36741720,0.05672519,0.90897770,0.35010280,0.07480868,0.86802920,0.35694600,0.07920300,0.90465360,0.34993150,0.05894583,0.90049090,0.33486510,0.04255507,0.85410730,0.31734870,0.08005889,0.86650160,0.33663410,0.08075152,0.89593960,0.33382610,0.06288648,0.89155150,0.32718770,0.05596635,0.95269080,0.36296410,0.06979132,0.95170860,0.36749940,0.04390906,0.88867190,0.35169330,0.05044333,0.87874310,0.33728040,0.05554444,0.87209400,0.33099440,12,7
0.00798956,0.84274720,0.31346080,0.00798956,0.84274720,0.31346080,0.00798956,0.84274720,0.31346080,0.01414497,0.86138050,0.32809790,0.01814031,0.88064340,0.34172170,0.02855396,0.90878500,0.35064670,0.05020728,0.93214830,0.35728230,0.05529360,0.88224400,0.38632920,0.07370009,0.91348010,0.39070490,0.07494508,0.93437190,0.38023590,0.07022516,0.87181550,0.37487770,0.08094896,0.91103220,0.36742960,0.06089759,0.90901070,0.35018090,0.07907800,0.86800580,0.35732430,0.08343064,0.90458950,0.35007540,0.06317776,0.90033340,0.33502920,0.04678073,0.85394300,0.31781240,0.08431299,0.86637790,0.33701630,0.08476008,0.89579670,0.33396750,0.06696151,0.89120040,0.32729150,0.05989620,0.95302470,0.36296830,0.07451867,0.95187780,0.36766270,0.04805673,0.88873580,0.35195620,0.05473673,0.87858180,0.33761900,0.05968976,0.87173470,0.33119010,12,7
0.01208384,0.84261180,0.31401390,0.01208384,0.84261180,0.31401390,0.01208384,0.84261180,0.31401390,0.01827946,0.86130480,0.32855770,0.02238189,0.88064890,0.34203390,0.03285206,0.90892510,0.35045280,0.05451138,0.93240280,0.35665070,0.05953321,0.88238910,0.38663490,0.07786356,0.91373340,0.39053030,0.07891379,0.93448170,0.37975900,0.07443756,0.87189340,0.37520930,0.08515388,0.91105590,0.36747050,0.06502446,0.90898450,0.35031890,0.08326123,0.86799500,0.35766070,0.08760864,0.90453450,0.35018840,0.06730643,0.90021780,0.33522630,0.05089274,0.85378710,0.31825920,0.08846534,0.86626980,0.33735280,0.08882218,0.89566980,0.33411560,0.07102657,0.89102710,0.32746370,0.06419224,0.95337680,0.36198020,0.07819204,0.95174550,0.36686840,0.05221053,0.88871510,0.35233490,0.05885184,0.87848870,0.33795690,0.06365244,0.87160970,0.33141090,12,7
0.01609983,0.84277800,0.31408350,0.01609983,0.84277800,0.31408350,0.01609983,0.84277800,0.31408350,0.02232572,0.86150160,0.32857480,0.02652192,0.88089880,0.34194540,0.03706344,0.90926750,0.34995410,0.05873966,0.93281220,0.35583050,0.06357217,0.88266920,0.38662690,0.08186879,0.91407670,0.39015420,0.08282658,0.93471320,0.37916180,0.07846270,0.87210220,0.37524910,0.08923628,0.91120620,0.36729740,0.06907094,0.90913990,0.35018750,0.08729441,0.86812780,0.35772170,0.09169853,0.90462670,0.35008650,0.07138172,0.90029290,0.33514910,0.05493112,0.85387370,0.31833250,0.09251452,0.86632660,0.33742450,0.09281430,0.89571020,0.33403710,0.07503825,0.89103780,0.32735390,0.06841704,0.95385600,0.36088390,0.08191602,0.95178170,0.36602550,0.05624969,0.88889320,0.35237820,0.06288557,0.87859190,0.33797310,0.06754695,0.87166690,0.33130880,12,7
0.02011373,0.84291350,0.31421720,0.02011373,0.84291350,0.31421720,0.02011373,0.84291350,0.31421720,0.02637684,0.86167170,0.32864770,0.03066842,0.88112290,0.34190920,0.04127805,0.90957770,0.34951230,0.06296534,0.93319120,0.35506290,0.06765972,0.88294420,0.38663550,0.08592200,0.91441150,0.38978790,0.08680104,0.93494640,0.37860020,0.08252963,0.87230870,0.37529470,0.09333688,0.91135570,0.36711230,0.07312347,0.90928780,0.35005930,0.09135535,0.86825810,0.35778170,0.09579471,0.90471600,0.34997290,0.07545453,0.90035270,0.33507600,0.05896757,0.85394200,0.31843520,0.09657439,0.86637900,0.33749120,0.09679508,0.89574470,0.33394550,0.07903891,0.89102420,0.32724330,0.07262992,0.95430410,0.35984490,0.08571652,0.95183460,0.36524580,0.06030196,0.88906230,0.35243540,0.06693132,0.87867650,0.33800670,0.07145365,0.87169400,0.33121800,12,7
0.02392502,0.84302370,0.31438320,0.02392502,0.84302370,0.31438320,0.02392502,0.84302370,0.31438320,0.03022760,0.86181690,0.32875080,0.03459409,0.88131420,0.34191980,0.04523777,0.90985660,0.34913740,0.06676358,0.93366220,0.35449220,0.07157143,0.88320170,0.38665380,0.08998024,0.91460230,0.38961240,0.09106009,0.93517010,0.37850300,0.08641770,0.87250280,0.37534160,0.09719630,0.91152450,0.36700170,0.07702895,0.90942070,0.34989870,0.09522926,0.86837980,0.35783840,0.09970553,0.90479730,0.34986360,0.07932642,0.90043680,0.33501920,0.06280034,0.85399550,0.31855060,0.10043700,0.86642600,0.33755210,0.10065290,0.89577260,0.33385190,0.08285783,0.89111750,0.32720760,0.07636900,0.95485120,0.35905190,0.09018368,0.95214890,0.36524870,0.06426162,0.88917670,0.35240580,0.07081474,0.87877650,0.33809670,0.07515845,0.87184510,0.33124330,12,7
0.02799077,0.84342670,0.31355700,0.02799077,0.84342670,0.31355700,0.02799077,0.84342670,0.31355700,0.03422801,0.86211350,0.32809090,0.03856185,0.88152000,0.34140410,0.04908892,0.91011260,0.34859340,0.07033721,0.93414410,0.35404690,0.07549490,0.88312640,0.38618460,0.09386887,0.91452990,0.38932470,0.09502778,0.93525720,0.37852410,0.09037843,0.87257910,0.37477950,0.10092960,0.91172760,0.36674880,0.08081758,0.90969350,0.34957230,0.09920510,0.86864160,0.35724120,0.10352690,0.90513660,0.34954120,0.08314075,0.90084600,0.33468610,0.06682798,0.85449450,0.31782480,0.10442070,0.86688520,0.33693890,0.10446310,0.89625700,0.33343750,0.08666579,0.89163630,0.32677500,0.07976766,0.95540220,0.35865010,0.09424688,0.95245630,0.36555080,0.06820402,0.88933940,0.35196440,0.07475355,0.87912030,0.33764280,0.07896136,0.87232930,0.33063160,12,7
