RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.04516730,0.77705120,0.27363040,0.04516730,0.77705120,0.27363040,0.04516730,0.77705120,0.27363040,0.04989620,0.79427750,0.29037030,0.05385333,0.81286980,0.30490660,0.06359564,0.84055540,0.31579890,0.08112516,0.86587980,0.32629330,0.09214754,0.81285760,0.34858530,0.10286050,0.84727540,0.35444120,0.10047630,0.86923260,0.34670710,0.10742850,0.80621050,0.33497830,0.11322960,0.84713400,0.33518110,0.09404425,0.84898820,0.31695610,0.11538350,0.80601140,0.31660210,0.11555440,0.84354550,0.31558850,0.09500716,0.84051720,0.30064470,0.08237536,0.79288520,0.27735630,0.11927300,0.80781020,0.29600820,0.11664560,0.83720760,0.29797010,0.09942696,0.83092330,0.29115050,0.08890701,0.88668290,0.33458190,0.09562515,0.88677040,0.33514780,0.08275457,0.82799350,0.31365860,0.08686062,0.81865370,0.29805390,0.09124844,0.81143020,0.29080090,12,4
0.04522591,0.77950580,0.27426390,0.04522591,0.77950580,0.27426390,0.04522591,0.77950580,0.27426390,0.05002715,0.79681100,0.29090170,0.05403586,0.81547320,0.30533380,0.06376255,0.84323570,0.31604270,0.08116221,0.86870620,0.32639870,0.09270467,0.81577460,0.34868040,0.10316790,0.85031320,0.35427010,0.10050840,0.87217370,0.34635430,0.10789460,0.80914410,0.33496390,0.11346120,0.85010050,0.33486790,0.09405765,0.85160990,0.31684330,0.11569000,0.80891380,0.31651970,0.11561580,0.84644110,0.31527230,0.09493355,0.84309630,0.30058430,0.08239734,0.79550990,0.27760960,0.11939230,0.81065630,0.29588660,0.11654700,0.84004280,0.29770220,0.09932493,0.83356080,0.29107890,0.08881469,0.88958190,0.33462480,0.09547180,0.88961260,0.33472490,0.08293545,0.83047750,0.31387220,0.08703286,0.82110610,0.29832540,0.09140034,0.81396040,0.29095580,12,4
0.04489133,0.78276490,0.27511370,0.04489133,0.78276490,0.27511370,0.04489133,0.78276490,0.27511370,0.04990868,0.80038760,0.29134960,0.05411275,0.81932600,0.30536000,0.06401308,0.84726990,0.31541850,0.08146182,0.87293950,0.32518340,0.09327437,0.82041770,0.34824940,0.10371900,0.85508690,0.35300240,0.10089700,0.87673500,0.34457520,0.10829610,0.81349140,0.33449380,0.11386470,0.85443370,0.33342550,0.09420748,0.85542810,0.31564150,0.11587900,0.81288310,0.31596980,0.11576750,0.85037320,0.31388640,0.09490111,0.84660260,0.29956670,0.08212222,0.79876890,0.27771620,0.11934680,0.81421090,0.29526520,0.11645110,0.84362360,0.29647710,0.09918122,0.83694440,0.29018240,0.08913320,0.89396740,0.33299390,0.09574235,0.89391290,0.33261390,0.08312543,0.83418840,0.31336670,0.08711854,0.82450970,0.29800900,0.09139919,0.81729110,0.29060370,12,4
0.04460504,0.78588890,0.27595210,0.04460504,0.78588890,0.27595210,0.04460504,0.78588890,0.27595210,0.04981590,0.80380730,0.29179870,0.05419306,0.82300110,0.30540280,0.06424849,0.85110130,0.31485330,0.08172508,0.87695060,0.32407960,0.09380494,0.82484300,0.34785080,0.10421720,0.85962060,0.35181890,0.10123080,0.88105130,0.34290680,0.10867190,0.81763630,0.33407110,0.11422370,0.85854610,0.33207280,0.09432974,0.85903520,0.31453270,0.11605820,0.81666750,0.31548320,0.11588830,0.85410430,0.31259890,0.09485939,0.84991720,0.29863710,0.08188176,0.80188410,0.27786020,0.11930900,0.81759940,0.29472180,0.11633880,0.84702270,0.29536100,0.09903985,0.84015110,0.28935990,0.08939886,0.89811460,0.33151110,0.09596045,0.89797040,0.33063110,0.08330851,0.83770250,0.31293250,0.08722079,0.82773680,0.29775720,0.09141964,0.82045190,0.29028810,12,4
0.04435667,0.78890700,0.27678150,0.04435667,0.78890700,0.27678150,0.04435667,0.78890700,0.27678150,0.04974314,0.80710320,0.29224820,0.05433083,0.82656210,0.30539880,0.06455168,0.85485170,0.31407520,0.08196269,0.88095120,0.32270170,0.09430438,0.82909570,0.34747510,0.10441040,0.86403890,0.35071240,0.10125080,0.88523990,0.34132340,0.10902710,0.82162060,0.33368350,0.11442590,0.86248910,0.33067580,0.09429882,0.86238210,0.31339720,0.11622930,0.82030490,0.31504470,0.11601990,0.85767310,0.31137890,0.09480471,0.85313740,0.29781340,0.08166832,0.80488550,0.27803330,0.11927710,0.82085550,0.29423900,0.11629680,0.85028470,0.29422830,0.09888250,0.84325890,0.28876360,0.08953481,0.90229630,0.32970710,0.09596277,0.90193740,0.32875530,0.08341219,0.84093890,0.31251310,0.08732032,0.83088790,0.29762850,0.09139869,0.82355050,0.29036460,12,4
0.04339734,0.79169010,0.27919170,0.04339734,0.79169010,0.27919170,0.04339734,0.79169010,0.27919170,0.04909051,0.81020950,0.29415680,0.05400592,0.82996490,0.30673440,0.06451325,0.85842320,0.31446550,0.08198668,0.88473380,0.32228680,0.09456216,0.83325170,0.34820090,0.10451010,0.86831460,0.35049750,0.10119900,0.88924240,0.34056380,0.10904600,0.82539700,0.33436750,0.11439730,0.86616410,0.33014620,0.09395652,0.86546450,0.31325400,0.11596420,0.82362370,0.31565920,0.11580200,0.86088700,0.31104590,0.09432928,0.85602040,0.29801060,0.08079073,0.80752240,0.27952550,0.11870400,0.82368580,0.29480350,0.11578710,0.85311140,0.29403980,0.09823240,0.84597860,0.28919820,0.08956499,0.90625220,0.32873310,0.09587187,0.90566850,0.32765910,0.08313952,0.84396800,0.31323390,0.08693777,0.83374830,0.29865090,0.09084450,0.82631110,0.29156450,12,4
0.04252357,0.79442240,0.28146350,0.04252357,0.79442240,0.28146350,0.04252357,0.79442240,0.28146350,0.04849620,0.81324150,0.29593790,0.05370899,0.83326720,0.30795570,0.06446934,0.86186200,0.31478190,0.08198277,0.88836130,0.32183970,0.09480598,0.83727350,0.34882680,0.10458670,0.87243050,0.35022810,0.10112230,0.89308110,0.33977970,0.10906510,0.82905750,0.33496980,0.11434000,0.86969780,0.32958790,0.09360801,0.86843050,0.31308820,0.11571450,0.82684610,0.31621070,0.11557240,0.86398580,0.31068970,0.09386755,0.85880670,0.29816960,0.07997854,0.81010300,0.28093080,0.11816320,0.82643980,0.29532270,0.11527970,0.85584150,0.29384280,0.09761241,0.84861680,0.28958190,0.08955176,0.91003460,0.32775610,0.09575598,0.90924130,0.32655950,0.08288218,0.84690350,0.31389780,0.08659177,0.83653320,0.29959910,0.09034158,0.82900470,0.29266270,12,4
0.04171794,0.79711220,0.28362460,0.04171794,0.79711220,0.28362460,0.04171794,0.79711220,0.28362460,0.04794778,0.81621100,0.29761610,0.05341409,0.83647680,0.30910740,0.06436649,0.86519040,0.31507540,0.08190766,0.89186010,0.32138270,0.09503703,0.84118190,0.34936970,0.10469800,0.87639530,0.34993790,0.10117180,0.89682980,0.33909280,0.10908260,0.83261970,0.33550420,0.11420020,0.87310740,0.32894850,0.09318665,0.87127240,0.31286360,0.11547580,0.82998580,0.31671070,0.11527230,0.86698040,0.31029000,0.09337546,0.86146680,0.29825630,0.07921778,0.81263510,0.28226680,0.11764680,0.82912760,0.29580560,0.11450900,0.85845570,0.29357460,0.09679714,0.85108130,0.28978090,0.08955170,0.91365460,0.32673010,0.09584735,0.91282180,0.32565300,0.08258003,0.84973290,0.31449390,0.08620898,0.83921620,0.30041100,0.08961800,0.83154100,0.29347230,12,4
0.04265758,0.79956910,0.28465060,0.04265758,0.79956910,0.28465060,0.04265758,0.79956910,0.28465060,0.04892582,0.81882790,0.29840370,0.05443006,0.83923590,0.30962190,0.06532124,0.86806700,0.31511700,0.08265379,0.89495400,0.32106780,0.09633589,0.84448590,0.34952440,0.10560590,0.87980830,0.34970830,0.10190690,0.90011350,0.33867950,0.11030180,0.83584250,0.33562880,0.11498230,0.87626950,0.32840520,0.09379096,0.87390550,0.31262550,0.11655220,0.83304940,0.31681020,0.11603450,0.86995650,0.30992140,0.09405390,0.86409210,0.29821060,0.08008374,0.81522240,0.28283490,0.11855640,0.83199480,0.29589750,0.11496590,0.86123660,0.29325450,0.09728879,0.85363390,0.28976110,0.09017324,0.91685780,0.32613850,0.09655799,0.91604070,0.32517240,0.08346726,0.85227370,0.31476970,0.08716382,0.84180010,0.30079590,0.09034283,0.83407830,0.29380130,12,4
0.04346785,0.80188370,0.28563650,0.04346785,0.80188370,0.28563650,0.04346785,0.80188370,0.28563650,0.04977632,0.82129480,0.29915490,0.05532193,0.84183780,0.31010330,0.06616260,0.87077200,0.31513690,0.08329765,0.89785860,0.32074490,0.09748934,0.84760100,0.34966060,0.10638790,0.88301870,0.34946650,0.10252690,0.90319180,0.33825230,0.11137760,0.83886980,0.33574210,0.11564600,0.87922140,0.32787160,0.09429308,0.87635060,0.31239670,0.11749320,0.83591550,0.31690390,0.11668480,0.87272930,0.30955850,0.09462818,0.86653440,0.29816520,0.08082625,0.81764160,0.28338290,0.11934110,0.83466560,0.29598760,0.11532700,0.86381390,0.29295010,0.09768575,0.85600140,0.28975080,0.09069794,0.91986260,0.32554970,0.09716042,0.91905290,0.32467470,0.08424449,0.85464480,0.31504100,0.08800617,0.84421390,0.30117130,0.09096610,0.83644000,0.29413120,12,4
