RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.06334756,1.01074500,0.45272370,0.06334756,1.01074500,0.45272370,0.06334756,1.01074500,0.45272370,0.07271239,1.03037100,0.44117810,0.08422685,1.04801000,0.42953920,0.10060210,1.07477000,0.42688260,0.10929490,1.10629800,0.42577550,0.05827688,1.08660600,0.39414860,0.06816355,1.12151300,0.39986180,0.07956901,1.14027700,0.40833060,0.04140466,1.08862100,0.40754290,0.06808202,1.11603600,0.42381240,0.07812251,1.09352100,0.43400990,0.03395325,1.08908800,0.42624730,0.06185864,1.10967600,0.44119490,0.07352318,1.08717800,0.44566280,0.04664292,1.04773300,0.45727710,0.03069860,1.08768900,0.44710360,0.05480581,1.10346700,0.45451210,0.06500107,1.08665200,0.45408240,0.12314050,1.12545500,0.42264960,0.08828499,1.15836800,0.41650420,0.06771660,1.07380300,0.42459420,0.06426066,1.06702900,0.43756320,0.05773962,1.06856100,0.44559220,13,5
0.06401822,1.00744000,0.45202930,0.06401822,1.00744000,0.45202930,0.06401822,1.00744000,0.45202930,0.07329360,1.02714700,0.44054900,0.08470884,1.04490600,0.42899620,0.10103240,1.07171700,0.42654190,0.10954570,1.10330500,0.42581230,0.05852600,1.08363900,0.39393300,0.06867094,1.11839900,0.40007370,0.08028457,1.13692500,0.40878110,0.04172477,1.08555100,0.40743110,0.06850142,1.11285400,0.42372640,0.07853191,1.09026200,0.43375980,0.03437534,1.08589800,0.42617840,0.06242222,1.10627500,0.44115000,0.07412053,1.08375100,0.44539020,0.04728971,1.04437800,0.45689300,0.03123689,1.08437100,0.44704350,0.05546845,1.09997000,0.45442570,0.06566991,1.08316200,0.45388930,0.12315620,1.12267600,0.42298910,0.08922367,1.15478600,0.41721290,0.06806380,1.07060000,0.42429590,0.06486996,1.06362500,0.43721980,0.05847782,1.06505600,0.44537140,13,5
0.06463374,1.00415300,0.45137610,0.06463374,1.00415300,0.45137610,0.06463374,1.00415300,0.45137610,0.07382253,1.02394000,0.43996250,0.08514167,1.04181900,0.42849940,0.10140950,1.06868000,0.42624470,0.10976060,1.10031800,0.42586740,0.05873771,1.08067700,0.39374750,0.06912395,1.11529200,0.40029400,0.08093422,1.13358400,0.40922740,0.04200249,1.08248700,0.40734150,0.06886812,1.10968500,0.42366690,0.07888911,1.08701900,0.43354400,0.03474782,1.08271600,0.42612740,0.06292361,1.10289600,0.44112350,0.07465416,1.08034900,0.44514730,0.04787731,1.04103800,0.45653690,0.03171750,1.08106400,0.44699910,0.05605628,1.09650600,0.45435720,0.06627133,1.07971000,0.45372120,0.12315190,1.11988100,0.42333120,0.09008288,1.15122200,0.41790220,0.06836420,1.06741200,0.42403010,0.06541820,1.06024500,0.43690660,0.05915460,1.06158800,0.44517530,13,5
0.06520581,1.00088300,0.45075560,0.06520581,1.00088300,0.45075560,0.06520581,1.00088300,0.45075560,0.07431030,1.02074700,0.43940990,0.08555742,1.03867800,0.42795650,0.10189200,1.06551300,0.42588090,0.11030950,1.09713600,0.42575870,0.05892012,1.07772000,0.39358650,0.06963360,1.11212300,0.40069560,0.08167572,1.13011700,0.40992070,0.04224706,1.07942800,0.40726970,0.06921127,1.10649200,0.42365360,0.07927066,1.08378400,0.43339250,0.03508155,1.07954000,0.42609090,0.06334945,1.09958600,0.44109340,0.07510710,1.07702100,0.44493060,0.04841850,1.03771300,0.45620300,0.03215309,1.07776700,0.44696710,0.05660670,1.09303400,0.45430900,0.06677195,1.07621400,0.45353750,0.12361260,1.11678700,0.42345090,0.09102584,1.14751000,0.41887090,0.06871587,1.06421400,0.42383410,0.06582828,1.05697100,0.43660550,0.05956477,1.05816000,0.44492130,13,5
0.06540944,0.99797510,0.45173160,0.06540944,0.99797510,0.45173160,0.06540944,0.99797510,0.45173160,0.07441847,1.01784400,0.44031860,0.08558425,1.03576400,0.42876880,0.10192710,1.06259500,0.42670470,0.11033810,1.09421900,0.42660940,0.05872573,1.07465200,0.39439380,0.06966299,1.10892500,0.40178850,0.08186907,1.12672300,0.41117470,0.04207675,1.07633400,0.40810950,0.06904108,1.10345400,0.42440170,0.07915780,1.08080000,0.43420900,0.03495216,1.07646600,0.42694620,0.06323246,1.09655600,0.44186550,0.07505267,1.07402700,0.44572650,0.04850347,1.03475800,0.45712830,0.03207579,1.07473200,0.44783290,0.05658855,1.08994200,0.45509670,0.06674561,1.07311500,0.45435280,0.12351710,1.11396600,0.42440780,0.09135716,1.14396500,0.42027060,0.06863581,1.06117200,0.42473500,0.06579593,1.05394500,0.43745540,0.05951672,1.05504200,0.44579530,13,5
0.06561397,0.99504590,0.45259810,0.06561397,0.99504590,0.45259810,0.06561397,0.99504590,0.45259810,0.07452972,1.01492500,0.44113010,0.08561470,1.03284300,0.42950040,0.10196220,1.05967400,0.42746720,0.11036400,1.09130100,0.42741980,0.05854128,1.07159800,0.39514010,0.06969577,1.10573700,0.40282240,0.08206266,1.12333800,0.41236930,0.04191696,1.07324700,0.40888970,0.06888343,1.10041000,0.42510530,0.07905342,1.07780400,0.43496620,0.03483355,1.07338800,0.42774180,0.06312822,1.09351100,0.44258960,0.07500823,1.07101500,0.44646010,0.04859413,1.03178000,0.45796730,0.03200922,1.07168100,0.44863780,0.05658098,1.08682800,0.45583270,0.06672966,1.06999600,0.45510680,0.12341950,1.11114200,0.42533610,0.09168722,1.14042600,0.42161210,0.06856104,1.05812500,0.42556410,0.06577329,1.05090500,0.43823200,0.05948149,1.05190800,0.44659800,13,5
0.06581920,0.99210040,0.45337840,0.06581920,0.99210040,0.45337840,0.06581920,0.99210040,0.45337840,0.07464334,1.01199400,0.44186520,0.08566397,1.02986700,0.43010540,0.10205160,1.05666800,0.42799780,0.11014560,1.08837400,0.42820920,0.05836454,1.06855500,0.39583830,0.07009327,1.10239300,0.40398010,0.08270627,1.11970600,0.41373110,0.04176537,1.07016600,0.40962270,0.06857608,1.09760300,0.42563470,0.07895770,1.07514100,0.43560450,0.03472339,1.07030700,0.42849030,0.06291446,1.09065900,0.44322360,0.07498030,1.06825800,0.44706520,0.04868929,1.02878500,0.45873840,0.03195113,1.06861900,0.44939480,0.05638310,1.08403100,0.45650170,0.06678851,1.06735400,0.45582620,0.12286120,1.10846200,0.42640590,0.09254804,1.13656900,0.42315440,0.06861355,1.05531200,0.42635540,0.06589369,1.04805700,0.43889350,0.05980474,1.04912600,0.44739530,13,5
0.06574734,0.98898580,0.45451830,0.06574734,0.98898580,0.45451830,0.06574734,0.98898580,0.45451830,0.07461176,1.00886600,0.44301200,0.08569890,1.02666900,0.43120940,0.10216160,1.05342800,0.42915580,0.10998550,1.08519900,0.42963420,0.05855332,1.06524000,0.39668070,0.07074828,1.09879200,0.40531100,0.08350435,1.11583200,0.41535130,0.04184242,1.06685300,0.41032930,0.06837089,1.09454800,0.42636620,0.07882778,1.07223300,0.43658390,0.03465214,1.06703600,0.42914050,0.06261531,1.08760300,0.44400840,0.07479811,1.06528800,0.44798640,0.04848401,1.02564300,0.45962800,0.03172003,1.06540500,0.45002780,0.05596103,1.08105700,0.45726370,0.06659888,1.06452100,0.45677410,0.12240280,1.10550200,0.42819060,0.09346594,1.13248800,0.42501510,0.06869798,1.05225700,0.42741390,0.06591705,1.04499600,0.43981650,0.05993740,1.04615300,0.44838600,13,5
0.06569716,0.98604640,0.45552850,0.06569716,0.98604640,0.45552850,0.06569716,0.98604640,0.45552850,0.07459165,1.00591800,0.44403030,0.08573390,1.02366100,0.43218850,0.10226730,1.05038000,0.43019340,0.10982320,1.08221100,0.43094100,0.05871166,1.06213400,0.39744540,0.07133599,1.09540000,0.40654820,0.08422754,1.11217200,0.41686370,0.04190557,1.06374200,0.41097710,0.06818202,1.09166800,0.42702790,0.07870950,1.06948900,0.43746550,0.03458851,1.06395600,0.42973900,0.06234785,1.08471500,0.44472150,0.07464092,1.06248200,0.44881200,0.04831305,1.02267600,0.46042660,0.03151985,1.06237200,0.45061030,0.05558595,1.07824300,0.45795450,0.06643832,1.06184200,0.45763040,0.12193940,1.10271600,0.42984660,0.09430363,1.12862200,0.42675820,0.06877310,1.04938100,0.42837250,0.06594772,1.04210700,0.44064390,0.06007649,1.04334800,0.44928600,13,5
0.06566623,0.98307370,0.45647640,0.06566623,0.98307370,0.45647640,0.06566623,0.98307370,0.45647640,0.07458226,1.00294100,0.44498800,0.08578206,1.02059600,0.43306900,0.10242690,1.04724800,0.43109550,0.10981560,1.07911300,0.43203570,0.05884918,1.05901500,0.39818270,0.07173078,1.09210900,0.40755150,0.08471237,1.10868300,0.41807030,0.04195770,1.06061200,0.41160900,0.06804421,1.08869400,0.42769850,0.07852480,1.06657000,0.43829930,0.03452677,1.06085000,0.43032580,0.06205063,1.08187000,0.44537900,0.07444361,1.05972000,0.44961750,0.04816468,1.01967200,0.46118770,0.03133569,1.05930600,0.45118170,0.05513711,1.07553800,0.45859610,0.06614080,1.05923600,0.45841720,0.12168620,1.09977400,0.43122740,0.09489968,1.12494700,0.42815760,0.06865756,1.04643500,0.42919070,0.06587043,1.03929400,0.44145240,0.05994947,1.04066800,0.45011130,13,5
