RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.04850093,0.86054040,0.35273820,0.04850093,0.86054040,0.35273820,0.04850093,0.86054040,0.35273820,0.03923161,0.88334900,0.35293770,0.02883597,0.90498180,0.35116520,0.02593263,0.93434690,0.34018700,0.02444562,0.96637300,0.33363140,0.02421875,0.94314680,0.39514400,0.02827790,0.97566840,0.37856770,0.03230250,0.99160720,0.36172600,0.04464847,0.93942210,0.40121780,0.05057602,0.96981160,0.37348120,0.04673589,0.94949300,0.35662530,0.06373522,0.93509530,0.39646690,0.06595744,0.96040760,0.36853220,0.05883366,0.93823390,0.35758910,0.07080959,0.89215630,0.36580220,0.08175057,0.92940220,0.38695000,0.07901421,0.95139650,0.36710720,0.07154047,0.93543780,0.35837080,0.01841155,0.98764360,0.32470900,0.03751642,1.00475300,0.34529280,0.03942821,0.92948380,0.36811310,0.05366617,0.91920850,0.37057860,0.06711967,0.91812410,0.36989470,13,7
0.04759827,0.85966240,0.35235400,0.04759827,0.85966240,0.35235400,0.04759827,0.85966240,0.35235400,0.03843550,0.88249440,0.35332180,0.02807806,0.90419270,0.35227650,0.02530847,0.93398650,0.34248250,0.02344111,0.96621450,0.33712300,0.02309357,0.94065920,0.39763910,0.02723553,0.97414400,0.38313030,0.03152074,0.99068030,0.36694150,0.04341469,0.93658890,0.40385390,0.04979695,0.96832560,0.37777670,0.04640279,0.94872880,0.35999590,0.06254786,0.93235150,0.39921050,0.06526606,0.95878870,0.37238360,0.05833892,0.93711100,0.36037260,0.06986417,0.89061900,0.36697700,0.08067270,0.92694260,0.38973580,0.07829557,0.94959740,0.37060250,0.07085678,0.93397710,0.36124660,0.01678047,0.98754300,0.32880480,0.03701164,1.00417100,0.35088260,0.03895439,0.92822200,0.37047110,0.05298738,0.91768520,0.37267690,0.06627382,0.91638360,0.37227260,13,7
0.04672136,0.85886040,0.35193410,0.04672136,0.85886040,0.35193410,0.04672136,0.85886040,0.35193410,0.03765425,0.88168640,0.35365240,0.02735720,0.90343590,0.35330930,0.02475481,0.93360380,0.34468470,0.02257764,0.96598500,0.34049220,0.02195608,0.93818250,0.39995890,0.02614882,0.97248720,0.38752890,0.03068799,0.98958180,0.37200290,0.04216660,0.93376840,0.40629840,0.04896860,0.96675020,0.38192820,0.04602904,0.94789760,0.36328280,0.06134392,0.92961160,0.40176560,0.06454275,0.95711170,0.37608470,0.05782592,0.93596390,0.36305310,0.06892249,0.88911270,0.36805310,0.07957663,0.92447540,0.39234630,0.07755467,0.94775720,0.37393860,0.07014978,0.93249410,0.36398540,0.01532890,0.98733050,0.33272790,0.03645401,1.00339500,0.35631870,0.03845624,0.92694860,0.37274490,0.05229840,0.91617440,0.37468140,0.06541489,0.91465060,0.37453520,13,7
0.04586484,0.85811840,0.35148660,0.04586484,0.85811840,0.35148660,0.04586484,0.85811840,0.35148660,0.03688291,0.88091090,0.35394020,0.02669940,0.90271390,0.35427580,0.02432894,0.93321660,0.34684430,0.02223222,0.96574110,0.34390880,0.02080178,0.93570140,0.40212670,0.02528566,0.97047500,0.39119090,0.03018198,0.98779830,0.37603120,0.04089970,0.93094460,0.40857540,0.04820587,0.96482490,0.38562490,0.04543402,0.94669270,0.36625340,0.06011909,0.92686060,0.40415590,0.06376822,0.95539160,0.37968840,0.05733759,0.93477990,0.36568930,0.06797989,0.88762330,0.36904500,0.07845820,0.92198740,0.39480370,0.07686965,0.94608070,0.37742670,0.06950230,0.93133380,0.36669760,0.01507537,0.98737450,0.33689230,0.03629562,1.00163900,0.36050410,0.03762911,0.92544880,0.37482780,0.05166559,0.91464670,0.37663820,0.06458348,0.91316400,0.37658530,13,7
0.04515333,0.85823430,0.35158660,0.04515333,0.85823430,0.35158660,0.04515333,0.85823430,0.35158660,0.03618257,0.88094740,0.35472310,0.02602729,0.90274380,0.35570790,0.02367223,0.93347890,0.34929930,0.02146304,0.96607400,0.34741910,0.02004545,0.93424140,0.40454140,0.02451338,0.96938990,0.39487070,0.02950706,0.98684240,0.37989220,0.04012738,0.92927320,0.41087960,0.04749677,0.96390820,0.38910620,0.04477191,0.94637600,0.36918350,0.05935252,0.92531250,0.40637370,0.06302462,0.95468650,0.38292850,0.05681870,0.93452080,0.36819760,0.06725460,0.88716800,0.37008740,0.07770650,0.92071540,0.39691150,0.07623842,0.94545630,0.38045850,0.06884375,0.93115350,0.36916210,0.01410803,0.98783960,0.34104540,0.03571850,1.00060300,0.36433220,0.03694687,0.92488160,0.37708900,0.05122881,0.91412090,0.37868530,0.06394775,0.91273080,0.37858230,13,7
0.04444402,0.85832060,0.35162250,0.04444402,0.85832060,0.35162250,0.04444402,0.85832060,0.35162250,0.03548860,0.88093640,0.35543290,0.02537130,0.90271220,0.35705900,0.02305396,0.93364670,0.35167880,0.02074841,0.96627890,0.35085270,0.01926515,0.93268640,0.40682620,0.02373244,0.96816700,0.39845540,0.02883701,0.98577070,0.38369270,0.03932339,0.92750170,0.41306510,0.04678175,0.96286160,0.39252200,0.04413012,0.94595250,0.37205820,0.05855718,0.92365960,0.40849390,0.06228354,0.95384060,0.38610610,0.05630165,0.93415280,0.37065360,0.06652288,0.88664400,0.37107030,0.07693340,0.91933540,0.39894670,0.07560843,0.94468660,0.38343750,0.06819197,0.93085080,0.37158730,0.01317785,0.98814310,0.34509940,0.03515708,0.99948180,0.36813290,0.03627599,0.92422630,0.37927090,0.05077005,0.91349770,0.38066160,0.06330182,0.91218780,0.38052510,13,7
0.04373672,0.85838380,0.35160800,0.04373672,0.85838380,0.35160800,0.04373672,0.85838380,0.35160800,0.03479873,0.88088420,0.35608400,0.02472593,0.90262400,0.35834470,0.02250316,0.93371540,0.35391300,0.02023800,0.96636050,0.35407400,0.01846163,0.93104460,0.40899490,0.02293028,0.96671630,0.40148090,0.02812634,0.98462400,0.38712120,0.03849017,0.92563970,0.41514180,0.04607912,0.96164160,0.39579630,0.04345477,0.94532660,0.37485240,0.05773497,0.92191230,0.41052230,0.06155035,0.95286690,0.38923260,0.05576520,0.93373860,0.37302110,0.06578438,0.88605960,0.37200060,0.07613945,0.91785810,0.40091120,0.07486317,0.94366530,0.38616910,0.06754111,0.93018340,0.37386110,0.01265249,0.98837150,0.34893250,0.03455253,0.99860780,0.37185020,0.03554241,0.92341880,0.38142360,0.05023760,0.91278240,0.38238490,0.06262429,0.91124640,0.38218710,13,7
0.04285347,0.85874270,0.35204550,0.04285347,0.85874270,0.35204550,0.04285347,0.85874270,0.35204550,0.03401851,0.88119770,0.35693560,0.02408478,0.90295770,0.35958310,0.02212696,0.93415400,0.35581290,0.02004663,0.96680100,0.35665270,0.01754637,0.93030110,0.41078780,0.02221757,0.96607010,0.40388430,0.02766858,0.98409120,0.38976290,0.03748784,0.92463520,0.41698260,0.04546874,0.96104180,0.39857490,0.04290926,0.94515870,0.37729380,0.05674752,0.92088540,0.41244390,0.06090127,0.95236750,0.39200830,0.05530372,0.93369650,0.37520860,0.06489962,0.88582680,0.37321930,0.07520727,0.91692260,0.40290100,0.07418367,0.94304480,0.38870390,0.06694277,0.92985890,0.37603250,0.01253734,0.98891910,0.35187180,0.03434828,0.99812980,0.37465200,0.03480648,0.92317810,0.38337120,0.04963603,0.91257380,0.38410270,0.06187651,0.91077390,0.38391930,13,7
0.04198629,0.85906080,0.35241020,0.04198629,0.85906080,0.35241020,0.04198629,0.85906080,0.35241020,0.03324512,0.88145390,0.35773310,0.02344315,0.90322030,0.36078790,0.02173831,0.93450770,0.35771390,0.01982274,0.96713890,0.35926290,0.01660937,0.92942920,0.41254330,0.02146808,0.96529790,0.40631960,0.02717491,0.98342690,0.39243970,0.03646277,0.92350130,0.41877550,0.04481907,0.96031040,0.40136200,0.04234235,0.94488820,0.37973470,0.05573759,0.91973540,0.41431510,0.06021682,0.95173860,0.39477720,0.05482078,0.93355070,0.37739180,0.06401333,0.88552210,0.37437640,0.07425399,0.91587480,0.40484020,0.07348035,0.94231420,0.39122660,0.06632264,0.92944690,0.37818580,0.01235967,0.98934970,0.35485400,0.03410903,0.99750800,0.37748360,0.03406032,0.92283610,0.38528880,0.04902080,0.91226690,0.38580360,0.06111778,0.91022180,0.38562950,13,7
0.04113162,0.85934670,0.35271750,0.04113162,0.85934670,0.35271750,0.04113162,0.85934670,0.35271750,0.03247582,0.88166220,0.35848750,0.02275737,0.90340230,0.36196710,0.02119811,0.93476460,0.35967910,0.01938169,0.96735260,0.36204030,0.01565029,0.92844780,0.41425980,0.02095971,0.96438600,0.40886020,0.02696140,0.98260470,0.39522400,0.03541455,0.92225670,0.42051940,0.04405124,0.95942210,0.40402330,0.04181384,0.94441210,0.38208230,0.05470467,0.91847960,0.41613520,0.05947011,0.95080080,0.39719780,0.05427547,0.93306510,0.37929160,0.06312324,0.88515620,0.37548050,0.07327888,0.91472900,0.40672960,0.07267112,0.94135810,0.39348200,0.06564093,0.92873690,0.38013490,0.01211995,0.98973270,0.35818560,0.03413638,0.99672680,0.38042100,0.03342700,0.92227600,0.38712150,0.04831446,0.91158080,0.38705610,0.06024171,0.90934290,0.38697810,13,7
