RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.00538685,0.79174530,0.36875130,0.00538685,0.79174530,0.36875130,0.00538685,0.79174530,0.36875130,0.00623601,0.81629120,0.36702780,0.00910406,0.83979580,0.36272740,0.01777907,0.86967410,0.36755400,0.01787922,0.89826120,0.38347950,-0.03415618,0.87910750,0.36476490,-0.03031511,0.90928190,0.38534780,-0.01615366,0.92323250,0.39794610,-0.04329828,0.86949740,0.38185890,-0.02088300,0.89827630,0.40179130,-0.00044386,0.88202800,0.39631900,-0.04153006,0.85938590,0.39918600,-0.01638589,0.88326070,0.41414470,0.00217272,0.86815210,0.40468540,-0.01158988,0.81540320,0.39738700,-0.03486288,0.84815300,0.41582650,-0.01557900,0.86945620,0.42352580,-0.00195877,0.85915880,0.41376300,0.02354406,0.92048200,0.39000660,-0.00677112,0.93734930,0.41146380,-0.00684325,0.86412080,0.38134830,-0.00549658,0.85048400,0.39103200,-0.00750481,0.84328650,0.40074690,13,6
0.00425191,0.79266230,0.36835620,0.00425191,0.79266230,0.36835620,0.00425191,0.79266230,0.36835620,0.00574639,0.81717610,0.36661500,0.00921500,0.84059100,0.36226770,0.01892788,0.87014500,0.36711360,0.02009595,0.89868700,0.38307740,-0.03296671,0.88104720,0.36453970,-0.02767617,0.91125500,0.38474860,-0.01304965,0.92487460,0.39717660,-0.04226813,0.87169120,0.38168860,-0.01879736,0.89972620,0.40146560,0.00104836,0.88282980,0.39577600,-0.04067540,0.86154280,0.39901110,-0.01467635,0.88463660,0.41373270,0.00335929,0.86893380,0.40422960,-0.01193006,0.81677600,0.39707170,-0.03421922,0.85014240,0.41562080,-0.01405494,0.87071890,0.42303590,-0.00076227,0.86001130,0.41326280,0.02651415,0.92067990,0.38967860,-0.00317875,0.93883190,0.41051080,-0.00601848,0.86514380,0.38084270,-0.00487025,0.85144770,0.39066840,-0.00680674,0.84426550,0.40031530,13,6
0.00265589,0.79378270,0.36850780,0.00265589,0.79378270,0.36850780,0.00265589,0.79378270,0.36850780,0.00474639,0.81826210,0.36690070,0.00876689,0.84160810,0.36265960,0.01946358,0.87078400,0.36772020,0.02166212,0.89914340,0.38389940,-0.03238580,0.88308160,0.36542760,-0.02559279,0.91312320,0.38543400,-0.01049953,0.92632210,0.39775740,-0.04181648,0.87385590,0.38257650,-0.01735534,0.90102890,0.40235670,0.00189548,0.88357130,0.39632750,-0.04037509,0.86356800,0.39982990,-0.01359715,0.88582300,0.41444680,0.00392660,0.86963590,0.40479960,-0.01275796,0.81811690,0.39745900,-0.03410694,0.85191250,0.41633420,-0.01311025,0.87170560,0.42356920,-0.00013977,0.86068280,0.41371400,0.02879452,0.92084880,0.39071590,-0.00013258,0.94002390,0.41097980,-0.00581601,0.86621460,0.38132690,-0.00482508,0.85241320,0.39122810,-0.00665652,0.84514770,0.40074100,13,6
0.00110667,0.79489560,0.36863300,0.00110667,0.79489560,0.36863300,0.00110667,0.79489560,0.36863300,0.00379540,0.81932430,0.36714730,0.00837002,0.84258600,0.36300620,0.02003053,0.87135480,0.36826480,0.02324500,0.89950530,0.38463770,-0.03172334,0.88505200,0.36624030,-0.02344349,0.91485060,0.38604910,-0.00788936,0.92760690,0.39826500,-0.04128408,0.87596730,0.38339250,-0.01586913,0.90226150,0.40315790,0.00276974,0.88426360,0.39680330,-0.04000209,0.86555060,0.40058100,-0.01248390,0.88695910,0.41508690,0.00451717,0.87030300,0.40530380,-0.01353587,0.81944250,0.39780420,-0.03393304,0.85365110,0.41698540,-0.01214727,0.87264280,0.42403330,0.00049209,0.86131010,0.41409960,0.03107842,0.92090400,0.39165140,0.00297260,0.94102980,0.41137560,-0.00557367,0.86725000,0.38174790,-0.00474736,0.85335280,0.39172980,-0.00649202,0.84599440,0.40110890,13,6
-0.00040612,0.79600270,0.36873750,-0.00040612,0.79600270,0.36873750,-0.00040612,0.79600270,0.36873750,0.00288206,0.82036440,0.36736270,0.00800108,0.84351570,0.36323960,0.02078578,0.87177190,0.36866190,0.02530320,0.89977400,0.38498160,-0.03099300,0.88695930,0.36699240,-0.02152016,0.91669350,0.38635840,-0.00559516,0.92912750,0.39842800,-0.04068338,0.87802470,0.38415080,-0.01415510,0.90325870,0.40383500,0.00383234,0.88472050,0.39716420,-0.03956752,0.86748860,0.40127790,-0.01120602,0.88788300,0.41561980,0.00513263,0.87071340,0.40559860,-0.01427346,0.82075160,0.39811610,-0.03370739,0.85535530,0.41758670,-0.01117057,0.87351580,0.42446120,0.00099744,0.86182760,0.41435260,0.03407678,0.92083860,0.39189290,0.00571280,0.94236160,0.41135200,-0.00507120,0.86802560,0.38207300,-0.00476371,0.85412550,0.39202290,-0.00663543,0.84682170,0.40136530,13,6
-0.00172040,0.79792850,0.36760610,-0.00172040,0.79792850,0.36760610,-0.00172040,0.79792850,0.36760610,0.00229527,0.82218250,0.36626200,0.00807529,0.84516840,0.36208740,0.02210230,0.87281810,0.36756480,0.02806004,0.90062960,0.38374740,-0.02954781,0.88977360,0.36626580,-0.01864384,0.91934650,0.38511930,-0.00224991,0.93136240,0.39698260,-0.03938935,0.88109590,0.38346990,-0.01164555,0.90515200,0.40295220,0.00555798,0.88598360,0.39600030,-0.03847862,0.87049000,0.40056620,-0.00919931,0.88974060,0.41464220,0.00635816,0.87197220,0.40442360,-0.01463427,0.82301600,0.39713150,-0.03287977,0.85814610,0.41680850,-0.00952897,0.87535080,0.42341990,0.00208736,0.86323690,0.41316430,0.03785639,0.92129280,0.39049470,0.00961096,0.94433810,0.40967100,-0.00401059,0.86963350,0.38093860,-0.00425568,0.85577870,0.39091390,-0.00626469,0.84856420,0.40023910,13,6
-0.00302637,0.79978300,0.36656230,-0.00302637,0.79978300,0.36656230,-0.00302637,0.79978300,0.36656230,0.00170350,0.82390950,0.36524610,0.00813026,0.84671420,0.36102350,0.02334530,0.87371870,0.36654790,0.03069706,0.90127470,0.38259400,-0.02810478,0.89242140,0.36560980,-0.01576557,0.92173610,0.38397520,0.00109059,0.93330410,0.39563440,-0.03808934,0.88399960,0.38285860,-0.00920693,0.90685300,0.40213310,0.00719867,0.88709500,0.39490860,-0.03738499,0.87332990,0.39992480,-0.00724985,0.89141870,0.41373300,0.00751454,0.87309090,0.40332750,-0.01499280,0.82517340,0.39622780,-0.03205219,0.86078480,0.41610250,-0.00794455,0.87701800,0.42244910,0.00311936,0.86451020,0.41205640,0.04146847,0.92149840,0.38918450,0.01350093,0.94598470,0.40809350,-0.00301532,0.87110960,0.37987930,-0.00379062,0.85731220,0.38988780,-0.00591787,0.85019080,0.39919600,13,6
-0.00432549,0.80158150,0.36558760,-0.00432549,0.80158150,0.36558760,-0.00432549,0.80158150,0.36558760,0.00110693,0.82556100,0.36429600,0.00817715,0.84817560,0.36007960,0.02417612,0.87473630,0.36554020,0.03252235,0.90215130,0.38133960,-0.02666061,0.89492230,0.36500650,-0.01303987,0.92379220,0.38316970,0.00415799,0.93496050,0.39471900,-0.03678032,0.88675670,0.38229970,-0.00699402,0.90856450,0.40140910,0.00861400,0.88826170,0.39393230,-0.03628359,0.87602880,0.39933670,-0.00548516,0.89310720,0.41296690,0.00861560,0.87436140,0.40238700,-0.01534826,0.82724110,0.39538680,-0.03122158,0.86329170,0.41545120,-0.00652201,0.87868330,0.42161590,0.00416355,0.86590680,0.41115450,0.04397392,0.92208110,0.38767390,0.01698681,0.94733740,0.40705910,-0.00221438,0.87264840,0.37894210,-0.00323037,0.85896320,0.38897190,-0.00529799,0.85186340,0.39829500,13,6
-0.00461589,0.80381730,0.36419030,-0.00461589,0.80381730,0.36419030,-0.00461589,0.80381730,0.36419030,0.00157313,0.82761450,0.36293340,0.00933331,0.85000410,0.35872940,0.02620810,0.87602690,0.36414410,0.03565569,0.90320850,0.37972480,-0.02395089,0.89782700,0.36405750,-0.00895330,0.92615020,0.38199550,0.00863100,0.93684080,0.39341420,-0.03420401,0.88993270,0.38139790,-0.00347642,0.91056350,0.40032300,0.01125458,0.88971640,0.39257000,-0.03393037,0.87913810,0.39839780,-0.00244623,0.89508870,0.41182620,0.01091344,0.87591580,0.40105180,-0.01459838,0.82971810,0.39414700,-0.02916488,0.86619220,0.41443620,-0.00385462,0.88064310,0.42039730,0.00639062,0.86758300,0.40984610,0.04785194,0.92276610,0.38582460,0.02192976,0.94885010,0.40561930,-0.00022756,0.87453730,0.37762020,-0.00151615,0.86095770,0.38766680,-0.00354940,0.85386850,0.39699250,13,6
-0.00498705,0.80597780,0.36287580,-0.00498705,0.80597780,0.36287580,-0.00498705,0.80597780,0.36287580,0.00194228,0.82957170,0.36164770,0.01037550,0.85171770,0.35744960,0.02811773,0.87716590,0.36282180,0.03866240,0.90406500,0.37818760,-0.02134110,0.90055140,0.36316410,-0.00498956,0.92827680,0.38085110,0.01297275,0.93847720,0.39212910,-0.03171830,0.89292850,0.38055210,-0.00010172,0.91235770,0.39928360,0.01374053,0.89100860,0.39126380,-0.03166828,0.88207530,0.39751680,0.00045517,0.89688570,0.41073550,0.01306375,0.87731320,0.39977600,-0.01393808,0.83208350,0.39298040,-0.02720343,0.86893330,0.41348200,-0.00132159,0.88242620,0.41923050,0.00847305,0.86909450,0.40859130,0.05159169,0.92321710,0.38406020,0.02673538,0.95010460,0.40418870,0.00162823,0.87628140,0.37635930,0.00006975,0.86280870,0.38642780,-0.00193857,0.85572240,0.39575030,13,6
