RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.03002504,0.81926610,0.45089580,-0.03002504,0.81926610,0.45089580,-0.03002504,0.81926610,0.45089580,-0.03155286,0.84291770,0.45756380,-0.03957953,0.86386340,0.46628360,-0.04460932,0.89465940,0.47047490,-0.03990073,0.92658180,0.47591980,-0.01000161,0.89413390,0.50751360,0.00867429,0.92575590,0.50791140,0.01627725,0.94643700,0.49964270,0.00913924,0.88507340,0.50307800,0.01031650,0.91805510,0.47780360,-0.00577815,0.90110010,0.46495040,0.02239728,0.87802010,0.48965900,0.01794081,0.90684320,0.46567220,0.00210336,0.89197830,0.45187440,0.00357384,0.84208300,0.45518680,0.03234259,0.87089770,0.47239940,0.02484548,0.89520280,0.45697120,0.01144797,0.88408160,0.44782310,-0.04452616,0.94973610,0.47922780,0.02396846,0.96472020,0.49088980,-0.01298390,0.88077680,0.47594030,-0.00121076,0.87176560,0.46361580,0.00741066,0.86501740,0.45632960,13,1
-0.02937606,0.81893360,0.45035740,-0.02937606,0.81893360,0.45035740,-0.02937606,0.81893360,0.45035740,-0.03091140,0.84256400,0.45709840,-0.03897651,0.86355020,0.46568450,-0.04380875,0.89435240,0.47005850,-0.03903217,0.92618140,0.47597090,-0.01027998,0.89339890,0.50782010,0.00854230,0.92490920,0.50913160,0.01660762,0.94565070,0.50147460,0.00890485,0.88422750,0.50382440,0.01095637,0.91735180,0.47879360,-0.00488307,0.90057830,0.46539670,0.02244889,0.87714520,0.49070970,0.01882853,0.90613030,0.46677730,0.00319943,0.89141380,0.45258830,0.00425762,0.84149860,0.45560240,0.03277768,0.87003440,0.47367190,0.02595637,0.89455950,0.45827820,0.01269191,0.88353420,0.44882520,-0.04351560,0.94934450,0.47941030,0.02482080,0.96401400,0.49338920,-0.01244316,0.88027000,0.47617440,-0.00047703,0.87122690,0.46426610,0.00854141,0.86452240,0.45739450,13,1
-0.02940675,0.81862460,0.44937930,-0.02940675,0.81862460,0.44937930,-0.02940675,0.81862460,0.44937930,-0.03094240,0.84218950,0.45634560,-0.03901387,0.86316600,0.46494920,-0.04364778,0.89394650,0.46967690,-0.03875774,0.92564270,0.47618050,-0.01110569,0.89233560,0.50806030,0.00781509,0.92372860,0.51038100,0.01626560,0.94456220,0.50342150,0.00810451,0.88308540,0.50438060,0.01091677,0.91650180,0.47981620,-0.00468516,0.89998680,0.46583220,0.02188665,0.87605970,0.49148530,0.01899957,0.90534860,0.46782480,0.00355749,0.89086210,0.45320110,0.00424358,0.84091480,0.45560090,0.03253951,0.86906870,0.47459810,0.02631789,0.89389330,0.45943210,0.01317082,0.88301810,0.44964710,-0.04306135,0.94880120,0.47987160,0.02491634,0.96303500,0.49607570,-0.01254871,0.87962330,0.47628340,-0.00042892,0.87062420,0.46468710,0.00893334,0.86400010,0.45815970,13,1
-0.02940332,0.81832720,0.44844150,-0.02940332,0.81832720,0.44844150,-0.02940332,0.81832720,0.44844150,-0.03094445,0.84182860,0.45561830,-0.03901387,0.86280470,0.46422490,-0.04345258,0.89356400,0.46926650,-0.03842893,0.92512460,0.47630610,-0.01191810,0.89131390,0.50826560,0.00706870,0.92258100,0.51154710,0.01586892,0.94348390,0.50526170,0.00730993,0.88198060,0.50490230,0.01086381,0.91566460,0.48080400,-0.00448480,0.89940270,0.46625450,0.02132289,0.87500080,0.49223290,0.01915514,0.90457200,0.46884830,0.00391400,0.89030810,0.45380110,0.00424097,0.84033910,0.45561460,0.03229339,0.86811660,0.47550600,0.02665670,0.89321890,0.46057040,0.01363513,0.88248960,0.45046190,-0.04253161,0.94828380,0.48021460,0.02491629,0.96203880,0.49863560,-0.01264337,0.87899240,0.47638330,-0.00037555,0.87002560,0.46509790,0.00930625,0.86346840,0.45892130,13,1
-0.02937300,0.81803930,0.44753550,-0.02937300,0.81803930,0.44753550,-0.02937300,0.81803930,0.44753550,-0.03092426,0.84147840,0.45491100,-0.03890813,0.86251070,0.46346000,-0.04303618,0.89327790,0.46871370,-0.03791329,0.92471090,0.47623560,-0.01272388,0.89032520,0.50843920,0.00643036,0.92138560,0.51259460,0.01570069,0.94231280,0.50711760,0.00651454,0.88090500,0.50539240,0.01090078,0.91493430,0.48192450,-0.00416405,0.89907720,0.46664980,0.02075156,0.87396210,0.49295460,0.01938343,0.90391900,0.47000450,0.00441330,0.89000640,0.45436780,0.00424360,0.83976850,0.45563950,0.03203382,0.86717350,0.47639680,0.02704018,0.89260410,0.46179120,0.01414085,0.88216530,0.45123170,-0.04198953,0.94784390,0.48032280,0.02527942,0.96090200,0.50139650,-0.01269717,0.87858560,0.47629440,-0.00026344,0.86960290,0.46528670,0.00958645,0.86309300,0.45945440,13,1
-0.02903086,0.81761510,0.44639500,-0.02903086,0.81761510,0.44639500,-0.02903086,0.81761510,0.44639500,-0.03058867,0.84106080,0.45374800,-0.03851006,0.86225650,0.46194430,-0.04226045,0.89308800,0.46710310,-0.03698521,0.92442240,0.47492530,-0.01386479,0.88962060,0.50801400,0.00551093,0.92040300,0.51310570,0.01540132,0.94123830,0.50842000,0.00536476,0.87998100,0.50568130,0.01112989,0.91411100,0.48266220,-0.00344825,0.89860430,0.46657690,0.01998145,0.87288930,0.49377940,0.01993958,0.90302290,0.47102060,0.00544819,0.88940330,0.45469030,0.00450413,0.83894030,0.45580500,0.03180360,0.86599190,0.47764870,0.02781929,0.89163350,0.46310220,0.01518433,0.88145450,0.45198440,-0.04094717,0.94759050,0.47892530,0.02564044,0.95973340,0.50361010,-0.01260510,0.87816940,0.47575860,0.00010981,0.86900920,0.46531950,0.01017756,0.86243180,0.46005770,13,1
-0.02869918,0.81721130,0.44530280,-0.02869918,0.81721130,0.44530280,-0.02869918,0.81721130,0.44530280,-0.03026346,0.84065970,0.45264590,-0.03810670,0.86200450,0.46052420,-0.04149413,0.89288690,0.46562950,-0.03607326,0.92411860,0.47375700,-0.01497329,0.88893550,0.50758400,0.00456271,0.91945010,0.51359270,0.01499213,0.94018550,0.50969990,0.00422086,0.87908830,0.50592420,0.01127015,0.91330810,0.48340130,-0.00279911,0.89813730,0.46656030,0.01917808,0.87185660,0.49454080,0.02038399,0.90215170,0.47202980,0.00637965,0.88881120,0.45505690,0.00470708,0.83814810,0.45596030,0.03149722,0.86485770,0.47883140,0.02846676,0.89069280,0.46439750,0.01610899,0.88075790,0.45275940,-0.03990568,0.94732030,0.47768740,0.02579881,0.95857200,0.50580180,-0.01252433,0.87775930,0.47527220,0.00043023,0.86843120,0.46538440,0.01068722,0.86178550,0.46068140,13,1
-0.02838177,0.81683050,0.44426770,-0.02838177,0.81683050,0.44426770,-0.02838177,0.81683050,0.44426770,-0.02995271,0.84027880,0.45160970,-0.03772993,0.86174650,0.45921500,-0.04080959,0.89265570,0.46435270,-0.03558862,0.92381220,0.47288920,-0.01603941,0.88828090,0.50715030,0.00361017,0.91855300,0.51396170,0.01446187,0.93918090,0.51070360,0.00309755,0.87823840,0.50611880,0.01133405,0.91243150,0.48396120,-0.00240151,0.89761910,0.46653600,0.01835721,0.87087520,0.49523210,0.02069236,0.90124460,0.47291070,0.00709141,0.88815960,0.45541880,0.00485747,0.83739760,0.45610230,0.03112968,0.86378090,0.47993270,0.02892841,0.88972280,0.46554010,0.01682680,0.88013350,0.45335580,-0.03957985,0.94698550,0.47682960,0.02569420,0.95744960,0.50752040,-0.01270734,0.87735190,0.47482870,0.00058446,0.86783740,0.46552140,0.01084593,0.86118250,0.46091850,13,1
-0.02802682,0.81673170,0.44377990,-0.02802682,0.81673170,0.44377990,-0.02802682,0.81673170,0.44377990,-0.02950332,0.84022270,0.45100400,-0.03710350,0.86187100,0.45826840,-0.03976775,0.89283640,0.46329920,-0.03458548,0.92394750,0.47202280,-0.01656205,0.88822770,0.50677650,0.00328344,0.91824330,0.51413330,0.01456398,0.93871170,0.51136240,0.00246504,0.87793680,0.50632270,0.01184220,0.91195700,0.48435310,-0.00164386,0.89743270,0.46649580,0.01793286,0.87034180,0.49589880,0.02135069,0.90064960,0.47363340,0.00805238,0.88775380,0.45577210,0.00512416,0.83690970,0.45649880,0.03104419,0.86303280,0.48099220,0.02966532,0.88900410,0.46655040,0.01775869,0.87970370,0.45395700,-0.03860978,0.94713430,0.47584890,0.02621761,0.95680770,0.50876060,-0.01251362,0.87734960,0.47451160,0.00099788,0.86756440,0.46577300,0.01125048,0.86084360,0.46130860,13,1
-0.02768042,0.81661750,0.44326630,-0.02768042,0.81661750,0.44326630,-0.02768042,0.81661750,0.44326630,-0.02906955,0.84014340,0.45039330,-0.03648647,0.86195800,0.45734330,-0.03874791,0.89296620,0.46230660,-0.03359859,0.92402700,0.47122670,-0.01711162,0.88813010,0.50640070,0.00289086,0.91789550,0.51432670,0.01456266,0.93820750,0.51207390,0.00179220,0.87760520,0.50650630,0.01226922,0.91146590,0.48478860,-0.00093057,0.89722570,0.46649380,0.01745236,0.86979400,0.49653940,0.02192241,0.90004770,0.47438710,0.00894673,0.88734020,0.45615750,0.00534600,0.83641970,0.45686920,0.03088686,0.86228600,0.48202460,0.03031230,0.88828890,0.46758530,0.01862313,0.87926390,0.45459400,-0.03763971,0.94722800,0.47494720,0.02659586,0.95613210,0.51008470,-0.01233111,0.87731770,0.47420320,0.00136638,0.86727690,0.46602660,0.01162767,0.86049540,0.46172930,13,1
