RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.27120570,0.84633030,0.32266530,0.27120570,0.84633030,0.32266530,0.27120570,0.84633030,0.32266530,0.27421290,0.86983690,0.31598760,0.27876100,0.89179290,0.30724500,0.29279140,0.91994520,0.30588210,0.30091790,0.95044320,0.31452430,0.24084290,0.93625810,0.30842500,0.25284370,0.96822210,0.32195940,0.26821350,0.98425590,0.32974220,0.23433160,0.93115160,0.32841660,0.26719490,0.95512550,0.33697420,0.28139790,0.93350630,0.33044710,0.23845020,0.92408810,0.34682150,0.27116620,0.94249430,0.35092950,0.28424680,0.92309990,0.34020920,0.26276140,0.87675880,0.34856340,0.24709290,0.91513340,0.36392850,0.27424960,0.92661140,0.35996030,0.28452030,0.91245990,0.35095440,0.31024130,0.97210450,0.31803440,0.28086480,0.99948340,0.33858020,0.26980720,0.91452080,0.32091070,0.27477150,0.90384880,0.33035990,0.27552410,0.89521120,0.34237210,13,7
0.26654270,0.84616400,0.32153730,0.26654270,0.84616400,0.32153730,0.26654270,0.84616400,0.32153730,0.26949680,0.86970990,0.31497540,0.27403230,0.89173210,0.30639400,0.28794320,0.91995670,0.30533660,0.29583660,0.95045890,0.31417790,0.23585970,0.93598280,0.30729540,0.24759150,0.96795890,0.32103570,0.26263340,0.98417960,0.32906780,0.22916410,0.93077030,0.32719870,0.26150060,0.95525530,0.33629860,0.27607030,0.93385580,0.32985660,0.23312470,0.92366190,0.34562100,0.26566950,0.94226720,0.35016840,0.27887680,0.92295040,0.33946330,0.25766470,0.87645430,0.34745230,0.24163280,0.91469080,0.36278670,0.26865970,0.92661130,0.35926200,0.27915530,0.91270320,0.35013690,0.30503300,0.97214840,0.31784520,0.27498240,0.99953660,0.33810700,0.26486840,0.91475090,0.32009660,0.26940750,0.90376960,0.32947190,0.27032410,0.89551440,0.34126790,13,7
0.26042910,0.84543540,0.32099740,0.26042910,0.84543540,0.32099740,0.26042910,0.84543540,0.32099740,0.26354660,0.86900580,0.31460130,0.26828550,0.89106930,0.30623880,0.28230390,0.91925360,0.30561340,0.29014620,0.94967940,0.31475790,0.23019510,0.93539510,0.30668460,0.24185550,0.96725420,0.32075350,0.25666590,0.98350800,0.32914110,0.22315550,0.93010180,0.32644730,0.25512000,0.95478400,0.33629780,0.26992290,0.93349780,0.33001400,0.22679090,0.92289470,0.34489820,0.25926920,0.94144260,0.35010700,0.27255760,0.92213760,0.33948130,0.25118830,0.87562040,0.34690850,0.23498990,0.91382000,0.36215970,0.26201070,0.92591660,0.35924020,0.27268620,0.91218080,0.35006290,0.29935110,0.97131620,0.31870510,0.26879360,0.99886620,0.33847310,0.25902850,0.91437480,0.31994650,0.26307160,0.90309180,0.32925040,0.26396770,0.89512380,0.34083520,13,7
0.25452790,0.84471650,0.32048320,0.25452790,0.84471650,0.32048320,0.25452790,0.84471650,0.32048320,0.25778590,0.86831070,0.31424700,0.26270250,0.89041460,0.30609630,0.27681200,0.91855960,0.30588700,0.28459540,0.94890890,0.31533110,0.22467670,0.93479560,0.30611830,0.23628330,0.96653280,0.32050390,0.25087510,0.98281060,0.32922130,0.21731880,0.92942330,0.32574320,0.24890490,0.95430330,0.33629210,0.26395040,0.93314060,0.33016960,0.22065180,0.92212400,0.34421500,0.25304760,0.94063130,0.35004530,0.26643910,0.92135570,0.33949590,0.24493350,0.87479730,0.34638680,0.22856340,0.91295460,0.36156040,0.25557160,0.92520100,0.35920380,0.26643120,0.91163890,0.34998430,0.29379290,0.97049380,0.31956920,0.26279510,0.99816360,0.33882560,0.25338010,0.91398670,0.31981900,0.25697810,0.90242520,0.32903060,0.25784600,0.89470230,0.34041600,13,7
0.24890390,0.84401980,0.31999840,0.24890390,0.84401980,0.31999840,0.24890390,0.84401980,0.31999840,0.25228260,0.86763680,0.31391450,0.25735100,0.88977560,0.30595380,0.27145710,0.91792270,0.30608460,0.27932080,0.94837560,0.31512010,0.21938030,0.93420090,0.30559610,0.23112500,0.96583010,0.32010640,0.24588150,0.98186740,0.32899110,0.21172940,0.92875220,0.32508750,0.24324470,0.95350040,0.33614600,0.25811770,0.93216930,0.33018820,0.21478280,0.92136760,0.34357370,0.24714400,0.93976340,0.34992580,0.26046640,0.92037010,0.33950530,0.23897000,0.87399950,0.34589140,0.22242840,0.91211160,0.36099230,0.24939200,0.92454840,0.35918540,0.26023220,0.91102600,0.34988510,0.28866540,0.96997760,0.31892650,0.25799120,0.99699120,0.33872090,0.24726740,0.91326750,0.31966550,0.25072850,0.90163260,0.32894710,0.25147070,0.89430510,0.34009980,13,7
0.24470890,0.84285370,0.32095380,0.24470890,0.84285370,0.32095380,0.24470890,0.84285370,0.32095380,0.24811420,0.86650650,0.31502560,0.25324960,0.88870020,0.30726350,0.26723360,0.91690410,0.30776230,0.27503260,0.94747500,0.31644890,0.21514630,0.93300410,0.30643980,0.22684940,0.96456810,0.32112490,0.24164620,0.98044630,0.33022540,0.20719000,0.92744970,0.32577840,0.23847780,0.95222300,0.33741160,0.25332300,0.93081840,0.33165160,0.20995920,0.91999630,0.34428180,0.24217870,0.93842850,0.35122090,0.25556610,0.91899820,0.34095390,0.23425270,0.87269310,0.34680320,0.21734340,0.91069020,0.36178620,0.24420940,0.92340700,0.36057280,0.25514420,0.90999250,0.35122720,0.28441510,0.96911840,0.31991180,0.25382230,0.99540640,0.34012410,0.24236580,0.91209380,0.32092460,0.24571230,0.90039740,0.33026260,0.24635100,0.89343270,0.34119920,13,7
0.24049240,0.84173560,0.32178940,0.24049240,0.84173560,0.32178940,0.24049240,0.84173560,0.32178940,0.24392010,0.86542250,0.31601260,0.24911560,0.88766910,0.30844410,0.26298270,0.91592220,0.30929910,0.27071920,0.94658680,0.31770650,0.21089230,0.93185760,0.30717580,0.22254500,0.96335280,0.32204770,0.23735830,0.97908760,0.33136780,0.20264700,0.92620010,0.32636300,0.23369820,0.95100530,0.33854900,0.24853580,0.92954620,0.33297490,0.20514480,0.91867850,0.34487740,0.23721680,0.93714730,0.35238020,0.25068010,0.91769490,0.34225520,0.22953770,0.87143710,0.34759110,0.21227840,0.90932210,0.36245870,0.23904240,0.92229300,0.36181110,0.25008690,0.90899370,0.35242990,0.28013290,0.96825790,0.32090130,0.24957490,0.99389710,0.34144130,0.23751160,0.91098030,0.32204260,0.24073940,0.89922240,0.33142250,0.24129380,0.89258010,0.34216430,13,7
0.23646810,0.84070110,0.32251180,0.23646810,0.84070110,0.32251180,0.23646810,0.84070110,0.32251180,0.23991380,0.86441950,0.31687620,0.24517210,0.88672970,0.30954210,0.25878980,0.91509160,0.31073470,0.26622750,0.94582300,0.31916770,0.20683360,0.93079760,0.30781080,0.21820110,0.96220960,0.32307390,0.23307280,0.97772510,0.33266490,0.19832440,0.92504350,0.32685350,0.22941810,0.94959630,0.33943580,0.24400100,0.92790680,0.33408640,0.20057220,0.91745750,0.34537360,0.23261910,0.93578270,0.35332180,0.24596900,0.91619460,0.34330900,0.22505440,0.87027280,0.34826360,0.20747400,0.90805270,0.36302160,0.23414540,0.92122820,0.36289020,0.24509560,0.90795920,0.35335680,0.27548440,0.96755790,0.32238710,0.24541760,0.99226960,0.34296580,0.23276940,0.90953440,0.32303900,0.23577460,0.89791320,0.33238830,0.23607380,0.89180200,0.34288520,13,7
0.23290350,0.84133910,0.32246150,0.23290350,0.84133910,0.32246150,0.23290350,0.84133910,0.32246150,0.23615860,0.86502890,0.31659700,0.24126060,0.88733010,0.30912620,0.25446730,0.91589340,0.31011690,0.26151060,0.94685030,0.31804900,0.20251430,0.93100130,0.30668540,0.21357240,0.96261130,0.32176600,0.22849660,0.97813790,0.33125690,0.19396520,0.92536560,0.32574560,0.22504100,0.95006230,0.33808840,0.23947410,0.92818190,0.33312330,0.19619190,0.91799220,0.34435390,0.22816010,0.93650570,0.35218230,0.24143860,0.91674010,0.34242650,0.22109250,0.87106820,0.34785030,0.20309340,0.90883430,0.36213140,0.22957710,0.92238360,0.36206900,0.24043040,0.90908230,0.35246990,0.27051550,0.96874410,0.32088310,0.24097220,0.99264440,0.34145330,0.22806760,0.90977420,0.32231650,0.23101990,0.89843170,0.33176570,0.23119150,0.89297160,0.34211640,13,7
0.22927040,0.84184240,0.32241990,0.22927040,0.84184240,0.32241990,0.22927040,0.84184240,0.32241990,0.23235620,0.86550580,0.31636070,0.23732150,0.88780190,0.30878340,0.25014670,0.91654350,0.30961640,0.25682770,0.94769570,0.31708420,0.19820740,0.93109700,0.30567440,0.20898910,0.96287090,0.32061010,0.22396490,0.97839130,0.33002940,0.18960160,0.92555890,0.32473770,0.22064590,0.95037940,0.33691020,0.23493910,0.92832860,0.33230790,0.19178830,0.91837130,0.34342330,0.22367590,0.93705140,0.35118450,0.23689070,0.91712590,0.34167060,0.21706730,0.87169500,0.34747620,0.19866940,0.90943190,0.36131950,0.22496950,0.92333430,0.36135800,0.23573910,0.91001210,0.35169390,0.26560490,0.96972470,0.31956280,0.23656480,0.99284530,0.34014730,0.22337490,0.90990600,0.32169590,0.22626150,0.89881180,0.33122970,0.22630190,0.89395680,0.34143360,13,7
