RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.00315483,0.86146030,0.43341260,0.00315483,0.86146030,0.43341260,0.00315483,0.86146030,0.43341260,0.00117324,0.88501010,0.44031750,-0.00882650,0.90468010,0.44992390,-0.01715204,0.93502260,0.45105420,-0.01738176,0.96756430,0.45449530,0.01957941,0.93553040,0.49219660,0.03817263,0.96678030,0.49735750,0.04985625,0.98714420,0.49899680,0.03897321,0.92656630,0.48878120,0.04186413,0.95987120,0.46407500,0.02602217,0.94393190,0.44969840,0.05302554,0.91973010,0.47607710,0.05075963,0.94885750,0.45215100,0.03348744,0.93371460,0.44055200,0.03638115,0.88426700,0.44002920,0.06400031,0.91287520,0.45934100,0.06035534,0.93830930,0.44434790,0.04446784,0.92894070,0.43751570,-0.02756770,0.98907370,0.45592750,0.06153845,1.00540300,0.49942060,0.01858626,0.92408230,0.46137900,0.03064068,0.91493390,0.45457260,0.04071899,0.91144480,0.44900250,13,0
0.00345302,0.86177970,0.43305050,0.00345302,0.86177970,0.43305050,0.00345302,0.86177970,0.43305050,0.00148720,0.88535150,0.43988420,-0.00841581,0.90512590,0.44937570,-0.01653573,0.93551320,0.45076840,-0.01635000,0.96803500,0.45439520,0.01996244,0.93602510,0.49158900,0.03856833,0.96728230,0.49665950,0.05025223,0.98765230,0.49821960,0.03934947,0.92704290,0.48818300,0.04226336,0.96035030,0.46348290,0.02649742,0.94440730,0.44902710,0.05338705,0.92016180,0.47548680,0.05118653,0.94931100,0.45158120,0.03396866,0.93416000,0.43991230,0.03669452,0.88459370,0.43956480,0.06434321,0.91325070,0.45876160,0.06076895,0.93868840,0.44375760,0.04488060,0.92930670,0.43694550,-0.02625926,0.98966150,0.45599660,0.06192956,1.00591600,0.49856080,0.01906079,0.92455190,0.46069740,0.03117950,0.91541800,0.45399620,0.04127890,0.91186390,0.44855930,13,0
0.00371106,0.86207210,0.43272750,0.00371106,0.86207210,0.43272750,0.00371106,0.86207210,0.43272750,0.00176650,0.88566240,0.43950300,-0.00793235,0.90562580,0.44880780,-0.01559069,0.93609260,0.45090310,-0.01445670,0.96853050,0.45506840,0.02031871,0.93645500,0.49106320,0.03890904,0.96773610,0.49604280,0.05056397,0.98813090,0.49749080,0.03969696,0.92745140,0.48766380,0.04267978,0.96087470,0.46312900,0.02711309,0.94497910,0.44840760,0.05371928,0.92052880,0.47497330,0.05168492,0.94983150,0.45124120,0.03461101,0.93469910,0.43933920,0.03697304,0.88488050,0.43915570,0.06465676,0.91356810,0.45825640,0.06125997,0.93907730,0.44333280,0.04537245,0.92969760,0.43651600,-0.02372675,0.99040100,0.45711930,0.06220208,1.00642200,0.49769990,0.01967246,0.92505840,0.45996360,0.03194992,0.91599040,0.45349200,0.04209325,0.91233240,0.44833980,13,0
0.00415088,0.86260800,0.43215410,0.00415088,0.86260800,0.43215410,0.00415088,0.86260800,0.43215410,0.00226027,0.88622870,0.43883840,-0.00736015,0.90627030,0.44805640,-0.01490656,0.93677180,0.45004830,-0.01354595,0.96922080,0.45405740,0.02098372,0.93719150,0.49016830,0.03950110,0.96857210,0.49477990,0.05106800,0.98903820,0.49588940,0.04034011,0.92813830,0.48677600,0.04332620,0.96145500,0.46209700,0.02773443,0.94554840,0.44741390,0.05433059,0.92113920,0.47409240,0.05226089,0.95030580,0.45019640,0.03514726,0.93516300,0.43836470,0.03746474,0.88537990,0.43844210,0.06523018,0.91409150,0.45738720,0.06178329,0.93952660,0.44234900,0.04591250,0.93010320,0.43555350,-0.02256555,0.99120470,0.45600870,0.06259926,1.00739700,0.49573360,0.02025127,0.92566170,0.45900100,0.03248817,0.91652600,0.45261220,0.04269398,0.91278860,0.44746780,13,0
0.00477227,0.86281410,0.43180630,0.00477227,0.86281410,0.43180630,0.00477227,0.86281410,0.43180630,0.00291100,0.88642380,0.43853750,-0.00664841,0.90648980,0.44776560,-0.01408206,0.93701200,0.44986310,-0.01247979,0.96944090,0.45394460,0.02169309,0.93725990,0.48997150,0.04012337,0.96871000,0.49445700,0.05159854,0.98923630,0.49539260,0.04103832,0.92818870,0.48656350,0.04405339,0.96155790,0.46195890,0.02847942,0.94572060,0.44718240,0.05502145,0.92119710,0.47386770,0.05295339,0.95038600,0.44999860,0.03583582,0.93529360,0.43810820,0.03811441,0.88553070,0.43814380,0.06591412,0.91416900,0.45714970,0.06244626,0.93962580,0.44215320,0.04660273,0.93019720,0.43530150,-0.02124533,0.99152360,0.45593950,0.06302308,1.00765900,0.49502610,0.02094999,0.92579200,0.45866710,0.03317318,0.91664150,0.45233510,0.04344604,0.91286480,0.44720640,13,0
0.00533582,0.86301350,0.43148290,0.00533582,0.86301350,0.43148290,0.00533582,0.86301350,0.43148290,0.00350623,0.88661340,0.43825740,-0.00599502,0.90670180,0.44749670,-0.01333517,0.93724640,0.44959630,-0.01134052,0.96966400,0.45359430,0.02235285,0.93732890,0.48978670,0.04076760,0.96880920,0.49412130,0.05218300,0.98937760,0.49483630,0.04168597,0.92823750,0.48636390,0.04474093,0.96160200,0.46175790,0.02907714,0.94580140,0.44703710,0.05566076,0.92125020,0.47365650,0.05359062,0.95042490,0.44977050,0.03640044,0.93535850,0.43795220,0.03870841,0.88567270,0.43786550,0.06654546,0.91423790,0.45692670,0.06309767,0.93970290,0.44193950,0.04722499,0.93027500,0.43515480,-0.01968943,0.99191410,0.45551460,0.06352511,1.00784400,0.49421170,0.02160423,0.92595520,0.45869990,0.03375675,0.91673670,0.45222230,0.04426368,0.91299990,0.44719250,13,0
0.00572379,0.86305120,0.43144190,0.00572379,0.86305120,0.43144190,0.00572379,0.86305120,0.43144190,0.00391880,0.88664830,0.43823270,-0.00554184,0.90678050,0.44741850,-0.01275263,0.93735770,0.44949070,-0.01034919,0.96975540,0.45342440,0.02263619,0.93726280,0.48990820,0.04105059,0.96875270,0.49417360,0.05242963,0.98934630,0.49472680,0.04196355,0.92812760,0.48657070,0.04521468,0.96147480,0.46196640,0.02952999,0.94571880,0.44722010,0.05598347,0.92111930,0.47392460,0.05406622,0.95027520,0.45000270,0.03685369,0.93524660,0.43816870,0.03912007,0.88562170,0.43801270,0.06693304,0.91409800,0.45724100,0.06361193,0.93956850,0.44223440,0.04773399,0.93015650,0.43543970,-0.01827395,0.99216880,0.45524010,0.06371792,1.00783800,0.49390570,0.02203109,0.92596150,0.45901660,0.03414117,0.91666510,0.45247830,0.04488269,0.91294810,0.44759890,13,0
0.00602263,0.86307920,0.43141130,0.00602263,0.86307920,0.43141130,0.00602263,0.86307920,0.43141130,0.00423600,0.88667410,0.43821440,-0.00518141,0.90684920,0.44735020,-0.01226965,0.93745560,0.44941590,-0.00946902,0.96982750,0.45329840,0.02285267,0.93721190,0.49000130,0.04125439,0.96872110,0.49417820,0.05258877,0.98934320,0.49456210,0.04217543,0.92804330,0.48672920,0.04557605,0.96137490,0.46212400,0.02987235,0.94565190,0.44736250,0.05622985,0.92101910,0.47413040,0.05442636,0.95015590,0.45017640,0.03719284,0.93515370,0.43833960,0.03943589,0.88558200,0.43812620,0.06722915,0.91399090,0.45748250,0.06400709,0.93946400,0.44245890,0.04812241,0.93005920,0.43567020,-0.01698222,0.99238860,0.45503260,0.06381521,1.00786200,0.49353840,0.02236909,0.92597600,0.45929130,0.03443985,0.91661210,0.45269320,0.04540059,0.91291750,0.44795270,13,0
0.00631612,0.86311860,0.43137090,0.00631612,0.86311860,0.43137090,0.00631612,0.86311860,0.43137090,0.00455142,0.88671140,0.43818730,-0.00483509,0.90691660,0.44728840,-0.01184733,0.93755190,0.44917660,-0.00877625,0.96992170,0.45286730,0.02308250,0.93716970,0.49008240,0.04144126,0.96875230,0.49387590,0.05269176,0.98942380,0.49387740,0.04239882,0.92796600,0.48687130,0.04589372,0.96127100,0.46224340,0.03022694,0.94553980,0.44745170,0.05648421,0.92092470,0.47431670,0.05472726,0.95001510,0.45030290,0.03756406,0.93492510,0.43847560,0.03974919,0.88555040,0.43822340,0.06752890,0.91388880,0.45770210,0.06434286,0.93933780,0.44262990,0.04845944,0.92995040,0.43581410,-0.01591380,0.99261880,0.45440260,0.06383157,1.00797200,0.49249550,0.02271593,0.92590920,0.45945010,0.03482756,0.91643200,0.45289480,0.04583926,0.91286280,0.44819380,13,0
0.00655077,0.86310900,0.43137680,0.00655077,0.86310900,0.43137680,0.00655077,0.86310900,0.43137680,0.00481208,0.88667920,0.43827720,-0.00452855,0.90688680,0.44742000,-0.01146476,0.93754230,0.44926100,-0.00811329,0.96989350,0.45287060,0.02335283,0.93692040,0.49037900,0.04166565,0.96856430,0.49387230,0.05282625,0.98928200,0.49355200,0.04265964,0.92770030,0.48715800,0.04618051,0.96105420,0.46260000,0.03052362,0.94535320,0.44776570,0.05675019,0.92068440,0.47459500,0.05497698,0.94980020,0.45061330,0.03786021,0.93465650,0.43878720,0.04000805,0.88546660,0.43835220,0.06780505,0.91369300,0.45796840,0.06461430,0.93916260,0.44293190,0.04872082,0.92980360,0.43610050,-0.01487652,0.99271120,0.45430960,0.06387028,1.00786200,0.49186210,0.02304027,0.92573000,0.45979340,0.03517908,0.91616890,0.45322390,0.04624038,0.91273480,0.44853470,13,0
