RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.10265190,0.86024840,0.32606050,-0.10265190,0.86024840,0.32606050,-0.10265190,0.86024840,0.32606050,-0.08426451,0.87660200,0.32687240,-0.06531262,0.89111100,0.32379010,-0.03619210,0.90015580,0.33162890,-0.01173820,0.91421510,0.34821800,-0.06669366,0.94897150,0.33291050,-0.03695972,0.95734840,0.35277560,-0.01713984,0.95676060,0.36545280,-0.08072980,0.94723960,0.34928510,-0.04511400,0.94174190,0.37000380,-0.04781075,0.91887260,0.35653390,-0.08760636,0.93726170,0.36537080,-0.05377579,0.93051960,0.38073420,-0.05285316,0.90918890,0.36637030,-0.09860860,0.88574090,0.35771010,-0.09187890,0.92304960,0.38044710,-0.06347172,0.91919920,0.38839570,-0.06116648,0.90523330,0.37473920,0.01054789,0.92073680,0.35362690,0.00029676,0.95633790,0.37833030,-0.06556136,0.91753650,0.34013670,-0.06983345,0.90503440,0.35050180,-0.07444213,0.90103820,0.35866860,13,7
-0.09872648,0.85917170,0.32717370,-0.09872648,0.85917170,0.32717370,-0.09872648,0.85917170,0.32717370,-0.08040688,0.87560310,0.32794440,-0.06150655,0.89017430,0.32483860,-0.03243178,0.89933430,0.33271340,-0.00802183,0.91353290,0.34924860,-0.06313971,0.94806980,0.33368510,-0.03333652,0.95657770,0.35339010,-0.01348849,0.95600080,0.36602370,-0.07719857,0.94635550,0.35004200,-0.04161542,0.94141510,0.37095620,-0.04388901,0.91831840,0.35779990,-0.08406405,0.93642300,0.36616050,-0.05024226,0.93008430,0.38171370,-0.04907075,0.90864880,0.36752500,-0.09484399,0.88482380,0.35871420,-0.08830661,0.92226220,0.38129340,-0.05991496,0.91874800,0.38945060,-0.05737201,0.90469940,0.37592170,0.01432850,0.92005950,0.35437930,0.00398078,0.95556500,0.37885640,-0.06149450,0.91643250,0.34130060,-0.06596215,0.90425160,0.35162720,-0.07051062,0.90026000,0.35980420,13,7
-0.09446437,0.85870710,0.32633850,-0.09446437,0.85870710,0.32633850,-0.09446437,0.85870710,0.32633850,-0.07620408,0.87520020,0.32719540,-0.05733978,0.88983570,0.32417410,-0.02832428,0.89906160,0.33218930,-0.00398863,0.91331320,0.34878830,-0.05920821,0.94772400,0.33302410,-0.02938426,0.95622680,0.35269990,-0.00954657,0.95557950,0.36534630,-0.07333630,0.94596000,0.34931600,-0.03785110,0.94143450,0.37048890,-0.03972889,0.91820130,0.35751180,-0.08024229,0.93600230,0.36540160,-0.04648063,0.92996490,0.38120340,-0.04504757,0.90849670,0.36708830,-0.09081362,0.88436790,0.35789960,-0.08450659,0.92182520,0.38051320,-0.05616136,0.91859620,0.38894500,-0.05335676,0.90453390,0.37548230,0.01840977,0.91981450,0.35373840,0.00791594,0.95505030,0.37818470,-0.05715424,0.91590920,0.34087330,-0.06181479,0.90395790,0.35109910,-0.06633164,0.89995730,0.35927080,13,7
-0.09028368,0.85826020,0.32567960,-0.09028368,0.85826020,0.32567960,-0.09028368,0.85826020,0.32567960,-0.07208275,0.87481510,0.32660390,-0.05322602,0.88950680,0.32381720,-0.02435674,0.89893560,0.33211900,-0.00037631,0.91334810,0.34909190,-0.05535522,0.94739760,0.33247750,-0.02559416,0.95591060,0.35224380,-0.00579067,0.95511100,0.36493510,-0.06954178,0.94559080,0.34871370,-0.03414261,0.94143580,0.37010550,-0.03571029,0.91810010,0.35727180,-0.07647784,0.93561450,0.36477480,-0.04276166,0.92978880,0.38075220,-0.04110288,0.90828140,0.36672200,-0.08684485,0.88394250,0.35724700,-0.08075412,0.92142750,0.37987380,-0.05242436,0.91826830,0.38838370,-0.04949449,0.90417750,0.37497740,0.02191466,0.92000270,0.35431560,0.01164396,0.95434090,0.37779910,-0.05297564,0.91544090,0.34052150,-0.05775691,0.90359350,0.35065770,-0.06233864,0.89946510,0.35870090,13,7
-0.08579983,0.85961420,0.32449550,-0.08579983,0.85961420,0.32449550,-0.08579983,0.85961420,0.32449550,-0.06760392,0.87617770,0.32536440,-0.04875521,0.89089380,0.32265360,-0.01990016,0.90039790,0.33091900,0.00398946,0.91480030,0.34802790,-0.05088045,0.94873650,0.33153510,-0.02090393,0.95704410,0.35106180,-0.00097801,0.95595660,0.36353810,-0.06492606,0.94681990,0.34788090,-0.02935797,0.94279850,0.36901650,-0.03085420,0.91945470,0.35618900,-0.07171687,0.93674090,0.36394000,-0.03786357,0.93094020,0.37963410,-0.03621562,0.90948120,0.36552860,-0.08210970,0.88510730,0.35618760,-0.07585312,0.92245930,0.37898860,-0.04744498,0.91926510,0.38721950,-0.04458376,0.90522590,0.37374460,0.02626012,0.92151500,0.35326140,0.01658591,0.95481780,0.37619730,-0.04817947,0.91660090,0.33953280,-0.05297268,0.90479740,0.34957050,-0.05751736,0.90052180,0.35753660,13,7
-0.08139735,0.86083610,0.32347410,-0.08139735,0.86083610,0.32347410,-0.08139735,0.86083610,0.32347410,-0.06321125,0.87741320,0.32428550,-0.04437318,0.89215480,0.32164000,-0.01553681,0.90174870,0.32986700,0.00825781,0.91616020,0.34710010,-0.04650997,0.94995570,0.33070330,-0.01632878,0.95807470,0.34999270,0.00370897,0.95671300,0.36226120,-0.06042376,0.94793950,0.34714960,-0.02470133,0.94407320,0.36805260,-0.02612236,0.92071510,0.35524280,-0.06707735,0.93776980,0.36320890,-0.03309814,0.93201820,0.37864690,-0.03144973,0.91059770,0.36448300,-0.07748108,0.88616700,0.35526900,-0.07108038,0.92340560,0.37821490,-0.04260255,0.92020580,0.38619910,-0.03979149,0.90620890,0.37266960,0.03050695,0.92294320,0.35233700,0.02138942,0.95522050,0.37471990,-0.04349795,0.91766160,0.33867470,-0.04829996,0.90590500,0.34862600,-0.05280562,0.90150110,0.35652730,13,7
-0.07705843,0.86195400,0.32258070,-0.07705843,0.86195400,0.32258070,-0.07705843,0.86195400,0.32258070,-0.05888594,0.87854890,0.32333330,-0.04005825,0.89331610,0.32075770,-0.01123961,0.90297160,0.32897450,0.01251528,0.91737470,0.34626950,-0.04222127,0.95108100,0.32995930,-0.01186119,0.95886660,0.34910490,0.00825927,0.95718190,0.36119680,-0.05601037,0.94897320,0.34649890,-0.02011644,0.94504150,0.36709360,-0.02157806,0.92170200,0.35425430,-0.06253292,0.93872230,0.36256030,-0.02842564,0.93285380,0.37766830,-0.02690604,0.91149930,0.36339090,-0.07293569,0.88714400,0.35446140,-0.06640797,0.92428480,0.37752960,-0.03786172,0.92099370,0.38522730,-0.03527170,0.90710340,0.37154470,0.03472725,0.92422720,0.35157330,0.02602407,0.95532160,0.37348470,-0.03905483,0.91860500,0.33780110,-0.04391296,0.90692750,0.34766640,-0.04860334,0.90269000,0.35557930,13,7
-0.07218789,0.86412320,0.32222150,-0.07218789,0.86412320,0.32222150,-0.07218789,0.86412320,0.32222150,-0.05392273,0.88062400,0.32276940,-0.03501210,0.89527320,0.32012820,-0.00614364,0.90487150,0.32823660,0.01767550,0.91925550,0.34545890,-0.03682394,0.95309080,0.32899330,-0.00622739,0.96052100,0.34790210,0.01396725,0.95849720,0.35981700,-0.05049340,0.95111720,0.34564830,-0.01444838,0.94706890,0.36595450,-0.01610546,0.92365240,0.35328040,-0.05694335,0.94096050,0.36179870,-0.02274369,0.93489380,0.37661680,-0.02148930,0.91347660,0.36240770,-0.06768154,0.88940850,0.35397450,-0.06077661,0.92659920,0.37685180,-0.03218453,0.92311220,0.38428870,-0.02989607,0.90919670,0.37057790,0.03990123,0.92607400,0.35074880,0.03180556,0.95626990,0.37193630,-0.03370955,0.92048820,0.33697630,-0.03868333,0.90899830,0.34686080,-0.04355675,0.90501270,0.35483040,13,7
-0.06740240,0.86613570,0.32190590,-0.06740240,0.86613570,0.32190590,-0.06740240,0.86613570,0.32190590,-0.04905810,0.88255380,0.32226040,-0.03007490,0.89709840,0.31956230,-0.00116590,0.90665690,0.32757260,0.02270228,0.92103380,0.34473270,-0.03158071,0.95496170,0.32810650,-0.00076396,0.96205910,0.34678410,0.01949616,0.95971280,0.35852750,-0.04513397,0.95310810,0.34486990,-0.00894648,0.94896700,0.36490210,-0.01077648,0.92547790,0.35238700,-0.05150937,0.94303640,0.36110290,-0.01722319,0.93679840,0.37564740,-0.01620816,0.91532400,0.36150550,-0.06254237,0.89150820,0.35353700,-0.05529567,0.92874450,0.37623360,-0.02666261,0.92508800,0.38342750,-0.02465093,0.91115300,0.36969330,0.04493758,0.92783070,0.35001030,0.03739785,0.95713370,0.37048240,-0.02849885,0.92223980,0.33622630,-0.03357524,0.91092860,0.34612820,-0.03861389,0.90718450,0.35415650,13,7
-0.06268710,0.86802320,0.32162580,-0.06268710,0.86802320,0.32162580,-0.06268710,0.86802320,0.32162580,-0.04427434,0.88436750,0.32179570,-0.02524724,0.89882440,0.31894030,0.00375804,0.90824820,0.32675980,0.02762386,0.92252840,0.34400390,-0.02646205,0.95672180,0.32728310,0.00460093,0.96325480,0.34575770,0.02491362,0.96064600,0.35735390,-0.03990182,0.95497700,0.34414920,-0.00360502,0.95098080,0.36401240,-0.00545167,0.92739280,0.35168710,-0.04620108,0.94498320,0.36045990,-0.01184012,0.93875840,0.37483250,-0.01085812,0.91719830,0.36081940,-0.05749695,0.89347650,0.35313930,-0.04993638,0.93075520,0.37566330,-0.02126999,0.92702730,0.38268580,-0.01923428,0.91301380,0.36903530,0.04986195,0.92924570,0.34937080,0.04286884,0.95789340,0.36918930,-0.02325577,0.92403860,0.33564030,-0.02831013,0.91273830,0.34555730,-0.03323279,0.90894990,0.35355520,13,7
