RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.05693579,0.79535000,0.28402490,0.05693579,0.79535000,0.28402490,0.05693579,0.79535000,0.28402490,0.06016492,0.81592330,0.29715910,0.05950318,0.83544530,0.31121750,0.06110041,0.86599450,0.31866450,0.06791280,0.89656020,0.32816110,0.10114810,0.84920720,0.35002770,0.11632440,0.88251420,0.35306420,0.12074330,0.90527620,0.34903260,0.11697410,0.84146660,0.33746740,0.11410900,0.88036260,0.32308460,0.09252578,0.87094040,0.31055050,0.12481800,0.83848040,0.31916030,0.11805770,0.87360480,0.30705380,0.09621102,0.86464390,0.29682660,0.09271626,0.81503730,0.28374800,0.12838540,0.83666100,0.29838770,0.12056800,0.86489620,0.29322680,0.10348510,0.85622300,0.28877580,0.06643114,0.91913400,0.33569010,0.12484730,0.92584490,0.34354390,0.08692627,0.84857090,0.31789820,0.09341952,0.84209160,0.30322930,0.09976969,0.83596420,0.29405620,13,4
0.05747506,0.79957080,0.28397570,0.05747506,0.79957080,0.28397570,0.05747506,0.79957080,0.28397570,0.06066383,0.82001520,0.29731930,0.06003071,0.83949460,0.31143800,0.06195659,0.86993370,0.31924930,0.06926502,0.90029350,0.32903320,0.10119280,0.85261670,0.35095770,0.11624560,0.88598200,0.35396900,0.12036680,0.90874560,0.34964230,0.11712530,0.84488640,0.33852640,0.11471960,0.88392430,0.32444700,0.09322904,0.87458570,0.31169320,0.12517440,0.84200510,0.32029160,0.11872260,0.87723590,0.30832670,0.09694228,0.86824120,0.29798820,0.09337059,0.81904690,0.28429770,0.12898420,0.84033650,0.29954950,0.12121510,0.86858710,0.29440000,0.10422080,0.85976370,0.28990530,0.06821993,0.92284920,0.33668880,0.12407220,0.92928430,0.34377060,0.08753159,0.85219720,0.31890620,0.09422544,0.84568460,0.30440810,0.10073160,0.83947880,0.29523940,13,4
0.05829565,0.80368830,0.28446360,0.05829565,0.80368830,0.28446360,0.05829565,0.80368830,0.28446360,0.06137215,0.82406700,0.29793350,0.06070831,0.84352570,0.31207930,0.06271155,0.87389210,0.32014980,0.07027766,0.90414450,0.33006940,0.10165170,0.85651810,0.35185020,0.11627480,0.89009420,0.35462770,0.11984190,0.91287820,0.34993180,0.11764250,0.84892570,0.33940880,0.11515860,0.88804240,0.32556390,0.09373091,0.87854730,0.31281980,0.12574270,0.84618400,0.32117520,0.11912610,0.88142700,0.30933680,0.09740729,0.87216510,0.29910520,0.09411068,0.82330790,0.28497800,0.12960410,0.84465240,0.30043200,0.12153440,0.87282260,0.29530420,0.10468250,0.86367020,0.29093270,0.06950194,0.92668460,0.33780270,0.12290610,0.93339130,0.34361810,0.08822718,0.85610080,0.32000310,0.09504166,0.84959270,0.30560800,0.10166470,0.84334140,0.29638580,13,4
0.05908273,0.80771230,0.28491770,0.05908273,0.80771230,0.28491770,0.05908273,0.80771230,0.28491770,0.06204893,0.82802360,0.29851360,0.06135131,0.84745990,0.31268850,0.06343006,0.87775390,0.32100810,0.07124666,0.90789870,0.33106050,0.10205660,0.86030220,0.35273550,0.11625880,0.89407540,0.35529840,0.11929010,0.91686060,0.35024570,0.11811010,0.85283650,0.34029820,0.11557840,0.89203020,0.32668150,0.09422173,0.88239260,0.31392520,0.12627360,0.85022780,0.32207330,0.11952140,0.88548540,0.31035560,0.09787545,0.87597290,0.30020010,0.09482802,0.82745180,0.28565140,0.13020160,0.84882890,0.30133330,0.12184040,0.87691620,0.29621790,0.10514130,0.86744480,0.29194110,0.07073836,0.93042250,0.33886270,0.12173600,0.93732140,0.34350640,0.08889093,0.85989310,0.32107320,0.09583622,0.85338950,0.30677500,0.10257650,0.84708240,0.29750010,13,4
0.05982850,0.81158010,0.28533770,0.05982850,0.81158010,0.28533770,0.05982850,0.81158010,0.28533770,0.06268814,0.83182410,0.29905610,0.06194527,0.85122890,0.31327190,0.06406157,0.88146120,0.32180340,0.07213309,0.91151530,0.33192570,0.10241380,0.86391780,0.35359420,0.11676030,0.89764240,0.35598870,0.11984740,0.92041830,0.35092780,0.11853200,0.85656820,0.34117140,0.11597480,0.89585140,0.32781990,0.09470953,0.88628840,0.31485640,0.12676580,0.85408460,0.32296060,0.11978320,0.88933500,0.31135660,0.09835909,0.87947330,0.30106460,0.09551287,0.83141950,0.28630440,0.13076920,0.85281250,0.30222680,0.12221110,0.88085320,0.29718200,0.10567720,0.87110940,0.29287500,0.07186894,0.93403240,0.33975960,0.12232870,0.94087580,0.34419170,0.08936655,0.86372490,0.32179040,0.09660827,0.85685310,0.30759590,0.10350560,0.85070750,0.29845670,13,4
0.06074582,0.81402810,0.28760920,0.06074582,0.81402810,0.28760920,0.06074582,0.81402810,0.28760920,0.06331956,0.83418820,0.30150680,0.06234562,0.85354590,0.31577270,0.06439061,0.88370550,0.32457480,0.07258028,0.91365330,0.33491510,0.10202730,0.86601810,0.35692440,0.11644180,0.89971140,0.35934880,0.11958630,0.92247890,0.35428500,0.11837370,0.85878970,0.34473070,0.11598480,0.89817370,0.33164780,0.09498796,0.88869210,0.31819630,0.12692330,0.85644610,0.32664730,0.11989480,0.89170420,0.31509470,0.09882701,0.88153210,0.30437800,0.09635799,0.83394730,0.28931510,0.13128310,0.85532040,0.30597710,0.12259530,0.88331590,0.30090300,0.10628830,0.87331110,0.29633710,0.07246000,0.93615220,0.34280440,0.12211860,0.94292740,0.34754050,0.08954775,0.86606280,0.32483380,0.09726140,0.85887560,0.31083000,0.10442520,0.85287390,0.30190100,13,4
0.06162967,0.81655970,0.28969180,0.06162967,0.81655970,0.28969180,0.06162967,0.81655970,0.28969180,0.06393327,0.83663520,0.30375810,0.06274619,0.85594680,0.31807040,0.06472895,0.88603230,0.32713640,0.07304321,0.91587020,0.33769240,0.10166900,0.86819020,0.35999720,0.11612050,0.90186750,0.36242540,0.11927460,0.92462440,0.35732090,0.11822650,0.86107550,0.34802340,0.11599840,0.90055640,0.33520660,0.09526311,0.89115160,0.32130300,0.12707240,0.85886690,0.33006600,0.12000640,0.89413340,0.31856230,0.09928511,0.88367240,0.30745540,0.09716482,0.83654360,0.29210100,0.13176810,0.85788360,0.30946220,0.12294690,0.88583090,0.30435200,0.10686710,0.87557220,0.29955010,0.07307675,0.93834830,0.34564170,0.12180380,0.94505680,0.35052620,0.08974123,0.86846170,0.32766030,0.09789866,0.86098620,0.31384400,0.10530830,0.85510920,0.30511260,13,4
0.06244978,0.81901910,0.29155980,0.06244978,0.81901910,0.29155980,0.06244978,0.81901910,0.29155980,0.06450573,0.83901380,0.30577880,0.06321231,0.85834800,0.32005110,0.06525279,0.88840650,0.32919340,0.07364875,0.91817370,0.33988370,0.10134310,0.87029930,0.36275910,0.11560450,0.90406760,0.36504190,0.11861160,0.92680970,0.35978450,0.11808990,0.86328770,0.35098960,0.11593700,0.90286610,0.33846390,0.09557225,0.89347400,0.32401460,0.12720500,0.86120380,0.33315230,0.12020070,0.89652590,0.32178200,0.09980769,0.88592890,0.31020620,0.09790637,0.83905420,0.29461510,0.13220720,0.86035350,0.31261480,0.12339140,0.88831180,0.30755620,0.10747300,0.87796560,0.30241610,0.07373816,0.94064480,0.34785240,0.12113540,0.94723030,0.35295280,0.09003144,0.87070120,0.33005080,0.09849443,0.86319700,0.31644560,0.10598890,0.85746150,0.30784590,13,4
0.06218524,0.82191800,0.29569320,0.06218524,0.82191800,0.29569320,0.06218524,0.82191800,0.29569320,0.06426290,0.84196090,0.30984100,0.06312157,0.86147340,0.32388180,0.06556666,0.89157000,0.33279680,0.07441181,0.92127910,0.34328460,0.10075620,0.87319280,0.36707160,0.11520690,0.90691300,0.36881130,0.11828550,0.92954800,0.36314900,0.11756690,0.86598000,0.35551670,0.11586350,0.90554050,0.34286600,0.09570963,0.89622410,0.32807610,0.12685530,0.86373250,0.33778900,0.12023640,0.89905640,0.32619540,0.10001640,0.88840570,0.31436820,0.09778110,0.84165750,0.29903960,0.13207110,0.86274170,0.31731100,0.12351380,0.89073830,0.31202550,0.10764020,0.88039610,0.30674090,0.07484549,0.94382020,0.35104130,0.12096830,0.94985190,0.35603580,0.08993638,0.87349680,0.33406600,0.09857053,0.86571370,0.32072270,0.10606490,0.85992950,0.31228570,13,4
0.06200694,0.82482950,0.29951410,0.06200694,0.82482950,0.29951410,0.06200694,0.82482950,0.29951410,0.06408946,0.84490790,0.31361080,0.06311294,0.86459410,0.32741970,0.06594527,0.89474510,0.33603130,0.07514083,0.92442600,0.34629480,0.10020910,0.87606610,0.37111790,0.11488370,0.90971310,0.37231690,0.11807890,0.93224140,0.36630440,0.11708590,0.86867960,0.35977120,0.11579380,0.90821730,0.34700090,0.09583908,0.89882740,0.33198910,0.12654650,0.86629390,0.34215300,0.12020660,0.90157970,0.33029050,0.10012340,0.89087500,0.31828050,0.09771848,0.84430290,0.30317260,0.13197440,0.86518650,0.32173610,0.12359700,0.89319490,0.31622960,0.10777620,0.88286920,0.31075730,0.07579464,0.94703660,0.35383090,0.12096470,0.95243640,0.35896440,0.08995728,0.87614450,0.33804150,0.09863849,0.86823920,0.32482360,0.10610970,0.86243060,0.31637810,13,4
