RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.36365710,1.12510900,0.52916690,0.36365710,1.12510900,0.52916690,0.36365710,1.12510900,0.52916690,0.36541150,1.14706600,0.51703150,0.38081150,1.16525000,0.51099540,0.39459680,1.19321300,0.50310760,0.40190410,1.22526300,0.49705720,0.35907920,1.22286000,0.52330650,0.36074800,1.25984900,0.51728070,0.36073510,1.28294500,0.51061400,0.34016380,1.21672200,0.53294740,0.32697620,1.25677600,0.52798910,0.31790060,1.28178100,0.52207960,0.32324090,1.20502900,0.53311930,0.30270890,1.23767400,0.53378350,0.28858230,1.25940800,0.52943100,0.33139900,1.15152500,0.52785710,0.30801000,1.19010900,0.52960660,0.28666790,1.21119000,0.53444630,0.27154510,1.22436200,0.53326450,0.41490820,1.24522500,0.49200870,0.35941050,1.30438000,0.50521170,0.30942000,1.30466200,0.51812470,0.27684760,1.27939500,0.52277390,0.25934840,1.23931500,0.52329710,10,5
0.36423910,1.12206500,0.53006150,0.36423910,1.12206500,0.53006150,0.36423910,1.12206500,0.53006150,0.36599550,1.14398300,0.51785680,0.38142690,1.16212700,0.51178130,0.39528760,1.18993200,0.50347480,0.40240570,1.22191900,0.49688790,0.35970800,1.21980000,0.52390240,0.36144040,1.25678900,0.51789420,0.36148710,1.27991100,0.51131670,0.34079690,1.21370200,0.53357710,0.32773230,1.25377800,0.52847380,0.31872220,1.27876700,0.52239760,0.32386800,1.20201800,0.53379830,0.30339980,1.23470500,0.53437100,0.28933440,1.25637900,0.52955060,0.33199380,1.14849400,0.52869520,0.30862650,1.18709600,0.53034370,0.28714790,1.20817100,0.53456090,0.27205870,1.22127800,0.53252830,0.41521170,1.24189900,0.49142340,0.36021900,1.30137100,0.50600310,0.31029810,1.30163200,0.51824030,0.27771160,1.27619700,0.52222100,0.26028020,1.23583700,0.52152920,10,5
0.36634940,1.11950000,0.53280740,0.36634940,1.11950000,0.53280740,0.36634940,1.11950000,0.53280740,0.36794420,1.14138800,0.52052690,0.38326180,1.15963400,0.51446560,0.39696420,1.18743300,0.50588300,0.40361420,1.21943100,0.49887690,0.36095380,1.21716700,0.52627290,0.36240570,1.25416300,0.52023290,0.36230540,1.27729900,0.51370610,0.34206970,1.21093400,0.53591410,0.32875780,1.25090000,0.53059550,0.31959320,1.27577900,0.52430500,0.32524650,1.19909800,0.53612840,0.30452510,1.23162800,0.53649500,0.29033650,1.25309400,0.53113290,0.33387090,1.14563200,0.53124770,0.31015090,1.18402600,0.53268400,0.28833230,1.20487600,0.53622300,0.27318140,1.21774700,0.53332660,0.41605430,1.23955900,0.49311580,0.36089970,1.29876300,0.50844120,0.31101950,1.29854300,0.51990130,0.27867510,1.27260500,0.52307780,0.26174440,1.23177800,0.52132640,10,5
0.36830690,1.11700000,0.53535110,0.36830690,1.11700000,0.53535110,0.36830690,1.11700000,0.53535110,0.36975590,1.13885900,0.52300010,0.38497670,1.15719100,0.51695740,0.39854520,1.18499100,0.50816710,0.40475760,1.21699900,0.50081390,0.36213160,1.21459700,0.52846860,0.36332440,1.25159500,0.52238420,0.36308850,1.27474100,0.51589830,0.34327320,1.20824200,0.53808080,0.32974360,1.24810900,0.53256450,0.32044310,1.27288500,0.52607040,0.32654670,1.19627000,0.53829100,0.30560030,1.22865800,0.53845480,0.29131380,1.24991700,0.53255680,0.33562040,1.14286000,0.53361590,0.31158390,1.18106300,0.53485800,0.28945960,1.20168800,0.53776000,0.27428220,1.21431700,0.53404720,0.41685010,1.23726700,0.49480690,0.36155580,1.29620600,0.51067390,0.31173760,1.29555200,0.52143050,0.27964480,1.26911400,0.52379020,0.26322560,1.22782200,0.52112260,10,5
0.37011600,1.11459700,0.53769930,0.37011600,1.11459700,0.53769930,0.37011600,1.11459700,0.53769930,0.37143330,1.13642700,0.52528320,0.38641410,1.15490600,0.51908890,0.39966890,1.18259200,0.50949890,0.40565250,1.21445900,0.50137890,0.36323710,1.21212300,0.53049540,0.36442790,1.24913300,0.52448150,0.36423470,1.27232900,0.51817560,0.34440310,1.20566000,0.54008260,0.33076410,1.24548700,0.53455280,0.32139770,1.27023100,0.52803000,0.32776490,1.19356500,0.54029050,0.30666710,1.22585400,0.54046160,0.29230790,1.24698400,0.53428400,0.33724380,1.14020900,0.53580500,0.31292310,1.17823700,0.53686980,0.29047840,1.19869700,0.53783660,0.27551200,1.21093800,0.53237890,0.41767830,1.23459100,0.49481180,0.36274730,1.29384600,0.51315380,0.31262870,1.29286300,0.52334140,0.28064810,1.26594500,0.52500610,0.26536600,1.22352900,0.51788080,10,5
0.37203650,1.11284100,0.53946300,0.37203650,1.11284100,0.53946300,0.37203650,1.11284100,0.53946300,0.37324780,1.13478100,0.52723050,0.38803850,1.15343000,0.52109120,0.40104240,1.18109700,0.51110920,0.40682970,1.21291700,0.50267060,0.36466540,1.21038800,0.53307210,0.36590130,1.24747000,0.52752700,0.36577250,1.27077800,0.52164660,0.34586070,1.20374900,0.54259680,0.33218380,1.24362400,0.53752200,0.32278920,1.26842300,0.53125660,0.32928410,1.19156900,0.54269630,0.30810480,1.22380000,0.54326060,0.29371200,1.24489500,0.53703860,0.33903540,1.13830100,0.53776880,0.31452160,1.17619500,0.53914100,0.29189260,1.19646600,0.53857320,0.27724460,1.20836100,0.53167620,0.41879090,1.23299500,0.49582360,0.36435150,1.29239500,0.51705560,0.31399370,1.29108800,0.52677860,0.28209720,1.26373600,0.52746540,0.26807620,1.22021400,0.51595590,10,5
0.37386550,1.11105700,0.54117330,0.37386550,1.11105700,0.54117330,0.37386550,1.11105700,0.54117330,0.37497580,1.13309200,0.52910370,0.38959230,1.15189600,0.52301750,0.40236330,1.17952900,0.51265130,0.40794730,1.21129700,0.50388370,0.36602490,1.20861200,0.53549940,0.36729860,1.24575200,0.53037520,0.36722790,1.26915600,0.52488570,0.34724860,1.20181200,0.54496620,0.33353590,1.24172400,0.54030010,0.32411430,1.26656900,0.53425880,0.33073110,1.18955100,0.54496810,0.30947410,1.22172300,0.54587760,0.29505410,1.24277400,0.53956970,0.34074230,1.13636900,0.53965190,0.31604470,1.17413300,0.54129260,0.29330120,1.19418800,0.53934190,0.27903050,1.20571800,0.53115530,0.41982860,1.23132400,0.49675340,0.36586700,1.29085800,0.52069160,0.31529300,1.28925800,0.52995900,0.28349610,1.26148100,0.52967180,0.27085770,1.21685100,0.51439370,10,5
0.37555040,1.10934200,0.54276770,0.37555040,1.10934200,0.54276770,0.37555040,1.10934200,0.54276770,0.37656750,1.13145900,0.53084050,0.39096810,1.15042400,0.52474140,0.40343640,1.17801500,0.51390230,0.40878100,1.20971100,0.50473560,0.36727720,1.20689500,0.53771760,0.36844990,1.24408100,0.53290460,0.36832820,1.26753900,0.52765600,0.34852730,1.19995100,0.54713180,0.33481920,1.23993900,0.54315010,0.32539040,1.26487800,0.53752360,0.33206470,1.18761700,0.54704750,0.31069370,1.21970400,0.54824070,0.29622830,1.24068400,0.54180440,0.34231530,1.13451500,0.54139410,0.31744880,1.17215700,0.54326630,0.29459470,1.19190600,0.53995450,0.28057110,1.20306700,0.53087750,0.42054920,1.22967700,0.49725710,0.36692460,1.28928500,0.52371040,0.31656460,1.28763000,0.53357950,0.28472350,1.25922000,0.53152760,0.27297810,1.21369400,0.51352570,10,5
0.37608560,1.10729600,0.54162890,0.37608560,1.10729600,0.54162890,0.37608560,1.10729600,0.54162890,0.37706630,1.12955400,0.52996480,0.39131910,1.14864800,0.52392140,0.40356890,1.17620400,0.51275030,0.40876460,1.20786000,0.50336220,0.36778930,1.20490100,0.53777280,0.36901360,1.24214800,0.53347550,0.36893140,1.26568900,0.52860640,0.34906740,1.19784200,0.54715750,0.33552340,1.23796700,0.54410050,0.32617650,1.26305800,0.53903810,0.33260570,1.18550800,0.54697290,0.31126870,1.21759400,0.54869380,0.29683270,1.23860200,0.54228310,0.34284450,1.13247900,0.54065350,0.31798020,1.17009300,0.54304890,0.29514180,1.18964800,0.53865520,0.28143750,1.20055100,0.52881000,0.42046550,1.22776600,0.49562250,0.36757220,1.28750300,0.52504200,0.31743060,1.28592000,0.53558430,0.28543700,1.25707000,0.53176550,0.27448570,1.21079600,0.51096600,10,5
0.37668420,1.10525800,0.54072290,0.37668420,1.10525800,0.54072290,0.37668420,1.10525800,0.54072290,0.37762590,1.12764300,0.52930030,0.39169860,1.14687600,0.52327420,0.40366650,1.17452200,0.51201870,0.40826450,1.20625300,0.50257290,0.36833780,1.20289700,0.53795460,0.36942140,1.24016200,0.53378250,0.36921800,1.26369800,0.52889390,0.34964270,1.19572700,0.54730910,0.33608680,1.23589000,0.54485580,0.32669840,1.26100200,0.53997960,0.33318560,1.18338800,0.54703160,0.31180260,1.21540500,0.54936990,0.29734410,1.23639500,0.54295030,0.34343020,1.13043600,0.54010710,0.31855660,1.16801100,0.54297660,0.29581750,1.18760200,0.53824140,0.28225750,1.19852000,0.52821480,0.41965100,1.22627800,0.49467340,0.36774780,1.28550100,0.52530620,0.31791150,1.28386100,0.53661190,0.28602500,1.25474300,0.53214470,0.27546960,1.20880900,0.51033330,10,5
