RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.41508220,0.92987000,0.38591340,0.41508220,0.92987000,0.38591340,0.41508220,0.92987000,0.38591340,0.39615150,0.94408640,0.37743010,0.38720610,0.95962510,0.36061360,0.36605510,0.97377850,0.34095400,0.34372170,0.99232230,0.32438360,0.36243040,1.01243800,0.38133620,0.34146090,1.04339000,0.37825030,0.32398380,1.05964900,0.37540860,0.36454830,1.00808200,0.40289900,0.33838770,1.03991700,0.41314400,0.31879390,1.05800000,0.41876500,0.36288130,0.99497470,0.41866550,0.33892700,1.01972400,0.43602720,0.31738210,1.03229300,0.44431370,0.38764150,0.94698780,0.41225960,0.36064070,0.97768420,0.43142990,0.33600120,0.98620610,0.44703640,0.31897000,0.98967190,0.45711310,0.33083440,1.00313900,0.30677690,0.30998920,1.07680700,0.37504600,0.30299220,1.07587100,0.42525030,0.29670630,1.04334100,0.44997050,0.30016950,0.99524280,0.46645070,10,7
0.41637440,0.92998730,0.38460890,0.41637440,0.92998730,0.38460890,0.41637440,0.92998730,0.38460890,0.39757590,0.94444980,0.37624870,0.38848020,0.96010950,0.35962620,0.36708020,0.97436490,0.34031270,0.34468950,0.99302970,0.32395690,0.36462880,1.01315300,0.38056050,0.34376070,1.04420100,0.37775670,0.32594650,1.06010000,0.37497110,0.36676690,1.00868000,0.40209710,0.34073570,1.04045000,0.41285990,0.32106770,1.05837300,0.41873060,0.36500460,0.99552320,0.41781190,0.34082260,1.01995200,0.43531140,0.31904210,1.03216900,0.44350880,0.38920960,0.94729300,0.41111780,0.36261270,0.97820290,0.43050830,0.33753470,0.98624690,0.44566350,0.32016990,0.98932630,0.45528610,0.33151010,1.00395400,0.30663560,0.31151960,1.07689700,0.37462580,0.30501730,1.07596500,0.42536540,0.29796720,1.04261600,0.44882150,0.30097460,0.99444470,0.46406270,10,7
0.41758290,0.93013200,0.38343530,0.41758290,0.93013200,0.38343530,0.41758290,0.93013200,0.38343530,0.39891890,0.94482920,0.37518360,0.38967800,0.96060690,0.35875380,0.36819970,0.97530280,0.33986210,0.34588350,0.99439910,0.32390750,0.36671160,1.01385800,0.37987420,0.34611920,1.04513500,0.37763160,0.32789830,1.06059400,0.37500960,0.36885320,1.00926800,0.40138590,0.34268220,1.04070900,0.41275880,0.32258490,1.05808400,0.41881930,0.36698900,0.99606190,0.41704750,0.34160780,1.01958800,0.43407880,0.31900290,1.03074300,0.44152330,0.39066580,0.94760790,0.41008490,0.36444380,0.97871230,0.42967400,0.33880440,0.98607360,0.44422480,0.32090740,0.98848800,0.45302710,0.33235110,1.00572600,0.30712500,0.31281150,1.07680200,0.37473300,0.30589890,1.07504100,0.42553920,0.29713910,1.03993600,0.44588250,0.30102790,0.99275390,0.46066220,10,7
0.41851280,0.92989130,0.38252550,0.41851280,0.92989130,0.38252550,0.41851280,0.92989130,0.38252550,0.40006950,0.94492260,0.37438010,0.39074320,0.96077780,0.35807370,0.36921270,0.97591820,0.33959700,0.34704590,0.99547950,0.32400160,0.36926250,1.01458600,0.37909230,0.34922620,1.04624700,0.37723950,0.33077540,1.06145500,0.37475860,0.37150000,1.01003100,0.40060170,0.34557590,1.04149500,0.41246490,0.32528440,1.05858600,0.41868520,0.36951320,0.99691920,0.41632730,0.34335590,1.01993900,0.43286850,0.32018690,1.03034400,0.43963430,0.39217510,0.94798580,0.40934060,0.36673810,0.97966750,0.42903930,0.34077330,0.98676780,0.44313580,0.32250630,0.98881440,0.45124380,0.33319370,1.00716600,0.30773460,0.31524880,1.07724300,0.37451240,0.30820970,1.07513500,0.42544270,0.29778820,1.03856700,0.44313000,0.30216070,0.99254950,0.45786110,10,7
0.41940820,0.92970010,0.38168360,0.41940820,0.92970010,0.38168360,0.41940820,0.92970010,0.38168360,0.40118480,0.94504680,0.37363190,0.39178790,0.96098790,0.35745020,0.37022350,0.97654150,0.33936030,0.34820990,0.99652990,0.32409280,0.37170710,1.01528200,0.37836650,0.35220630,1.04729400,0.37687510,0.33354370,1.06226300,0.37452730,0.37402260,1.01074700,0.39987200,0.34832190,1.04221600,0.41219970,0.32783810,1.05902200,0.41856300,0.37191270,0.99771940,0.41565140,0.34502510,1.02023200,0.43171280,0.32135780,1.02990100,0.43781390,0.39361300,0.94835540,0.40864130,0.36891540,0.98055850,0.42843540,0.34264830,0.98740950,0.44208810,0.32405650,0.98910870,0.44950900,0.33407710,1.00856100,0.30832570,0.31760720,1.07763700,0.37431600,0.31038410,1.07516100,0.42534460,0.29851850,1.03717300,0.44046270,0.30332580,0.99234520,0.45511650,10,7
0.42027610,0.92954830,0.38089560,0.42027610,0.92954830,0.38089560,0.42027610,0.92954830,0.38089560,0.40227220,0.94519480,0.37292760,0.39255240,0.96119000,0.35699190,0.37072990,0.97711680,0.33954770,0.34885110,0.99749770,0.32460900,0.37406770,1.01594900,0.37768590,0.35493230,1.04819200,0.37646170,0.33566380,1.06236900,0.37409220,0.37644700,1.01142500,0.39918660,0.35092060,1.04312000,0.41129530,0.33012360,1.05966400,0.41732150,0.37421370,0.99847300,0.41501150,0.34698760,1.02092300,0.43058350,0.32309630,1.03033600,0.43619050,0.39499420,0.94871800,0.40797840,0.37100040,0.98139740,0.42785720,0.34464440,0.98876400,0.44106290,0.32571220,0.99045970,0.44756740,0.33465080,1.00978000,0.30909880,0.31879850,1.07671600,0.37373380,0.31226500,1.07550400,0.42374390,0.30009130,1.03725300,0.43830130,0.30463860,0.99351130,0.45184190,10,7
0.42051740,0.92912690,0.38047230,0.42051740,0.92912690,0.38047230,0.42051740,0.92912690,0.38047230,0.40290180,0.94522570,0.37253760,0.39311820,0.96142910,0.35685330,0.37131640,0.97795810,0.33995200,0.34983350,0.99893750,0.32526930,0.37643060,1.01663600,0.37745150,0.35790590,1.04924300,0.37651010,0.33824240,1.06285600,0.37407900,0.37869520,1.01200700,0.39894230,0.35349440,1.04402700,0.41087470,0.33249090,1.06043300,0.41655160,0.37614420,0.99907790,0.41473780,0.34864970,1.02157300,0.42976300,0.32457560,1.03085900,0.43476920,0.39570620,0.94884680,0.40759530,0.37251330,0.98205700,0.42754490,0.34603080,0.98997170,0.44016750,0.32678700,0.99172560,0.44566390,0.33575860,1.01164100,0.30998530,0.32069350,1.07635300,0.37356110,0.31432100,1.07606300,0.42260630,0.30145100,1.03754400,0.43621720,0.30546150,0.99468150,0.44852250,10,7
0.42079160,0.92875460,0.38005580,0.42079160,0.92875460,0.38005580,0.42079160,0.92875460,0.38005580,0.40355530,0.94527490,0.37215470,0.39371980,0.96168440,0.35671900,0.37196120,0.97878720,0.34034100,0.35086980,1.00032600,0.32590230,0.37874660,1.01726900,0.37722260,0.36080870,1.05021000,0.37656040,0.34079540,1.06329300,0.37407530,0.38090010,1.01254100,0.39870330,0.35600230,1.04484800,0.41050040,0.33479940,1.06110500,0.41585580,0.37804750,0.99964080,0.41447030,0.35027890,1.02215400,0.42895560,0.32602760,1.03128000,0.43336370,0.39644030,0.94898520,0.40721960,0.37402090,0.98268070,0.42723960,0.34741420,0.99106690,0.43928320,0.32791750,0.99284420,0.44379240,0.33691420,1.01343200,0.31085060,0.32264510,1.07596200,0.37341030,0.31632380,1.07650700,0.42156060,0.30279390,1.03769200,0.43414460,0.30643450,0.99566880,0.44526990,10,7
0.42109160,0.92842070,0.37964450,0.42109160,0.92842070,0.37964450,0.42109160,0.92842070,0.37964450,0.40422860,0.94533780,0.37177740,0.39438550,0.96195550,0.35657120,0.37271350,0.97960180,0.34066150,0.35182750,1.00165600,0.32671050,0.38102880,1.01785500,0.37699800,0.36347100,1.05100700,0.37688800,0.34339850,1.06403900,0.37462310,0.38307340,1.01303500,0.39846870,0.35860940,1.04582000,0.40984470,0.33713900,1.06190300,0.41463140,0.37993200,1.00016700,0.41420760,0.35221430,1.02301600,0.42825690,0.32781740,1.03204500,0.43201430,0.39719320,0.94913010,0.40684950,0.37552700,0.98327340,0.42694000,0.34888770,0.99258580,0.43820590,0.32929890,0.99485080,0.44204770,0.33779540,1.01518100,0.31210820,0.32496640,1.07630000,0.37407140,0.31786180,1.07660900,0.41945080,0.30443940,1.03795900,0.43185330,0.30784750,0.99815880,0.44280890,10,7
0.42151710,0.92780360,0.38073110,0.42151710,0.92780360,0.38073110,0.42151710,0.92780360,0.38073110,0.40518090,0.94522460,0.37285200,0.39548830,0.96210270,0.35783700,0.37408610,0.98043510,0.34234340,0.35363830,1.00314100,0.32879500,0.38418780,1.01841200,0.37805800,0.36730290,1.05191000,0.37839950,0.34723370,1.06497100,0.37627590,0.38606930,1.01353200,0.39953010,0.36230120,1.04697500,0.41045750,0.34072080,1.06307000,0.41467490,0.38252730,1.00076500,0.41526620,0.35499780,1.02415000,0.42879450,0.33053520,1.03326000,0.43186670,0.39823770,0.94922820,0.40791910,0.37760230,0.98401280,0.42799470,0.35103410,0.99443090,0.43842940,0.33139260,0.99728460,0.44154090,0.33969130,1.01717200,0.31459320,0.32858710,1.07690600,0.37576150,0.32087500,1.07726900,0.41862700,0.30710570,1.03886200,0.43076600,0.31002270,1.00115900,0.44148980,10,7
