RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.46810860,0.84721780,0.40682520,0.46810860,0.84721780,0.40682520,0.46810860,0.84721780,0.40682520,0.46674050,0.87186240,0.40200660,0.47220340,0.89338500,0.39146160,0.47088180,0.92348360,0.38021380,0.46898020,0.95653020,0.37557380,0.48725560,0.94155720,0.42537390,0.49448710,0.97783400,0.43161920,0.49710850,1.00150000,0.43492500,0.47970330,0.93330220,0.44443250,0.47855570,0.97348180,0.45811010,0.47558720,0.99949610,0.46565850,0.46540090,0.92284400,0.45488350,0.45542930,0.95550560,0.47281480,0.44506390,0.97812580,0.48128420,0.45279840,0.87378230,0.43511050,0.44879710,0.91049040,0.46109740,0.43670390,0.92996090,0.48104600,0.42433640,0.94329840,0.48957650,0.47024210,0.97828880,0.36470900,0.50138160,1.02244400,0.44071000,0.47611190,1.02221500,0.47538970,0.43615990,0.99944350,0.48819810,0.41331630,0.95905010,0.49968220,10,6
0.46660340,0.84870370,0.40757710,0.46660340,0.84870370,0.40757710,0.46660340,0.84870370,0.40757710,0.46551210,0.87333950,0.40264430,0.47103980,0.89488140,0.39217250,0.46931260,0.92486480,0.38067490,0.46689410,0.95785000,0.37584240,0.48632370,0.94294880,0.42600410,0.49353420,0.97910680,0.43292640,0.49589250,1.00276300,0.43648590,0.47845200,0.93483640,0.44499440,0.47729720,0.97501980,0.45866040,0.47415100,1.00106500,0.46602870,0.46392420,0.92454420,0.45529840,0.45345710,0.95743070,0.47252210,0.44242520,0.98012340,0.47988300,0.45115600,0.87551330,0.43555500,0.44713410,0.91235930,0.46134280,0.43367400,0.93261780,0.47955580,0.42032320,0.94633060,0.48566530,0.46758700,0.97970810,0.36512700,0.49975930,1.02373300,0.44246270,0.47435190,1.02386700,0.47557320,0.43275830,1.00147800,0.48554680,0.40797170,0.96265770,0.49291460,10,6
0.46515750,0.85017860,0.40826840,0.46515750,0.85017860,0.40826840,0.46515750,0.85017860,0.40826840,0.46430740,0.87480010,0.40321840,0.46986970,0.89636220,0.39280670,0.46771780,0.92621960,0.38105570,0.46476300,0.95913170,0.37602630,0.48533860,0.94435650,0.42653940,0.49248010,0.98040210,0.43409080,0.49456080,1.00405000,0.43787380,0.47717430,0.93638350,0.44546510,0.47595240,0.97657980,0.45908710,0.47259610,1.00265500,0.46625190,0.46244560,0.92624160,0.45563220,0.45148970,0.95933620,0.47213860,0.43984250,0.98205280,0.47839480,0.44956320,0.87722010,0.43593980,0.44549360,0.91420530,0.46152010,0.43086730,0.93512630,0.47800270,0.41682780,0.94900110,0.48174350,0.46488100,0.98106370,0.36544120,0.49801540,1.02504500,0.44401120,0.47245120,1.02554700,0.47558330,0.42948270,1.00337700,0.48280920,0.40353890,0.96560590,0.48614490,10,6
0.46378230,0.85161660,0.40890300,0.46378230,0.85161660,0.40890300,0.46378230,0.85161660,0.40890300,0.46314370,0.87622030,0.40373650,0.46859600,0.89785320,0.39341380,0.46609850,0.92768140,0.38165690,0.46278500,0.96055690,0.37661200,0.48433640,0.94574800,0.42699680,0.49079690,0.98185870,0.43484450,0.49173560,1.00562400,0.43833540,0.47590450,0.93790920,0.44586120,0.47430670,0.97809830,0.45946590,0.47039900,1.00418100,0.46631690,0.46099670,0.92790350,0.45590100,0.44928000,0.96117490,0.47150480,0.43607840,0.98359950,0.47520560,0.44803780,0.87887590,0.43627410,0.44390320,0.91599810,0.46164460,0.42674820,0.93783350,0.47398220,0.41179680,0.95117760,0.47256570,0.46227540,0.98270710,0.36650340,0.49389940,1.02689400,0.44410820,0.46951370,1.02720500,0.47527440,0.42388260,1.00436900,0.47640280,0.39730670,0.96723030,0.47055880,10,6
0.46216380,0.85423050,0.40704040,0.46216380,0.85423050,0.40704040,0.46216380,0.85423050,0.40704040,0.46165610,0.87884740,0.40192250,0.46697080,0.90063430,0.39185530,0.46405460,0.93048280,0.38024720,0.46025040,0.96332950,0.37536330,0.48258100,0.94828120,0.42569990,0.48820920,0.98440440,0.43411110,0.48797780,1.00820700,0.43746740,0.47382030,0.94041360,0.44440180,0.47161670,0.98049900,0.45822550,0.46704680,1.00652000,0.46490210,0.45872840,0.93041160,0.45416670,0.44609540,0.96368620,0.46903130,0.43157740,0.98555450,0.47039130,0.44601210,0.88145420,0.43420880,0.44151980,0.91852410,0.45959480,0.42248690,0.94063580,0.46808710,0.40762390,0.95280330,0.46220000,0.45907830,0.98570970,0.36583300,0.48881830,1.02962900,0.44301630,0.46532100,1.02958900,0.47361580,0.41796310,1.00537900,0.46861330,0.39337270,0.96733390,0.45462070,10,6
0.46060250,0.85672470,0.40538210,0.46060250,0.85672470,0.40538210,0.46060250,0.85672470,0.40538210,0.46021320,0.88135010,0.40029470,0.46539000,0.90327140,0.39045000,0.46204910,0.93311210,0.37893660,0.45774480,0.96591280,0.37416040,0.48086490,0.95071540,0.42450670,0.48568680,0.98683730,0.43340990,0.48438670,1.01062800,0.43660220,0.47179760,0.94283310,0.44305560,0.46900860,0.98282790,0.45703530,0.46382000,1.00878500,0.46350350,0.45653800,0.93283960,0.45256530,0.44307010,0.96611260,0.46668150,0.42757790,0.98733140,0.46590660,0.44406460,0.88393210,0.43233360,0.43922770,0.92097040,0.45770250,0.41898840,0.94305790,0.46278250,0.40490900,0.95380650,0.45330350,0.45592320,0.98845830,0.36513510,0.48400970,1.03212700,0.44189520,0.46131010,1.03188600,0.47193750,0.41303130,1.00604100,0.46144830,0.39189640,0.96640620,0.44132010,10,6
0.45915480,0.85902070,0.40393000,0.45915480,0.85902070,0.40393000,0.45915480,0.85902070,0.40393000,0.45887030,0.88365140,0.39886110,0.46435840,0.90552100,0.38907010,0.46154640,0.93540600,0.37753050,0.45740090,0.96825850,0.37297470,0.47925890,0.95296730,0.42343480,0.48338490,0.98922570,0.43213060,0.48097800,1.01301500,0.43461380,0.46991490,0.94507930,0.44184350,0.46671160,0.98495360,0.45607600,0.46107480,1.01084100,0.46244710,0.45450700,0.93509660,0.45112250,0.44023970,0.96825870,0.46470420,0.42397080,0.98872590,0.46201060,0.44226440,0.88622420,0.43066620,0.43710930,0.92324500,0.45599800,0.41622260,0.94511640,0.45894470,0.40301500,0.95477790,0.44729020,0.45529430,0.99108350,0.36474930,0.47940060,1.03462800,0.43917310,0.45791410,1.03394500,0.47065190,0.40871980,1.00592000,0.45470910,0.39172210,0.96547230,0.43213170,10,6
0.45815940,0.86015660,0.40424110,0.45815940,0.86015660,0.40424110,0.45815940,0.86015660,0.40424110,0.45784830,0.88474500,0.39897260,0.46342160,0.90652440,0.38902980,0.46078020,0.93632400,0.37723180,0.45649250,0.96915040,0.37261990,0.47785910,0.95431110,0.42314670,0.48118310,0.99076060,0.43137440,0.47764800,1.01448100,0.43302330,0.46839340,0.94654510,0.44154500,0.46469300,0.98641700,0.45566350,0.45854090,1.01226400,0.46171410,0.45294060,0.93659470,0.45078400,0.43785160,0.96970460,0.46358250,0.42089080,0.98924120,0.45894600,0.44098870,0.88752670,0.43062630,0.43553720,0.92473480,0.45561940,0.41406250,0.94622530,0.45615540,0.40194100,0.95444030,0.44240060,0.45386820,0.99211280,0.36494410,0.47486300,1.03613700,0.43672030,0.45469780,1.03541800,0.46947620,0.40521860,1.00463100,0.44899280,0.39277180,0.96278000,0.42456640,10,6
0.45714340,0.86135030,0.40449090,0.45714340,0.86135030,0.40449090,0.45714340,0.86135030,0.40449090,0.45681480,0.88589730,0.39903360,0.46257120,0.90755390,0.38892820,0.46036370,0.93730620,0.37692340,0.45622800,0.97014370,0.37225240,0.47646160,0.95569410,0.42283840,0.47928170,0.99234840,0.43030990,0.47497360,1.01598600,0.43106420,0.46686740,0.94804400,0.44121870,0.46265990,0.98793730,0.45513330,0.45586890,1.01373700,0.46068010,0.45136510,0.93812540,0.45040890,0.43608040,0.97119840,0.46306960,0.41904750,0.99059630,0.45812520,0.43969490,0.88887640,0.43052910,0.43395250,0.92625900,0.45519460,0.41276070,0.94793750,0.45725460,0.40005120,0.95691040,0.44454350,0.45349070,0.99319450,0.36488720,0.47131060,1.03765000,0.43383140,0.45116960,1.03695000,0.46776620,0.40335300,1.00532300,0.44724700,0.39044370,0.96579180,0.42720870,10,6
0.45573460,0.86198080,0.40372150,0.45573460,0.86198080,0.40372150,0.45573460,0.86198080,0.40372150,0.45521450,0.88650350,0.39817090,0.46091180,0.90811970,0.38794620,0.45878240,0.93784890,0.37587040,0.45450420,0.97068170,0.37129450,0.47435670,0.95653760,0.42168820,0.47652080,0.99334540,0.42860310,0.47131720,1.01681400,0.42864510,0.46483940,0.94888550,0.44010770,0.46004080,0.98871980,0.45400010,0.45254220,1.01439600,0.45920000,0.44942210,0.93888510,0.44935200,0.43380780,0.97179850,0.46202650,0.41648120,0.99083330,0.45670570,0.43810470,0.88947360,0.42967270,0.43210470,0.92690580,0.45420130,0.41091900,0.94851480,0.45694230,0.39793430,0.95762960,0.44461640,0.45139240,0.99381630,0.36435320,0.46668060,1.03837600,0.43064230,0.44695550,1.03757300,0.46573650,0.40062760,1.00463500,0.44488640,0.38833290,0.96634420,0.42719360,10,6
