RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.46972740,0.84037300,0.43838410,0.46972740,0.84037300,0.43838410,0.46972740,0.84037300,0.43838410,0.47698050,0.86190810,0.44915800,0.49325980,0.87872560,0.45666930,0.50660150,0.90694490,0.46440590,0.51420920,0.93608330,0.47890790,0.49326600,0.89664310,0.51513170,0.50314710,0.92074350,0.54212870,0.50749740,0.93940940,0.55663820,0.47404070,0.88718060,0.52054080,0.47217420,0.91195510,0.55497240,0.46954990,0.93126730,0.57401670,0.45450520,0.88265880,0.51594980,0.44132560,0.90425970,0.54506080,0.43203600,0.92120950,0.56287240,0.44647840,0.85847380,0.46791330,0.43541660,0.87941390,0.50635770,0.41989040,0.89481940,0.52745030,0.40831650,0.90555820,0.53987340,0.52463810,0.95730080,0.48474960,0.51098500,0.95482900,0.57214530,0.46731350,0.94669290,0.59320390,0.42459080,0.93746860,0.57905080,0.39829880,0.92023680,0.55235820,10,1
0.47032660,0.84040400,0.43771700,0.47032660,0.84040400,0.43771700,0.47032660,0.84040400,0.43771700,0.47729020,0.86211950,0.44831840,0.49309330,0.87951230,0.45553090,0.50545240,0.90830110,0.46278620,0.51106380,0.93791620,0.47723230,0.49398360,0.89735640,0.51392300,0.50360540,0.92188660,0.54062500,0.50754860,0.94092700,0.55475950,0.47507520,0.88747970,0.51969640,0.47316590,0.91253160,0.55392430,0.47035130,0.93204210,0.57273780,0.45556590,0.88251320,0.51546790,0.44255210,0.90410300,0.54466150,0.43328200,0.92114630,0.56239370,0.44721580,0.85804790,0.46762880,0.43638460,0.87882200,0.50622840,0.42108260,0.89393250,0.52769510,0.40962020,0.90455790,0.54031750,0.51951200,0.95994150,0.48328060,0.51069610,0.95680800,0.56986860,0.46800370,0.94774010,0.59168950,0.42583600,0.93755800,0.57841700,0.39967270,0.91924240,0.55285130,10,1
0.47089910,0.84042170,0.43705800,0.47089910,0.84042170,0.43705800,0.47089910,0.84042170,0.43705800,0.47757730,0.86230300,0.44750070,0.49303900,0.88011620,0.45442120,0.50466310,0.90931480,0.46124080,0.50900170,0.93920180,0.47556450,0.49464010,0.89802450,0.51274720,0.50394360,0.92316280,0.53899260,0.50743870,0.94263340,0.55265090,0.47605000,0.88775730,0.51886310,0.47423890,0.91309520,0.55288540,0.47130980,0.93283010,0.57144560,0.45658170,0.88236580,0.51498080,0.44417410,0.90398490,0.54441560,0.43520000,0.92118990,0.56214400,0.44793440,0.85762860,0.46733470,0.43732740,0.87824580,0.50608040,0.42223200,0.89293500,0.52798140,0.41086490,0.90341000,0.54081400,0.51581090,0.96172730,0.48183450,0.51019440,0.95904440,0.56726190,0.46890760,0.94884500,0.59012330,0.42800100,0.93784120,0.57803240,0.40096570,0.91809130,0.55338970,10,1
0.47142410,0.84054240,0.43690380,0.47142410,0.84054240,0.43690380,0.47142410,0.84054240,0.43690380,0.47772040,0.86259100,0.44723150,0.49273770,0.88086590,0.45392290,0.50346820,0.91048620,0.46037850,0.50631020,0.94056740,0.47467080,0.49488270,0.89878310,0.51219190,0.50370700,0.92449020,0.53804900,0.50663690,0.94434880,0.55127470,0.47664410,0.88806950,0.51859350,0.47474790,0.91364790,0.55243060,0.47157800,0.93356440,0.57075590,0.45725750,0.88219880,0.51500830,0.44528350,0.90380680,0.54463030,0.43647430,0.92113230,0.56232400,0.44850300,0.85721100,0.46751290,0.43797830,0.87759980,0.50640180,0.42302150,0.89183430,0.52869450,0.41169680,0.90212680,0.54171090,0.51133940,0.96347560,0.48122790,0.50888400,0.96123740,0.56542110,0.46900340,0.94985120,0.58917370,0.42939300,0.93798180,0.57805560,0.40177130,0.91677070,0.55430950,10,1
0.47193800,0.84064530,0.43670940,0.47193800,0.84064530,0.43670940,0.47193800,0.84064530,0.43670940,0.47786080,0.86284710,0.44692910,0.49241880,0.88156600,0.45340460,0.50223490,0.91157410,0.45951540,0.50354110,0.94175510,0.47382030,0.49511800,0.89949930,0.51160570,0.50345050,0.92573320,0.53709420,0.50580160,0.94594030,0.54990090,0.47723580,0.88836180,0.51828350,0.47523910,0.91417740,0.55193420,0.47181740,0.93426370,0.57002740,0.45794320,0.88202890,0.51498960,0.44637710,0.90365670,0.54475890,0.43770760,0.92111220,0.56239380,0.44908280,0.85679440,0.46764450,0.43865340,0.87696510,0.50667250,0.42386280,0.89078210,0.52933570,0.41259100,0.90091200,0.54252450,0.50677450,0.96489420,0.48069030,0.50751680,0.96326140,0.56359170,0.46905310,0.95080780,0.58818660,0.43071450,0.93816120,0.57794890,0.40264380,0.91553100,0.55513490,10,1
0.47244380,0.84073370,0.43648310,0.47244380,0.84073370,0.43648310,0.47244380,0.84073370,0.43648310,0.47799890,0.86307680,0.44660100,0.49196120,0.88230500,0.45289360,0.50082990,0.91260580,0.45900860,0.50105280,0.94271840,0.47351390,0.49534420,0.90018220,0.51099500,0.50340870,0.92638560,0.53660080,0.50550080,0.94650760,0.54958530,0.47782440,0.88863980,0.51794060,0.47578890,0.91451660,0.55154190,0.47218910,0.93461210,0.56959030,0.45863790,0.88185830,0.51493320,0.44724140,0.90331860,0.54488860,0.43854270,0.92078320,0.56250010,0.44967460,0.85637900,0.46773880,0.43935130,0.87634070,0.50690220,0.42492100,0.88998890,0.52989760,0.41382130,0.90013540,0.54321900,0.50294340,0.96588710,0.48077400,0.50698430,0.96377590,0.56336940,0.46931790,0.95120360,0.58768950,0.43147500,0.93792810,0.57791530,0.40399260,0.91490160,0.55575050,10,1
0.47317590,0.84048790,0.43634140,0.47317590,0.84048790,0.43634140,0.47317590,0.84048790,0.43634140,0.47836430,0.86302610,0.44621820,0.49175750,0.88272170,0.45229870,0.49975030,0.91330750,0.45819880,0.49878820,0.94343410,0.47264470,0.49532310,0.90106430,0.51016940,0.50295680,0.92748380,0.53568510,0.50470960,0.94767450,0.54861300,0.47805270,0.88926820,0.51731040,0.47574730,0.91552880,0.55059510,0.47186770,0.93582000,0.56836440,0.45898090,0.88210520,0.51446160,0.44756890,0.90374670,0.54428040,0.43874840,0.92142550,0.56161530,0.45026840,0.85601100,0.46755700,0.43976210,0.87615540,0.50657800,0.42551310,0.88989850,0.52962980,0.41448440,0.90021690,0.54287790,0.49929540,0.96660690,0.48011730,0.50586030,0.96505790,0.56228390,0.46876890,0.95264770,0.58620600,0.43152950,0.93883650,0.57665780,0.40469120,0.91526400,0.55509920,10,1
0.47388180,0.84026090,0.43617120,0.47388180,0.84026090,0.43617120,0.47388180,0.84026090,0.43617120,0.47870650,0.86297760,0.44582100,0.49152960,0.88311100,0.45169270,0.49863880,0.91395600,0.45736930,0.49644190,0.94403400,0.47178190,0.49530800,0.90188660,0.50934060,0.50250420,0.92853320,0.53474700,0.50389460,0.94880870,0.54758600,0.47829790,0.88983770,0.51668160,0.47572710,0.91646130,0.54965690,0.47156500,0.93693630,0.56714930,0.45934640,0.88229940,0.51400270,0.44794210,0.90411830,0.54369490,0.43900790,0.92200080,0.56076060,0.45086200,0.85563480,0.46737800,0.44019820,0.87592680,0.50627960,0.42613460,0.88974400,0.52940080,0.41517310,0.90021540,0.54258450,0.49552310,0.96711800,0.47948640,0.50468950,0.96632400,0.56111300,0.46823390,0.95399150,0.58473120,0.43164170,0.93966190,0.57543560,0.40540360,0.91551630,0.55450600,10,1
0.47456890,0.84004820,0.43597800,0.47456890,0.84004820,0.43597800,0.47456890,0.84004820,0.43597800,0.47903050,0.86292900,0.44541210,0.49134040,0.88344100,0.45106840,0.49781340,0.91442460,0.45675150,0.49453200,0.94429780,0.47138210,0.49529370,0.90266180,0.50850790,0.50207940,0.92948570,0.53384060,0.50310520,0.94983490,0.54659690,0.47855450,0.89036190,0.51605250,0.47559770,0.91716950,0.54884590,0.47101440,0.93780450,0.56604240,0.45973000,0.88245290,0.51355310,0.44803610,0.90424060,0.54315540,0.43872360,0.92237270,0.55974900,0.45145810,0.85525170,0.46720100,0.44065650,0.87566410,0.50600150,0.42651960,0.88957390,0.52902230,0.41545830,0.90029610,0.54191790,0.49240740,0.96717450,0.47945790,0.50355320,0.96745610,0.56000180,0.46729670,0.95510880,0.58330050,0.43094660,0.94039980,0.57375170,0.40556270,0.91598190,0.55321880,10,1
0.47494590,0.83999110,0.43611280,0.47494590,0.83999110,0.43611280,0.47494590,0.83999110,0.43611280,0.47930210,0.86294730,0.44541220,0.49132650,0.88365980,0.45095040,0.49749420,0.91469260,0.45670450,0.49342210,0.94433830,0.47159670,0.49553560,0.90310680,0.50824490,0.50216070,0.92996520,0.53358350,0.50302520,0.95034730,0.54629930,0.47889490,0.89074740,0.51590930,0.47580050,0.91769750,0.54857300,0.47101190,0.93849470,0.56551630,0.46010980,0.88271370,0.51351390,0.44836100,0.90456010,0.54305110,0.43888080,0.92299280,0.55921290,0.45184770,0.85522080,0.46733240,0.44105240,0.87577220,0.50606110,0.42697470,0.88987670,0.52899970,0.41592310,0.90092600,0.54162450,0.49030680,0.96695080,0.48008460,0.50329150,0.96804080,0.55961330,0.46708040,0.95603380,0.58248770,0.43090840,0.94140520,0.57259040,0.40607490,0.91704340,0.55234480,10,1
