RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.49845490,0.93789990,0.31480350,0.49845490,0.93789990,0.31480350,0.49845490,0.93789990,0.31480350,0.49272010,0.92974170,0.33789030,0.48221990,0.91679910,0.35595960,0.48133940,0.89960350,0.38312060,0.48644860,0.89733950,0.41607510,0.45273790,0.94401870,0.40130840,0.43048870,0.94859220,0.43116410,0.42366540,0.94683980,0.45414760,0.46213340,0.96379260,0.39828760,0.44305700,0.98050910,0.43233820,0.43839590,0.98560350,0.45869830,0.47872380,0.97514430,0.39392240,0.46820580,0.99584190,0.42472380,0.46812600,1.00239400,0.45017770,0.50514570,0.96185640,0.34829160,0.49811150,0.98249000,0.38783380,0.49846850,0.99752760,0.41423530,0.50177690,1.00552200,0.43236670,0.48981620,0.88980010,0.43898560,0.41953370,0.94551220,0.47586310,0.43792420,0.98701450,0.48337400,0.47006620,1.00402400,0.47415920,0.50379560,1.01227100,0.45291080,10,7
0.49681120,0.93781640,0.31594040,0.49681120,0.93781640,0.31594040,0.49681120,0.93781640,0.31594040,0.49120260,0.92966160,0.33905930,0.48053490,0.91656750,0.35692020,0.47974730,0.89896590,0.38382270,0.48478790,0.89608360,0.41673950,0.45129450,0.94376620,0.40256260,0.42927850,0.94812290,0.43262290,0.42310890,0.94603640,0.45576270,0.46053390,0.96360360,0.39947640,0.44199210,0.97986570,0.43403860,0.43794470,0.98455540,0.46057450,0.47702680,0.97506980,0.39504180,0.46681090,0.99546130,0.42614750,0.46726310,1.00152100,0.45171930,0.50341790,0.96188840,0.34936230,0.49634200,0.98254750,0.38888380,0.49655440,0.99764670,0.41525160,0.50010720,1.00514300,0.43354920,0.48827260,0.88840540,0.43958630,0.41965490,0.94438310,0.47757410,0.43800100,0.98567730,0.48526940,0.46977760,1.00260700,0.47567820,0.50264660,1.01086100,0.45434660,10,7
0.49407380,0.93708170,0.31691070,0.49407380,0.93708170,0.31691070,0.49407380,0.93708170,0.31691070,0.48841570,0.92905400,0.34006210,0.47741680,0.91595740,0.35771900,0.47654590,0.89804830,0.38441530,0.48149590,0.89477760,0.41730950,0.44836110,0.94349990,0.40339620,0.42644130,0.94791730,0.43351790,0.42073770,0.94566630,0.45676160,0.45760160,0.96332260,0.40022020,0.43950200,0.97941370,0.43509540,0.43597310,0.98382050,0.46175360,0.47410120,0.97476890,0.39575880,0.46414070,0.99506500,0.42700950,0.46502720,1.00072800,0.45266090,0.50059850,0.96134140,0.35021280,0.49342800,0.98221810,0.38960270,0.49352620,0.99742070,0.41591160,0.49729190,1.00446700,0.43434490,0.48503950,0.88708340,0.44014180,0.41777850,0.94383510,0.47863140,0.43647560,0.98470700,0.48645310,0.46800160,1.00133000,0.47658410,0.50027110,1.00924700,0.45532000,10,7
0.49145380,0.93640840,0.31784980,0.49145380,0.93640840,0.31784980,0.49145380,0.93640840,0.31784980,0.48574280,0.92849810,0.34102860,0.47442270,0.91539680,0.35847790,0.47351910,0.89716400,0.38495300,0.47846930,0.89357390,0.41781380,0.44553060,0.94325580,0.40419070,0.42369100,0.94772690,0.43436270,0.41841530,0.94532470,0.45769220,0.45477170,0.96306520,0.40093480,0.43708610,0.97898320,0.43610060,0.43407540,0.98308900,0.46287020,0.47127790,0.97449450,0.39645420,0.46154340,0.99469540,0.42783740,0.46285240,0.99994740,0.45355790,0.49788970,0.96084200,0.35104190,0.49061690,0.98191880,0.39030620,0.49063060,0.99718410,0.41657910,0.49460950,1.00377100,0.43513710,0.48214190,0.88590420,0.44063400,0.41590970,0.94333110,0.47960440,0.43504260,0.98370430,0.48756410,0.46628130,1.00004400,0.47742770,0.49800930,1.00761200,0.45624070,10,7
0.48897420,0.93579330,0.31874630,0.48897420,0.93579330,0.31874630,0.48897420,0.93579330,0.31874630,0.48320900,0.92799100,0.34194820,0.47157280,0.91488090,0.35918180,0.46955260,0.89677960,0.38568540,0.47303880,0.89251290,0.41865310,0.44283500,0.94303260,0.40494000,0.42132030,0.94782570,0.43529550,0.41640480,0.94557140,0.45871820,0.45207640,0.96282990,0.40161280,0.43470900,0.97868950,0.43696310,0.43241380,0.98236200,0.46386620,0.46858920,0.97424440,0.39711870,0.45920150,0.99439020,0.42864260,0.46129080,0.99889870,0.45445250,0.49531840,0.96038690,0.35183770,0.48794030,0.98164730,0.39098330,0.48880640,0.99635990,0.41755540,0.49375320,1.00160300,0.43630780,0.47573580,0.88472190,0.44156820,0.41421590,0.94372680,0.48067730,0.43412010,0.98248300,0.48852740,0.46550540,0.99813290,0.47818400,0.49836120,1.00341800,0.45745390,10,7
0.48599000,0.93565110,0.31911950,0.48599000,0.93565110,0.31911950,0.48599000,0.93565110,0.31911950,0.48021550,0.92792870,0.34234590,0.46837430,0.91473110,0.35937160,0.46560750,0.89669430,0.38585180,0.46795050,0.89194350,0.41885440,0.43949820,0.94296720,0.40511700,0.41821490,0.94791900,0.43560980,0.41365070,0.94577900,0.45911420,0.44857600,0.96282640,0.40170870,0.43134900,0.97851850,0.43720220,0.42967250,0.98179690,0.46420170,0.46500270,0.97436070,0.39720510,0.45573610,0.99440820,0.42882740,0.45847700,0.99827540,0.45468040,0.49200570,0.96048530,0.35209230,0.48430850,0.98189940,0.39109240,0.48578340,0.99616000,0.41788330,0.49150110,1.00023800,0.43670580,0.46996810,0.88414580,0.44183690,0.41177090,0.94406960,0.48111280,0.43205000,0.98149780,0.48880570,0.46339440,0.99676780,0.47824050,0.49708360,1.00025200,0.45769440,10,7
0.48311290,0.93549810,0.31952490,0.48311290,0.93549810,0.31952490,0.48311290,0.93549810,0.31952490,0.47732200,0.92785330,0.34277280,0.46528820,0.91457620,0.35960050,0.46192070,0.89655750,0.38602350,0.46333200,0.89140120,0.41901810,0.43627340,0.94289760,0.40532640,0.41519200,0.94800610,0.43593340,0.41095400,0.94597240,0.45950820,0.44520310,0.96281080,0.40184230,0.42810560,0.97835400,0.43746370,0.42699660,0.98128220,0.46453260,0.46155180,0.97445260,0.39733190,0.45238980,0.99441580,0.42903800,0.45571470,0.99771180,0.45490160,0.48881760,0.96055500,0.35238430,0.48081710,0.98211380,0.39124340,0.48281780,0.99599100,0.41820100,0.48918690,0.99903900,0.43700950,0.46482260,0.88362380,0.44204780,0.40936230,0.94438670,0.48153880,0.42998870,0.98060860,0.48906210,0.46126200,0.99553850,0.47826900,0.49556710,0.99745250,0.45770870,10,7
0.48043550,0.93534770,0.31992870,0.48043550,0.93534770,0.31992870,0.48043550,0.93534770,0.31992870,0.47462420,0.92777500,0.34319510,0.46262120,0.91449100,0.36003940,0.45943750,0.89649930,0.38650340,0.46035640,0.89066520,0.41940240,0.43326680,0.94282970,0.40554240,0.41222230,0.94817850,0.43613370,0.40842830,0.94615700,0.45978510,0.44206500,0.96278910,0.40198940,0.42503020,0.97818850,0.43770320,0.42534380,0.98008330,0.46488480,0.45834450,0.97452580,0.39747430,0.44964010,0.99398800,0.42961780,0.45483050,0.99504130,0.45536260,0.48585440,0.96060490,0.35268290,0.47757410,0.98229510,0.39141000,0.48075570,0.99510370,0.41877990,0.48802460,0.99675690,0.43743580,0.46153000,0.88243010,0.44229080,0.40738640,0.94451860,0.48184470,0.42996190,0.97816110,0.48909390,0.46247430,0.99006950,0.47768710,0.49541870,0.99306060,0.45751940,10,7
0.47738960,0.93601220,0.31926030,0.47738960,0.93601220,0.31926030,0.47738960,0.93601220,0.31926030,0.47134760,0.92851270,0.34249160,0.45917050,0.91523800,0.35921790,0.45584400,0.89724430,0.38566290,0.45595840,0.89068520,0.41843780,0.42923400,0.94365980,0.40430810,0.40800780,0.94927480,0.43472570,0.40443750,0.94727080,0.45841340,0.43799260,0.96363930,0.40077040,0.42079160,0.97892300,0.43645420,0.42213300,0.97992060,0.46365240,0.45427530,0.97542220,0.39638900,0.44577340,0.99444620,0.42884750,0.45228980,0.99360030,0.45429680,0.48234080,0.96142620,0.35196730,0.47354080,0.98324310,0.39050810,0.47754630,0.99510280,0.41819570,0.48543020,0.99543710,0.43667120,0.45659570,0.88198600,0.44117530,0.40372810,0.94558510,0.48048260,0.42795690,0.97691310,0.48748800,0.46138570,0.98631710,0.47540960,0.49344580,0.98978630,0.45604910,10,7
0.47443070,0.93659340,0.31871220,0.47443070,0.93659340,0.31871220,0.47443070,0.93659340,0.31871220,0.46817560,0.92916480,0.34190990,0.45621850,0.91603080,0.35890390,0.45324470,0.89846600,0.38567720,0.45336880,0.89223070,0.41851520,0.42536100,0.94439820,0.40322150,0.40407600,0.94978650,0.43363910,0.40118900,0.94733020,0.45737730,0.43407880,0.96439730,0.39969340,0.41650820,0.97962620,0.43522020,0.41887570,0.97969180,0.46236650,0.45036070,0.97622580,0.39543360,0.44171060,0.99491510,0.42804700,0.44872630,0.99310170,0.45331230,0.47894210,0.96215920,0.35136450,0.46965620,0.98409800,0.38972180,0.47420870,0.99521420,0.41763230,0.48235210,0.99494360,0.43599590,0.45409940,0.88382610,0.44136040,0.40128050,0.94516090,0.47941550,0.42596680,0.97551240,0.48567640,0.45838970,0.98472050,0.47375500,0.49052210,0.98875560,0.45514380,10,7
